channel_0,sample #,type
0.34791368,29498981,A
0.4240198,29498982,NC
0.43489215,29498983,NC
0.35878602,29498984,NC
0.19570147,29498985,NC
-0.048925366,29498986,NC
-0.27180758,29498987,NC
-0.44576442,29498988,NC
-0.53274286,29498989,NC
-0.5490513,29498990,NC
-0.53274286,29498991,NC
-0.48925364,29498992,NC
-0.44032827,29498993,NC
-0.39140293,29498994,NC
-0.35878602,29498995,NC
-0.34247756,29498996,NC
-0.34791368,29498997,NC
-0.37509447,29498998,NC
-0.38596675,29498999,NC
-0.39683908,29499000,NC
-0.39140293,29499001,NC
-0.36965832,29499002,NC
-0.35878602,29499003,NC
-0.34791368,29499004,NC
-0.33160526,29499005,NC
-0.3370414,29499006,NC
-0.34247756,29499007,NC
-0.34247756,29499008,NC
-0.34791368,29499009,NC
-0.35334983,29499010,NC
-0.34247756,29499011,NC
-0.3370414,29499012,NC
-0.3152968,29499013,NC
-0.3044245,29499014,NC
-0.27724373,29499015,NC
-0.23919067,29499016,NC
-0.2120099,29499017,NC
-0.1902653,29499018,NC
-0.1685207,29499019,NC
-0.1576484,29499020,NC
-0.1467761,29499021,NC
-0.1467761,29499022,NC
-0.1685207,29499023,NC
-0.17395684,29499024,NC
-0.20113762,29499025,NC
-0.21744607,29499026,NC
-0.20657375,29499027,NC
-0.2120099,29499028,NC
-0.1902653,29499029,NC
-0.18482916,29499030,NC
-0.13590379,29499031,NC
-0.11415918,29499032,NC
-0.10872304,29499033,NC
-0.10872304,29499034,NC
-0.119595334,29499035,NC
-0.13046764,29499036,NC
-0.13590379,29499037,NC
-0.15221225,29499038,NC
-0.1902653,29499039,NC
-0.2120099,29499040,NC
-0.23919067,29499041,NC
-0.25549912,29499042,NC
-0.23375453,29499043,NC
-0.2120099,29499044,NC
-0.1685207,29499045,NC
-0.13046764,29499046,NC
-0.11415918,29499047,NC
-0.09241458,29499048,NC
-0.08697842,29499049,NC
-0.12503149,29499050,NC
-0.13590379,29499051,NC
-0.16308455,29499052,NC
-0.17395684,29499053,NC
-0.15221225,29499054,NC
-0.13590379,29499055,NC
-0.09785073,29499056,NC
-0.07066997,29499057,NC
-0.05436152,29499058,NC
-0.06523382,29499059,NC
-0.059797667,29499060,NC
-0.07066997,29499061,NC
-0.07610612,29499062,NC
-0.09241458,29499063,NC
-0.09785073,29499064,NC
-0.081542276,29499065,NC
-0.05436152,29499066,NC
-0.03261691,29499067,NC
0.010872303,29499068,NC
0.03261691,29499069,NC
0.04348921,29499070,NC
0.048925366,29499071,NC
0.03805306,29499072,NC
0.059797667,29499073,NC
0.05436152,29499074,NC
0.03805306,29499075,NC
0.03261691,29499076,NC
0.04348921,29499077,NC
0.05436152,29499078,NC
0.06523382,29499079,NC
0.081542276,29499080,NC
0.07066997,29499081,NC
0.03805306,29499082,NC
0.016308455,29499083,NC
0.0054361513,29499084,NC
0.0054361513,29499085,NC
0.02718076,29499086,NC
0.07066997,29499087,NC
0.10872304,29499088,NC
0.12503149,29499089,NC
0.13046764,29499090,NC
0.081542276,29499091,NC
0.03805306,29499092,NC
0.0,29499093,NC
-0.016308455,29499094,NC
-0.021744605,29499095,NC
-0.016308455,29499096,NC
-0.010872303,29499097,NC
-0.02718076,29499098,NC
-0.010872303,29499099,NC
-0.021744605,29499100,NC
0.0054361513,29499101,NC
0.021744605,29499102,NC
0.02718076,29499103,NC
0.03261691,29499104,NC
0.016308455,29499105,NC
-0.010872303,29499106,NC
-0.04348921,29499107,NC
-0.059797667,29499108,NC
-0.08697842,29499109,NC
-0.10872304,29499110,NC
-0.081542276,29499111,NC
-0.07066997,29499112,NC
-0.06523382,29499113,NC
-0.09241458,29499114,NC
-0.10872304,29499115,NC
-0.12503149,29499116,NC
-0.13590379,29499117,NC
-0.1576484,29499118,NC
-0.1576484,29499119,NC
-0.16308455,29499120,NC
-0.15221225,29499121,NC
-0.119595334,29499122,NC
-0.119595334,29499123,NC
-0.09785073,29499124,NC
-0.09241458,29499125,NC
-0.10328688,29499126,NC
-0.11415918,29499127,NC
-0.12503149,29499128,NC
-0.13590379,29499129,NC
-0.1467761,29499130,NC
-0.17939301,29499131,NC
-0.17395684,29499132,NC
-0.16308455,29499133,NC
-0.15221225,29499134,NC
-0.14133994,29499135,NC
-0.13046764,29499136,NC
-0.09241458,29499137,NC
-0.059797667,29499138,NC
-0.06523382,29499139,NC
-0.09241458,29499140,NC
-0.11415918,29499141,NC
-0.14133994,29499142,NC
-0.15221225,29499143,NC
-0.17395684,29499144,NC
-0.1685207,29499145,NC
-0.17939301,29499146,NC
-0.18482916,29499147,NC
-0.20113762,29499148,NC
-0.21744607,29499149,NC
-0.2120099,29499150,NC
-0.20657375,29499151,NC
-0.19570147,29499152,NC
-0.17395684,29499153,NC
-0.17395684,29499154,NC
-0.1576484,29499155,NC
-0.1576484,29499156,NC
-0.15221225,29499157,NC
-0.15221225,29499158,NC
-0.1685207,29499159,NC
-0.19570147,29499160,NC
-0.20657375,29499161,NC
-0.2120099,29499162,NC
-0.2120099,29499163,NC
-0.17395684,29499164,NC
-0.1467761,29499165,NC
-0.1467761,29499166,NC
-0.1576484,29499167,NC
-0.16308455,29499168,NC
-0.19570147,29499169,NC
-0.2120099,29499170,NC
-0.23919067,29499171,NC
-0.22831836,29499172,NC
-0.20657375,29499173,NC
-0.1902653,29499174,NC
-0.1685207,29499175,NC
-0.1576484,29499176,NC
-0.1685207,29499177,NC
-0.1685207,29499178,NC
-0.19570147,29499179,NC
-0.19570147,29499180,NC
-0.21744607,29499181,NC
-0.21744607,29499182,NC
-0.23375453,29499183,NC
-0.25549912,29499184,NC
-0.23375453,29499185,NC
-0.22831836,29499186,NC
-0.21744607,29499187,NC
-0.18482916,29499188,NC
-0.1467761,29499189,NC
-0.11415918,29499190,NC
-0.10872304,29499191,NC
-0.09241458,29499192,NC
-0.07610612,29499193,NC
-0.07610612,29499194,NC
-0.09785073,29499195,NC
-0.13046764,29499196,NC
-0.16308455,29499197,NC
-0.20113762,29499198,NC
-0.20657375,29499199,NC
-0.17939301,29499200,NC
-0.14133994,29499201,NC
-0.10872304,29499202,NC
-0.07610612,29499203,NC
-0.07610612,29499204,NC
-0.10872304,29499205,NC
-0.13590379,29499206,NC
-0.1685207,29499207,NC
-0.18482916,29499208,NC
-0.15221225,29499209,NC
-0.12503149,29499210,NC
-0.09241458,29499211,NC
-0.08697842,29499212,NC
-0.08697842,29499213,NC
-0.07610612,29499214,NC
-0.081542276,29499215,NC
-0.08697842,29499216,NC
-0.081542276,29499217,NC
-0.09241458,29499218,NC
-0.08697842,29499219,NC
-0.10872304,29499220,NC
-0.11415918,29499221,NC
-0.12503149,29499222,NC
-0.13046764,29499223,NC
-0.12503149,29499224,NC
-0.10872304,29499225,NC
-0.081542276,29499226,NC
-0.06523382,29499227,NC
-0.03805306,29499228,NC
-0.021744605,29499229,NC
-0.0054361513,29499230,NC
0.0054361513,29499231,NC
0.02718076,29499232,NC
0.07066997,29499233,NC
0.10872304,29499234,NC
0.1685207,29499235,NC
0.22288221,29499236,A
0.27724373,29499237,NC
0.3044245,29499238,NC
0.288116,29499239,NC
0.18482916,29499240,NC
0.021744605,29499241,NC
-0.18482916,29499242,NC
-0.3261691,29499243,NC
-0.4131475,29499244,NC
-0.4240198,29499245,NC
-0.4131475,29499246,NC
-0.36965832,29499247,NC
-0.3370414,29499248,NC
-0.30986065,29499249,NC
-0.2826799,29499250,NC
-0.27724373,29499251,NC
-0.26093528,29499252,NC
-0.288116,29499253,NC
-0.30986065,29499254,NC
-0.34247756,29499255,NC
-0.36422217,29499256,NC
-0.34791368,29499257,NC
-0.30986065,29499258,NC
-0.26637143,29499259,NC
-0.22831836,29499260,NC
-0.22288221,29499261,NC
-0.23919067,29499262,NC
-0.26637143,29499263,NC
-0.288116,29499264,NC
-0.3261691,29499265,NC
-0.35878602,29499266,NC
-0.34791368,29499267,NC
-0.33160526,29499268,NC
-0.2935522,29499269,NC
-0.25006297,29499270,NC
-0.18482916,29499271,NC
-0.1467761,29499272,NC
-0.11415918,29499273,NC
-0.09785073,29499274,NC
-0.081542276,29499275,NC
-0.08697842,29499276,NC
-0.08697842,29499277,NC
-0.09241458,29499278,NC
-0.09785073,29499279,NC
-0.10872304,29499280,NC
-0.10872304,29499281,NC
-0.10872304,29499282,NC
-0.10328688,29499283,NC
-0.08697842,29499284,NC
-0.07610612,29499285,NC
-0.08697842,29499286,NC
-0.09241458,29499287,NC
-0.10872304,29499288,NC
-0.11415918,29499289,NC
-0.11415918,29499290,NC
-0.10328688,29499291,NC
-0.081542276,29499292,NC
-0.05436152,29499293,NC
-0.021744605,29499294,NC
-0.016308455,29499295,NC
-0.0054361513,29499296,NC
-0.03261691,29499297,NC
-0.059797667,29499298,NC
-0.08697842,29499299,NC
-0.119595334,29499300,NC
-0.16308455,29499301,NC
-0.18482916,29499302,NC
-0.20113762,29499303,NC
-0.20113762,29499304,NC
-0.20113762,29499305,NC
-0.1576484,29499306,NC
-0.10872304,29499307,NC
-0.07066997,29499308,NC
-0.03261691,29499309,NC
0.0054361513,29499310,NC
0.016308455,29499311,NC
0.021744605,29499312,NC
0.0,29499313,NC
-0.021744605,29499314,NC
-0.048925366,29499315,NC
-0.05436152,29499316,NC
-0.07066997,29499317,NC
-0.05436152,29499318,NC
-0.03805306,29499319,NC
-0.016308455,29499320,NC
-0.021744605,29499321,NC
-0.02718076,29499322,NC
-0.03261691,29499323,NC
-0.05436152,29499324,NC
-0.03261691,29499325,NC
-0.010872303,29499326,NC
0.021744605,29499327,NC
0.016308455,29499328,NC
-0.016308455,29499329,NC
-0.03805306,29499330,NC
-0.04348921,29499331,NC
-0.03261691,29499332,NC
0.0,29499333,NC
0.03805306,29499334,NC
0.09241458,29499335,NC
0.13046764,29499336,NC
0.16308455,29499337,NC
0.1576484,29499338,NC
0.15221225,29499339,NC
0.119595334,29499340,NC
0.10872304,29499341,NC
0.09785073,29499342,NC
0.081542276,29499343,NC
0.059797667,29499344,NC
0.03805306,29499345,NC
0.03261691,29499346,NC
0.02718076,29499347,NC
0.04348921,29499348,NC
0.03805306,29499349,NC
0.021744605,29499350,NC
0.0054361513,29499351,NC
-0.0054361513,29499352,NC
-0.016308455,29499353,NC
-0.02718076,29499354,NC
-0.010872303,29499355,NC
-0.03261691,29499356,NC
-0.04348921,29499357,NC
-0.07066997,29499358,NC
-0.07610612,29499359,NC
-0.10872304,29499360,NC
-0.11415918,29499361,NC
-0.119595334,29499362,NC
-0.119595334,29499363,NC
-0.12503149,29499364,NC
-0.13046764,29499365,NC
-0.13046764,29499366,NC
-0.13590379,29499367,NC
-0.12503149,29499368,NC
-0.119595334,29499369,NC
-0.12503149,29499370,NC
-0.13590379,29499371,NC
-0.13590379,29499372,NC
-0.15221225,29499373,NC
-0.16308455,29499374,NC
-0.1685207,29499375,NC
-0.1576484,29499376,NC
-0.14133994,29499377,NC
-0.11415918,29499378,NC
-0.119595334,29499379,NC
-0.10872304,29499380,NC
-0.13590379,29499381,NC
-0.16308455,29499382,NC
-0.1685207,29499383,NC
-0.17939301,29499384,NC
-0.17395684,29499385,NC
-0.16308455,29499386,NC
-0.1467761,29499387,NC
-0.1467761,29499388,NC
-0.13590379,29499389,NC
-0.14133994,29499390,NC
-0.1467761,29499391,NC
-0.14133994,29499392,NC
-0.11415918,29499393,NC
-0.10328688,29499394,NC
-0.09241458,29499395,NC
-0.09241458,29499396,NC
-0.13046764,29499397,NC
-0.1685207,29499398,NC
-0.2120099,29499399,NC
-0.23375453,29499400,NC
-0.22288221,29499401,NC
-0.20113762,29499402,NC
-0.1902653,29499403,NC
-0.17939301,29499404,NC
-0.15221225,29499405,NC
-0.16308455,29499406,NC
-0.18482916,29499407,NC
-0.20113762,29499408,NC
-0.22831836,29499409,NC
-0.24462682,29499410,NC
-0.25006297,29499411,NC
-0.24462682,29499412,NC
-0.23375453,29499413,NC
-0.20657375,29499414,NC
-0.17939301,29499415,NC
-0.1685207,29499416,NC
-0.16308455,29499417,NC
-0.19570147,29499418,NC
-0.20657375,29499419,NC
-0.20657375,29499420,NC
-0.20113762,29499421,NC
-0.1902653,29499422,NC
-0.17939301,29499423,NC
-0.15221225,29499424,NC
-0.13590379,29499425,NC
-0.14133994,29499426,NC
-0.16308455,29499427,NC
-0.20113762,29499428,NC
-0.2120099,29499429,NC
-0.21744607,29499430,NC
-0.20657375,29499431,NC
-0.19570147,29499432,NC
-0.19570147,29499433,NC
-0.19570147,29499434,NC
-0.19570147,29499435,NC
-0.22831836,29499436,NC
-0.21744607,29499437,NC
