channel_0,sample #,type
0.65594757,29893833,R
0.72446203,29893834,NC
0.6787399,29893835,NC
0.5130692,29893836,NC
0.23887375,29893837,NC
-0.058169037,29893838,NC
-0.28095803,29893839,NC
-0.4409168,29893840,NC
-0.486639,29893841,NC
-0.5209375,29893842,NC
-0.520965,29893843,NC
-0.51528066,29893844,NC
-0.5038845,29893845,NC
-0.47535285,29893846,NC
-0.46395668,29893847,NC
-0.4639842,29893848,NC
-0.47543532,29893849,NC
-0.47546282,29893850,NC
-0.4926258,29893851,NC
-0.46980596,29893852,NC
-0.45269796,29893853,NC
-0.41274258,29893854,NC
-0.37849906,29893855,NC
-0.36710283,29893856,NC
-0.3614185,29893857,NC
-0.36715776,29893858,NC
-0.39003253,29893859,NC
-0.40148363,29893860,NC
-0.41293478,29893861,NC
-0.4015385,29893862,NC
-0.3901423,29893863,NC
-0.3730342,29893864,NC
-0.32736698,29893865,NC
-0.2931234,29893866,NC
-0.2703035,29893867,NC
-0.26461908,29893868,NC
-0.21324,29893869,NC
-0.20184372,29893870,NC
-0.17902379,29893871,NC
-0.17905118,29893872,NC
-0.1847904,29893873,NC
-0.16768228,29893874,NC
-0.16199782,29893875,NC
-0.17344885,29893876,NC
-0.16205256,29893877,NC
-0.15636809,29893878,NC
-0.16781908,29893879,NC
-0.17355826,29893880,NC
-0.17358561,29893881,NC
-0.1850366,29893882,NC
-0.18506393,29893883,NC
-0.1965149,29893884,NC
-0.19083041,29893885,NC
-0.19085771,29893886,NC
-0.18517317,29893887,NC
-0.1737768,29893888,NC
-0.1738041,29893889,NC
-0.17383139,29893890,NC
-0.16814682,29893891,NC
-0.16246226,29893892,NC
-0.18533686,29893893,NC
-0.18536411,29893894,NC
-0.1911032,29893895,NC
-0.1854186,29893896,NC
-0.18544585,29893897,NC
-0.16262574,29893898,NC
-0.15122929,29893899,NC
-0.15696836,29893900,NC
-0.14557189,29893901,NC
-0.1455991,29893902,NC
-0.12849078,29893903,NC
-0.12851797,29893904,NC
-0.13425699,29893905,NC
-0.13999598,29893906,NC
-0.14573498,29893907,NC
-0.13433847,29893908,NC
-0.12865378,29893909,NC
-0.11725727,29893910,NC
-0.12299622,29893911,NC
-0.111599684,29893912,NC
-0.08877947,29893913,NC
-0.07738291,29893914,NC
-0.077410005,29893915,NC
-0.10028443,29893916,NC
-0.09459968,29893917,NC
-0.094626755,29893918,NC
-0.10036565,29893919,NC
-0.088969044,29893920,NC
-0.07186059,29893921,NC
-0.049040306,29893922,NC
-0.03193184,29893923,NC
-0.020535197,29893924,NC
-0.003426714,29893925,NC
0.0022581145,29893926,NC
0.013654783,29893927,NC
0.025051465,29893928,NC
0.036448155,29893929,NC
0.047844853,29893930,NC
0.053529724,29893931,NC
0.059214607,29893932,NC
0.04776401,29893933,NC
0.0705844,29893934,NC
0.07055748,29893935,NC
0.09908974,29893936,NC
0.12191016,29893937,NC
0.13330694,29893938,NC
0.15041557,29893939,NC
0.1503887,29893940,NC
0.15036184,29893941,NC
0.13891132,29893942,NC
0.13888448,29893943,NC
0.13885765,29893944,NC
0.13311899,29893945,NC
0.13309218,29893946,NC
0.13306539,29893947,NC
0.12732677,29893948,NC
0.11587633,29893949,NC
0.1044259,29893950,NC
0.07012815,29893951,NC
0.07581325,29893952,NC
0.07007468,29893953,NC
0.047200635,29893954,NC
0.030038424,29893955,NC
0.0071643973,29893956,NC
0.007137709,29893957,NC
-0.004312632,29893958,NC
-0.010051129,29893959,NC
-0.010077784,29893960,NC
-0.038663585,29893961,NC
-0.055825718,29893962,NC
-0.078699656,29893963,NC
-0.09014993,29893964,NC
-0.12444752,29893965,NC
-0.13589777,29893966,NC
-0.13592434,29893967,NC
-0.14737457,29893968,NC
-0.1816721,29893969,NC
-0.17027497,29893970,NC
-0.1703015,29893971,NC
-0.17603984,29893972,NC
-0.17035452,29893973,NC
-0.1875165,29893974,NC
-0.18754297,29893975,NC
-0.20470493,29893976,NC
-0.22186688,29893977,NC
-0.23902881,29893978,NC
-0.25619072,29893979,NC
-0.27335262,29893980,NC
-0.2848027,29893981,NC
-0.28482908,29893982,NC
-0.28485546,29893983,NC
-0.29059365,29893984,NC
-0.28490818,29893985,NC
-0.2906463,29893986,NC
-0.3078081,29893987,NC
-0.3021226,29893988,NC
-0.3078607,29893989,NC
-0.31359887,29893990,NC
-0.30791324,29893991,NC
-0.3079395,29893992,NC
-0.3022539,29893993,NC
-0.29085648,29893994,NC
-0.2908827,29893995,NC
-0.2737734,29893996,NC
-0.2623759,29893997,NC
-0.2681139,29893998,NC
-0.24529274,29893999,NC
-0.25674254,29894000,NC
-0.2624805,29894001,NC
-0.2625066,29894002,NC
-0.25682086,29894003,NC
-0.24542329,29894004,NC
-0.24544936,29894005,NC
-0.22262809,29894006,NC
-0.19409497,29894007,NC
-0.16556184,29894008,NC
-0.1770115,29894009,NC
-0.18274933,29894010,NC
-0.17706348,29894011,NC
-0.1885131,29894012,NC
-0.1942509,29894013,NC
-0.21712415,29894014,NC
-0.22286189,29894015,NC
-0.2228878,29894016,NC
-0.22291368,29894017,NC
-0.21722773,29894018,NC
-0.21154176,29894019,NC
-0.20014393,29894020,NC
-0.19445793,29894021,NC
-0.1887719,29894022,NC
-0.1887977,29894023,NC
-0.18311164,29894024,NC
-0.17742556,29894025,NC
-0.17745131,29894026,NC
-0.16605338,29894027,NC
-0.17750275,29894028,NC
-0.18324028,29894029,NC
-0.19468963,29894030,NC
-0.1947153,29894031,NC
-0.20045277,29894032,NC
-0.1833429,29894033,NC
-0.16623303,29894034,NC
-0.16054681,29894035,NC
-0.16628422,29894036,NC
-0.1720216,29894037,NC
-0.18347082,29894038,NC
-0.20634367,29894039,NC
-0.20636919,29894040,NC
-0.21210654,29894041,NC
-0.20070834,29894042,NC
-0.21215749,29894043,NC
-0.18933558,29894044,NC
-0.18936102,29894045,NC
-0.18938643,29894046,NC
-0.18941182,29894047,NC
-0.18372536,29894048,NC
-0.1951744,29894049,NC
-0.20091157,29894050,NC
-0.2066487,29894051,NC
-0.20096219,29894052,NC
-0.18956381,29894053,NC
-0.20672457,29894054,NC
-0.18961434,29894055,NC
-0.17821592,29894056,NC
-0.18395296,29894057,NC
-0.1725545,29894058,NC
-0.16115603,29894059,NC
-0.17260483,29894060,NC
-0.1783418,29894061,NC
-0.17836694,29894062,NC
-0.18410386,29894063,NC
-0.1898408,29894064,NC
-0.1784422,29894065,NC
-0.18417908,29894066,NC
-0.1842041,29894067,NC
-0.18994096,29894068,NC
-0.18425411,29894069,NC
-0.16143177,29894070,NC
-0.16145673,29894071,NC
-0.1671935,29894072,NC
-0.17293024,29894073,NC
-0.17866698,29894074,NC
-0.19011553,29894075,NC
-0.17871672,29894076,NC
-0.16160607,29894077,NC
-0.11593622,29894078,NC
-0.047419045,29894079,NC
0.05536915,29894080,NC
0.20385203,29894081,NC
0.35804674,29894082,NC
0.5122415,29894083,NC
0.63216525,29894084,A
0.7006825,29894085,NC
0.64925134,29894086,NC
0.46644813,29894087,NC
0.17512009,29894088,NC
-0.12763162,29894089,NC
-0.36184132,29894090,NC
-0.5103735,29894091,NC
-0.5503809,29894092,NC
-0.5275581,29894093,NC
-0.48759973,29894094,NC
-0.44192958,29894095,NC
-0.407683,29894096,NC
-0.3962838,29894097,NC
-0.40202007,29894098,NC
-0.4248918,29894099,NC
-0.43633983,29894100,NC
-0.45349967,29894101,NC
-0.44781217,29894102,NC
-0.43070102,29894103,NC
-0.39074248,29894104,NC
-0.34507206,29894105,NC
-0.34509632,29894106,NC
-0.3336969,29894107,NC
-0.32800928,29894108,NC
-0.34516895,29894109,NC
-0.3737523,29894110,NC
-0.39091194,29894111,NC
-0.39664787,29894112,NC
-0.37953648,29894113,NC
-0.37384874,29894114,NC
-0.33960178,29894115,NC
-0.3053548,29894116,NC
-0.27110785,29894117,NC
-0.23686086,29894118,NC
-0.20832565,29894119,NC
-0.18550228,29894120,NC
-0.17410253,29894121,NC
-0.16841461,29894122,NC
-0.17986214,29894123,NC
-0.1970215,29894124,NC
-0.20275716,29894125,NC
-0.19135731,29894126,NC
-0.17995743,29894127,NC
-0.17426936,29894128,NC
-0.16858128,29894129,NC
-0.16289318,29894130,NC
-0.16291688,29894131,NC
-0.1572287,29894132,NC
-0.16867603,29894133,NC
-0.18012331,29894134,NC
-0.17443508,29894135,NC
-0.19159417,29894136,NC
-0.18590589,29894137,NC
-0.19164127,29894138,NC
-0.18595293,29894139,NC
-0.16884094,29894140,NC
-0.16886441,29894141,NC
-0.16317603,29894142,NC
-0.16319944,29894143,NC
-0.16893466,29894144,NC
-0.1803817,29894145,NC
-0.1746932,29894146,NC
-0.18042837,29894147,NC
-0.16331618,29894148,NC
-0.1747631,29894149,NC
-0.15765086,29894150,NC
-0.14053859,29894151,NC
-0.1405618,29894152,NC
-0.12344948,29894153,NC
-0.1348963,29894154,NC
-0.12349577,29894155,NC
-0.12351888,29894156,NC
-0.12354196,29894157,NC
-0.13498867,29894158,NC
-0.1350117,29894159,NC
-0.11789922,29894160,NC
-0.12934586,29894161,NC
-0.11794516,29894162,NC
-0.112256266,29894163,NC
-0.095143676,29894164,NC
-0.078031056,29894165,NC
-0.078053914,29894166,NC
-0.07236492,29894167,NC
-0.0666759,29894168,NC
-0.06098685,29894169,NC
-0.043874107,29894170,NC
-0.06103234,29894171,NC
-0.04391955,29894172,NC
-0.0382304,29894173,NC
-0.026829392,29894174,NC
0.0017071376,29894175,NC
0.030243695,29894176,NC
0.05878027,29894177,NC
0.08731688,29894178,NC
0.087294355,29894179,NC
0.092983685,29894180,NC
0.092961214,29894181,NC
0.08722692,29894182,NC
0.0872045,29894183,NC
0.0871821,29894184,NC
0.09287157,29894185,NC
0.1099847,29894186,NC
0.13852154,29894187,NC
0.16134658,29894188,NC
0.16703615,29894189,NC
0.17272574,29894190,NC
0.18983902,29894191,NC
0.18981683,29894192,NC
0.17837101,29894193,NC
0.15550154,29894194,NC
0.13834393,29894195,NC
0.1097627,29894196,NC
0.09831698,29894197,NC
0.092583135,29894198,NC
0.07542563,29894199,NC
0.07540366,29894200,NC
0.06395804,29894201,NC
0.041088805,29894202,NC
0.012507749,29894203,NC
-0.016073275,29894204,NC
-0.03323061,29894205,NC
-0.056099746,29894206,NC
-0.07325702,29894207,NC
-0.07899061,29894208,NC
-0.096147835,29894209,NC
-0.1075932,29894210,NC
-0.107614875,29894211,NC
-0.14190751,29894212,NC
-0.119081795,29894213,NC
-0.13623887,29894214,NC
-0.14197227,29894215,NC
-0.15341747,29894216,NC
-0.17057447,29894217,NC
-0.17630778,29894218,NC
-0.19917656,29894219,NC
-0.20490982,29894220,NC
-0.21064302,29894221,NC
-0.21637625,29894222,NC
-0.21068573,29894223,NC
-0.22213072,29894224,NC
-0.21072832,29894225,NC
-0.22217324,29894226,NC
-0.22219446,29894227,NC
-0.22792748,29894228,NC
-0.24508415,29894229,NC
-0.25652894,29894230,NC
-0.26226187,29894231,NC
-0.26228297,29894232,NC
-0.25659218,29894233,NC
-0.25090137,29894234,NC
-0.25092235,29894235,NC
-0.23380782,29894236,NC
-0.2395406,29894237,NC
-0.23384966,29894238,NC
-0.22244687,29894239,NC
-0.24531505,29894240,NC
-0.25675952,29894241,NC
-0.26249215,29894242,NC
-0.25108925,29894243,NC
-0.26253363,29894244,NC
-0.24541883,29894245,NC
-0.2454395,29894246,NC
-0.23974833,29894247,NC
-0.24548076,29894248,NC
-0.23978952,29894249,NC
-0.23981006,29894250,NC
-0.23983058,29894251,NC
-0.26269838,29894252,NC
-0.29698986,29894253,NC
-0.29129845,29894254,NC
-0.29131886,29894255,NC
-0.28562737,29894256,NC
-0.28564772,29894257,NC
-0.29137987,29894258,NC
-0.28568828,29894259,NC
-0.29713222,29894260,NC
-0.2914406,29894261,NC
-0.2914608,29894262,NC
-0.29719278,29894263,NC
-0.31434837,29894264,NC
-0.3257922,29894265,NC
-0.32581225,29894266,NC
-0.33725592,29894267,NC
-0.3144286,29894268,NC
-0.30873674,29894269,NC
-0.30304486,29894270,NC
-0.29164112,29894271,NC
-0.28023732,29894272,NC
-0.27454534,29894273,NC
-0.26314148,29894274,NC
-0.25173762,29894275,NC
-0.24033372,29894276,NC
-0.2346416,29894277,NC
-0.24037313,29894278,NC
-0.24610463,29894279,NC
-0.26325974,29894280,NC
-0.25756752,29894281,NC
-0.24616343,29894282,NC
-0.24047112,29894283,NC
-0.23477878,29894284,NC
-0.22908643,29894285,NC
-0.22339405,29894286,NC
-0.2348371,29894287,NC
-0.2577038,29894288,NC
-0.25201133,29894289,NC
-0.2920135,29894290,NC
-0.30345643,29894291,NC
-0.32061118,29894292,NC
-0.33205405,29894293,NC
-0.3206496,29894294,NC
-0.30353323,29894295,NC
-0.28641683,29894296,NC
-0.25787678,29894297,NC
-0.252184,29894298,NC
-0.25220302,29894299,NC
-0.252222,29894300,NC
-0.2579528,29894301,NC
-0.28081906,29894302,NC
-0.28654978,29894303,NC
-0.30370414,29894304,NC
-0.29801115,29894305,NC
-0.2923181,29894306,NC
-0.2809132,29894307,NC
-0.27522013,29894308,NC
-0.25239146,29894309,NC
-0.24098648,29894310,NC
-0.23529327,29894311,NC
-0.24673554,29894312,NC
-0.26388958,29894313,NC
-0.2581963,29894314,NC
-0.2924858,29894315,NC
-0.2982161,29894316,NC
-0.28681085,29894317,NC
-0.26969373,29894318,NC
-0.27542397,29894319,NC
-0.26973045,29894320,NC
-0.2583251,29894321,NC
-0.2640552,29894322,NC
-0.2754971,29894323,NC
-0.2812271,29894324,NC
-0.2812453,29894325,NC
-0.2812634,29894326,NC
-0.26985782,29894327,NC
-0.26987588,29894328,NC
-0.2641821,29894329,NC
-0.25848827,29894330,NC
-0.2356589,29894331,NC
-0.23567683,29894332,NC
-0.2299829,29894333,NC
-0.23571257,29894334,NC
-0.23573041,29894335,NC
-0.24146006,29894336,NC
-0.23005413,29894337,NC
-0.23007186,29894338,NC
-0.2186659,29894339,NC
-0.21297169,29894340,NC
-0.20156567,29894341,NC
-0.19015957,29894342,NC
-0.16732982,29894343,NC
-0.09309351,29894344,NC
0.0039901584,29894345,NC
0.13534483,29894346,NC
0.28954688,29894347,NC
0.45517266,29894348,NC
0.5979511,29894349,NC
0.7064586,29894350,A
