channel_0,sample #,type
0.7130933,16672104,a
0.6733942,16672105,NC
0.57407737,16672106,NC
0.41872364,16672107,NC
0.24890919,16672108,NC
0.10801764,16672109,NC
-0.00033568218,16672110,NC
-0.10507324,16672111,NC
-0.22607926,16672112,NC
-0.3434695,16672113,NC
-0.4391675,16672114,NC
-0.49871194,16672115,NC
-0.54017943,16672116,NC
-0.5671852,16672117,NC
-0.5905752,16672118,NC
-0.61215717,16672119,NC
-0.6409693,16672120,NC
-0.6788193,16672121,NC
-0.71486115,16672122,NC
-0.74005663,16672123,NC
-0.7544058,16672124,NC
-0.75429326,16672125,NC
-0.7541804,16672126,NC
-0.73599046,16672127,NC
-0.6997236,16672128,NC
-0.62549555,16672129,NC
-0.5349982,16672130,NC
-0.45353866,16672131,NC
-0.40280885,16672132,NC
-0.37738574,16672133,NC
-0.36100048,16672134,NC
-0.34280717,16672135,NC
-0.32642108,16672136,NC
-0.32268816,16672137,NC
-0.33160838,16672138,NC
-0.3477588,16672139,NC
-0.35487056,16672140,NC
-0.35113597,16672141,NC
-0.3383627,16672142,NC
-0.32558897,16672143,NC
-0.32908374,16672144,NC
-0.3380011,16672145,NC
-0.3433027,16672146,NC
-0.33414268,16672147,NC
-0.31955928,16672148,NC
-0.3158214,16672149,NC
-0.31750607,16672150,NC
-0.3318439,16672151,NC
-0.3317201,16672152,NC
-0.32436535,16672153,NC
-0.3025489,16672154,NC
-0.28977033,16672155,NC
-0.28964496,16672156,NC
-0.2931345,16672157,NC
-0.294816,16672158,NC
-0.28203583,16672159,NC
-0.26925528,16672160,NC
-0.25285906,16672161,NC
-0.24911599,16672162,NC
-0.24537255,16672163,NC
-0.24343637,16672164,NC
-0.23607683,16672165,NC
-0.21787101,16672166,NC
-0.20328009,16672167,NC
-0.18868881,16672168,NC
-0.18855835,16672169,NC
-0.18481222,16672170,NC
-0.17021976,16672171,NC
-0.14297336,16672172,NC
-0.121149555,16672173,NC
-0.108363636,16672174,NC
-0.104615614,16672175,NC
-0.09725191,16672176,NC
-0.07723425,16672177,NC
-0.051793262,16672178,NC
-0.024544248,16672179,NC
-0.011756103,16672180,NC
-0.0025828942,16672181,NC
0.0083983345,16672182,NC
0.030225854,16672183,NC
0.0574767,16672184,NC
0.07930495,16672185,NC
0.09571059,16672186,NC
0.10488597,16672187,NC
0.12129233,16672188,NC
0.143122,16672189,NC
0.1667597,16672190,NC
0.18316713,16672191,NC
0.18872899,16672192,NC
0.19067588,16672193,NC
0.19081548,16672194,NC
0.1963784,16672195,NC
0.200134,16672196,NC
0.19665933,16672197,NC
0.17691612,16672198,NC
0.1517503,16672199,NC
0.12839247,16672200,NC
0.114073254,16672201,NC
0.09975437,16672202,NC
0.080012865,16672203,NC
0.047618125,16672204,NC
0.013416067,16672205,NC
-0.01717035,16672206,NC
-0.038718164,16672207,NC
-0.05845799,16672208,NC
-0.08000514,16672209,NC
-0.112397894,16672210,NC
-0.14298266,16672211,NC
-0.16995178,16672212,NC
-0.18245935,16672213,NC
-0.19135131,16672214,NC
-0.2056659,16672215,NC
-0.23082608,16672216,NC
-0.26140893,16672217,NC
-0.28295314,16672218,NC
-0.28822818,16672219,NC
-0.28084934,16672220,NC
-0.28612375,16672221,NC
-0.30585906,16672222,NC
-0.33644,16672223,NC
-0.35436708,16672224,NC
-0.3542173,16672225,NC
-0.34864423,16672226,NC
-0.3448785,16672227,NC
-0.34834307,16672228,NC
-0.35723034,16672229,NC
-0.36069435,16672230,NC
-0.3623504,16672231,NC
-0.3531602,16672232,NC
-0.3457774,16672233,NC
-0.3420096,16672234,NC
-0.34908742,16672235,NC
-0.35435727,16672236,NC
-0.35239625,16672237,NC
-0.3432043,16672238,NC
-0.33401206,16672239,NC
-0.32843485,16672240,NC
-0.3264727,16672241,NC
-0.30643368,16672242,NC
-0.26831788,16672243,NC
-0.19947164,16672244,NC
-0.12520216,16672245,NC
-0.032855883,16672246,NC
0.07395191,16672247,NC
0.22052836,16672248,NC
0.42314237,16672249,NC
0.68540925,16672250,NC
0.9657529,16672251,NC
1.218982,16672252,NC
