channel_0,sample #,type
0.93542826,26310454,j
0.94272006,26310455,NC
0.78675765,26310456,NC
0.5371494,26310457,NC
0.26059997,26310458,NC
0.071709976,26310459,NC
-0.013753947,26310460,NC
-0.040134892,26310461,NC
-0.059116006,26310462,NC
-0.06898052,26310463,NC
-0.08756214,26310464,NC
-0.093422286,26310465,NC
-0.08435614,26310466,NC
-0.083857335,26310467,NC
-0.09829268,26310468,NC
-0.11686596,26310469,NC
-0.12099244,26310470,NC
-0.122073576,26310471,NC
-0.10835543,26310472,NC
-0.079153135,26310473,NC
-0.08377983,26310474,NC
-0.09955688,26310475,NC
-0.095887706,26310476,NC
-0.09303116,26310477,NC
-0.09411898,26310478,NC
-0.09601891,26310479,NC
-0.08296232,26310480,NC
-0.101494946,26310481,NC
-0.10248778,26310482,NC
-0.11437771,26310483,NC
-0.082184084,26310484,NC
-0.08166386,26310485,NC
-0.06442216,26310486,NC
-0.07696122,26310487,NC
-0.07399096,26310488,NC
-0.0669546,26310489,NC
-0.06555323,26310490,NC
-0.034160145,26310491,NC
-0.039185822,26310492,NC
-0.046563033,26310493,NC
-0.06934517,26310494,NC
-0.08001585,26310495,NC
-0.053022534,26310496,NC
-0.03955194,26310497,NC
-0.034126274,26310498,NC
-0.054410875,26310499,NC
-0.05068664,26310500,NC
-0.0593078,26310501,NC
-0.03834515,26310502,NC
-0.027871905,26310503,NC
-0.04419483,26310504,NC
-0.06537446,26310505,NC
-0.07967756,26310506,NC
-0.08375891,26310507,NC
-0.05792945,26310508,NC
-0.0341326,26310509,NC
-0.036955502,26310510,NC
-0.03894791,26310511,NC
-0.059563745,26310512,NC
-0.0489225,26310513,NC
-0.043436438,26310514,NC
-0.03915611,26310515,NC
-0.024447674,26310516,NC
-0.043556668,26310517,NC
-0.051769115,26310518,NC
-0.04869996,26310519,NC
-0.03387685,26310520,NC
-0.009398286,26310521,NC
-0.037446648,26310522,NC
-0.041720983,26310523,NC
-0.03897525,26310524,NC
-0.029159477,26310525,NC
-0.012771047,26310526,NC
-0.0010429942,26310527,NC
-0.008937316,26310528,NC
-0.013933885,26310529,NC
-0.03905196,26310530,NC
-0.029145787,26310531,NC
-0.017917292,26310532,NC
0.0013522649,26310533,NC
-0.0027413908,26310534,NC
-0.0077832467,26310535,NC
-0.018229406,26310536,NC
-0.015583025,26310537,NC
-0.00067986036,26310538,NC
0.0007030597,26310539,NC
-0.0042007365,26310540,NC
-0.015539501,26310541,NC
-0.01995284,26310542,NC
-0.028039325,26310543,NC
-0.016370589,26310544,NC
-0.010389671,26310545,NC
-0.027237488,26310546,NC
-0.025196766,26310547,NC
-0.03439565,26310548,NC
-0.01972022,26310549,NC
-0.009796079,26310550,NC
0.00032808018,26310551,NC
-0.009259958,26310552,NC
-0.024499247,26310553,NC
-0.032092053,26310554,NC
-0.023381641,26310555,NC
-0.00980027,26310556,NC
0.019367883,26310557,NC
0.014083166,26310558,NC
0.023590008,26310559,NC
0.008708608,26310560,NC
0.019473376,26310561,NC
0.035791013,26310562,NC
0.041541737,26310563,NC
0.026158225,26310564,NC
-0.015342144,26310565,NC
-0.045447003,26310566,NC
-0.052086897,26310567,NC
-0.082552776,26310568,NC
-0.07400382,26310569,NC
-0.079120226,26310570,NC
-0.069356,26310571,NC
-0.07237387,26310572,NC
-0.07806028,26310573,NC
-0.06867127,26310574,NC
-0.0676142,26310575,NC
-0.078307584,26310576,NC
-0.12521617,26310577,NC
-0.15568747,26310578,NC
-0.15682025,26310579,NC
-0.14367244,26310580,NC
-0.1534759,26310581,NC
-0.15270461,26310582,NC
-0.17508812,26310583,NC
-0.20059414,26310584,NC
-0.19714065,26310585,NC
-0.18990847,26310586,NC
-0.17011689,26310587,NC
-0.17353396,26310588,NC
-0.17510699,26310589,NC
-0.19004288,26310590,NC
-0.19537026,26310591,NC
-0.16693778,26310592,NC
-0.1611611,26310593,NC
-0.15867347,26310594,NC
-0.16316022,26310595,NC
-0.1709899,26310596,NC
-0.15643336,26310597,NC
-0.13606419,26310598,NC
-0.1318177,26310599,NC
-0.13146308,26310600,NC
-0.13662344,26310601,NC
-0.13569595,26310602,NC
-0.14670642,26310603,NC
-0.12200155,26310604,NC
-0.117781036,26310605,NC
-0.12870009,26310606,NC
-0.118976496,26310607,NC
-0.12865458,26310608,NC
-0.12713689,26310609,NC
-0.12771356,26310610,NC
-0.10257761,26310611,NC
-0.09751517,26310612,NC
-0.11193809,26310613,NC
-0.11862136,26310614,NC
-0.1048925,26310615,NC
-0.102090836,26310616,NC
-0.07249809,26310617,NC
-0.091145605,26310618,NC
-0.08787837,26310619,NC
-0.09555884,26310620,NC
-0.10840268,26310621,NC
-0.11058606,26310622,NC
-0.13816226,26310623,NC
-0.17226347,26310624,NC
-0.23006986,26310625,NC
-0.2346375,26310626,NC
-0.12584196,26310627,NC
0.052555423,26310628,NC
0.26343867,26310629,NC
0.46753344,26310630,NC
0.6174902,26310631,NC
0.67942566,26310632,NC
0.6600685,26310633,A
0.5384004,26310634,NC
0.2932868,26310635,NC
0.059154034,26310636,NC
-0.06436529,26310637,NC
-0.11306253,26310638,NC
