channel_0,sample #,type
-1.2975898,18841166,A
-1.2617717,18841167,NC
-1.2047884,18841168,NC
-1.1364086,18841169,NC
-1.0484915,18841170,NC
-0.949178,18841171,NC
-0.8645171,18841172,NC
-0.8042777,18841173,NC
-0.7652035,18841174,NC
-0.73101354,18841175,NC
-0.6854269,18841176,NC
-0.62681556,18841177,NC
-0.5649481,18841178,NC
-0.50308055,18841179,NC
-0.4444692,18841180,NC
-0.39074218,18841181,NC
-0.35166797,18841182,NC
-0.3256185,18841183,NC
-0.3011971,18841184,NC
-0.27189144,18841185,NC
-0.25072622,18841186,NC
-0.22956105,18841187,NC
-0.20513965,18841188,NC
-0.16280925,18841189,NC
-0.123735026,18841190,NC
-0.1074541,18841191,NC
-0.120478846,18841192,NC
-0.13675976,18841193,NC
-0.13838786,18841194,NC
-0.115594566,18841195,NC
-0.09442937,18841196,NC
-0.084660806,18841197,NC
-0.089545086,18841198,NC
-0.09605746,18841199,NC
-0.08791699,18841200,NC
-0.07489225,18841201,NC
-0.055355143,18841202,NC
-0.042330407,18841203,NC
-0.022793293,18841204,NC
-0.0032561854,18841205,NC
0.024421386,18841206,NC
0.040702313,18841207,NC
0.04070231,18841208,NC
0.030933756,18841209,NC
0.02767757,18841210,NC
0.045586586,18841211,NC
0.07326416,18841212,NC
0.10419792,18841213,NC
0.12536311,18841214,NC
0.13675976,18841215,NC
0.13675976,18841216,NC
0.14327213,18841217,NC
0.15629688,18841218,NC
0.18234636,18841219,NC
0.20839584,18841220,NC
0.22630486,18841221,NC
0.23118913,18841222,NC
0.23118913,18841223,NC
0.23932958,18841224,NC
0.25235432,18841225,NC
0.26700714,18841226,NC
0.27351952,18841227,NC
0.28165996,18841228,NC
0.2946847,18841229,NC
0.30933756,18841230,NC
0.3239904,18841231,NC
0.32724658,18841232,NC
0.3272466,18841233,NC
0.3239904,18841234,NC
0.3239904,18841235,NC
0.33050275,18841236,NC
0.33864322,18841237,NC
0.33375895,18841238,NC
0.3158499,18841239,NC
0.29305664,18841240,NC
0.27677572,18841241,NC
0.26863524,18841242,NC
0.26863524,18841243,NC
0.26375097,18841244,NC
0.25072622,18841245,NC
0.22467676,18841246,NC
0.20513965,18841247,NC
0.19211492,18841248,NC
0.1921149,18841249,NC
0.19374302,18841250,NC
0.19048682,18841251,NC
0.1725778,18841252,NC
0.1497845,18841253,NC
0.13675976,18841254,NC
0.13187549,18841255,NC
0.12699121,18841256,NC
0.11233838,18841257,NC
0.092801265,18841258,NC
0.07652034,18841259,NC
0.06512369,18841260,NC
0.06512369,18841261,NC
0.061867513,18841262,NC
0.05209896,18841263,NC
0.035818033,18841264,NC
0.017909016,18841265,NC
0.008140462,18841266,NC
0.0032561847,18841267,NC
0.0016280924,18841268,NC
-0.003256185,18841269,NC
-0.016280925,18841270,NC
-0.024421386,18841271,NC
-0.030933756,18841272,NC
-0.03418994,18841273,NC
-0.040702313,18841274,NC
-0.04721468,18841275,NC
-0.06023942,18841276,NC
-0.07000797,18841277,NC
-0.07652034,18841278,NC
-0.071636066,18841279,NC
-0.07326416,18841280,NC
-0.08140463,18841281,NC
-0.10094173,18841282,NC
-0.115594566,18841283,NC
-0.12536311,18841284,NC
-0.12373502,18841285,NC
-0.12047884,18841286,NC
-0.11722266,18841287,NC
-0.123735026,18841288,NC
-0.13513167,18841289,NC
-0.14490023,18841290,NC
-0.14490023,18841291,NC
-0.14164403,18841292,NC
-0.14327213,18841293,NC
-0.1514126,18841294,NC
-0.15955307,18841295,NC
-0.16118115,18841296,NC
-0.15955305,18841297,NC
-0.15955305,18841298,NC
-0.16280924,18841299,NC
-0.1725778,18841300,NC
