channel_0,sample #,type
0.7059069,29437950,A
0.7453498,29437951,NC
0.79603547,29437952,NC
0.75678116,29437953,NC
0.5882381,29437954,NC
0.31008062,29437955,NC
-0.013046777,29437956,NC
-0.29963574,29437957,NC
-0.5047162,29437958,NC
-0.61704564,29437959,NC
-0.64786667,29437960,NC
-0.6337174,29437961,NC
-0.59708285,29437962,NC
-0.54358435,29437963,NC
-0.48727506,29437964,NC
-0.4450187,29437965,NC
-0.4308685,29437966,NC
-0.43920314,29437967,NC
-0.4531589,29437968,NC
-0.45306128,29437969,NC
-0.4332891,29437970,NC
-0.4078955,29437971,NC
-0.38812304,29437972,NC
-0.37116098,29437973,NC
-0.3626307,29437974,NC
-0.37377465,29437975,NC
-0.3905397,29437976,NC
-0.40168333,29437977,NC
-0.40439495,29437978,NC
-0.40991706,29437979,NC
-0.41262838,29437980,NC
-0.39004388,29437981,NC
-0.361838,29437982,NC
-0.33925325,29437983,NC
-0.29980457,29437984,NC
-0.2631664,29437985,NC
-0.22933874,29437986,NC
-0.19270031,29437987,NC
-0.1701149,29437988,NC
-0.16720381,29437989,NC
-0.17272452,29437990,NC
-0.17824507,29437991,NC
-0.18938677,29437992,NC
-0.19771776,29437993,NC
-0.19761676,29437994,NC
-0.19470501,29437995,NC
-0.18898253,29437996,NC
-0.18044934,29437997,NC
-0.1775373,29437998,NC
-0.17743582,29437999,NC
-0.17733423,29438000,NC
-0.17723256,29438001,NC
-0.17432019,29438002,NC
-0.17140774,29438003,NC
-0.1769271,29438004,NC
-0.17963575,29438005,NC
-0.17391245,29438006,NC
-0.16818908,29438007,NC
-0.16527626,29438008,NC
-0.15674214,29438009,NC
-0.15101859,29438010,NC
-0.14529496,29438011,NC
-0.13957128,29438012,NC
-0.13665819,29438013,NC
-0.13936631,29438014,NC
-0.1505063,29438015,NC
-0.16445686,29438016,NC
-0.16997547,29438017,NC
-0.16144091,29438018,NC
-0.15290633,29438019,NC
-0.15280358,29438020,NC
-0.1498902,29438021,NC
-0.13573425,29438022,NC
-0.12438891,29438023,NC
-0.11585419,29438024,NC
-0.10450882,29438025,NC
-0.09878469,29438026,NC
-0.10430308,29438027,NC
-0.101389565,29438028,NC
-0.092854775,29438029,NC
-0.08432,29438030,NC
-0.064542696,29438031,NC
-0.04757602,29438032,NC
-0.039041243,29438033,NC
-0.024885217,29438034,NC
-0.016350463,29438035,NC
-0.007815721,29438036,NC
0.0007190023,29438037,NC
0.0064430763,29438038,NC
0.009356497,29438039,NC
0.009459262,29438040,NC
0.01799389,29438041,NC
0.034960378,29438042,NC
0.057548095,29438043,NC
0.07170387,29438044,NC
0.08304899,29438045,NC
0.11125786,29438046,NC
0.1338454,29438047,NC
0.15081164,29438048,NC
0.16215658,29438049,NC
0.1678802,29438050,NC
0.17360377,29438051,NC
0.17089538,29438052,NC
0.17099756,29438053,NC
0.1739103,29438054,NC
0.1796336,29438055,NC
0.18254621,29438056,NC
0.18545873,29438057,NC
0.18274993,29438058,NC
0.18004106,29438059,NC
0.18014272,29438060,NC
0.1718124,29438061,NC
0.15505011,29438062,NC
0.13266647,29438063,NC
0.11590401,29438064,NC
0.10195207,29438065,NC
0.08237877,29438066,NC
0.06842663,29438067,NC
0.060095657,29438068,NC
0.051764566,29438069,NC
0.04062274,29438070,NC
0.02385954,29438071,NC
0.0014749658,29438072,NC
-0.029341618,29438073,NC
-0.046105172,29438074,NC
-0.062868856,29438075,NC
-0.088064544,29438076,NC
-0.11044973,29438077,NC
-0.12721379,29438078,NC
-0.13554609,29438079,NC
-0.14387855,29438080,NC
-0.1494005,29438081,NC
-0.15492259,29438082,NC
-0.16325545,29438083,NC
-0.16034596,29438084,NC
-0.1658685,29438085,NC
-0.18263371,29438086,NC
-0.19377783,29438087,NC
-0.20492208,29438088,NC
-0.21606652,29438089,NC
-0.22440048,29438090,NC
-0.21587083,29438091,NC
-0.2045307,29438092,NC
-0.1960014,29438093,NC
-0.18466163,29438094,NC
-0.18456456,29438095,NC
-0.1957102,29438096,NC
-0.20966664,29438097,NC
-0.2264339,29438098,NC
-0.23758009,29438099,NC
-0.24591585,29438100,NC
-0.25987306,29438101,NC
-0.2625879,29438102,NC
-0.25968173,29438103,NC
-0.25677577,29438104,NC
-0.2454381,29438105,NC
-0.23691127,29438106,NC
-0.23681654,29438107,NC
-0.23672202,29438108,NC
-0.22819582,29438109,NC
-0.22248048,29438110,NC
-0.22519723,29438111,NC
-0.23915674,29438112,NC
-0.24468459,29438113,NC
-0.24459139,29438114,NC
-0.2529303,29438115,NC
-0.25845882,29438116,NC
-0.25555572,29438117,NC
-0.25265282,29438118,NC
-0.24975018,29438119,NC
-0.2496584,29438120,NC
-0.25799876,29438121,NC
-0.26352876,29438122,NC
-0.2718696,29438123,NC
-0.27740008,29438124,NC
-0.27449894,29438125,NC
-0.2687874,29438126,NC
-0.26588678,29438127,NC
-0.25455448,29438128,NC
-0.23760124,29438129,NC
-0.22345886,29438130,NC
-0.21493804,29438131,NC
-0.21766,29438132,NC
-0.21195035,29438133,NC
-0.20624097,29438134,NC
-0.20615312,29438135,NC
-0.20887621,29438136,NC
-0.20878893,29438137,NC
-0.20870195,29438138,NC
-0.21142589,29438139,NC
-0.20009695,29438140,NC
-0.19720021,29438141,NC
-0.20554629,29438142,NC
-0.1998395,29438143,NC
-0.19132242,29438144,NC
-0.19966939,29438145,NC
-0.20801668,29438146,NC
-0.21636428,29438147,NC
-0.22190155,29438148,NC
-0.21057537,29438149,NC
-0.19924948,29438150,NC
-0.20197706,29438151,NC
-0.20470499,29438152,NC
-0.20181195,29438153,NC
-0.2045405,29438154,NC
-0.21289065,29438155,NC
-0.21843049,29438156,NC
-0.22116002,29438157,NC
-0.22670053,29438158,NC
-0.22099885,29438159,NC
-0.21529752,29438160,NC
-0.21240714,29438161,NC
-0.20389585,29438162,NC
-0.20100617,29438163,NC
-0.20935935,29438164,NC
-0.21771288,29438165,NC
-0.21482423,29438166,NC
-0.21193595,29438167,NC
-0.20623739,29438168,NC
-0.2033498,29438169,NC
-0.20608385,29438170,NC
-0.21725014,29438171,NC
-0.23403807,29438172,NC
-0.23396258,29438173,NC
-0.2310768,29438174,NC
-0.2281914,29438175,NC
-0.21968514,29438176,NC
-0.21117924,29438177,NC
-0.2026737,29438178,NC
-0.20260045,29438179,NC
-0.20814884,29438180,NC
-0.21088696,29438181,NC
-0.2164361,29438182,NC
-0.22760688,29438183,NC
-0.23596744,29438184,NC
-0.2358965,29438185,NC
-0.23301528,29438186,NC
-0.23013449,29438187,NC
-0.2272541,29438188,NC
-0.21313158,29438189,NC
-0.1961988,29438190,NC
-0.19050898,29438191,NC
-0.18481955,29438192,NC
-0.18194114,29438193,NC
-0.19030568,29438194,NC
-0.19304936,29438195,NC
-0.19298281,29438196,NC
-0.20415923,29438197,NC
-0.20971477,29438198,NC
-0.20402822,29438199,NC
-0.19834207,29438200,NC
-0.18984571,29438201,NC
-0.17572851,29438202,NC
-0.16161175,29438203,NC
-0.14468478,29438204,NC
-0.12494759,29438205,NC
-0.085536435,29438206,NC
-0.029261915,29438207,NC
0.049497217,29438208,NC
0.15917286,29438209,NC
0.28290117,29438210,NC
0.42349285,29438211,NC
0.5753266,29438212,NC
0.7018643,29438213,A
0.76375705,29438214,NC
0.7160347,29438215,NC
0.5362123,29438216,NC
0.2552068,29438217,NC
-0.056716114,29438218,NC
-0.32366937,29438219,NC
-0.49787235,29438220,NC
-0.59899926,29438221,NC
-0.6354822,29438222,NC
-0.615753,29438223,NC
-0.58759236,29438224,NC
-0.5397578,29438225,NC
-0.48630235,29438226,NC
-0.45533243,29438227,NC
-0.44684806,29438228,NC
-0.4720917,29438229,NC
-0.49452516,29438230,NC
-0.4916634,29438231,NC
-0.46631712,29438232,NC
-0.42129686,29438233,NC
-0.38189837,29438234,NC
-0.3537428,29438235,NC
-0.33964092,29438236,NC
-0.33959267,29438237,NC
-0.35921925,29438238,NC
-0.3872783,29438239,NC
-0.40971646,29438240,NC
-0.42372328,29438241,NC
-0.4208668,29438242,NC
-0.40676823,29438243,NC
-0.39267018,29438244,NC
-0.37857258,29438245,NC
-0.35323298,29438246,NC
-0.3222726,29438247,NC
-0.29131272,29438248,NC
-0.26035333,29438249,NC
-0.23220503,29438250,NC
-0.20967855,29438251,NC
-0.1871525,29438252,NC
-0.1758695,29438253,NC
-0.17864014,29438254,NC
-0.18703254,29438255,NC
-0.19542544,29438256,NC
-0.2094401,29438257,NC
-0.22345525,29438258,NC
-0.22622839,29438259,NC
-0.2261914,29438260,NC
-0.21491238,29438261,NC
-0.20082328,29438262,NC
-0.18673463,29438263,NC
-0.18388903,29438264,NC
-0.18947582,29438265,NC
-0.19506313,29438266,NC
-0.20065096,29438267,NC
-0.19499676,29438268,NC
-0.18934308,29438269,NC
-0.19774306,29438270,NC
-0.20333295,29438271,NC
-0.19205952,29438272,NC
-0.18359727,29438273,NC
-0.17794617,29438274,NC
-0.1751062,29438275,NC
-0.17226675,29438276,NC
-0.16942783,29438277,NC
-0.17221068,29438278,NC
-0.17499404,29438279,NC
-0.17777793,29438280,NC
-0.16931981,29438281,NC
-0.16929412,29438282,NC
-0.1636477,29438283,NC
-0.14675927,29438284,NC
-0.132682,29438285,NC
-0.10736272,29438286,NC
-0.09609711,29438287,NC
-0.090453304,29438288,NC
-0.079188764,29438289,NC
-0.07916727,29438290,NC
-0.08476755,29438291,NC
-0.08755775,29438292,NC
-0.084727205,29438293,NC
-0.0734653,29438294,NC
-0.06220393,29438295,NC
-0.048132453,29438296,NC
-0.025629623,29438297,NC
-0.0031273197,29438298,NC
0.013753188,29438299,NC
0.019390643,29438300,NC
0.022216935,29438301,NC
0.030663952,29438302,NC
0.041921068,29438303,NC
0.055988282,29438304,NC
0.07286559,29438305,NC
0.08974236,29438306,NC
0.1066186,29438307,NC
0.12630492,29438308,NC
0.14880136,29438309,NC
0.16005473,29438310,NC
0.16287567,29438311,NC
0.17412797,29438312,NC
0.18537973,29438313,NC
0.17695653,29438314,NC
0.17134343,29438315,NC
0.17697231,29438316,NC
0.17135814,29438317,NC
0.16574343,29438318,NC
0.16012816,29438319,NC
0.14889112,29438320,NC
0.14046416,29438321,NC
0.14890045,29438322,NC
0.15452556,29438323,NC
0.1376651,29438324,NC
0.11799347,29438325,NC
0.095510654,29438326,NC
0.06740604,29438327,NC
0.04211153,29438328,NC
0.019627105,29438329,NC
0.0027634017,29438330,NC
-0.01410084,29438331,NC
-0.033776253,29438332,NC
-0.042209685,29438333,NC
-0.056264915,29438334,NC
-0.081563205,29438335,NC
-0.10124078,29438336,NC
-0.12654014,29438337,NC
-0.15184005,29438338,NC
-0.17714052,29438339,NC
-0.19682023,29438340,NC
-0.20244735,29438341,NC
-0.20245375,29438342,NC
-0.20246068,29438343,NC
-0.20527875,29438344,NC
-0.20247614,29438345,NC
-0.20529531,29438346,NC
-0.21373627,29438347,NC
-0.2165565,29438348,NC
-0.22218792,29438349,NC
-0.22500925,29438350,NC
-0.22783111,29438351,NC
-0.23346414,29438352,NC
-0.23909768,29438353,NC
-0.25035304,29438354,NC
-0.24755579,29438355,NC
-0.24194841,29438356,NC
-0.23915222,29438357,NC
-0.2391672,29438358,NC
-0.2391827,29438359,NC
-0.23357747,29438360,NC
-0.23640467,29438361,NC
-0.2392324,29438362,NC
-0.24768195,29438363,NC
-0.25332138,29438364,NC
-0.25334007,29438365,NC
-0.25616992,29438366,NC
-0.24775779,29438367,NC
-0.23934616,29438368,NC
-0.23655635,29438369,NC
-0.22814581,29438370,NC
-0.2225464,29438371,NC
-0.2225688,29438372,NC
-0.22821298,29438373,NC
-0.23947895,29438374,NC
-0.25355607,29438375,NC
-0.2676337,29438376,NC
-0.27046937,29438377,NC
-0.26768428,29438378,NC
-0.26771033,29438379,NC
-0.2677369,29438380,NC
-0.2733853,29438381,NC
-0.27622354,29438382,NC
-0.27625167,29438383,NC
-0.27628034,29438384,NC
-0.27630952,29438385,NC
-0.28477114,29438386,NC
-0.28480136,29438387,NC
-0.2848321,29438388,NC
-0.28205267,29438389,NC
-0.27927384,29438390,NC
-0.2793061,29438391,NC
-0.27090696,29438392,NC
-0.2540765,29438393,NC
-0.23443589,29438394,NC
-0.23165956,29438395,NC
-0.22888376,29438396,NC
-0.22610845,29438397,NC
-0.22333363,29438398,NC
-0.22618061,29438399,NC
-0.23745997,29438400,NC
-0.23749733,29438401,NC
-0.23472454,29438402,NC
-0.22914164,29438403,NC
-0.22074857,29438404,NC
-0.21235603,29438405,NC
-0.20115337,29438406,NC
-0.19557245,29438407,NC
-0.20123455,29438408,NC
-0.22095029,29438409,NC
-0.24066652,29438410,NC
-0.26038325,29438411,NC
-0.26323667,29438412,NC
-0.2464162,29438413,NC
-0.23802811,29438414,NC
-0.23526175,29438415,NC
-0.22687462,29438416,NC
-0.22129859,29438417,NC
-0.22134432,29438418,NC
-0.22701181,29438419,NC
-0.2467329,29438420,NC
-0.26083323,29438421,NC
