channel_0,sample #,type
0.47719595,29656966,A
0.49794364,29656967,NC
0.4896446,29656968,NC
0.42186892,29656969,NC
0.26556993,29656970,NC
0.03734576,29656971,NC
-0.20885968,29656972,NC
-0.42463526,29656973,NC
-0.57955104,29656974,NC
-0.6611585,29656975,NC
-0.68328935,29656976,NC
-0.6625416,29656977,NC
-0.62242955,29656978,NC
-0.57816786,29656979,NC
-0.54358846,29656980,NC
-0.5200745,29656981,NC
-0.51454175,29656982,NC
-0.5173081,29656983,NC
-0.52699035,29656984,NC
-0.5366726,29656985,NC
-0.5311399,29656986,NC
-0.5131586,29656987,NC
-0.48134553,29656988,NC
-0.4453829,29656989,NC
-0.41495302,29656990,NC
-0.39558855,29656991,NC
-0.3969717,29656992,NC
-0.40942034,29656993,NC
-0.4274016,29656994,NC
-0.44814926,29656995,NC
-0.45644832,29656996,NC
-0.46059784,29656997,NC
-0.45644832,29656998,NC
-0.44814923,29656999,NC
-0.4329343,29657000,NC
-0.4094203,29657001,NC
-0.3817568,29657002,NC
-0.34994373,29657003,NC
-0.320897,29657004,NC
-0.29461664,29657005,NC
-0.27525216,29657006,NC
-0.2614204,29657007,NC
-0.25450453,29657008,NC
-0.25312135,29657009,NC
-0.25865406,29657010,NC
-0.2683363,29657011,NC
-0.27525216,29657012,NC
-0.2780185,29657013,NC
-0.27663535,29657014,NC
-0.27248582,29657015,NC
-0.2669531,29657016,NC
-0.26280358,29657017,NC
-0.25865406,29657018,NC
-0.25450453,29657019,NC
-0.2545045,29657020,NC
-0.25865406,29657021,NC
-0.26280358,29657022,NC
-0.2669531,29657023,NC
-0.2683363,29657024,NC
-0.2669531,29657025,NC
-0.2600372,29657026,NC
-0.25312132,29657027,NC
-0.24620546,29657028,NC
-0.24067275,29657029,NC
-0.24067277,29657030,NC
-0.24067277,29657031,NC
-0.2448223,29657032,NC
-0.25035498,29657033,NC
-0.25727087,29657034,NC
-0.25865406,29657035,NC
-0.25727087,29657036,NC
-0.25312135,29657037,NC
-0.24205592,29657038,NC
-0.2379064,29657039,NC
-0.22960733,29657040,NC
-0.2254578,29657041,NC
-0.2199251,29657042,NC
-0.21162604,29657043,NC
-0.20609334,29657044,NC
-0.19779429,29657045,NC
-0.19502793,29657046,NC
-0.19226156,29657047,NC
-0.19226158,29657048,NC
-0.18672886,29657049,NC
-0.17981298,29657050,NC
-0.16736439,29657051,NC
-0.1493831,29657052,NC
-0.13416813,29657053,NC
-0.11757003,29657054,NC
-0.106504604,29657055,NC
-0.09958872,29657056,NC
-0.09267285,29657057,NC
-0.08852331,29657058,NC
-0.08437379,29657059,NC
-0.07469154,29657060,NC
-0.062242955,29657061,NC
-0.04564483,29657062,NC
-0.030429889,29657063,NC
-0.013831767,29657064,NC
-0.001383177,29657065,NC
0.006915883,29657066,NC
0.01244859,29657067,NC
