channel_0,sample #,type
0.44197237,29339260,A
0.48707893,29339261,NC
0.4721851,29339262,NC
0.35229093,29339263,NC
0.14239636,29339264,NC
-0.102498546,29339265,NC
-0.30739385,29339266,NC
-0.4472895,29339267,NC
-0.5121856,29339268,NC
-0.517082,29339269,NC
-0.4869787,29339270,NC
-0.4618759,29339271,NC
-0.4167734,29339272,NC
-0.37167135,29339273,NC
-0.34156966,29339274,NC
-0.32646832,29339275,NC
-0.3263674,29339276,NC
-0.34626687,29339277,NC
-0.35116673,29339278,NC
-0.36106697,29339279,NC
-0.3459676,29339280,NC
-0.32086864,29339281,NC
-0.27577007,29339282,NC
-0.2506719,29339283,NC
-0.24557412,29339284,NC
-0.25047672,29339285,NC
-0.25537974,29339286,NC
-0.28528318,29339287,NC
-0.315187,29339288,NC
-0.31009126,29339289,NC
-0.3199959,29339290,NC
-0.31490096,29339291,NC
-0.29980642,29339292,NC
-0.2597123,29339293,NC
-0.2346186,29339294,NC
-0.18952534,29339295,NC
-0.13943247,29339296,NC
-0.10434002,29339297,NC
-0.084248,29339298,NC
-0.0641564,29339299,NC
-0.07906521,29339300,NC
-0.08897447,29339301,NC
-0.098884135,29339302,NC
-0.10379423,29339303,NC
-0.11370477,29339304,NC
-0.11361574,29339305,NC
-0.12352714,29339306,NC
-0.113438964,29339307,NC
-0.12335123,29339308,NC
-0.113263935,29339309,NC
-0.11817707,29339310,NC
-0.098090656,29339311,NC
-0.09300468,29339312,NC
-0.09291915,29339313,NC
-0.08283406,29339314,NC
-0.08774942,29339315,NC
-0.08766522,29339316,NC
-0.092581466,29339317,NC
-0.09249817,29339318,NC
-0.09741533,29339319,NC
-0.09233293,29339320,NC
-0.09225099,29339321,NC
-0.08716951,29339322,NC
-0.08208848,29339323,NC
-0.06700791,29339324,NC
-0.076927796,29339325,NC
-0.07684814,29339326,NC
-0.106768966,29339327,NC
-0.106690235,29339328,NC
-0.101611964,29339329,NC
-0.08653418,29339330,NC
-0.08145685,29339331,NC
-0.06637999,29339332,NC
-0.0463036,29339333,NC
-0.041227676,29339334,NC
-0.031152228,29339335,NC
-0.016077256,29339336,NC
-0.021002755,29339337,NC
-0.0059287287,29339338,NC
-0.010855181,29339339,NC
-0.010782111,29339340,NC
-0.00070952065,29339341,NC
0.004362587,29339342,NC
0.014434216,29339343,NC
0.039505363,29339344,NC
0.05457602,29339345,NC
0.069646195,29339346,NC
0.079715885,29339347,NC
0.07478509,29339348,NC
0.0748538,29339349,NC
0.06992202,29339350,NC
0.07498976,29339351,NC
0.075057,29339352,NC
0.10512374,29339353,NC
0.10019,29339354,NC
0.13025576,29339355,NC
0.13532102,29339356,NC
0.15038578,29339357,NC
0.15545005,29339358,NC
0.18051381,29339359,NC
0.19557709,29339360,NC
0.20063984,29339361,NC
0.2057021,29339362,NC
0.21076387,29339363,NC
0.19582511,29339364,NC
0.19588587,29339365,NC
0.17594609,29339366,NC
0.16600583,29339367,NC
0.14606506,29339368,NC
0.15112376,29339369,NC
0.14118198,29339370,NC
0.14123966,29339371,NC
0.14129685,29339372,NC
0.11135351,29339373,NC
0.10640967,29339374,NC
0.1064653,29339375,NC
0.07652042,29339376,NC
0.056575023,29339377,NC
0.031629108,29339378,NC
0.026682675,29339379,NC
0.016735718,29339380,NC
0.021788245,29339381,NC
0.01184025,29339382,NC
0.0068917293,29339383,NC
0.0019426886,29339384,NC
-0.018006876,29339385,NC
-0.027956966,29339386,NC
-0.06290758,29339387,NC
-0.057858728,29339388,NC
-0.06281039,29339389,NC
-0.07276259,29339390,NC
-0.07771532,29339391,NC
-0.09266858,29339392,NC
-0.10262237,29339393,NC
-0.09757668,29339394,NC
-0.082531534,29339395,NC
-0.08748691,29339396,NC
-0.092442825,29339397,NC
-0.092399284,29339398,NC
-0.10235627,29339399,NC
-0.10731378,29339400,NC
-0.11727185,29339401,NC
-0.10723044,29339402,NC
-0.107189566,29339403,NC
-0.10714924,29339404,NC
-0.10710944,29339405,NC
-0.10707019,29339406,NC
-0.102031484,29339407,NC
-0.11199331,29339408,NC
-0.121955685,29339409,NC
-0.11191859,29339410,NC
-0.13188206,29339411,NC
-0.13684605,29339412,NC
-0.1318106,29339413,NC
-0.13177569,29339414,NC
-0.12174131,29339415,NC
-0.12170749,29339416,NC
-0.12167422,29339417,NC
-0.11664149,29339418,NC
-0.1116093,29339419,NC
-0.09157767,29339420,NC
-0.10154659,29339421,NC
-0.09151605,29339422,NC
-0.09148607,29339423,NC
-0.11645663,29339424,NC
-0.12142774,29339425,NC
-0.11639941,29339426,NC
-0.1263716,29339427,NC
-0.1313444,29339428,NC
-0.1463177,29339429,NC
-0.14129157,29339430,NC
-0.14126599,29339431,NC
-0.14124097,29339432,NC
-0.1362165,29339433,NC
-0.13619259,29339434,NC
-0.13616922,29339435,NC
-0.13614643,29339436,NC
-0.14612418,29339437,NC
-0.14110248,29339438,NC
-0.14108135,29339439,NC
-0.14106077,29339440,NC
-0.12104075,29339441,NC
-0.101021275,29339442,NC
-0.096002355,29339443,NC
-0.09098402,29339444,NC
-0.10096623,29339445,NC
-0.120948985,29339446,NC
-0.110932305,29339447,NC
-0.10591619,29339448,NC
-0.100900635,29339449,NC
-0.10588563,29339450,NC
-0.09587119,29339451,NC
-0.09085731,29339452,NC
-0.095843986,29339453,NC
-0.08083124,29339454,NC
-0.08081904,29339455,NC
-0.0858074,29339456,NC
-0.09079632,29339457,NC
-0.1107858,29339458,NC
-0.09077585,29339459,NC
-0.100766465,29339460,NC
-0.105757624,29339461,NC
-0.11074935,29339462,NC
-0.10574165,29339463,NC
-0.10073451,29339464,NC
-0.11072792,29339465,NC
-0.1107219,29339466,NC
-0.11571644,29339467,NC
-0.115711555,29339468,NC
-0.11570722,29339469,NC
-0.120703444,29339470,NC
-0.11570024,29339471,NC
-0.11069758,29339472,NC
-0.100695506,29339473,NC
-0.085693985,29339474,NC
-0.08069303,29339475,NC
-0.09569263,29339476,NC
-0.0906928,29339477,NC
-0.10069354,29339478,NC
-0.095694825,29339479,NC
-0.10069668,29339480,NC
-0.0906991,29339481,NC
-0.11070208,29339482,NC
-0.105705634,29339483,NC
-0.095709726,29339484,NC
-0.110714406,29339485,NC
-0.110719636,29339486,NC
-0.10572544,29339487,NC
-0.1157318,29339488,NC
-0.11073871,29339489,NC
-0.105746195,29339490,NC
-0.105754234,29339491,NC
-0.095762834,29339492,NC
-0.095772,29339493,NC
-0.10078174,29339494,NC
-0.095792025,29339495,NC
-0.09580287,29339496,NC
-0.09581429,29339497,NC
-0.10082626,29339498,NC
-0.1008388,29339499,NC
-0.09085189,29339500,NC
-0.08586554,29339501,NC
-0.07587976,29339502,NC
-0.08089453,29339503,NC
-0.070909865,29339504,NC
-0.06592576,29339505,NC
-0.06594221,29339506,NC
-0.07095922,29339507,NC
-0.09097679,29339508,NC
-0.09599492,29339509,NC
-0.0910136,29339510,NC
-0.11103284,29339511,NC
-0.10605265,29339512,NC
-0.10107301,29339513,NC
-0.08609392,29339514,NC
-0.07111539,29339515,NC
-0.056137417,29339516,NC
-0.046159994,29339517,NC
-0.026183128,29339518,NC
-0.016206823,29339519,NC
0.003768934,29339520,NC
0.013744131,29339521,NC
0.05371878,29339522,NC
0.103692874,29339523,NC
0.17366642,29339524,NC
0.2786394,29339525,NC
0.37361184,29339526,NC
0.46858373,29339527,NC
0.538555,29339528,A
0.57852584,29339529,NC
0.5434961,29339530,NC
0.41846573,29339531,NC
0.1984349,29339532,NC
-0.03659652,29339533,NC
-0.25662848,29339534,NC
-0.391661,29339535,NC
-0.46669406,29339536,NC
-0.46172765,29339537,NC
-0.4467618,29339538,NC
-0.3967965,29339539,NC
-0.35183173,29339540,NC
-0.32686752,29339541,NC
-0.29190382,29339542,NC
-0.2919407,29339543,NC
-0.29197812,29339544,NC
-0.31701607,29339545,NC
-0.3270546,29339546,NC
-0.3370936,29339547,NC
-0.31713316,29339548,NC
-0.28217328,29339549,NC
-0.24721394,29339550,NC
-0.23725514,29339551,NC
-0.23229684,29339552,NC
-0.23733914,29339553,NC
-0.24738193,29339554,NC
-0.27742526,29339555,NC
-0.28246912,29339556,NC
-0.27251354,29339557,NC
-0.26255846,29339558,NC
-0.25260392,29339559,NC
-0.22764993,29339560,NC
-0.20269646,29339561,NC
-0.16274351,29339562,NC
-0.1277911,29339563,NC
-0.10283923,29339564,NC
-0.07288787,29339565,NC
-0.05793705,29339566,NC
-0.06798674,29339567,NC
-0.06803697,29339568,NC
-0.06808772,29339569,NC
