channel_0,sample #,type
1.1718397,20116979,N
1.1994714,20116980,NC
1.0726116,20116981,NC
0.8146676,20116982,NC
0.47245395,20116983,NC
0.07874082,20116984,NC
-0.32902026,20116985,NC
-0.58229715,20116986,NC
-0.6249125,20116987,NC
-0.57390255,20116988,NC
-0.50885165,20116989,NC
-0.44380432,20116990,NC
-0.35067168,20116991,NC
-0.25286102,20116992,NC
-0.21123108,20116993,NC
-0.20237465,20116994,NC
-0.18415865,20116995,NC
-0.16126452,20116996,NC
-0.13837369,20116997,NC
-0.14357474,20116998,NC
-0.16750483,20116999,NC
-0.16334945,20117000,NC
-0.16387868,20117001,NC
-0.14568529,20117002,NC
-0.15558366,20117003,NC
-0.1608037,20117004,NC
-0.15666392,20117005,NC
-0.14784573,20117006,NC
-0.12966764,20117007,NC
-0.12085542,20117008,NC
-0.121409036,20117009,NC
-0.12196559,20117010,NC
-0.12252503,20117011,NC
-0.12776878,20117012,NC
-0.109608136,20117013,NC
-0.086768866,20117014,NC
-0.07797669,20117015,NC
-0.073868714,20117016,NC
-0.09317068,20117017,NC
-0.10311245,20117018,NC
-0.08964965,20117019,NC
-0.08555235,20117020,NC
-0.095502004,20117021,NC
-0.09609133,20117022,NC
-0.09668318,20117023,NC
-0.09727755,20117024,NC
-0.08383004,20117025,NC
-0.065703556,20117026,NC
-0.038216576,20117027,NC
-0.024776317,20117028,NC
-0.01601985,20117029,NC
-0.021310048,20117030,NC
-0.04064687,20117031,NC
-0.027215827,20117032,NC
-0.009105556,20117033,NC
0.027728297,20117034,NC
0.036471322,20117035,NC
0.0545751,20117036,NC
0.049269557,20117037,NC
0.07673207,20117038,NC
0.113555446,20117039,NC
0.15505826,20117040,NC
0.163789,20117041,NC
0.16315491,20117042,NC
0.1391117,20117043,NC
0.15251817,20117044,NC
0.18464857,20117045,NC
0.20741431,20117046,NC
0.22549683,20117047,NC
0.22953326,20117048,NC
0.2242051,20117049,NC
0.24228252,20117050,NC
0.28376552,20117051,NC
0.29715824,20117052,NC
0.25437206,20117053,NC
0.22562866,20117054,NC
0.21092811,20117055,NC
0.22899622,20117056,NC
0.23301855,20117057,NC
0.21831371,20117058,NC
0.1942446,20117059,NC
0.17485559,20117060,NC
0.16950965,20117061,NC
0.17352533,20117062,NC
0.15413256,20117063,NC
0.11601281,20117064,NC
0.06852902,20117065,NC
0.030406982,20117066,NC
0.0063282005,20117067,NC
0.00097414746,20117068,NC
0.004981967,20117069,NC
-0.005055534,20117070,NC
-0.01977543,20117071,NC
-0.062584914,20117072,NC
-0.0866695,20117073,NC
-0.09671058,20117074,NC
-0.08334525,20117075,NC
-0.06529926,20117076,NC
-0.070661224,20117077,NC
-0.08070533,20117078,NC
-0.09075011,20117079,NC
-0.091432646,20117080,NC
-0.10147866,20117081,NC
-0.11620668,20117082,NC
-0.11220944,20117083,NC
-0.1175756,20117084,NC
-0.13698654,20117085,NC
-0.15171646,20117086,NC
-0.18517254,20117087,NC
-0.18585888,20117088,NC
-0.18654549,20117089,NC
-0.19191384,20117090,NC
-0.17855667,20117091,NC
-0.17924403,20117092,NC
-0.16120578,20117093,NC
-0.13848624,20117094,NC
-0.13449255,20117095,NC
-0.1773134,20117096,NC
-0.22481573,20117097,NC
-0.23018505,20117098,NC
-0.21214707,20117099,NC
-0.19410904,20117100,NC
-0.19011523,20117101,NC
-0.18612126,20117102,NC
-0.18212713,20117103,NC
-0.17813277,20117104,NC
-0.19754536,20117105,NC
-0.19355047,20117106,NC
-0.18487379,20117107,NC
-0.18555963,20117108,NC
-0.18156366,20117109,NC
-0.18693012,20117110,NC
-0.18293323,20117111,NC
-0.16957295,20117112,NC
-0.1749379,20117113,NC
-0.17562084,20117114,NC
-0.16694029,20117115,NC
-0.16762199,20117116,NC
-0.1495772,20117117,NC
-0.13621317,20117118,NC
-0.14157416,20117119,NC
-0.13757147,20117120,NC
-0.124205075,20117121,NC
-0.16233373,20117122,NC
-0.20514293,20117123,NC
-0.24795122,20117124,NC
-0.26735127,20117125,NC
-0.24929883,20117126,NC
-0.19379377,20117127,NC
-0.016570056,20117128,NC
0.21215066,20117129,NC
0.4736426,20117130,NC
0.75386155,20117131,NC
1.038763,20117132,NC
1.2487628,20117133,A
1.2668245,20117134,NC
1.0508152,20117135,NC
0.6100978,20117136,NC
0.11788595,20117137,NC
-0.3696431,20117138,NC
-0.67927575,20117139,NC
-0.7173831,20117140,NC
-0.5448238,20117141,NC
-0.33481145,20117142,NC
-0.21842644,20117143,NC
-0.15821715,20117144,NC
-0.13545778,20117145,NC
-0.14078541,20117146,NC
-0.15079278,20117147,NC
-0.16079839,20117148,NC
-0.17548367,20117149,NC
-0.19016714,20117150,NC
-0.19080444,20117151,NC
-0.20548418,20117152,NC
-0.19207333,20117153,NC
-0.20206778,20117154,NC
-0.1980159,20117155,NC
-0.19864349,20117156,NC
-0.22267622,20117157,NC
-0.21393679,20117158,NC
-0.18646945,20117159,NC
-0.1917701,20117160,NC
-0.21111293,20117161,NC
-0.23513499,20117162,NC
-0.2544734,20117163,NC
-0.25040224,20117164,NC
-0.23696594,20117165,NC
-0.24693455,20117166,NC
-0.28030804,20117167,NC
-0.30899763,20117168,NC
-0.32832196,20117169,NC
-0.3476438,20117170,NC
-0.33887452,20117171,NC
-0.35350993,20117172,NC
-0.3681428,20117173,NC
-0.35936588,20117174,NC
-0.35526776,20117175,NC
-0.3371227,20117176,NC
-0.32833785,20117177,NC
-0.32891318,20117178,NC
-0.32480437,20117179,NC
-0.33473715,20117180,NC
-0.34466714,20117181,NC
-0.34054995,20117182,NC
-0.3130227,20117183,NC
-0.30889982,20117184,NC
-0.31881833,20117185,NC
-0.32405248,20117186,NC
-0.3199208,20117187,NC
-0.31578612,20117188,NC
-0.3163299,20117189,NC
-0.3075077,20117190,NC
-0.29868242,20117191,NC
-0.299217,20117192,NC
-0.2903855,20117193,NC
-0.27218798,20117194,NC
-0.2633502,20117195,NC
-0.24514624,20117196,NC
-0.25502777,20117197,NC
-0.2836318,20117198,NC
-0.2841439,20117199,NC
-0.2706083,20117200,NC
-0.24770647,20117201,NC
-0.22948274,20117202,NC
-0.22061852,20117203,NC
-0.22579518,20117204,NC
-0.23564987,20117205,NC
-0.23613818,20117206,NC
-0.236623,20117207,NC
-0.22774139,20117208,NC
-0.23290059,20117209,NC
-0.24273764,20117210,NC
-0.261934,20117211,NC
-0.25771952,20117212,NC
-0.2675457,20117213,NC
-0.26800537,20117214,NC
-0.28250566,20117215,NC
-0.32040945,20117216,NC
-0.36299098,20117217,NC
-0.3821615,20117218,NC
-0.38728386,20117219,NC
-0.36899525,20117220,NC
-0.3975172,20117221,NC
-0.43539822,20117222,NC
-0.4358238,20117223,NC
-0.45028985,20117224,NC
-0.44134468,20117225,NC
-0.46516573,20117226,NC
-0.47493854,20117227,NC
-0.49875158,20117228,NC
-0.4991535,20117229,NC
-0.4901884,20117230,NC
-0.4859008,20117231,NC
-0.48160905,20117232,NC
-0.5007205,20117233,NC
-0.52450925,20117234,NC
-0.52488667,20117235,NC
-0.5205785,20117236,NC
-0.5069033,20117237,NC
-0.5025867,20117238,NC
-0.5123104,20117239,NC
-0.52202976,20117240,NC
-0.522382,20117241,NC
-0.52272993,20117242,NC
-0.5230737,20117243,NC
-0.5140502,20117244,NC
-0.5237482,20117245,NC
-0.52407897,20117246,NC
-0.5290869,20117247,NC
-0.51536465,20117248,NC
-0.51568234,20117249,NC
-0.5066327,20117250,NC
-0.4975787,20117251,NC
-0.4932017,20117252,NC
-0.48413885,20117253,NC
-0.47507152,20117254,NC
-0.47536257,20117255,NC
-0.48033062,20117256,NC
-0.49465704,20117257,NC
-0.50897896,20117258,NC
-0.50457054,20117259,NC
-0.5001576,20117260,NC
-0.46765137,20117261,NC
-0.47259218,20117262,NC
-0.48689127,20117263,NC
-0.5292744,20117264,NC
-0.53888285,20117265,NC
-0.5578495,20117266,NC
-0.5440415,20117267,NC
-0.5302288,20117268,NC
-0.5257743,20117269,NC
-0.5400409,20117270,NC
-0.54493994,20117271,NC
-0.54515284,20117272,NC
-0.545361,20117273,NC
-0.5362016,20117274,NC
-0.522356,20117275,NC
-0.5178685,20117276,NC
-0.5133763,20117277,NC
-0.5135608,20117278,NC
-0.49969617,20117279,NC
-0.4811453,20117280,NC
-0.476634,20117281,NC
-0.47211787,20117282,NC
-0.46291554,20117283,NC
-0.44902688,20117284,NC
-0.4491778,20117285,NC
-0.439961,20117286,NC
-0.44010222,20117287,NC
-0.44492,20117288,NC
-0.46377733,20117289,NC
-0.47794834,20117290,NC
-0.4733887,20117291,NC
-0.46882418,20117292,NC
-0.48298058,20117293,NC
-0.4971321,20117294,NC
-0.5065973,20117295,NC
-0.49733177,20117296,NC
-0.4927428,20117297,NC
-0.4834675,20117298,NC
-0.4975945,20117299,NC
-0.5351238,20117300,NC
-0.57732964,20117301,NC
-0.6008048,20117302,NC
-0.61491215,20117303,NC
-0.6196517,20117304,NC
-0.6150234,20117305,NC
-0.64316016,20117306,NC
-0.6478849,20117307,NC
-0.6432418,20117308,NC
-0.6339123,20117309,NC
-0.6198964,20117310,NC
-0.6292828,20117311,NC
-0.6339828,20117312,NC
-0.63867784,20117313,NC
-0.63400507,20117314,NC
-0.62464595,20117315,NC
-0.62932616,20117316,NC
-0.62931997,20117317,NC
-0.6433531,20117318,NC
-0.64801854,20117319,NC
-0.65267897,20117320,NC
-0.63860863,20117321,NC
-0.63857776,20117322,NC
-0.64322335,20117323,NC
-0.6338197,20117324,NC
-0.633774,20117325,NC
-0.619679,20117326,NC
-0.6336677,20117327,NC
-0.62892574,20117328,NC
-0.65694904,20117329,NC
-0.69433016,20117330,NC
-0.7036177,20117331,NC
-0.708219,20117332,NC
-0.68472666,20117333,NC
-0.63314074,20117334,NC
-0.56282413,20117335,NC
