channel_0,sample #,type
1.1831769,24995848,N
1.2932842,24995849,NC
1.2351525,24995850,NC
0.9460379,24995851,NC
0.39840817,24995852,NC
-0.15596254,24995853,NC
-0.7072795,24995854,NC
-1.2610114,24995855,NC
-1.5682471,24995856,NC
-1.4607364,24995857,NC
-1.2031239,24995858,NC
-0.97661096,24995859,NC
-0.81911373,24995860,NC
-0.7335994,24995861,NC
-0.72901857,24995862,NC
-0.7379752,24995863,NC
-0.7392637,24995864,NC
-0.7243978,24995865,NC
-0.6994062,24995866,NC
-0.65513563,24995867,NC
-0.6268583,24995868,NC
-0.6186899,24995869,NC
-0.62434393,24995870,NC
-0.64571315,24995871,NC
-0.6531621,24995872,NC
-0.678083,24995873,NC
-0.6683451,24995874,NC
-0.6790675,24995875,NC
-0.66983,24995876,NC
-0.65307254,24995877,NC
-0.6520565,24995878,NC
-0.643544,24995879,NC
-0.6409447,24995880,NC
-0.63312197,24995881,NC
-0.62365055,24995882,NC
-0.62540644,24995883,NC
-0.63087916,24995884,NC
-0.636546,24995885,NC
-0.6434699,24995886,NC
-0.64324874,24995887,NC
-0.63621485,24995888,NC
-0.64093935,24995889,NC
-0.6346101,24995890,NC
-0.6161857,24995891,NC
-0.60947365,24995892,NC
-0.5973711,24995893,NC
-0.60170203,24995894,NC
-0.59653294,24995895,NC
-0.6106694,24995896,NC
-0.6103168,24995897,NC
-0.61144334,24995898,NC
-0.6062896,24995899,NC
-0.60209984,24995900,NC
-0.60165685,24995901,NC
-0.5925439,24995902,NC
-0.58371085,24995903,NC
-0.5748298,24995904,NC
-0.5668486,24995905,NC
-0.5536009,24995906,NC
-0.55948895,24995907,NC
-0.56072164,24995908,NC
-0.5650881,24995909,NC
-0.56733006,24995910,NC
-0.5482824,24995911,NC
-0.5579982,24995912,NC
-0.5379457,24995913,NC
-0.525859,24995914,NC
-0.5217413,24995915,NC
-0.51078403,24995916,NC
-0.49730217,24995917,NC
-0.5015174,24995918,NC
-0.4883361,24995919,NC
-0.49361625,24995920,NC
-0.5022061,24995921,NC
-0.49193147,24995922,NC
-0.49004623,24995923,NC
-0.4900497,24995924,NC
-0.48460048,24995925,NC
-0.47944298,24995926,NC
-0.47080603,24995927,NC
-0.45733312,24995928,NC
-0.45872036,24995929,NC
-0.46242908,24995930,NC
-0.46887645,24995931,NC
-0.46599895,24995932,NC
-0.46723315,24995933,NC
-0.48143527,24995934,NC
-0.483445,24995935,NC
-0.48084953,24995936,NC
-0.47924423,24995937,NC
-0.47532666,24995938,NC
-0.4702059,24995939,NC
-0.4617356,24995940,NC
-0.47418723,24995941,NC
-0.4854901,24995942,NC
-0.4696325,24995943,NC
-0.48074573,24995944,NC
-0.47688356,24995945,NC
-0.47199544,24995946,NC
-0.4699689,24995947,NC
-0.4584649,24995948,NC
-0.43925697,24995949,NC
-0.42880872,24995950,NC
-0.41762906,24995951,NC
-0.39504695,24995952,NC
-0.38188735,24995953,NC
-0.36494184,24995954,NC
-0.3652043,24995955,NC
-0.3721651,24995956,NC
-0.38784164,24995957,NC
-0.38881493,24995958,NC
-0.41041517,24995959,NC
-0.42654845,24995960,NC
-0.42339644,24995961,NC
-0.41910255,24995962,NC
-0.4242218,24995963,NC
-0.42185935,24995964,NC
-0.43884018,24995965,NC
-0.45813003,24995966,NC
-0.46707526,24995967,NC
-0.48088756,24995968,NC
-0.5041993,24995969,NC
-0.5192785,24995970,NC
-0.5334914,24995971,NC
-0.5329964,24995972,NC
-0.54117703,24995973,NC
-0.5423809,24995974,NC
-0.5362474,24995975,NC
-0.542437,24995976,NC
-0.5343172,24995977,NC
-0.5493644,24995978,NC
-0.54588276,24995979,NC
-0.5363899,24995980,NC
-0.52309877,24995981,NC
-0.5108341,24995982,NC
-0.5008612,24995983,NC
-0.49192107,24995984,NC
-0.4837487,24995985,NC
-0.46592504,24995986,NC
-0.46051016,24995987,NC
-0.43937084,24995988,NC
-0.42335436,24995989,NC
-0.4241882,24995990,NC
-0.40017587,24995991,NC
-0.4017293,24995992,NC
-0.39863688,24995993,NC
-0.4089949,24995994,NC
-0.41895807,24995995,NC
-0.4075746,24995996,NC
-0.40958056,24995997,NC
-0.4219026,24995998,NC
-0.41271955,24995999,NC
-0.4061222,24996000,NC
-0.43099868,24996001,NC
-0.45654556,24996002,NC
-0.4694682,24996003,NC
-0.47676006,24996004,NC
-0.49468076,24996005,NC
-0.48619303,24996006,NC
-0.4804669,24996007,NC
-0.4812239,24996008,NC
-0.48501602,24996009,NC
-0.4839586,24996010,NC
-0.49241677,24996011,NC
-0.49592176,24996012,NC
-0.48871505,24996013,NC
-0.49980983,24996014,NC
-0.5061828,24996015,NC
-0.52028084,24996016,NC
-0.51303923,24996017,NC
-0.52612233,24996018,NC
-0.5262588,24996019,NC
-0.5225131,24996020,NC
-0.52421075,24996021,NC
-0.52490884,24996022,NC
-0.520777,24996023,NC
-0.5139319,24996024,NC
-0.5151781,24996025,NC
-0.51571006,24996026,NC
-0.5329708,24996027,NC
-0.52949905,24996028,NC
-0.533836,24996029,NC
-0.53149855,24996030,NC
-0.550012,24996031,NC
-0.54325485,24996032,NC
-0.54568475,24996033,NC
-0.5361645,24996034,NC
-0.53267664,24996035,NC
-0.5453705,24996036,NC
-0.55647403,24996037,NC
-0.5946379,24996038,NC
-0.60415447,24996039,NC
-0.5482794,24996040,NC
-0.42663452,24996041,NC
-0.1938759,24996042,NC
0.15332527,24996043,NC
0.5495129,24996044,NC
0.9205652,24996045,NC
1.1741769,24996046,A
1.2488489,24996047,NC
1.0891964,24996048,NC
0.6542539,24996049,NC
0.10002376,24996050,NC
-0.449683,24996051,NC
-1.0047318,24996052,NC
-1.5535644,24996053,NC
-1.5360405,24996054,NC
-1.2811639,24996055,NC
-1.0156552,24996056,NC
-0.80937827,24996057,NC
-0.69076616,24996058,NC
-0.6374553,24996059,NC
-0.6430606,24996060,NC
-0.6490466,24996061,NC
-0.6608213,24996062,NC
-0.6572376,24996063,NC
-0.64675653,24996064,NC
-0.62115353,24996065,NC
-0.6103363,24996066,NC
-0.6204738,24996067,NC
-0.6259688,24996068,NC
-0.63432837,24996069,NC
-0.6422725,24996070,NC
-0.63739324,24996071,NC
-0.6460759,24996072,NC
-0.6461615,24996073,NC
-0.6527436,24996074,NC
-0.64706236,24996075,NC
-0.6480263,24996076,NC
-0.6441937,24996077,NC
-0.64821905,24996078,NC
-0.6472115,24996079,NC
-0.633613,24996080,NC
-0.6437686,24996081,NC
-0.63762677,24996082,NC
-0.63803685,24996083,NC
-0.621602,24996084,NC
-0.6220649,24996085,NC
-0.61800146,24996086,NC
