channel_0,sample #,type
0.572863,29843597,A
0.5803567,29843598,NC
0.53819454,29843599,NC
0.40426987,29843600,NC
0.1921214,29843601,NC
-0.047104593,29843602,NC
-0.2607575,29843603,NC
-0.41423845,29843604,NC
-0.48799142,29843605,NC
-0.50758964,29843606,NC
-0.48356313,29843607,NC
-0.44750226,29843608,NC
-0.40843284,29843609,NC
-0.37989366,29843610,NC
-0.36940616,29843611,NC
-0.36493596,29843612,NC
-0.36949167,29843613,NC
-0.36953455,29843614,NC
-0.3650646,29843615,NC
-0.34705597,29843616,NC
-0.32303023,29843617,NC
-0.30050886,29843618,NC
-0.2855091,29843619,NC
-0.27953523,29843620,NC
-0.28409153,29843621,NC
-0.29316086,29843622,NC
-0.3022302,29843623,NC
-0.30678675,29843624,NC
-0.30983907,29843625,NC
-0.30687425,29843626,NC
-0.30240524,29843627,NC
-0.28891045,29843628,NC
-0.27391142,29843629,NC
-0.24687809,29843630,NC
-0.21984482,29843631,NC
-0.18679442,29843632,NC
-0.16427419,29843633,NC
-0.15077987,29843634,NC
-0.14932005,29843635,NC
-0.15237321,29843636,NC
-0.15542644,29843637,NC
-0.16148835,29843638,NC
-0.16604605,29843639,NC
-0.16759521,29843640,NC
-0.16463153,29843641,NC
-0.15865931,29843642,NC
-0.15118289,29843643,NC
-0.14370653,29843644,NC
-0.13623026,29843645,NC
-0.13928416,29843646,NC
-0.14083385,29843647,NC
-0.14990512,29843648,NC
-0.15295924,29843649,NC
-0.16052637,29843650,NC
-0.16508494,29843651,NC
-0.166635,29843652,NC
-0.16818513,29843653,NC
-0.16522242,29843654,NC
-0.16526839,29843655,NC
-0.16381015,29843656,NC
-0.15783906,29843657,NC
-0.15186805,29843658,NC
-0.14288852,29843659,NC
-0.14293486,29843660,NC
-0.13395548,29843661,NC
-0.13400197,29843662,NC
-0.12953563,29843663,NC
-0.13259086,29843664,NC
-0.12812468,29843665,NC
-0.12666717,29843666,NC
-0.12671402,29843667,NC
-0.12676096,29843668,NC
-0.12379936,29843669,NC
-0.12384644,29843670,NC
-0.11938068,29843671,NC
-0.1179236,29843672,NC
-0.108945094,29843673,NC
-0.10598385,29843674,NC
-0.10001409,29843675,NC
-0.09855731,29843676,NC
-0.0971006,29843677,NC
-0.09564396,29843678,NC
-0.08817018,29843679,NC
-0.076183565,29843680,NC
-0.06570133,29843681,NC
-0.056723468,29843682,NC
-0.053762883,29843683,NC
-0.047793772,29843684,NC
-0.040320426,29843685,NC
-0.028334249,29843686,NC
-0.0133395335,29843687,NC
-0.0013534939,29843688,NC
0.01063247,29843689,NC
0.018105457,29843690,NC
0.030091278,29843691,NC
0.046589933,29843692,NC
0.061584223,29843693,NC
0.073569834,29843694,NC
0.07652956,29843695,NC
0.077984914,29843696,NC
0.08094449,29843697,NC
0.088416904,29843698,NC
0.09438495,29843699,NC
0.10035293,29843700,NC
0.106320836,29843701,NC
0.11379298,29843702,NC
0.118256435,29843703,NC
0.11971122,29843704,NC
0.11815734,29843705,NC
0.11660339,29843706,NC
0.10752785,29843707,NC
0.095443636,29843708,NC
0.077342145,29843709,NC
0.063753486,29843710,NC
0.048660465,29843711,NC
0.03507167,29843712,NC
0.02148281,29843713,NC
0.013911089,29843714,NC
0.004834994,29843715,NC
-0.0027368665,29843716,NC
-0.011813099,29843717,NC
-0.0223937,29843718,NC
-0.035982978,29843719,NC
-0.05107663,29843720,NC
-0.06316173,29843721,NC
-0.07675122,29843722,NC
-0.09034076,29843723,NC
-0.10242609,29843724,NC
-0.11150287,29843725,NC
-0.11606681,29843726,NC
-0.12363943,29843727,NC
-0.12820351,29843728,NC
-0.13427195,29843729,NC
-0.14034048,29843730,NC
-0.14941767,29843731,NC
-0.16451213,29843732,NC
-0.17810234,29843733,NC
-0.19018835,29843734,NC
-0.19926581,29843735,NC
-0.20683904,29843736,NC
-0.20989943,29843737,NC
-0.20694266,29843738,NC
-0.20097737,29843739,NC
-0.19200353,29843740,NC
-0.18603837,29843741,NC
-0.1845862,29843742,NC
-0.18915129,29843743,NC
-0.19371644,29843744,NC
-0.19376874,29843745,NC
-0.19532543,29843746,NC
-0.19838649,29843747,NC
-0.20295192,29843748,NC
-0.20751742,29843749,NC
-0.20305714,29843750,NC
-0.19558835,29843751,NC
-0.18511102,29843752,NC
-0.18215525,29843753,NC
-0.18070385,29843754,NC
-0.17925252,29843755,NC
-0.17328835,29843756,NC
-0.16882855,29843757,NC
-0.17189033,29843758,NC
-0.18397799,29843759,NC
-0.2050915,29843760,NC
-0.2277094,29843761,NC
-0.24581447,29843762,NC
-0.25188518,29843763,NC
-0.25043446,29843764,NC
-0.24296656,29843765,NC
-0.23700304,29843766,NC
-0.2355525,29843767,NC
-0.23711061,29843768,NC
-0.2371645,29843769,NC
-0.23571414,29843770,NC
-0.23576815,29843771,NC
-0.23582223,29843772,NC
-0.23136345,29843773,NC
-0.22540045,29843774,NC
-0.2164289,29843775,NC
-0.20745742,29843776,NC
-0.19848602,29843777,NC
-0.19402757,29843778,NC
-0.1970907,29843779,NC
-0.19864959,29843780,NC
-0.20472145,29843781,NC
