channel_0,sample #,type
0.7443811,29891869,A
0.8142492,29891870,NC
0.77988225,29891871,NC
0.60461456,29891872,NC
0.32984248,29891873,NC
0.024854869,29891874,NC
-0.26067063,29891875,NC
-0.44564742,29891876,NC
-0.55971587,29891877,NC
-0.6052819,29891878,NC
-0.61503255,29891879,NC
-0.59480697,29891880,NC
-0.5750667,29891881,NC
-0.5403743,29891882,NC
-0.50496715,29891883,NC
-0.48005632,29891884,NC
-0.4749083,29891885,NC
-0.47981238,29891886,NC
-0.48965535,29891887,NC
-0.49933872,29891888,NC
-0.47986194,29891889,NC
-0.45952696,29891890,NC
-0.41995865,29891891,NC
-0.40915808,29891892,NC
-0.38874352,29891893,NC
-0.41417333,29891894,NC
-0.40920943,29891895,NC
-0.42947108,29891896,NC
-0.42411178,29891897,NC
-0.4291363,29891898,NC
-0.4195976,29891899,NC
-0.40435234,29891900,NC
-0.3794039,29891901,NC
-0.35385576,29891902,NC
-0.32446793,29891903,NC
-0.29451555,29891904,NC
-0.2646534,29891905,NC
-0.25412893,29891906,NC
-0.22881404,29891907,NC
-0.21379505,29891908,NC
-0.22457577,29891909,NC
-0.22942787,29891910,NC
-0.23379791,29891911,NC
-0.23919743,29891912,NC
-0.24342597,29891913,NC
-0.24402812,29891914,NC
-0.26436597,29891915,NC
-0.25395295,29891916,NC
-0.24354461,29891917,NC
-0.23844112,29891918,NC
-0.21375643,29891919,NC
-0.20879151,29891920,NC
-0.20412697,29891921,NC
-0.21362953,29891922,NC
-0.22363131,29891923,NC
-0.22356312,29891924,NC
-0.22324051,29891925,NC
-0.23885126,29891926,NC
-0.23383676,29891927,NC
-0.23377055,29891928,NC
-0.2288198,29891929,NC
-0.23347254,29891930,NC
-0.22836824,29891931,NC
-0.21842779,29891932,NC
-0.21348006,29891933,NC
-0.20347387,29891934,NC
-0.20358387,29891935,NC
-0.20820807,29891936,NC
-0.19818448,29891937,NC
-0.20295392,29891938,NC
-0.20292388,29891939,NC
-0.20324422,29891940,NC
-0.18796827,29891941,NC
-0.17778209,29891942,NC
-0.17324358,29891943,NC
-0.15838328,29891944,NC
-0.15286593,29891945,NC
-0.1427393,29891946,NC
-0.14265274,29891947,NC
-0.13755172,29891948,NC
-0.14302889,29891949,NC
-0.13289456,29891950,NC
-0.12272659,29891951,NC
-0.107977584,29891952,NC
-0.09314894,29891953,NC
-0.07293867,29891954,NC
-0.06254101,29891955,NC
-0.042776365,29891956,NC
-0.032665443,29891957,NC
-0.017748244,29891958,NC
-0.017801724,29891959,NC
0.0025136806,29891960,NC
0.012708955,29891961,NC
0.017193072,29891962,NC
0.012496542,29891963,NC
0.027606398,29891964,NC
0.047128092,29891965,NC
0.06729685,29891966,NC
0.08738475,29891967,NC
0.102316074,29891968,NC
0.11741699,29891969,NC
0.10257224,29891970,NC
0.11732847,29891971,NC
0.107726276,29891972,NC
0.112619326,29891973,NC
0.112621345,29891974,NC
0.10794049,29891975,NC
0.10767929,29891976,NC
0.09779778,29891977,NC
0.10256174,29891978,NC
0.09286448,29891979,NC
0.08273514,29891980,NC
0.06716748,29891981,NC
0.043085758,29891982,NC
0.032877907,29891983,NC
0.0029804546,29891984,NC
-0.012206324,29891985,NC
-0.032548524,29891986,NC
-0.057157107,29891987,NC
-0.07703216,29891988,NC
-0.091779895,29891989,NC
-0.10741686,29891990,NC
-0.121950634,29891991,NC
-0.1320427,29891992,NC
-0.15720019,29891993,NC
-0.15654756,29891994,NC
-0.16165228,29891995,NC
-0.16720724,29891996,NC
-0.18667528,29891997,NC
-0.21697733,29891998,NC
-0.21200214,29891999,NC
-0.22686972,29892000,NC
-0.22697937,29892001,NC
-0.23198046,29892002,NC
-0.23166057,29892003,NC
-0.22232932,29892004,NC
-0.2069202,29892005,NC
-0.2020262,29892006,NC
-0.21627049,29892007,NC
-0.21670757,29892008,NC
-0.22709645,29892009,NC
-0.24198882,29892010,NC
-0.25150082,29892011,NC
-0.25237134,29892012,NC
-0.25181973,29892013,NC
-0.23692048,29892014,NC
-0.22647856,29892015,NC
-0.22674996,29892016,NC
-0.2171668,29892017,NC
-0.23160079,29892018,NC
-0.23681206,29892019,NC
-0.23107798,29892020,NC
-0.23684292,29892021,NC
-0.2517738,29892022,NC
-0.24682777,29892023,NC
-0.2569702,29892024,NC
-0.2571767,29892025,NC
-0.25738505,29892026,NC
-0.2566064,29892027,NC
-0.25198567,29892028,NC
-0.25676286,29892029,NC
-0.24690428,29892030,NC
-0.2565289,29892031,NC
-0.24672085,29892032,NC
-0.26103458,29892033,NC
-0.2615457,29892034,NC
-0.2720697,29892035,NC
-0.27146435,29892036,NC
-0.26156744,29892037,NC
-0.26685,29892038,NC
-0.27182907,29892039,NC
-0.25672424,29892040,NC
-0.2567539,29892041,NC
-0.26642862,29892042,NC
-0.26154068,29892043,NC
-0.26647916,29892044,NC
-0.27102566,29892045,NC
-0.29635778,29892046,NC
-0.2917306,29892047,NC
-0.2712186,29892048,NC
-0.2660313,29892049,NC
-0.26161715,29892050,NC
-0.2520734,29892051,NC
-0.2413173,29892052,NC
-0.22141811,29892053,NC
-0.23667608,29892054,NC
-0.23145,29892055,NC
-0.2310969,29892056,NC
-0.231497,29892057,NC
-0.2468315,29892058,NC
-0.23649979,29892059,NC
-0.23146309,29892060,NC
-0.22176372,29892061,NC
-0.20639832,29892062,NC
-0.20642494,29892063,NC
-0.19696234,29892064,NC
-0.20120591,29892065,NC
-0.20154494,29892066,NC
-0.19638427,29892067,NC
-0.20149042,29892068,NC
-0.2112648,29892069,NC
-0.21645854,29892070,NC
-0.21658239,29892071,NC
-0.23191823,29892072,NC
-0.23182574,29892073,NC
-0.22168119,29892074,NC
-0.2364533,29892075,NC
-0.22691782,29892076,NC
-0.22165042,29892077,NC
-0.22161905,29892078,NC
-0.21661559,29892079,NC
-0.22106262,29892080,NC
-0.21655384,29892081,NC
-0.21663614,29892082,NC
-0.21679732,29892083,NC
-0.21131667,29892084,NC
-0.2271726,29892085,NC
-0.22167398,29892086,NC
-0.21129438,29892087,NC
-0.22663058,29892088,NC
-0.23178178,29892089,NC
-0.23148465,29892090,NC
-0.24610068,29892091,NC
-0.2368898,29892092,NC
-0.24123755,29892093,NC
-0.25167724,29892094,NC
-0.26672813,29892095,NC
-0.25660884,29892096,NC
-0.25229028,29892097,NC
-0.23167215,29892098,NC
-0.22159159,29892099,NC
-0.22646104,29892100,NC
-0.22210321,29892101,NC
-0.22756357,29892102,NC
-0.24662906,29892103,NC
-0.24686158,29892104,NC
-0.24166052,29892105,NC
-0.2422988,29892106,NC
-0.24184829,29892107,NC
-0.23201159,29892108,NC
-0.21664605,29892109,NC
-0.22692466,29892110,NC
-0.22200626,29892111,NC
-0.21140844,29892112,NC
-0.19689429,29892113,NC
-0.21159059,29892114,NC
-0.20175664,29892115,NC
-0.22193056,29892116,NC
-0.2219011,29892117,NC
-0.24210805,29892118,NC
-0.23218146,29892119,NC
-0.23175062,29892120,NC
-0.23635784,29892121,NC
-0.23677984,29892122,NC
-0.21688637,29892123,NC
-0.21158001,29892124,NC
-0.21258615,29892125,NC
-0.20696247,29892126,NC
-0.20733468,29892127,NC
-0.20731887,29892128,NC
-0.2017192,29892129,NC
-0.20216116,29892130,NC
-0.17674243,29892131,NC
-0.17193721,29892132,NC
-0.14186911,29892133,NC
-0.092006765,29892134,NC
-0.021628054,29892135,NC
0.067641646,29892136,NC
0.18283121,29892137,NC
0.32304916,29892138,NC
0.4777859,29892139,NC
0.62787676,29892140,NC
0.73262715,29892141,A
0.777339,29892142,NC
0.7178546,29892143,NC
0.5525498,29892144,NC
0.27809143,29892145,NC
-0.017619282,29892146,NC
-0.26750004,29892147,NC
-0.46231446,29892148,NC
-0.5578573,29892149,NC
-0.60210586,29892150,NC
-0.6073595,29892151,NC
-0.59195876,29892152,NC
-0.5574594,29892153,NC
-0.54759586,29892154,NC
-0.52225226,29892155,NC
-0.49758488,29892156,NC
-0.4824041,29892157,NC
-0.48283994,29892158,NC
-0.47223976,29892159,NC
-0.46801376,29892160,NC
-0.42767075,29892161,NC
-0.39760646,29892162,NC
-0.36277807,29892163,NC
-0.34804463,29892164,NC
-0.35286912,29892165,NC
-0.36766276,29892166,NC
-0.407501,29892167,NC
-0.40775973,29892168,NC
-0.40247208,29892169,NC
-0.38772148,29892170,NC
-0.3629257,29892171,NC
-0.337715,29892172,NC
-0.32248998,29892173,NC
-0.29803067,29892174,NC
-0.2729534,29892175,NC
-0.27784628,29892176,NC
-0.25813493,29892177,NC
-0.2384708,29892178,NC
-0.22289105,29892179,NC
-0.19792378,29892180,NC
-0.20324618,29892181,NC
-0.18835303,29892182,NC
-0.18307883,29892183,NC
-0.17830555,29892184,NC
-0.15859666,29892185,NC
-0.1630917,29892186,NC
-0.17371534,29892187,NC
-0.18351692,29892188,NC
-0.18845941,29892189,NC
-0.19790733,29892190,NC
-0.1982693,29892191,NC
-0.19855572,29892192,NC
-0.1885289,29892193,NC
-0.17893034,29892194,NC
-0.17841972,29892195,NC
-0.1740272,29892196,NC
-0.17848507,29892197,NC
-0.19373004,29892198,NC
-0.18803936,29892199,NC
-0.19422829,29892200,NC
-0.19432548,29892201,NC
-0.2040421,29892202,NC
-0.1986427,29892203,NC
-0.19398484,29892204,NC
-0.18900739,29892205,NC
-0.17908213,29892206,NC
-0.17405646,29892207,NC
-0.1589459,29892208,NC
-0.15427727,29892209,NC
-0.14891183,29892210,NC
-0.1587648,29892211,NC
-0.15422553,29892212,NC
-0.14374389,29892213,NC
-0.15423343,29892214,NC
-0.15408067,29892215,NC
-0.14934178,29892216,NC
-0.13442303,29892217,NC
-0.113995485,29892218,NC
-0.10944019,29892219,NC
-0.0842506,29892220,NC
-0.07417883,29892221,NC
-0.06444782,29892222,NC
-0.05454645,29892223,NC
-0.064794175,29892224,NC
-0.05416886,29892225,NC
-0.06966414,29892226,NC
-0.05447048,29892227,NC
-0.044444103,29892228,NC
-0.034434494,29892229,NC
-0.014611424,29892230,NC
-0.0046188566,29892231,NC
0.02503985,29892232,NC
0.040017202,29892233,NC
0.04547502,29892234,NC
0.06040651,29892235,NC
0.05541184,29892236,NC
0.070145085,29892237,NC
0.08486114,29892238,NC
0.09028576,29892239,NC
0.104846545,29892240,NC
0.124748126,29892241,NC
0.12935741,29892242,NC
0.13981555,29892243,NC
0.15505594,29892244,NC
0.14454858,29892245,NC
0.15516093,29892246,NC
0.16962567,29892247,NC
0.1489761,29892248,NC
0.14925231,29892249,NC
0.13494164,29892250,NC
0.12911469,29892251,NC
0.10963011,29892252,NC
0.08925273,29892253,NC
0.07890859,29892254,NC
0.06396415,29892255,NC
0.044467654,29892256,NC
0.039713588,29892257,NC
0.00889575,29892258,NC
-0.016020982,29892259,NC
-0.055932153,29892260,NC
-0.06592554,29892261,NC
-0.100572184,29892262,NC
-0.105605856,29892263,NC
-0.1264202,29892264,NC
-0.13075161,29892265,NC
-0.13652848,29892266,NC
-0.14118615,29892267,NC
-0.15646122,29892268,NC
-0.1714161,29892269,NC
-0.16670784,29892270,NC
-0.18159351,29892271,NC
-0.19143473,29892272,NC
-0.18656799,29892273,NC
-0.20128307,29892274,NC
-0.21178313,29892275,NC
-0.21681626,29892276,NC
-0.2164058,29892277,NC
-0.21659137,29892278,NC
-0.21166664,29892279,NC
-0.21664292,29892280,NC
-0.20683238,29892281,NC
-0.20674221,29892282,NC
-0.22185984,29892283,NC
-0.2369461,29892284,NC
-0.23733853,29892285,NC
-0.25231194,29892286,NC
-0.25218382,29892287,NC
-0.2523416,29892288,NC
-0.25219324,29892289,NC
-0.24733785,29892290,NC
-0.24735557,29892291,NC
-0.23219779,29892292,NC
-0.24205507,29892293,NC
-0.24257194,29892294,NC
-0.24230395,29892295,NC
-0.23284934,29892296,NC
-0.23713645,29892297,NC
-0.2378888,29892298,NC
-0.2426982,29892299,NC
-0.24253981,29892300,NC
-0.23774803,29892301,NC
-0.22286248,29892302,NC
-0.22299387,29892303,NC
-0.21290833,29892304,NC
-0.21292748,29892305,NC
-0.20790307,29892306,NC
-0.20779283,29892307,NC
-0.21322754,29892308,NC
-0.21316394,29892309,NC
-0.22284758,29892310,NC
-0.223358,29892311,NC
-0.21323533,29892312,NC
-0.2179497,29892313,NC
-0.23845571,29892314,NC
-0.22328399,29892315,NC
-0.229051,29892316,NC
-0.21363345,29892317,NC
-0.21941619,29892318,NC
-0.23360808,29892319,NC
-0.22838995,29892320,NC
-0.24376199,29892321,NC
-0.25922993,29892322,NC
-0.2542433,29892323,NC
-0.24382938,29892324,NC
-0.24901883,29892325,NC
-0.22442585,29892326,NC
-0.2140495,29892327,NC
-0.20907088,29892328,NC
-0.21432227,29892329,NC
-0.21433657,29892330,NC
-0.20453034,29892331,NC
-0.21494561,29892332,NC
-0.21996655,29892333,NC
-0.2392787,29892334,NC
-0.2393161,29892335,NC
-0.22995487,29892336,NC
-0.2298382,29892337,NC
-0.21968558,29892338,NC
-0.21993911,29892339,NC
-0.2047947,29892340,NC
-0.20021954,29892341,NC
-0.19981244,29892342,NC
-0.20542236,29892343,NC
-0.2351832,29892344,NC
-0.23511435,29892345,NC
-0.24011433,29892346,NC
-0.250418,29892347,NC
-0.26051795,29892348,NC
-0.2453931,29892349,NC
-0.24555786,29892350,NC
-0.24071206,29892351,NC
-0.24110824,29892352,NC
-0.23088187,29892353,NC
-0.22592586,29892354,NC
-0.22095646,29892355,NC
-0.2262286,29892356,NC
-0.23578236,29892357,NC
-0.2558186,29892358,NC
-0.25127053,29892359,NC
-0.24589224,29892360,NC
-0.251529,29892361,NC
-0.23649713,29892362,NC
-0.22581968,29892363,NC
-0.2164735,29892364,NC
-0.21675813,29892365,NC
-0.23193441,29892366,NC
-0.23177508,29892367,NC
-0.2416435,29892368,NC
-0.23195626,29892369,NC
-0.24150671,29892370,NC
-0.26196244,29892371,NC
-0.24696799,29892372,NC
-0.24723652,29892373,NC
-0.24712639,29892374,NC
-0.24183178,29892375,NC
-0.2522636,29892376,NC
-0.2320432,29892377,NC
-0.25273722,29892378,NC
-0.25225928,29892379,NC
-0.24286567,29892380,NC
-0.24313687,29892381,NC
-0.24703485,29892382,NC
-0.2525744,29892383,NC
-0.26748914,29892384,NC
-0.2524082,29892385,NC
-0.25256178,29892386,NC
-0.23776484,29892387,NC
-0.23346914,29892388,NC
-0.2229168,29892389,NC
-0.2185051,29892390,NC
-0.24352281,29892391,NC
-0.2333896,29892392,NC
-0.24822003,29892393,NC
-0.24802002,29892394,NC
-0.24869709,29892395,NC
-0.25357184,29892396,NC
-0.2537148,29892397,NC
-0.24386196,29892398,NC
-0.24856144,29892399,NC
-0.23364212,29892400,NC
-0.23373789,29892401,NC
-0.23394404,29892402,NC
-0.24912502,29892403,NC
-0.24945687,29892404,NC
-0.25387892,29892405,NC
-0.2647351,29892406,NC
-0.25917226,29892407,NC
-0.2645598,29892408,NC
-0.26933917,29892409,NC
-0.2696824,29892410,NC
-0.254859,29892411,NC
-0.24501877,29892412,NC
-0.23436677,29892413,NC
-0.23428401,29892414,NC
-0.23050447,29892415,NC
-0.24969737,29892416,NC
-0.24989514,29892417,NC
-0.2553924,29892418,NC
-0.2552375,29892419,NC
-0.26034874,29892420,NC
-0.25066006,29892421,NC
-0.2503231,29892422,NC
-0.23060367,29892423,NC
-0.22575888,29892424,NC
-0.22018541,29892425,NC
-0.22043559,29892426,NC
-0.24018538,29892427,NC
-0.23580466,29892428,NC
-0.24618372,29892429,NC
-0.24102427,29892430,NC
-0.27097666,29892431,NC
-0.27116624,29892432,NC
-0.26616544,29892433,NC
-0.27668336,29892434,NC
-0.26617983,29892435,NC
-0.25655234,29892436,NC
-0.25170755,29892437,NC
-0.23644412,29892438,NC
-0.2418903,29892439,NC
-0.24644029,29892440,NC
-0.26108703,29892441,NC
-0.26160404,29892442,NC
