channel_0,sample #,type
0.25114492,29323604,A
0.24113473,29323605,NC
0.21772799,29323606,NC
0.17446856,29323607,NC
0.10805959,29323608,NC
0.0264103,29323609,NC
-0.0534899,29323610,NC
-0.11864613,29323611,NC
-0.16515848,29323612,NC
-0.19347778,29323613,NC
-0.20702335,29323614,NC
-0.21225663,29323615,NC
-0.21240543,29323616,NC
-0.22083083,29323617,NC
-0.22255492,29323618,NC
-0.22442497,29323619,NC
-0.2162842,29323620,NC
-0.21306443,29323621,NC
-0.21466601,29323622,NC
-0.21270317,29323623,NC
-0.20774075,29323624,NC
-0.196222,29323625,NC
-0.18642515,29323626,NC
-0.1796372,29323627,NC
-0.17809781,29323628,NC
-0.18472284,29323629,NC
-0.19480208,29323630,NC
-0.20480242,29323631,NC
-0.20320341,29323632,NC
-0.1967484,29323633,NC
-0.18491438,29323634,NC
-0.17342836,29323635,NC
-0.16332075,29323636,NC
-0.15684988,29323637,NC
-0.15196383,29323638,NC
-0.14210483,29323639,NC
-0.12533972,29323640,NC
-0.11347292,29323641,NC
-0.101719305,29323642,NC
-0.0936024,29323643,NC
-0.078848794,29323644,NC
-0.067259654,29323645,NC
-0.05721817,29323646,NC
-0.053677797,29323647,NC
-0.050368108,29323648,NC
-0.04872126,29323649,NC
-0.04735344,29323650,NC
-0.04727897,29323651,NC
-0.048826173,29323652,NC
-0.04878731,29323653,NC
-0.05397741,29323654,NC
-0.05417402,29323655,NC
-0.05577614,29323656,NC
-0.05076138,29323657,NC
-0.043868717,29323658,NC
-0.039052367,29323659,NC
-0.03089216,29323660,NC
-0.03302297,29323661,NC
-0.034712385,29323662,NC
-0.038038157,29323663,NC
-0.04145166,29323664,NC
-0.043047946,29323665,NC
-0.051439844,29323666,NC
-0.054734275,29323667,NC
-0.056440465,29323668,NC
-0.053209152,29323669,NC
-0.043069735,29323670,NC
-0.029706962,29323671,NC
-0.014668287,29323672,NC
-0.0048212283,29323673,NC
-0.0034180323,29323674,NC
-0.0102125555,29323675,NC
-0.015253865,29323676,NC
-0.01842811,29323677,NC
-0.0150667,29323678,NC
-0.01504197,29323679,NC
-0.011839738,29323680,NC
-0.00707077,29323681,NC
-0.0005975601,29323682,NC
0.0077902754,29323683,NC
0.014500675,29323684,NC
0.01787011,29323685,NC
0.019327214,29323686,NC
0.017590957,29323687,NC
0.017327664,29323688,NC
0.01734533,29323689,NC
0.022473741,29323690,NC
0.034039736,29323691,NC
0.05061148,29323692,NC
0.07056729,29323693,NC
0.087442964,29323694,NC
0.10251331,29323695,NC
0.10738691,29323696,NC
0.10905566,29323697,NC
0.10901651,29323698,NC
0.11557456,29323699,NC
0.116969936,29323700,NC
0.11701034,29323701,NC
0.11388881,29323702,NC
0.1188727,29323703,NC
0.1252627,29323704,NC
0.1348698,29323705,NC
0.14319098,29323706,NC
0.15478685,29323707,NC
0.16152479,29323708,NC
0.16660407,29323709,NC
0.16478266,29323710,NC
0.16311577,29323711,NC
0.15799865,29323712,NC
0.14811689,29323713,NC
0.14137016,29323714,NC
0.13148233,29323715,NC
0.12654513,29323716,NC
0.11649357,29323717,NC
0.10973622,29323718,NC
0.10798982,29323719,NC
0.101447046,29323720,NC
0.09476164,29323721,NC
0.08149299,29323722,NC
0.072919816,29323723,NC
0.061199382,29323724,NC
0.044214927,29323725,NC
0.030891549,29323726,NC
0.024180003,29323727,NC
0.02109173,29323728,NC
0.017853465,29323729,NC
0.009445468,29323730,NC
-0.0008896473,29323731,NC
-0.0127077205,29323732,NC
-0.021019407,29323733,NC
-0.027583638,29323734,NC
-0.03586684,29323735,NC
-0.044351667,29323736,NC
-0.05120811,29323737,NC
-0.05628467,29323738,NC
-0.062964424,29323739,NC
-0.06615713,29323740,NC
-0.06450687,29323741,NC
-0.056282066,29323742,NC
-0.052954733,29323743,NC
-0.05133059,29323744,NC
-0.05628974,29323745,NC
-0.061496932,29323746,NC
-0.074915506,29323747,NC
-0.08496174,29323748,NC
-0.08980656,29323749,NC
-0.09151298,29323750,NC
-0.09151894,29323751,NC
-0.09160887,29323752,NC
-0.088213444,29323753,NC
-0.08160185,29323754,NC
-0.07654236,29323755,NC
-0.07324657,29323756,NC
-0.07501621,29323757,NC
-0.08012698,29323758,NC
-0.0818909,29323759,NC
-0.08847388,29323760,NC
-0.09190653,29323761,NC
-0.09536467,29323762,NC
-0.093771845,29323763,NC
-0.0906871,29323764,NC
-0.08761276,29323765,NC
-0.084260166,29323766,NC
-0.07894713,29323767,NC
-0.07888354,29323768,NC
-0.07728336,29323769,NC
-0.08412955,29323770,NC
-0.08907224,29323771,NC
-0.09927355,29323772,NC
-0.104216985,29323773,NC
-0.10751988,29323774,NC
-0.107342646,29323775,NC
-0.10592322,29323776,NC
-0.101068616,29323777,NC
-0.09631804,29323778,NC
-0.08956285,29323779,NC
-0.08930347,29323780,NC
-0.08758507,29323781,NC
-0.089104414,29323782,NC
-0.09113726,29323783,NC
-0.09782382,29323784,NC
-0.10636854,29323785,NC
-0.10801999,29323786,NC
-0.10307512,29323787,NC
-0.0915454,29323788,NC
-0.0816906,29323789,NC
-0.071858846,29323790,NC
-0.061785392,29323791,NC
-0.056716636,29323792,NC
-0.056622226,29323793,NC
-0.06207863,29323794,NC
-0.06868484,29323795,NC
-0.07715485,29323796,NC
-0.090186104,29323797,NC
-0.096965246,29323798,NC
-0.09687637,29323799,NC
-0.09361635,29323800,NC
-0.09193904,29323801,NC
-0.09052126,29323802,NC
-0.08717655,29323803,NC
-0.08543224,29323804,NC
-0.083666906,29323805,NC
-0.08709183,29323806,NC
-0.0906198,29323807,NC
-0.09890655,29323808,NC
-0.102302164,29323809,NC
-0.102203056,29323810,NC
-0.0989492,29323811,NC
-0.0937239,29323812,NC
-0.0875794,29323813,NC
-0.08099525,29323814,NC
-0.07460225,29323815,NC
-0.07425381,29323816,NC
-0.07257162,29323817,NC
-0.075842656,29323818,NC
-0.08078524,29323819,NC
-0.08919052,29323820,NC
-0.092611834,29323821,NC
-0.0911371,29323822,NC
-0.091087386,29323823,NC
-0.092798896,29323824,NC
-0.09281701,29323825,NC
-0.08797205,29323826,NC
-0.08121468,29323827,NC
-0.07780569,29323828,NC
-0.07943007,29323829,NC
-0.08132213,29323830,NC
-0.07811968,29323831,NC
-0.07650775,29323832,NC
-0.08302581,29323833,NC
-0.09138443,29323834,NC
-0.09481357,29323835,NC
-0.08989367,29323836,NC
-0.0832896,29323837,NC
-0.07829115,29323838,NC
-0.07172495,29323839,NC
-0.06852848,29323840,NC
-0.06360633,29323841,NC
-0.06524438,29323842,NC
-0.0684648,29323843,NC
-0.07683817,29323844,NC
-0.07856641,29323845,NC
-0.08195928,29323846,NC
-0.07708024,29323847,NC
-0.077285334,29323848,NC
-0.06890713,29323849,NC
-0.060478095,29323850,NC
-0.049030084,29323851,NC
-0.035838827,29323852,NC
-0.027644742,29323853,NC
-0.010800628,29323854,NC
0.0025881212,29323855,NC
0.024226729,29323856,NC
0.04745596,29323857,NC
0.077427894,29323858,NC
0.1158583,29323859,NC
0.15582132,29323860,NC
0.18909585,29323861,NC
0.214012,29323862,NC
0.22891004,29323863,A
0.22869328,29323864,NC
0.20007741,29323865,NC
0.14181878,29323866,NC
0.06352309,29323867,NC
-0.017903794,29323868,NC
-0.097733274,29323869,NC
-0.1642551,29323870,NC
-0.21765427,29323871,NC
-0.25275624,29323872,NC
-0.26625058,29323873,NC
-0.2680438,29323874,NC
-0.2630555,29323875,NC
