channel_0,sample #,type
0.8146716,29816553,A
0.8014127,29816554,NC
0.7081912,29816555,NC
0.50830334,29816556,NC
0.23508237,29816557,NC
-0.043138284,29816558,NC
-0.279692,29816559,NC
-0.43957877,29816560,NC
-0.51779854,29816561,NC
-0.5293515,29816562,NC
-0.50423735,29816563,NC
-0.46245635,29816564,NC
-0.41900837,29816565,NC
-0.38556015,29816566,NC
-0.3637783,29816567,NC
-0.3603295,29816568,NC
-0.37188044,29816569,NC
-0.38676447,29816570,NC
-0.3983149,29816571,NC
-0.39153168,29816572,NC
-0.3680815,29816573,NC
-0.33129779,29816574,NC
-0.29451376,29816575,NC
-0.26772952,29816576,NC
-0.2542783,29816577,NC
-0.25582683,29816578,NC
-0.2673751,29816579,NC
-0.28225645,29816580,NC
-0.29047084,29816581,NC
-0.29701835,29816582,NC
-0.2918989,29816583,NC
-0.27677923,29816584,NC
-0.25332594,29816585,NC
-0.22820571,29816586,NC
-0.20308524,29816587,NC
-0.17463118,29816588,NC
-0.15117687,29816589,NC
-0.12938896,29816590,NC
-0.11426748,29816591,NC
-0.10247908,29816592,NC
-0.10735709,29816593,NC
-0.11556819,29816594,NC
-0.12211238,29816595,NC
-0.12532298,29816596,NC
-0.1252,29816597,NC
-0.13007678,29816598,NC
-0.12161998,29816599,NC
-0.11149627,29816600,NC
-0.09470565,29816601,NC
-0.086248115,29816602,NC
-0.079457015,29816603,NC
-0.07933234,29816604,NC
-0.07587409,29816605,NC
-0.075748935,29816606,NC
-0.07229021,29816607,NC
-0.073831245,29816608,NC
-0.07703872,29816609,NC
-0.08357929,29816610,NC
-0.09345296,29816611,NC
-0.09665974,29816612,NC
-0.09319961,29816613,NC
-0.07807259,29816614,NC
-0.06627867,29816615,NC
-0.06281786,29816616,NC
-0.06435682,29816617,NC
-0.06922889,29816618,NC
-0.0757674,29816619,NC
-0.08397235,29816620,NC
-0.08217707,29816621,NC
-0.07204825,29816622,NC
-0.0569192,29816623,NC
-0.045123264,29816624,NC
-0.033327103,29816625,NC
-0.024864066,29816626,NC
-0.011400806,29816627,NC
0.0020626676,29816628,NC
0.013859693,29816629,NC
0.013990263,29816630,NC
0.007454379,29816631,NC
0.0009187075,29816632,NC
-0.0022834186,29816633,NC
0.0045146653,29816634,NC
0.014646293,29816635,NC
0.031444795,29816636,NC
0.048243504,29816637,NC
0.06670909,29816638,NC
0.08517487,29816639,NC
0.09864086,29816640,NC
0.1154404,29816641,NC
0.13224013,29816642,NC
0.14904006,29816643,NC
0.15917352,29816644,NC
0.16264051,29816645,NC
0.16110772,29816646,NC
0.16290843,29816647,NC
0.17137602,29816648,NC
0.18817714,29816649,NC
0.20331179,29816650,NC
0.21677995,29816651,NC
0.22858164,29816652,NC
0.2320502,29816653,NC
0.22885227,29816654,NC
0.22898787,29816655,NC
0.23412365,29816656,NC
0.24092627,29816657,NC
0.2377291,29816658,NC
0.23286545,29816659,NC
0.22466865,29816660,NC
0.21480536,29816661,NC
0.2016089,29816662,NC
0.19174597,29816663,NC
0.18188322,29816664,NC
0.17202064,29816665,NC
0.14882493,29816666,NC
0.1239627,29816667,NC
0.09243398,29816668,NC
0.06590544,29816669,NC
0.044377074,29816670,NC
0.029515544,29816671,NC
0.019654188,29816672,NC
0.011459667,29816673,NC
0.008265315,29816674,NC
0.0017377969,29816675,NC
-0.0064562205,29816676,NC
-0.02131674,29816677,NC
-0.03451043,29816678,NC
-0.054370623,29816679,NC
-0.077563986,29816680,NC
-0.10075719,29816681,NC
-0.1156169,29816682,NC
-0.118809775,29816683,NC
-0.11200251,29816684,NC
-0.10019507,29816685,NC
-0.08505416,29816686,NC
-0.07657975,29816687,NC
-0.08477186,29816688,NC
-0.099630475,29816689,NC
-0.11782228,29816690,NC
-0.12934726,29816691,NC
