channel_0,sample #,type
0.4815842,29668523,A
0.49443433,29668524,NC
0.48367712,29668525,NC
0.42464325,29668526,NC
0.2937463,29668527,NC
0.10707514,29668528,NC
-0.098902315,29668529,NC
-0.28128263,29668530,NC
-0.41110602,29668531,NC
-0.4830095,29668532,NC
-0.50557375,29668533,NC
-0.49381503,29668534,NC
-0.47025758,29668535,NC
-0.44455472,29668536,NC
-0.42206934,29668537,NC
-0.40923706,29668538,NC
-0.40498513,29668539,NC
-0.4071685,29668540,NC
-0.41042426,29668541,NC
-0.40938932,29668542,NC
-0.39119285,29668543,NC
-0.36441538,29668544,NC
-0.3354925,29668545,NC
-0.3119323,29668546,NC
-0.30660576,29668547,NC
-0.3120049,29668548,NC
-0.32276663,29668549,NC
-0.3356733,29668550,NC
-0.3442894,29668551,NC
-0.34217936,29668552,NC
-0.3389965,29668553,NC
-0.3283052,29668554,NC
-0.31546855,29668555,NC
-0.3090671,29668556,NC
-0.29730242,29668557,NC
-0.2887553,29668558,NC
-0.2748449,29668559,NC
-0.2555714,29668560,NC
-0.24058795,29668561,NC
-0.22667679,29668562,NC
-0.2192009,29668563,NC
-0.21923283,29668564,NC
-0.2181919,29668565,NC
-0.21607812,29668566,NC
-0.2107463,29668567,NC
-0.20434162,29668568,NC
-0.19900927,29668569,NC
-0.19367664,29668570,NC
-0.19370666,29668571,NC
-0.19588158,29668572,NC
-0.20020139,29668573,NC
-0.20881128,29668574,NC
-0.2152757,29668575,NC
-0.21744952,29668576,NC
-0.21962306,29668577,NC
-0.21643336,29668578,NC
-0.21109825,29668579,NC
-0.20898058,29668580,NC
-0.20900781,29668581,NC
-0.20796219,29668582,NC
-0.2122792,29668583,NC
-0.21552335,29668584,NC
-0.21554945,29668585,NC
-0.21664786,29668586,NC
-0.21238305,29668587,NC
-0.2049002,29668588,NC
-0.1941993,29668589,NC
-0.18349811,29668590,NC
-0.17494182,29668591,NC
-0.17174815,29668592,NC
-0.17284457,29668593,NC
-0.17608584,29668594,NC
-0.1803994,29668595,NC
-0.1857853,29668596,NC
-0.19117089,29668597,NC
-0.19441101,29668598,NC
-0.19550566,29668599,NC
-0.19123709,29668600,NC
-0.18589565,29668601,NC
-0.1816265,29668602,NC
-0.17199413,29668603,NC
-0.16343406,29668604,NC
-0.15058334,29668605,NC
-0.13558717,29668606,NC
-0.12917137,29668607,NC
-0.12275528,29668608,NC
-0.11741149,29668609,NC
-0.114212565,29668610,NC
-0.10779558,29668611,NC
-0.103523485,29668612,NC
-0.09710591,29668613,NC
-0.08747028,29668614,NC
-0.07354402,29668615,NC
-0.060690038,29668616,NC
-0.053198688,29668617,NC
-0.046779625,29668618,NC
-0.04357802,29668619,NC
-0.039303526,29668620,NC
-0.031810973,29668621,NC
-0.024318121,29668622,NC
-0.01682497,29668623,NC
-0.0050411727,29668624,NC
0.006742928,29668625,NC
0.017454745,29668626,NC
0.031384625,29668627,NC
0.043169633,29668628,NC
0.050664604,29668629,NC
0.056014698,29668630,NC
0.053857002,29668631,NC
0.047409255,29668632,NC
0.03774406,29668633,NC
0.028079173,29668634,NC
0.021632342,29668635,NC
0.019476164,29668636,NC
0.020538049,29668637,NC
0.022672828,29668638,NC
0.021590155,29668639,NC
0.016217439,29668640,NC
0.007627273,29668641,NC
-0.0041803457,29668642,NC
-0.017060243,29668643,NC
-0.031012421,29668644,NC
-0.042819116,29668645,NC
-0.05355292,29668646,NC
-0.06214124,29668647,NC
-0.06751151,29668648,NC
-0.075026624,29668649,NC
-0.08254145,29668650,NC
-0.0943463,29668651,NC
-0.11151376,29668652,NC
-0.12868093,29668653,NC
-0.14584778,29668654,NC
-0.16086917,29668655,NC
-0.17267247,29668656,NC
-0.18340288,29668657,NC
-0.19306041,29668658,NC
-0.20271762,29668659,NC
-0.20701158,29668660,NC
-0.20916007,29668661,NC
-0.2091631,29668662,NC
-0.20594804,29668663,NC
-0.20273265,29668664,NC
-0.20166215,29668665,NC
-0.20273653,29668666,NC
-0.20488316,29668667,NC
-0.21346499,29668668,NC
-0.21990135,29668669,NC
-0.22740997,29668670,NC
-0.23277314,29668671,NC
-0.23384564,29668672,NC
-0.23384523,29668673,NC
-0.2295542,29668674,NC
-0.22740804,29668675,NC
-0.22526154,29668676,NC
-0.22204211,29668677,NC
-0.22525795,29668678,NC
-0.22740087,29668679,NC
-0.22954349,29668680,NC
-0.23490354,29668681,NC
-0.23704554,29668682,NC
-0.23811463,29668683,NC
-0.23811083,29668684,NC
-0.23596156,29668685,NC
-0.2305942,29668686,NC
-0.22415397,29668687,NC
-0.21878603,29668688,NC
-0.21556291,29668689,NC
-0.21555725,29668690,NC
-0.22305939,29668691,NC
-0.23485158,29668692,NC
-0.24664345,29668693,NC
-0.26165277,29668694,NC
-0.27129886,29668695,NC
-0.27558172,29668696,NC
-0.27450132,29668697,NC
-0.2659125,29668698,NC
-0.26054117,29668699,NC
-0.2562421,29668700,NC
-0.2530153,29668701,NC
-0.25622374,29668702,NC
-0.25621408,29668703,NC
-0.25405896,29668704,NC
-0.25190353,29668705,NC
-0.24438487,29668706,NC
-0.2379385,29668707,NC
-0.23470956,29668708,NC
-0.23469804,29668709,NC
-0.23575887,29668710,NC
-0.23681936,29668711,NC
-0.23251662,29668712,NC
-0.22499584,29668713,NC
-0.22176507,29668714,NC
-0.2120985,29668715,NC
-0.20886713,29668716,NC
-0.20885323,29668717,NC
-0.2099116,29668718,NC
-0.21633261,29668719,NC
-0.22168073,29668720,NC
-0.22810112,29668721,NC
-0.2270131,29668722,NC
-0.22163446,29668723,NC
-0.21303776,29668724,NC
-0.20122299,29668725,NC
-0.19369827,29668726,NC
-0.19368136,29668727,NC
-0.19795449,29668728,NC
-0.20973542,29668729,NC
-0.22366121,29668730,NC
-0.23651415,29668731,NC
-0.24400386,29668732,NC
-0.24613033,29668733,NC
-0.24074839,29668734,NC
-0.22785805,29668735,NC
-0.21818519,29668736,NC
-0.20636687,29668737,NC
-0.19883858,29668738,NC
-0.1977455,29668739,NC
-0.1998699,29668740,NC
-0.20521176,29668741,NC
-0.21162592,29668742,NC
-0.21482204,29668743,NC
-0.21372752,29668744,NC
-0.20726976,29668745,NC
-0.20081171,29668746,NC
-0.19542597,29668747,NC
-0.19111253,29668748,NC
-0.19001652,29668749,NC
-0.19535579,29668750,NC
-0.2028399,29668751,NC
-0.21354151,29668752,NC
-0.226388,29668753,NC
-0.22958092,29668754,NC
-0.22848323,29668755,NC
-0.22631264,29668756,NC
-0.21877885,29668757,NC
-0.21231735,29668758,NC
-0.20907333,29668759,NC
-0.20261128,29668760,NC
-0.20258445,29668761,NC
-0.20470251,29668762,NC
-0.20789288,29668763,NC
-0.20786521,29668764,NC
-0.20676465,29668765,NC
-0.20780903,29668766,NC
-0.20670794,29668767,NC
-0.20775172,29668768,NC
-0.20772265,29668769,NC
-0.20125778,29668770,NC
-0.19586523,29668771,NC
-0.19476275,29668772,NC
-0.19365999,29668773,NC
-0.19791989,29668774,NC
-0.2021795,29668775,NC
-0.20536627,29668776,NC
-0.205335,29668777,NC
-0.2031583,29668778,NC
-0.1934732,29668779,NC
-0.17735234,29668780,NC
-0.15694085,29668781,NC
-0.13009357,29668782,NC
-0.09895568,29668783,NC
-0.054946497,29668784,NC
0.0030065733,29668785,NC
0.07597612,29668786,NC
0.16396213,29668787,NC
0.25945652,29668788,NC
0.35387856,29668789,NC
0.4343573,29668790,A
0.47515056,29668791,NC
0.45802444,29668792,NC
0.36581758,29668793,NC
0.20282029,29668794,NC
0.0012101457,29668795,NC
-0.20469007,29668796,NC
-0.37197694,29668797,NC
