channel_0,sample #,type
0.67886215,29420192,R
0.70892406,29420193,NC
0.62898695,29420194,NC
0.4390507,29420195,NC
0.19911541,29420196,NC
-0.04581896,29420197,NC
-0.22075243,29420198,NC
-0.33068496,29420199,NC
-0.3806166,29420200,NC
-0.37054735,29420201,NC
-0.37047717,29420202,NC
-0.35040605,29420203,NC
-0.34533405,29420204,NC
-0.32526115,29420205,NC
-0.31018737,29420206,NC
-0.30511263,29420207,NC
-0.31503704,29420208,NC
-0.32496053,29420209,NC
-0.3248831,29420210,NC
-0.30980483,29420211,NC
-0.26972565,29420212,NC
-0.23964556,29420213,NC
-0.21956459,29420214,NC
-0.20948273,29420215,NC
-0.22439998,29420216,NC
-0.25931635,29420217,NC
-0.29423183,29420218,NC
-0.31914645,29420219,NC
-0.31906018,29420220,NC
-0.31397304,29420221,NC
-0.273885,29420222,NC
-0.24879612,29420223,NC
-0.22370636,29420224,NC
-0.18861574,29420225,NC
-0.17352426,29420226,NC
-0.15343189,29420227,NC
-0.13333866,29420228,NC
-0.10324458,29420229,NC
-0.08314964,29420230,NC
-0.07305385,29420231,NC
-0.0629572,29420232,NC
-0.0678597,29420233,NC
-0.06776135,29420234,NC
-0.08266215,29420235,NC
-0.08256211,29420236,NC
-0.08246122,29420237,NC
-0.0873595,29420238,NC
-0.07225694,29420239,NC
-0.05215354,29420240,NC
-0.05204931,29420241,NC
-0.046944246,29420242,NC
-0.066838354,29420243,NC
-0.08173163,29420244,NC
-0.10162409,29420245,NC
-0.11151573,29420246,NC
-0.10640655,29420247,NC
-0.091296546,29420248,NC
-0.061185732,29420249,NC
-0.051074106,29420250,NC
-0.035961673,29420251,NC
-0.04084843,29420252,NC
-0.050734386,29420253,NC
-0.06061954,29420254,NC
-0.06550389,29420255,NC
-0.060387447,29420256,NC
-0.055270214,29420257,NC
-0.06515218,29420258,NC
-0.06503337,29420259,NC
-0.079913765,29420260,NC
-0.06979338,29420261,NC
-0.06467222,29420262,NC
-0.06455027,29420263,NC
-0.04442755,29420264,NC
-0.039304063,29420265,NC
-0.034179803,29420266,NC
-0.034054775,29420267,NC
-0.038928982,29420268,NC
-0.03380243,29420269,NC
-0.02367512,29420270,NC
-0.013547055,29420271,NC
-0.013418239,29420272,NC
-0.0032886695,29420273,NC
-0.0031583551,29420274,NC
0.006972704,29420275,NC
0.022104505,29420276,NC
0.012237046,29420277,NC
0.0073703155,29420278,NC
0.012504321,29420279,NC
0.03263905,29420280,NC
0.042774513,29420281,NC
0.072910696,29420282,NC
0.0830476,29420283,NC
0.10318522,29420284,NC
0.11832355,29420285,NC
0.11346258,29420286,NC
0.11360234,29420287,NC
0.1237428,29420288,NC
0.12888394,29420289,NC
0.12402581,29420290,NC
0.14916836,29420291,NC
0.1593116,29420292,NC
0.16945553,29420293,NC
0.18960014,29420294,NC
0.18974543,29420295,NC
0.19489141,29420296,NC
0.21003805,29420297,NC
0.22018538,29420298,NC
0.22533336,29420299,NC
0.22548202,29420300,NC
0.22063135,29420301,NC
0.22078133,29420302,NC
0.21593197,29420303,NC
0.21108323,29420304,NC
0.20123518,29420305,NC
0.21138775,29420306,NC
0.21654098,29420307,NC
0.22169483,29420308,NC
0.21184933,29420309,NC
0.20200446,29420310,NC
0.1971602,29420311,NC
0.17731658,29420312,NC
0.1724736,29420313,NC
0.15263121,29420314,NC
0.13278943,29420315,NC
0.11794827,29420316,NC
0.10310772,29420317,NC
0.08326777,29420318,NC
0.08842842,29420319,NC
0.07358967,29420320,NC
0.07375151,29420321,NC
0.05891394,29420322,NC
0.054076947,29420323,NC
0.024240546,29420324,NC
0.009404717,29420325,NC
-0.0054305363,29420326,NC
-0.020265218,29420327,NC
-0.030099336,29420328,NC
-0.039932888,29420329,NC
-0.03476588,29420330,NC
-0.03459832,29420331,NC
-0.034430206,29420332,NC
-0.029261544,29420333,NC
-0.029092338,29420334,NC
-0.038922593,29420335,NC
-0.033752307,29420336,NC
-0.048581496,29420337,NC
-0.06341015,29420338,NC
-0.083238274,29420339,NC
-0.088065885,29420340,NC
-0.092892975,29420341,NC
-0.092719555,29420342,NC
-0.10254562,29420343,NC
-0.12237119,29420344,NC
-0.12219625,29420345,NC
-0.12202081,29420346,NC
-0.11684488,29420347,NC
-0.12166846,29420348,NC
-0.11649155,29420349,NC
-0.11631416,29420350,NC
-0.111136295,29420351,NC
-0.11095795,29420352,NC
-0.10577914,29420353,NC
-0.100599855,29420354,NC
-0.09042012,29420355,NC
-0.09023992,29420356,NC
