channel_0,sample #,type
0.30475396,29314329,R
0.37638158,29314330,NC
0.40020704,29314331,NC
0.32920492,29314332,NC
0.18428089,29314333,NC
-0.019873193,29314334,NC
-0.24941179,29314335,NC
-0.41574755,29314336,NC
-0.51538426,29314337,NC
-0.5509114,29314338,NC
-0.55988777,29314339,NC
-0.53114635,29314340,NC
-0.493199,29314341,NC
-0.45103365,29314342,NC
-0.43025327,29314343,NC
-0.42346418,29314344,NC
-0.4281559,29314345,NC
-0.4382048,29314346,NC
-0.46041185,29314347,NC
-0.463754,29314348,NC
-0.44546705,29314349,NC
-0.4202368,29314350,NC
-0.41001117,29314351,NC
-0.3985472,29314352,NC
-0.39064473,29314353,NC
-0.39098623,29314354,NC
-0.38542414,29314355,NC
-0.4054529,29314356,NC
-0.39339685,29314357,NC
-0.3794869,29314358,NC
-0.38532352,29314359,NC
-0.36310723,29314360,NC
-0.36020312,29314361,NC
-0.33779886,29314362,NC
-0.32878113,29314363,NC
-0.31384778,29314364,NC
-0.28997,29314365,NC
-0.2691935,29314366,NC
-0.24583267,29314367,NC
-0.22910672,29314368,NC
-0.21087265,29314369,NC
-0.22109841,29314370,NC
-0.21646425,29314371,NC
-0.21489166,29314372,NC
-0.20532344,29314373,NC
-0.20922558,29314374,NC
-0.21598954,29314375,NC
-0.21547031,29314376,NC
-0.21482128,29314377,NC
-0.21541786,29314378,NC
-0.22635302,29314379,NC
-0.21857746,29314380,NC
-0.19836943,29314381,NC
-0.19865482,29314382,NC
-0.21163833,29314383,NC
-0.21016969,29314384,NC
-0.2149657,29314385,NC
-0.20487651,29314386,NC
-0.20561393,29314387,NC
-0.20427345,29314388,NC
-0.20977207,29314389,NC
-0.21120857,29314390,NC
-0.21098867,29314391,NC
-0.19937757,29314392,NC
-0.18506461,29314393,NC
-0.18904442,29314394,NC
-0.17391369,29314395,NC
-0.1743504,29314396,NC
-0.1741713,29314397,NC
-0.18001336,29314398,NC
-0.18042846,29314399,NC
-0.17975214,29314400,NC
-0.18220383,29314401,NC
-0.1792933,29314402,NC
-0.17030098,29314403,NC
-0.16869836,29314404,NC
-0.16014121,29314405,NC
-0.1486993,29314406,NC
-0.16107441,29314407,NC
-0.15617475,29314408,NC
-0.15959817,29314409,NC
-0.16420835,29314410,NC
-0.16411887,29314411,NC
-0.175497,29314412,NC
-0.16468778,29314413,NC
-0.15603767,29314414,NC
-0.14433663,29314415,NC
-0.14037757,29314416,NC
-0.12428894,29314417,NC
-0.113910675,29314418,NC
-0.11073944,29314419,NC
-0.103385404,29314420,NC
-0.09440963,29314421,NC
-0.08994617,29314422,NC
-0.09005985,29314423,NC
-0.06948382,29314424,NC
-0.07510316,29314425,NC
-0.070120215,29314426,NC
-0.061013933,29314427,NC
-0.060641106,29314428,NC
-0.050236892,29314429,NC
-0.047566388,29314430,NC
-0.041368403,29314431,NC
-0.040726528,29314432,NC
-0.050437074,29314433,NC
-0.051074456,29314434,NC
-0.05581467,29314435,NC
-0.029387167,29314436,NC
-0.03624063,29314437,NC
-0.021163793,29314438,NC
-0.01115942,29314439,NC
0.015967688,29314440,NC
0.019716663,29314441,NC
0.023815058,29314442,NC
0.018362105,29314443,NC
0.0147968875,29314444,NC
0.008856656,29314445,NC
-0.010036278,29314446,NC
-0.031200249,29314447,NC
-0.046159256,29314448,NC
-0.045984812,29314449,NC
-0.040350072,29314450,NC
-0.028887738,29314451,NC
-0.013800867,29314452,NC
-0.005069955,29314453,NC
-0.002563298,29314454,NC
-0.009997764,29314455,NC
-0.014823627,29314456,NC
-0.027355082,29314457,NC
-0.04903723,29314458,NC
-0.070818245,29314459,NC
-0.06694405,29314460,NC
-0.06409664,29314461,NC
-0.07053941,29314462,NC
-0.0760761,29314463,NC
-0.09008426,29314464,NC
-0.099822246,29314465,NC
-0.11352041,29314466,NC
-0.1436171,29314467,NC
-0.14555068,29314468,NC
-0.16087349,29314469,NC
-0.16439772,29314470,NC
-0.17024608,29314471,NC
-0.18131599,29314472,NC
-0.18424314,29314473,NC
-0.18457495,29314474,NC
-0.18007433,29314475,NC
-0.1800151,29314476,NC
-0.17417295,29314477,NC
-0.1754217,29314478,NC
-0.1963004,29314479,NC
-0.19108406,29314480,NC
-0.2191146,29314481,NC
-0.24999923,29314482,NC
-0.24972592,29314483,NC
-0.2602777,29314484,NC
-0.2661586,29314485,NC
-0.26048172,29314486,NC
-0.24378438,29314487,NC
-0.23502132,29314488,NC
-0.22533135,29314489,NC
-0.21824998,29314490,NC
-0.2057218,29314491,NC
-0.21542765,29314492,NC
-0.22123997,29314493,NC
-0.21967575,29314494,NC
-0.21621948,29314495,NC
-0.21843986,29314496,NC
-0.20602478,29314497,NC
-0.19007945,29314498,NC
-0.16506884,29314499,NC
-0.14484666,29314500,NC
-0.12811089,29314501,NC
-0.13539551,29314502,NC
-0.12601897,29314503,NC
-0.14059822,29314504,NC
-0.14969206,29314505,NC
-0.15514827,29314506,NC
-0.17439532,29314507,NC
-0.17301172,29314508,NC
-0.16505578,29314509,NC
-0.1488996,29314510,NC
-0.13455671,29314511,NC
-0.13492484,29314512,NC
-0.13922003,29314513,NC
-0.14578417,29314514,NC
-0.1446691,29314515,NC
-0.14764033,29314516,NC
-0.15708667,29314517,NC
-0.14871322,29314518,NC
-0.15607917,29314519,NC
-0.15013587,29314520,NC
-0.14006047,29314521,NC
-0.13644835,29314522,NC
-0.13062051,29314523,NC
-0.14591138,29314524,NC
-0.13558044,29314525,NC
-0.12954107,29314526,NC
-0.14471711,29314527,NC
-0.14467537,29314528,NC
-0.14994614,29314529,NC
-0.15847684,29314530,NC
-0.15522355,29314531,NC
-0.16513917,29314532,NC
-0.15562089,29314533,NC
-0.15017797,29314534,NC
-0.15115254,29314535,NC
-0.1523687,29314536,NC
-0.14411834,29314537,NC
-0.14532433,29314538,NC
-0.14436407,29314539,NC
-0.13512944,29314540,NC
-0.13923588,29314541,NC
-0.15971455,29314542,NC
-0.17527315,29314543,NC
-0.16858232,29314544,NC
-0.16488399,29314545,NC
-0.16874811,29314546,NC
-0.16487464,29314547,NC
-0.17136294,29314548,NC
-0.15416613,29314549,NC
-0.17121398,29314550,NC
-0.18046987,29314551,NC
-0.17310749,29314552,NC
-0.16855818,29314553,NC
-0.16845794,29314554,NC
-0.17964631,29314555,NC
-0.18005008,29314556,NC
-0.17067555,29314557,NC
-0.15638219,29314558,NC
-0.1441514,29314559,NC
-0.14957006,29314560,NC
-0.14509723,29314561,NC
-0.15044716,29314562,NC
-0.15063019,29314563,NC
-0.16067588,29314564,NC
-0.15585996,29314565,NC
-0.1672269,29314566,NC
-0.16593385,29314567,NC
-0.14172341,29314568,NC
-0.09029116,29314569,NC
-0.015298599,29314570,NC
0.0648455,29314571,NC
0.18548553,29314572,NC
0.29670304,29314573,NC
0.37093985,29314574,A
0.40251982,29314575,NC
0.36991242,29314576,NC
0.24614441,29314577,NC
0.033979017,29314578,NC
-0.18324848,29314579,NC
-0.35843495,29314580,NC
-0.45575383,29314581,NC
-0.48475587,29314582,NC
-0.481383,29314583,NC
-0.44106635,29314584,NC
-0.41428888,29314585,NC
-0.38995686,29314586,NC
-0.37092745,29314587,NC
-0.3501756,29314588,NC
-0.34581178,29314589,NC
-0.36551014,29314590,NC
-0.39446208,29314591,NC
-0.41966558,29314592,NC
-0.4110592,29314593,NC
-0.38499197,29314594,NC
-0.34843877,29314595,NC
-0.31897086,29314596,NC
-0.2945682,29314597,NC
-0.2899009,29314598,NC
-0.31496888,29314599,NC
-0.3347662,29314600,NC
-0.36380708,29314601,NC
-0.38488385,29314602,NC
-0.39528954,29314603,NC
-0.38444358,29314604,NC
-0.3683023,29314605,NC
-0.34508276,29314606,NC
-0.29579246,29314607,NC
-0.27018598,29314608,NC
-0.21419479,29314609,NC
-0.18613535,29314610,NC
-0.15960321,29314611,NC
-0.14490563,29314612,NC
-0.14110875,29314613,NC
-0.15093976,29314614,NC
-0.15554486,29314615,NC
-0.17998835,29314616,NC
-0.18396428,29314617,NC
-0.1808335,29314618,NC
-0.17083323,29314619,NC
-0.16880368,29314620,NC
-0.15563087,29314621,NC
-0.14976537,29314622,NC
-0.16889235,29314623,NC
-0.15880178,29314624,NC
-0.16707987,29314625,NC
-0.16941556,29314626,NC
-0.17636533,29314627,NC
-0.17960641,29314628,NC
-0.17546715,29314629,NC
-0.17118928,29314630,NC
-0.16564326,29314631,NC
-0.15983722,29314632,NC
-0.15022577,29314633,NC
-0.14559053,29314634,NC
-0.13022341,29314635,NC
-0.13542803,29314636,NC
-0.13945633,29314637,NC
-0.16105813,29314638,NC
-0.17135395,29314639,NC
-0.16492301,29314640,NC
-0.17129345,29314641,NC
-0.16054344,29314642,NC
-0.16067936,29314643,NC
-0.13521993,29314644,NC
-0.13058993,29314645,NC
-0.11590685,29314646,NC
-0.1151805,29314647,NC
-0.13137174,29314648,NC
-0.11955076,29314649,NC
-0.13408487,29314650,NC
-0.119538024,29314651,NC
-0.12545605,29314652,NC
-0.114371315,29314653,NC
-0.114131585,29314654,NC
-0.100008294,29314655,NC
-0.08400575,29314656,NC
-0.08038062,29314657,NC
-0.07994661,29314658,NC
-0.07082327,29314659,NC
-0.058899928,29314660,NC
-0.07137424,29314661,NC
-0.07089268,29314662,NC
