channel_0,sample #,type
1.0828559,19667516,N
1.1790279,19667517,NC
1.076842,19667518,NC
0.79997796,19667519,NC
0.43314478,19667520,NC
0.010316353,19667521,NC
-0.45935097,19667522,NC
-0.829808,19667523,NC
-0.95628875,19667524,NC
-0.89065486,19667525,NC
-0.78022975,19667526,NC
-0.67518485,19667527,NC
-0.57628644,19667528,NC
-0.5116955,19667529,NC
-0.47464687,19667530,NC
-0.46415207,19667531,NC
-0.42091587,19667532,NC
-0.3858548,19667533,NC
-0.3637459,19667534,NC
-0.36213624,19667535,NC
-0.36862415,19667536,NC
-0.36951506,19667537,NC
-0.38088095,19667538,NC
-0.3542959,19667539,NC
-0.38115737,19667540,NC
-0.36349812,19667541,NC
-0.35870773,19667542,NC
-0.3780724,19667543,NC
-0.3631614,19667544,NC
-0.35036397,19667545,NC
-0.31004822,19667546,NC
-0.3400215,19667547,NC
-0.35367078,19667548,NC
-0.32377064,19667549,NC
-0.30902755,19667550,NC
-0.31046978,19667551,NC
-0.32888147,19667552,NC
-0.34450227,19667553,NC
-0.33747634,19667554,NC
-0.33492228,19667555,NC
-0.30751684,19667556,NC
-0.2928057,19667557,NC
-0.29100764,19667558,NC
-0.30230767,19667559,NC
-0.291556,19667560,NC
-0.29509282,19667561,NC
-0.28358233,19667562,NC
-0.27253285,19667563,NC
-0.27191174,19667564,NC
-0.29347998,19667565,NC
-0.29139316,19667566,NC
-0.26900822,19667567,NC
-0.25455755,19667568,NC
-0.22507592,19667569,NC
-0.20978254,19667570,NC
-0.20438784,19667571,NC
-0.19994074,19667572,NC
-0.20818198,19667573,NC
-0.18265383,19667574,NC
-0.15106314,19667575,NC
-0.12883304,19667576,NC
-0.1101614,19667577,NC
-0.1206876,19667578,NC
-0.0974027,19667579,NC
-0.07632627,19667580,NC
-0.026168577,19667581,NC
-0.022188354,19667582,NC
-0.0036263377,19667583,NC
-0.0021136655,19667584,NC
0.014283459,19667585,NC
0.04539197,19667586,NC
0.06805085,19667587,NC
0.07485039,19667588,NC
0.05927346,19667589,NC
0.035506245,19667590,NC
0.0518032,19667591,NC
0.033596724,19667592,NC
0.054704566,19667593,NC
0.051732622,19667594,NC
0.04202227,19667595,NC
0.0374756,19667596,NC
0.023862429,19667597,NC
0.027979316,19667598,NC
0.042012084,19667599,NC
0.03517592,19667600,NC
0.004435757,19667601,NC
-0.011344887,19667602,NC
-0.047217384,19667603,NC
-0.039977554,19667604,NC
-0.037047286,19667605,NC
-0.05476933,19667606,NC
-0.08362515,19667607,NC
-0.12368669,19667608,NC
-0.14094834,19667609,NC
-0.14877726,19667610,NC
-0.14863358,19667611,NC
-0.16344532,19667612,NC
-0.19203739,19667613,NC
-0.22656326,19667614,NC
-0.23732428,19667615,NC
-0.25703412,19667616,NC
-0.24569163,19667617,NC
-0.2543848,19667618,NC
-0.2791228,19667619,NC
-0.29548565,19667620,NC
-0.2949433,19667621,NC
-0.29016924,19667622,NC
-0.2809757,19667623,NC
-0.29621348,19667624,NC
-0.29812196,19667625,NC
-0.32040313,19667626,NC
-0.32161382,19667627,NC
-0.31327224,19667628,NC
-0.30420223,19667629,NC
-0.31602496,19667630,NC
-0.33263096,19667631,NC
-0.345264,19667632,NC
-0.34879458,19667633,NC
-0.34629267,19667634,NC
-0.3299901,19667635,NC
-0.3158348,19667636,NC
-0.31716534,19667637,NC
-0.31386438,19667638,NC
-0.28713894,19667639,NC
-0.28410396,19667640,NC
-0.23488097,19667641,NC
-0.22881857,19667642,NC
-0.26852933,19667643,NC
-0.29212618,19667644,NC
-0.32275355,19667645,NC
-0.29440808,19667646,NC
-0.26621506,19667647,NC
-0.25082326,19667648,NC
-0.24101627,19667649,NC
-0.24917908,19667650,NC
-0.24259369,19667651,NC
-0.25853884,19667652,NC
-0.26575574,19667653,NC
-0.28093582,19667654,NC
-0.28905278,19667655,NC
-0.28830156,19667656,NC
-0.2969108,19667657,NC
-0.29157677,19667658,NC
-0.27756327,19667659,NC
-0.28949064,19667660,NC
-0.29288268,19667661,NC
-0.30775762,19667662,NC
-0.30690932,19667663,NC
-0.30921286,19667664,NC
-0.31247506,19667665,NC
-0.33095112,19667666,NC
-0.3320219,19667667,NC
-0.3656814,19667668,NC
-0.38456947,19667669,NC
-0.39390567,19667670,NC
-0.38334814,19667671,NC
-0.37159714,19667672,NC
-0.38482,19667673,NC
-0.40064323,19667674,NC
-0.40115735,19667675,NC
-0.3922561,19667676,NC
-0.3763253,19667677,NC
-0.35038224,19667678,NC
-0.36333743,19667679,NC
-0.40628254,19667680,NC
-0.40802678,19667681,NC
-0.40528807,19667682,NC
-0.39066267,19667683,NC
-0.3863629,19667684,NC
-0.3795595,19667685,NC
-0.3625312,19667686,NC
-0.36935592,19667687,NC
-0.37823188,19667688,NC
-0.34023324,19667689,NC
-0.34116125,19667690,NC
-0.36470568,19667691,NC
-0.37754554,19667692,NC
-0.3786545,19667693,NC
-0.3867297,19667694,NC
-0.41621342,19667695,NC
-0.4347684,19667696,NC
-0.46534193,19667697,NC
-0.47886416,19667698,NC
-0.43672594,19667699,NC
-0.36105594,19667700,NC
-0.21968347,19667701,NC
-0.01705792,19667702,NC
0.2435409,19667703,NC
0.51165366,19667704,NC
0.7901822,19667705,NC
0.9732521,19667706,A
0.9991001,19667707,NC
0.8014693,19667708,NC
0.43355015,19667709,NC
-0.022847842,19667710,NC
-0.5209274,19667711,NC
-0.86730677,19667712,NC
-0.9372194,19667713,NC
-0.8677054,19667714,NC
-0.7495607,19667715,NC
-0.67836756,19667716,NC
-0.60336435,19667717,NC
-0.49794486,19667718,NC
-0.44072825,19667719,NC
-0.40554956,19667720,NC
-0.3992269,19667721,NC
-0.41835418,19667722,NC
-0.4113254,19667723,NC
-0.40633604,19667724,NC
-0.39277884,19667725,NC
-0.38013613,19667726,NC
-0.3731615,19667727,NC
-0.38640434,19667728,NC
-0.394517,19667729,NC
-0.40545493,19667730,NC
-0.37917775,19667731,NC
-0.3624126,19667732,NC
-0.3666116,19667733,NC
-0.38041335,19667734,NC
-0.383071,19667735,NC
-0.36946774,19667736,NC
-0.35420504,19667737,NC
-0.34153855,19667738,NC
-0.34312388,19667739,NC
-0.36921573,19667740,NC
-0.36486915,19667741,NC
-0.35036492,19667742,NC
-0.33306664,19667743,NC
-0.3325563,19667744,NC
-0.33099973,19667745,NC
-0.32152408,19667746,NC
-0.2938464,19667747,NC
-0.27793184,19667748,NC
-0.2849162,19667749,NC
-0.25871614,19667750,NC
-0.27255818,19667751,NC
-0.27709013,19667752,NC
-0.27444437,19667753,NC
-0.2593476,19667754,NC
-0.23143083,19667755,NC
-0.21309003,19667756,NC
-0.22753574,19667757,NC
-0.23973896,19667758,NC
-0.22129458,19667759,NC
-0.1632616,19667760,NC
-0.13789856,19667761,NC
-0.1125675,19667762,NC
-0.08404126,19667763,NC
-0.07472764,19667764,NC
-0.060347386,19667765,NC
-0.028420292,19667766,NC
0.01355716,19667767,NC
0.005700274,19667768,NC
0.0048666648,19667769,NC
-0.0014657723,19667770,NC
-0.015545982,19667771,NC
0.010111871,19667772,NC
0.027554667,19667773,NC
0.011456709,19667774,NC
0.010919826,19667775,NC
0.010352164,19667776,NC
0.001653455,19667777,NC
0.016969612,19667778,NC
0.018234434,19667779,NC
0.009177052,19667780,NC
-0.026754905,19667781,NC
-0.050306536,19667782,NC
-0.050655108,19667783,NC
-0.044568103,19667784,NC
-0.057886045,19667785,NC
-0.052198697,19667786,NC
-0.061245203,19667787,NC
-0.09822826,19667788,NC
-0.13590072,19667789,NC
-0.16544248,19667790,NC
-0.16608246,19667791,NC
-0.16857363,19667792,NC
-0.20170082,19667793,NC
-0.22641541,19667794,NC
-0.24900858,19667795,NC
-0.25416952,19667796,NC
-0.26708972,19667797,NC
-0.2546119,19667798,NC
-0.29672548,19667799,NC
-0.31075227,19667800,NC
-0.30612823,19667801,NC
-0.32326427,19667802,NC
-0.29700246,19667803,NC
-0.31040445,19667804,NC
-0.33437425,19667805,NC
-0.35409775,19667806,NC
-0.364407,19667807,NC
-0.35773417,19667808,NC
-0.3657184,19667809,NC
-0.37431926,19667810,NC
-0.37661186,19667811,NC
-0.38025412,19667812,NC
-0.38258988,19667813,NC
-0.36393684,19667814,NC
-0.36913598,19667815,NC
-0.34747162,19667816,NC
-0.3570022,19667817,NC
-0.36525807,19667818,NC
-0.3567825,19667819,NC
-0.34158218,19667820,NC
-0.33151993,19667821,NC
-0.33349338,19667822,NC
-0.3398088,19667823,NC
-0.3548034,19667824,NC
-0.34675148,19667825,NC
-0.3575945,19667826,NC
-0.3325491,19667827,NC
-0.32600728,19667828,NC
-0.34410456,19667829,NC
-0.35783887,19667830,NC
-0.35848135,19667831,NC
-0.3576209,19667832,NC
-0.34905303,19667833,NC
-0.32580137,19667834,NC
-0.3091987,19667835,NC
-0.31895074,19667836,NC
-0.3220461,19667837,NC
-0.31207946,19667838,NC
-0.31540623,19667839,NC
-0.31278774,19667840,NC
-0.3433372,19667841,NC
-0.35381365,19667842,NC
-0.36375827,19667843,NC
-0.3782167,19667844,NC
-0.34489372,19667845,NC
-0.33931735,19667846,NC
-0.34033787,19667847,NC
-0.35638338,19667848,NC
-0.3538843,19667849,NC
-0.33788893,19667850,NC
-0.3295426,19667851,NC
-0.3417984,19667852,NC
-0.3535048,19667853,NC
-0.3762073,19667854,NC
-0.3664056,19667855,NC
-0.3601804,19667856,NC
-0.35079306,19667857,NC
-0.33688763,19667858,NC
-0.33269644,19667859,NC
-0.34298268,19667860,NC
-0.33912686,19667861,NC
-0.32897812,19667862,NC
-0.3169201,19667863,NC
-0.32469085,19667864,NC
-0.33175775,19667865,NC
-0.3351694,19667866,NC
-0.35149318,19667867,NC
-0.3455961,19667868,NC
-0.34677655,19667869,NC
-0.34045246,19667870,NC
-0.34270814,19667871,NC
-0.34480068,19667872,NC
-0.34351793,19667873,NC
-0.3218677,19667874,NC
-0.318718,19667875,NC
-0.33715567,19667876,NC
-0.35803872,19667877,NC
-0.35107377,19667878,NC
-0.3369025,19667879,NC
-0.31748244,19667880,NC
-0.31142288,19667881,NC
-0.3318339,19667882,NC
-0.34548965,19667883,NC
-0.3565568,19667884,NC
-0.36901945,19667885,NC
-0.3445456,19667886,NC
-0.31510124,19667887,NC
-0.31562334,19667888,NC
-0.34083918,19667889,NC
-0.33513817,19667890,NC
-0.33920932,19667891,NC
-0.3173058,19667892,NC
-0.30808303,19667893,NC
-0.31010023,19667894,NC
-0.34254053,19667895,NC
-0.35268122,19667896,NC
-0.33942187,19667897,NC
-0.3228639,19667898,NC
-0.33919913,19667899,NC
-0.30696884,19667900,NC
-0.31746906,19667901,NC
-0.33062822,19667902,NC
-0.33991465,19667903,NC
-0.33563626,19667904,NC
-0.32405308,19667905,NC
-0.32892084,19667906,NC
-0.32206574,19667907,NC
-0.33075878,19667908,NC
-0.34129643,19667909,NC
-0.30653986,19667910,NC
-0.25924513,19667911,NC
-0.23087977,19667912,NC
-0.24600853,19667913,NC
-0.2355168,19667914,NC
-0.23356402,19667915,NC
-0.20274448,19667916,NC
-0.20403819,19667917,NC
-0.2039929,19667918,NC
-0.21806231,19667919,NC
-0.22922316,19667920,NC
-0.23301461,19667921,NC
-0.22749789,19667922,NC
-0.23301038,19667923,NC
-0.25054017,19667924,NC
-0.2400316,19667925,NC
-0.25708973,19667926,NC
-0.28430012,19667927,NC
-0.26005676,19667928,NC
-0.22580658,19667929,NC
-0.24171814,19667930,NC
-0.26546922,19667931,NC
-0.2964029,19667932,NC
-0.3206266,19667933,NC
-0.3011487,19667934,NC
-0.25213146,19667935,NC
-0.23221909,19667936,NC
-0.23559664,19667937,NC
-0.25970504,19667938,NC
-0.25083363,19667939,NC
-0.25086513,19667940,NC
-0.2547306,19667941,NC
-0.2671379,19667942,NC
-0.3003862,19667943,NC
-0.29667196,19667944,NC
-0.3144582,19667945,NC
-0.3077659,19667946,NC
-0.3298605,19667947,NC
-0.34284145,19667948,NC
-0.37570152,19667949,NC
-0.35568377,19667950,NC
-0.35461864,19667951,NC
-0.3306139,19667952,NC
-0.32311922,19667953,NC
-0.30619723,19667954,NC
-0.3278377,19667955,NC
-0.34791976,19667956,NC
-0.33597666,19667957,NC
-0.33242407,19667958,NC
-0.3227962,19667959,NC
-0.3196405,19667960,NC
-0.3319332,19667961,NC
-0.34582806,19667962,NC
-0.35186088,19667963,NC
-0.3343506,19667964,NC
-0.32991052,19667965,NC
-0.35357952,19667966,NC
-0.39546,19667967,NC
-0.40116152,19667968,NC
-0.37399858,19667969,NC
-0.2864376,19667970,NC
-0.15023658,19667971,NC
0.009319886,19667972,NC
0.19844733,19667973,NC
0.4354882,19667974,NC
0.6815603,19667975,NC
0.9407977,19667976,N
