channel_0,sample #,type
0.45961207,29660509,A
0.4973948,29660510,NC
0.47205257,29660511,NC
0.33597237,29660512,NC
0.12114256,29660513,NC
-0.12307142,29660514,NC
-0.3457458,29660515,NC
-0.4947599,29660516,NC
-0.55729616,29660517,NC
-0.5795679,29660518,NC
-0.54521066,29660519,NC
-0.517237,29660520,NC
-0.48888952,29660521,NC
-0.45389724,29660522,NC
-0.43601528,29660523,NC
-0.38694957,29660524,NC
-0.3774227,29660525,NC
-0.36856145,29660526,NC
-0.3859052,29660527,NC
-0.40757775,29660528,NC
-0.40266013,29660529,NC
-0.38188246,29660530,NC
-0.36678118,29660531,NC
-0.3328265,29660532,NC
-0.30017313,29660533,NC
-0.2909839,29660534,NC
-0.2811262,29660535,NC
-0.2868745,29660536,NC
-0.30283624,29660537,NC
-0.30127615,29660538,NC
-0.31052423,29660539,NC
-0.31688625,29660540,NC
-0.3152965,29660541,NC
-0.3096124,29660542,NC
-0.2997915,29660543,NC
-0.288693,29660544,NC
-0.2587812,29660545,NC
-0.23983333,29660546,NC
-0.19994222,29660547,NC
-0.17446768,29660548,NC
-0.17574018,29660549,NC
-0.15188572,29660550,NC
-0.1566307,29660551,NC
-0.16931497,29660552,NC
-0.17424501,29660553,NC
-0.18515661,29660554,NC
-0.19408971,29660555,NC
-0.1932114,29660556,NC
-0.19924405,29660557,NC
-0.1993529,29660558,NC
-0.18316408,29660559,NC
-0.18464315,29660560,NC
-0.16417539,29660561,NC
-0.15930732,29660562,NC
-0.15459397,29660563,NC
-0.15774263,29660564,NC
-0.16660449,29660565,NC
-0.17335479,29660566,NC
-0.18457681,29660567,NC
-0.18255293,29660568,NC
-0.18198445,29660569,NC
-0.17195448,29660570,NC
-0.16796058,29660571,NC
-0.16165203,29660572,NC
-0.13715707,29660573,NC
-0.1503097,29660574,NC
-0.14811866,29660575,NC
-0.13340566,29660576,NC
-0.13989027,29660577,NC
-0.13204291,29660578,NC
-0.14044201,29660579,NC
-0.1567409,29660580,NC
-0.15502064,29660581,NC
-0.1617704,29660582,NC
-0.14008617,29660583,NC
-0.1295893,29660584,NC
-0.118839696,29660585,NC
-0.10656358,29660586,NC
-0.10185207,29660587,NC
-0.09467049,29660588,NC
-0.10489637,29660589,NC
-0.10143311,29660590,NC
-0.10932191,29660591,NC
-0.09048207,29660592,NC
-0.08414741,29660593,NC
-0.05357106,29660594,NC
-0.03387459,29660595,NC
-0.018313862,29660596,NC
-0.0035574716,29660597,NC
0.011190148,29660598,NC
0.017567178,29660599,NC
0.0057965554,29660600,NC
0.021539504,29660601,NC
0.017657397,29660602,NC
0.02131832,29660603,NC
0.03558942,29660604,NC
0.050561532,29660605,NC
0.05664964,29660606,NC
0.057271563,29660607,NC
0.067818254,29660608,NC
0.07880585,29660609,NC
0.097276986,29660610,NC
0.10032177,29660611,NC
0.10245402,29660612,NC
0.1115389,29660613,NC
0.12663281,29660614,NC
0.12819113,29660615,NC
0.12777928,29660616,NC
0.12295467,29660617,NC
0.11327885,29660618,NC
0.10920534,29660619,NC
0.09884614,29660620,NC
0.099437214,29660621,NC
0.09423758,29660622,NC
0.09081845,29660623,NC
0.07164999,29660624,NC
0.07214657,29660625,NC
0.059993856,29660626,NC
0.036146887,29660627,NC
0.02505726,29660628,NC
-0.0022573778,29660629,NC
-0.0111117605,29660630,NC
-0.026701769,29660631,NC
-0.029636255,29660632,NC
-0.0412872,29660633,NC
-0.045607187,29660634,NC
-0.060973316,29660635,NC
-0.07899705,29660636,NC
-0.0933398,29660637,NC
-0.10371798,29660638,NC
-0.11291118,29660639,NC
-0.14373446,29660640,NC
-0.14423288,29660641,NC
-0.15343213,29660642,NC
-0.15798676,29660643,NC
-0.15397559,29660644,NC
-0.15732132,29660645,NC
-0.15751708,29660646,NC
-0.15147327,29660647,NC
-0.16380984,29660648,NC
-0.16864769,29660649,NC
-0.17072958,29660650,NC
-0.17957395,29660651,NC
-0.18302713,29660652,NC
-0.18541087,29660653,NC
-0.1811154,29660654,NC
-0.20104703,29660655,NC
-0.19003695,29660656,NC
-0.19616029,29660657,NC
-0.17522232,29660658,NC
-0.1784378,29660659,NC
-0.17324287,29660660,NC
-0.18083362,29660661,NC
-0.1993593,29660662,NC
-0.18986772,29660663,NC
-0.19267818,29660664,NC
-0.19993812,29660665,NC
-0.18962964,29660666,NC
