channel_0,sample #,type
-0.1358118,29384404,~
-0.13524607,29384405,NC
-0.14572817,29384406,NC
-0.14572741,29384407,NC
-0.13994187,29384408,NC
-0.13048871,29384409,NC
-0.12020375,29384410,NC
-0.13016431,29384411,NC
-0.121415995,29384412,NC
-0.13053928,29384413,NC
-0.14123793,29384414,NC
-0.15585044,29384415,NC
-0.16648851,29384416,NC
-0.17140754,29384417,NC
-0.16071318,29384418,NC
-0.16085438,29384419,NC
-0.1569176,29384420,NC
-0.14629176,29384421,NC
-0.16189158,29384422,NC
-0.15716743,29384423,NC
-0.14727803,29384424,NC
-0.15207824,29384425,NC
-0.14669059,29384426,NC
-0.15733992,29384427,NC
-0.1669275,29384428,NC
-0.16201442,29384429,NC
-0.16690093,29384430,NC
-0.14217882,29384431,NC
-0.12703052,29384432,NC
-0.10760818,29384433,NC
-0.09214778,29384434,NC
-0.082924575,29384435,NC
-0.08301795,29384436,NC
-0.09267332,29384437,NC
-0.09861841,29384438,NC
-0.11750299,29384439,NC
-0.1281517,29384440,NC
-0.15293397,29384441,NC
-0.13754554,29384442,NC
-0.13254318,29384443,NC
-0.13374166,29384444,NC
-0.12319115,29384445,NC
-0.14333874,29384446,NC
-0.14895934,29384447,NC
-0.1434511,29384448,NC
-0.15401101,29384449,NC
-0.1687625,29384450,NC
-0.15894558,29384451,NC
-0.1492245,29384452,NC
-0.14436969,29384453,NC
-0.13883309,29384454,NC
-0.118649945,29384455,NC
-0.114672065,29384456,NC
-0.10496414,29384457,NC
-0.098829195,29384458,NC
-0.09916116,29384459,NC
-0.10419216,29384460,NC
-0.114666894,29384461,NC
-0.119973436,29384462,NC
-0.13476986,29384463,NC
-0.13506712,29384464,NC
-0.12506258,29384465,NC
-0.1299138,29384466,NC
-0.1300342,29384467,NC
-0.13534476,29384468,NC
-0.13441037,29384469,NC
-0.13504209,29384470,NC
-0.1352709,29384471,NC
-0.12591156,29384472,NC
-0.12589961,29384473,NC
-0.12574866,29384474,NC
-0.13582951,29384475,NC
-0.15032262,29384476,NC
-0.1461472,29384477,NC
-0.15076098,29384478,NC
-0.15084992,29384479,NC
-0.14543267,29384480,NC
-0.1362354,29384481,NC
-0.14090268,29384482,NC
-0.14606786,29384483,NC
-0.15155323,29384484,NC
-0.16089465,29384485,NC
-0.17073938,29384486,NC
-0.17703415,29384487,NC
-0.17629758,29384488,NC
-0.15649745,29384489,NC
-0.14718482,29384490,NC
-0.14132582,29384491,NC
-0.12265964,29384492,NC
-0.12282596,29384493,NC
-0.10673993,29384494,NC
-0.10246828,29384495,NC
-0.082626015,29384496,NC
-0.0772931,29384497,NC
-0.07198039,29384498,NC
-0.06761982,29384499,NC
-0.047169168,29384500,NC
-0.0075796195,29384501,NC
0.037433743,29384502,NC
0.092072554,29384503,NC
0.167447,29384504,NC
0.25252032,29384505,NC
0.32721242,29384506,NC
0.39148107,29384507,A
0.4364675,29384508,NC
0.44156402,29384509,NC
0.3573529,29384510,NC
0.19163051,29384511,NC
-0.012869937,29384512,NC
-0.22757642,29384513,NC
-0.38288262,29384514,NC
-0.47854704,29384515,NC
-0.50795186,29384516,NC
-0.4737434,29384517,NC
-0.4333446,29384518,NC
-0.40454906,29384519,NC
-0.36838973,29384520,NC
-0.3592081,29384521,NC
-0.37964854,29384522,NC
-0.38364956,29384523,NC
-0.4095512,29384524,NC
-0.4193957,29384525,NC
-0.41447765,29384526,NC
-0.39505053,29384527,NC
-0.35398853,29384528,NC
-0.31412706,29384529,NC
-0.26978502,29384530,NC
-0.2598079,29384531,NC
-0.26524448,29384532,NC
-0.28005096,29384533,NC
-0.29492402,29384534,NC
-0.30514926,29384535,NC
-0.3450821,29384536,NC
-0.33071083,29384537,NC
-0.31966898,29384538,NC
-0.29542172,29384539,NC
-0.2546621,29384540,NC
-0.24620982,29384541,NC
-0.20120785,29384542,NC
-0.16962394,29384543,NC
-0.1516986,29384544,NC
-0.14088418,29384545,NC
-0.12163273,29384546,NC
-0.12604219,29384547,NC
-0.15118167,29384548,NC
-0.14609355,29384549,NC
-0.14144523,29384550,NC
-0.13618144,29384551,NC
-0.13685134,29384552,NC
-0.131328,29384553,NC
-0.1268197,29384554,NC
-0.12132912,29384555,NC
-0.10640631,29384556,NC
-0.11622144,29384557,NC
-0.1366765,29384558,NC
-0.12724425,29384559,NC
-0.14197962,29384560,NC
-0.13758269,29384561,NC
-0.13651861,29384562,NC
-0.12685126,29384563,NC
-0.11724056,29384564,NC
-0.12218002,29384565,NC
-0.09754059,29384566,NC
-0.102214366,29384567,NC
-0.09711438,29384568,NC
-0.10773567,29384569,NC
-0.11274242,29384570,NC
-0.12729692,29384571,NC
-0.13211596,29384572,NC
-0.1277019,29384573,NC
-0.12768014,29384574,NC
-0.12747653,29384575,NC
-0.11807651,29384576,NC
-0.0974681,29384577,NC
-0.08846315,29384578,NC
-0.08731821,29384579,NC
-0.084218375,29384580,NC
-0.088056095,29384581,NC
-0.08326423,29384582,NC
-0.08863406,29384583,NC
-0.08383392,29384584,NC
-0.08374235,29384585,NC
-0.08861123,29384586,NC
-0.06394983,29384587,NC
-0.054892015,29384588,NC
-0.043926135,29384589,NC
-0.038811825,29384590,NC
-0.033892576,29384591,NC
-0.023871658,29384592,NC
-0.029334627,29384593,NC
-0.024088977,29384594,NC
-0.024159674,29384595,NC
-0.023359206,29384596,NC
-0.030230269,29384597,NC
-0.025193091,29384598,NC
-0.004460506,29384599,NC
0.015818927,29384600,NC
0.035393767,29384601,NC
0.07061288,29384602,NC
0.07470149,29384603,NC
0.09052128,29384604,NC
0.09984845,29384605,NC
0.089401975,29384606,NC
0.08483291,29384607,NC
0.059186257,29384608,NC
0.06969209,29384609,NC
0.07956649,29384610,NC
0.09464468,29384611,NC
0.11406426,29384612,NC
0.11895323,29384613,NC
0.12966667,29384614,NC
0.120066464,29384615,NC
0.10879584,29384616,NC
0.09922371,29384617,NC
0.06908533,29384618,NC
0.07027188,29384619,NC
0.064532846,29384620,NC
0.07347065,29384621,NC
0.08849047,29384622,NC
0.08918224,29384623,NC
0.10321482,29384624,NC
0.10929483,29384625,NC
0.09441185,29384626,NC
0.07752584,29384627,NC
0.06811249,29384628,NC
0.043374192,29384629,NC
0.027793502,29384630,NC
0.013001438,29384631,NC
-0.007392361,29384632,NC
-0.022656886,29384633,NC
-0.032131437,29384634,NC
-0.03740675,29384635,NC
-0.046820506,29384636,NC
-0.052221827,29384637,NC
-0.062021643,29384638,NC
