channel_0,sample #,type
0.671987,29747469,A
0.670022,29747470,NC
0.6105684,29747471,NC
0.445579,29747472,NC
0.20621598,29747473,NC
-0.052713625,29747474,NC
-0.2722139,29747475,NC
-0.4209861,29747476,NC
-0.49647674,29747477,NC
-0.51412535,29747478,NC
-0.489358,29747479,NC
-0.44179803,29747480,NC
-0.39332324,29747481,NC
-0.36091164,29747482,NC
-0.34973225,29747483,NC
-0.35362244,29747484,NC
-0.3587401,29747485,NC
-0.3525836,29747486,NC
-0.32753915,29747487,NC
-0.28998002,29747488,NC
-0.2572447,29747489,NC
-0.23524025,29747490,NC
-0.23292124,29747491,NC
-0.24657269,29747492,NC
-0.2733454,29747493,NC
-0.2968082,29747494,NC
-0.30879045,29747495,NC
-0.3053077,29747496,NC
-0.29679608,29747497,NC
-0.2804222,29747498,NC
-0.25860292,29747499,NC
-0.23157576,29747500,NC
-0.2009346,29747501,NC
-0.17598803,29747502,NC
-0.15551925,29747503,NC
-0.13840911,29747504,NC
-0.12589946,29747505,NC
-0.12022385,29747506,NC
-0.12367606,29747507,NC
-0.13300821,29747508,NC
-0.13537356,29747509,NC
-0.1265915,29747510,NC
-0.11282988,29747511,NC
-0.10177377,29747512,NC
-0.103716716,29747513,NC
-0.10619435,29747514,NC
-0.111282885,29747515,NC
-0.11730787,29747516,NC
-0.12710094,29747517,NC
-0.13595316,29747518,NC
-0.14584726,29747519,NC
-0.1439744,29747520,NC
-0.13887843,29747521,NC
-0.12974894,29747522,NC
-0.12152144,29747523,NC
-0.11258629,29747524,NC
-0.104543984,29747525,NC
-0.101430126,29747526,NC
-0.10213256,29747527,NC
-0.10070243,29747528,NC
-0.10344679,29747529,NC
-0.10466872,29747530,NC
-0.10428354,29747531,NC
-0.09990628,29747532,NC
-0.09966747,29747533,NC
-0.0964772,29747534,NC
-0.0930396,29747535,NC
-0.084968254,29747536,NC
-0.08000077,29747537,NC
-0.074545026,29747538,NC
-0.07221563,29747539,NC
-0.073529184,29747540,NC
-0.07703059,29747541,NC
-0.08251392,29747542,NC
-0.08586506,29747543,NC
-0.0853274,29747544,NC
-0.079153895,29747545,NC
-0.064118035,29747546,NC
-0.04773062,29747547,NC
-0.030002765,29747548,NC
-0.020784948,29747549,NC
-0.008952393,29747550,NC
-0.0016497704,29747551,NC
0.010151164,29747552,NC
0.015819326,29747553,NC
0.024439989,29747554,NC
0.029948026,29747555,NC
0.040564477,29747556,NC
0.05263163,29747557,NC
0.065313786,29747558,NC
0.07389313,29747559,NC
0.081861205,29747560,NC
0.09203426,29747561,NC
0.10214761,29747562,NC
0.11179492,29747563,NC
0.118336484,29747564,NC
0.12453028,29747565,NC
0.12984769,29747566,NC
0.13346648,29747567,NC
0.13529328,29747568,NC
0.1416171,29747569,NC
0.14919803,29747570,NC
0.15856965,29747571,NC
0.17003061,29747572,NC
0.1832366,29747573,NC
0.19527651,29747574,NC
0.19522081,29747575,NC
0.19217418,29747576,NC
0.18986484,29747577,NC
0.18734792,29747578,NC
0.18199246,29747579,NC
0.17149979,29747580,NC
0.1584889,29747581,NC
0.14422683,29747582,NC
0.127598,29747583,NC
0.11760202,29747584,NC
0.10275459,29747585,NC
0.09093864,29747586,NC
0.07335039,29747587,NC
0.059793066,29747588,NC
0.042931065,29747589,NC
0.023822777,29747590,NC
0.00089284126,29747591,NC
-0.016244404,29747592,NC
-0.030796207,29747593,NC
-0.038182918,29747594,NC
-0.047309518,29747595,NC
-0.053402483,29747596,NC
-0.059998658,29747597,NC
-0.062106814,29747598,NC
-0.06357375,29747599,NC
-0.07156496,29747600,NC
-0.084927194,29747601,NC
-0.098499335,29747602,NC
-0.09984116,29747603,NC
-0.108099885,29747604,NC
-0.11334008,29747605,NC
-0.12171166,29747606,NC
-0.12060328,29747607,NC
-0.120483264,29747608,NC
-0.12263261,29747609,NC
-0.1294676,29747610,NC
-0.13820678,29747611,NC
-0.14515647,29747612,NC
-0.14577219,29747613,NC
-0.14510334,29747614,NC
-0.14756274,29747615,NC
-0.1537389,29747616,NC
-0.153437,29747617,NC
-0.14826496,29747618,NC
-0.13742556,29747619,NC
-0.13100761,29747620,NC
-0.12645936,29747621,NC
-0.12356348,29747622,NC
-0.12726605,29747623,NC
-0.12918693,29747624,NC
-0.13517049,29747625,NC
-0.13866512,29747626,NC
-0.14479546,29747627,NC
-0.15022622,29747628,NC
-0.1565735,29747629,NC
-0.16185035,29747630,NC
-0.16508336,29747631,NC
-0.16327801,29747632,NC
-0.16395026,29747633,NC
-0.17075597,29747634,NC
-0.1772685,29747635,NC
-0.18301111,29747636,NC
-0.18165164,29747637,NC
-0.18577583,29747638,NC
-0.18528834,29747639,NC
-0.18346718,29747640,NC
-0.17615011,29747641,NC
-0.170192,29747642,NC
-0.16389813,29747643,NC
-0.15409943,29747644,NC
-0.14396647,29747645,NC
-0.1439547,29747646,NC
-0.14332122,29747647,NC
-0.14819622,29747648,NC
-0.14407462,29747649,NC
-0.14761005,29747650,NC
-0.13952509,29747651,NC
-0.1317801,29747652,NC
-0.11871894,29747653,NC
-0.11160129,29747654,NC
-0.10646758,29747655,NC
-0.10414319,29747656,NC
-0.112063915,29747657,NC
-0.11836175,29747658,NC
-0.12872231,29747659,NC
-0.13374606,29747660,NC
-0.13854276,29747661,NC
-0.13958058,29747662,NC
-0.14356014,29747663,NC
-0.14818212,29747664,NC
-0.15019059,29747665,NC
-0.1431275,29747666,NC
-0.13923672,29747667,NC
-0.13827914,29747668,NC
-0.14235413,29747669,NC
-0.14586893,29747670,NC
-0.14239466,29747671,NC
-0.13730891,29747672,NC
-0.12559223,29747673,NC
-0.12358853,29747674,NC
-0.11631074,29747675,NC
-0.11270238,29747676,NC
-0.10880018,29747677,NC
-0.1127294,29747678,NC
-0.118829146,29747679,NC
-0.122809,29747680,NC
-0.12723264,29747681,NC
-0.13051051,29747682,NC
-0.13605708,29747683,NC
-0.1381695,29747684,NC
-0.13837449,29747685,NC
-0.14153531,29747686,NC
-0.14251234,29747687,NC
-0.14309219,29747688,NC
-0.1411584,29747689,NC
-0.13508198,29747690,NC
-0.13440332,29747691,NC
-0.12266401,29747692,NC
-0.12341343,29747693,NC
-0.12198763,29747694,NC
-0.12778327,29747695,NC
-0.12809011,29747696,NC
-0.1296831,29747697,NC
-0.1330598,29747698,NC
-0.13356766,29747699,NC
-0.13076186,29747700,NC
-0.12875912,29747701,NC
-0.12904595,29747702,NC
-0.12628517,29747703,NC
-0.12063698,29747704,NC
-0.117301874,29747705,NC
