channel_0,sample #,type
0.47776556,29462789,A
0.5073569,29462790,NC
0.5278507,29462791,NC
0.44951355,29462792,NC
0.2603909,29462793,NC
0.0052421093,29462794,NC
-0.24746737,29462795,NC
-0.4530468,29462796,NC
-0.5899416,29462797,NC
-0.6484453,29462798,NC
-0.64561003,29462799,NC
-0.618695,29462800,NC
-0.5835936,29462801,NC
-0.54372656,29462802,NC
-0.50329185,29462803,NC
-0.48126936,29462804,NC
-0.47564062,29462805,NC
-0.46978176,29462806,NC
-0.46916857,29462807,NC
-0.4736396,29462808,NC
-0.46631896,29462809,NC
-0.45304793,29462810,NC
-0.44087628,29462811,NC
-0.43628192,29462812,NC
-0.4390669,29462813,NC
-0.44478118,29462814,NC
-0.45626503,29462815,NC
-0.46178263,29462816,NC
-0.46725082,29462817,NC
-0.4627582,29462818,NC
-0.45570928,29462819,NC
-0.44995877,29462820,NC
-0.43754888,29462821,NC
-0.4190157,29462822,NC
-0.38482243,29462823,NC
-0.3506311,29462824,NC
-0.32147676,29462825,NC
-0.29287118,29462826,NC
-0.28065407,29462827,NC
-0.2751155,29462828,NC
-0.26610315,29462829,NC
-0.25555548,29462830,NC
-0.26221925,29462831,NC
-0.27207565,29462832,NC
-0.28090733,29462833,NC
-0.2953597,29462834,NC
-0.30220792,29462835,NC
-0.30264562,29462836,NC
-0.2936466,29462837,NC
-0.28791934,29462838,NC
-0.2756412,29462839,NC
-0.2631665,29462840,NC
-0.25904855,29462841,NC
-0.25024688,29462842,NC
-0.24545428,29462843,NC
-0.25373238,29462844,NC
-0.26971322,29462845,NC
-0.27788717,29462846,NC
-0.27995604,29462847,NC
-0.2840605,29462848,NC
-0.28240898,29462849,NC
-0.27937418,29462850,NC
-0.27125746,29462851,NC
-0.26558116,29462852,NC
-0.2636485,29462853,NC
-0.2539421,29462854,NC
-0.2525765,29462855,NC
-0.25033116,29462856,NC
-0.24469838,29462857,NC
-0.24256824,29462858,NC
-0.2345588,29462859,NC
-0.22611362,29462860,NC
-0.21704817,29462861,NC
-0.20539203,29462862,NC
-0.19464153,29462863,NC
-0.18950155,29462864,NC
-0.1853816,29462865,NC
-0.17802382,29462866,NC
-0.16747808,29462867,NC
-0.15940842,29462868,NC
-0.15730971,29462869,NC
-0.15798,29462870,NC
-0.14928204,29462871,NC
-0.13438138,29462872,NC
-0.122504905,29462873,NC
-0.111667484,29462874,NC
-0.09703219,29462875,NC
-0.07660619,29462876,NC
-0.06348873,29462877,NC
-0.057662867,29462878,NC
-0.056723535,29462879,NC
-0.048835382,29462880,NC
-0.031925216,29462881,NC
-0.021118596,29462882,NC
-0.014741311,29462883,NC
-0.008617222,29462884,NC
0.0027973456,29462885,NC
0.00907517,29462886,NC
0.010168685,29462887,NC
0.022217877,29462888,NC
0.032043125,29462889,NC
0.043883458,29462890,NC
0.056720123,29462891,NC
0.059789278,29462892,NC
0.05916018,29462893,NC
0.0508613,29462894,NC
0.040004544,29462895,NC
0.029296234,29462896,NC
0.010463932,29462897,NC
-0.0029755626,29462898,NC
-0.012672962,29462899,NC
-0.02510345,29462900,NC
-0.039712217,29462901,NC
-0.06605651,29462902,NC
-0.08923711,29462903,NC
-0.093546264,29462904,NC
-0.10567133,29462905,NC
-0.12795822,29462906,NC
-0.14481527,29462907,NC
-0.16179873,29462908,NC
-0.17270872,29462909,NC
-0.18267348,29462910,NC
-0.19537622,29462911,NC
-0.20733513,29462912,NC
-0.22446951,29462913,NC
-0.23407212,29462914,NC
-0.23627788,29462915,NC
-0.24471687,29462916,NC
-0.24922125,29462917,NC
-0.25398225,29462918,NC
-0.2590267,29462919,NC
-0.26292542,29462920,NC
-0.26990926,29462921,NC
-0.27196187,29462922,NC
-0.26648772,29462923,NC
-0.26118082,29462924,NC
-0.26879793,29462925,NC
-0.28051504,29462926,NC
-0.29523623,29462927,NC
-0.31347588,29462928,NC
-0.32226437,29462929,NC
-0.32117188,29462930,NC
-0.31422532,29462931,NC
-0.30992138,29462932,NC
-0.30629817,29462933,NC
-0.3063876,29462934,NC
-0.30218893,29462935,NC
-0.29686013,29462936,NC
-0.29782408,29462937,NC
-0.295396,29462938,NC
-0.29743528,29462939,NC
-0.2927407,29462940,NC
-0.29309928,29462941,NC
-0.30007142,29462942,NC
-0.29977334,29462943,NC
-0.3049903,29462944,NC
-0.3095132,29462945,NC
