channel_0,sample #,type
-1.48,18830472,L
-1.4175,18830473,NC
-1.3075,18830474,NC
-1.22,18830475,NC
-1.1375,18830476,NC
-1.0350001,18830477,NC
-0.935,18830478,NC
-0.86749995,18830479,NC
-0.82,18830480,NC
-0.76750004,18830481,NC
-0.7075,18830482,NC
-0.65250003,18830483,NC
-0.59749997,18830484,NC
-0.5425,18830485,NC
-0.4975,18830486,NC
-0.46499997,18830487,NC
-0.44,18830488,NC
-0.41750002,18830489,NC
-0.3675,18830490,NC
-0.3025,18830491,NC
-0.25,18830492,NC
-0.19749999,18830493,NC
-0.1625,18830494,NC
-0.155,18830495,NC
-0.14500001,18830496,NC
-0.13,18830497,NC
-0.1175,18830498,NC
-0.11,18830499,NC
-0.1125,18830500,NC
-0.115,18830501,NC
-0.11,18830502,NC
-0.099999994,18830503,NC
-0.095,18830504,NC
-0.095,18830505,NC
-0.1025,18830506,NC
-0.1,18830507,NC
-0.087500006,18830508,NC
-0.0775,18830509,NC
-0.0625,18830510,NC
-0.057499997,18830511,NC
-0.07,18830512,NC
-0.0775,18830513,NC
-0.065,18830514,NC
-0.0475,18830515,NC
-0.0325,18830516,NC
-0.02,18830517,NC
-0.0175,18830518,NC
-0.015,18830519,NC
0.0,18830520,NC
0.0225,18830521,NC
0.04,18830522,NC
0.052500002,18830523,NC
0.0475,18830524,NC
0.0425,18830525,NC
0.055,18830526,NC
0.085,18830527,NC
0.12,18830528,NC
0.1325,18830529,NC
0.14,18830530,NC
0.1525,18830531,NC
0.1725,18830532,NC
0.195,18830533,NC
0.21000001,18830534,NC
0.215,18830535,NC
0.22,18830536,NC
0.22999999,18830537,NC
0.25,18830538,NC
0.27749997,18830539,NC
0.2975,18830540,NC
0.3075,18830541,NC
0.3125,18830542,NC
0.3225,18830543,NC
0.3425,18830544,NC
0.3675,18830545,NC
0.38,18830546,NC
0.38,18830547,NC
0.3675,18830548,NC
0.3625,18830549,NC
0.3775,18830550,NC
0.39249998,18830551,NC
0.39249998,18830552,NC
0.37,18830553,NC
0.3475,18830554,NC
0.33249998,18830555,NC
0.3275,18830556,NC
0.3325,18830557,NC
0.335,18830558,NC
0.32999998,18830559,NC
0.315,18830560,NC
0.3,18830561,NC
0.2975,18830562,NC
0.3,18830563,NC
0.3,18830564,NC
0.29000002,18830565,NC
0.26749998,18830566,NC
0.2425,18830567,NC
0.23750001,18830568,NC
0.245,18830569,NC
0.24000001,18830570,NC
0.225,18830571,NC
0.20750001,18830572,NC
0.195,18830573,NC
0.1875,18830574,NC
0.18,18830575,NC
0.17,18830576,NC
0.14750001,18830577,NC
0.1275,18830578,NC
0.1125,18830579,NC
0.1025,18830580,NC
0.105,18830581,NC
0.0975,18830582,NC
0.0775,18830583,NC
0.055,18830584,NC
0.035,18830585,NC
0.0225,18830586,NC
0.0225,18830587,NC
0.02,18830588,NC
0.01,18830589,NC
-0.005,18830590,NC
-0.02,18830591,NC
-0.030000001,18830592,NC
-0.030000001,18830593,NC
-0.025,18830594,NC
-0.030000001,18830595,NC
-0.049999997,18830596,NC
-0.067499995,18830597,NC
-0.0625,18830598,NC
-0.05,18830599,NC
-0.05,18830600,NC
-0.057499997,18830601,NC
-0.065,18830602,NC
-0.08,18830603,NC
-0.095,18830604,NC
-0.087500006,18830605,NC
-0.08,18830606,NC
-0.095,18830607,NC
-0.1125,18830608,NC
-0.1225,18830609,NC
-0.1275,18830610,NC
-0.125,18830611,NC
-0.1275,18830612,NC
-0.135,18830613,NC
-0.14750001,18830614,NC
-0.16,18830615,NC
-0.16,18830616,NC
-0.1575,18830617,NC
-0.15,18830618,NC
-0.1525,18830619,NC
-0.17,18830620,NC
-0.185,18830621,NC
-0.1825,18830622,NC
-0.1825,18830623,NC
-0.1875,18830624,NC
-0.1875,18830625,NC
-0.195,18830626,NC
-0.205,18830627,NC
-0.2075,18830628,NC
-0.1925,18830629,NC
-0.19,18830630,NC
-0.2025,18830631,NC
-0.2075,18830632,NC
-0.215,18830633,NC
-0.2175,18830634,NC
-0.215,18830635,NC
-0.21000001,18830636,NC
-0.2075,18830637,NC
-0.2175,18830638,NC
-0.22749999,18830639,NC
-0.2225,18830640,NC
-0.21000001,18830641,NC
-0.2125,18830642,NC
-0.22,18830643,NC
-0.2225,18830644,NC
-0.2225,18830645,NC
-0.21000001,18830646,NC
-0.2,18830647,NC
