channel_0,sample #,type
1.433913,25144724,A
1.5417131,25144725,NC
1.618713,25144726,NC
1.4886684,25144727,NC
1.1053791,25144728,NC
0.5338673,25144729,NC
-0.123200156,25144730,NC
-0.78026766,25144731,NC
-1.3483573,25144732,NC
-1.6084465,25144733,NC
-1.5228908,25144734,NC
-1.2012014,25144735,NC
-0.8966234,25144736,NC
-0.6844453,25144737,NC
-0.56980073,25144738,NC
-0.53728956,25144739,NC
-0.5492674,25144740,NC
-0.5766452,25144741,NC
-0.6023119,25144742,NC
-0.62455636,25144743,NC
-0.64337856,25144744,NC
-0.6570675,25144745,NC
-0.665623,25144746,NC
-0.67075634,25144747,NC
-0.67417866,25144748,NC
-0.67760086,25144749,NC
-0.6844453,25144750,NC
-0.69300085,25144751,NC
-0.70155644,25144752,NC
-0.710112,25144753,NC
-0.71695644,25144754,NC
-0.725512,25144755,NC
-0.7323565,25144756,NC
-0.73920095,25144757,NC
-0.7374898,25144758,NC
-0.7289343,25144759,NC
-0.71695644,25144760,NC
-0.7066898,25144761,NC
-0.70155644,25144762,NC
-0.7032676,25144763,NC
-0.7118231,25144764,NC
-0.71866757,25144765,NC
-0.71866757,25144766,NC
-0.71695644,25144767,NC
-0.71695644,25144768,NC
-0.72037864,25144769,NC
-0.71695644,25144770,NC
-0.710112,25144771,NC
-0.6998453,25144772,NC
-0.69300085,25144773,NC
-0.6878675,25144774,NC
-0.68615645,25144775,NC
-0.6844453,25144776,NC
-0.68957865,25144777,NC
-0.6912898,25144778,NC
-0.6964231,25144779,NC
-0.6964231,25144780,NC
-0.69813424,25144781,NC
-0.694712,25144782,NC
-0.69300085,25144783,NC
-0.6878675,25144784,NC
-0.6827342,25144785,NC
-0.67588973,25144786,NC
-0.67417866,25144787,NC
-0.6741786,25144788,NC
-0.67760086,25144789,NC
-0.6827342,25144790,NC
-0.6912898,25144791,NC
-0.69813424,25144792,NC
-0.7032676,25144793,NC
-0.7118231,25144794,NC
-0.710112,25144795,NC
-0.7032676,25144796,NC
-0.6912898,25144797,NC
-0.68615645,25144798,NC
-0.68957865,25144799,NC
-0.6912898,25144800,NC
-0.68957865,25144801,NC
-0.6827342,25144802,NC
-0.67417866,25144803,NC
-0.67075634,25144804,NC
-0.6587786,25144805,NC
-0.63995636,25144806,NC
-0.61086744,25144807,NC
-0.5766452,25144808,NC
-0.54242295,25144809,NC
-0.5064895,25144810,NC
-0.4756895,25144811,NC
-0.44488946,25144812,NC
-0.4209339,25144813,NC
-0.3986894,25144814,NC
-0.38157827,25144815,NC
-0.3730227,25144816,NC
-0.36446714,25144817,NC
-0.35762268,25144818,NC
-0.34906712,25144819,NC
-0.35248932,25144820,NC
-0.35420045,25144821,NC
-0.35420045,25144822,NC
-0.35420045,25144823,NC
-0.36446714,25144824,NC
-0.37986714,25144825,NC
-0.3986894,25144826,NC
-0.41580048,25144827,NC
-0.4346228,25144828,NC
-0.44146726,25144829,NC
-0.4448895,25144830,NC
-0.44146726,25144831,NC
-0.438045,25144832,NC
-0.4346228,25144833,NC
-0.43120056,25144834,NC
-0.43120056,25144835,NC
-0.43291166,25144836,NC
-0.43633392,25144837,NC
-0.4363339,25144838,NC
-0.4346228,25144839,NC
-0.42606723,25144840,NC
-0.4158005,25144841,NC
-0.4021116,25144842,NC
-0.38500047,25144843,NC
-0.3747338,25144844,NC
-0.3593338,25144845,NC
-0.34735602,25144846,NC
-0.33024484,25144847,NC
-0.3234004,25144848,NC
-0.31826708,25144849,NC
-0.32168928,25144850,NC
-0.3336671,25144851,NC
-0.35248932,25144852,NC
-0.37131158,25144853,NC
-0.38328937,25144854,NC
-0.39013383,25144855,NC
-0.39355603,25144856,NC
-0.3884227,25144857,NC
-0.3867116,25144858,NC
-0.38328937,25144859,NC
-0.39184493,25144860,NC
-0.40895608,25144861,NC
-0.43633392,25144862,NC
-0.46713397,25144863,NC
-0.49108952,25144864,NC
-0.5167562,25144865,NC
-0.53728956,25144866,NC
-0.5561118,25144867,NC
-0.5646674,25144868,NC
-0.56980073,25144869,NC
-0.57322294,25144870,NC
-0.5766452,25144871,NC
-0.5852007,25144872,NC
-0.5954674,25144873,NC
-0.61086744,25144874,NC
-0.6211341,25144875,NC
-0.6382452,25144876,NC
-0.65193415,25144877,NC
-0.665623,25144878,NC
-0.66733414,25144879,NC
-0.6587786,25144880,NC
-0.6468008,25144881,NC
-0.634823,25144882,NC
-0.62797856,25144883,NC
-0.6262675,25144884,NC
-0.6314008,25144885,NC
-0.64337856,25144886,NC
-0.6570675,25144887,NC
-0.67417866,25144888,NC
-0.6964231,25144889,NC
-0.7220898,25144890,NC
-0.7220898,25144891,NC
-0.6707564,25144892,NC
-0.5218895,25144893,NC
-0.26180032,25144894,NC
0.12491127,25144895,NC
0.5852007,25144896,NC
1.0472013,25144897,NC
1.404824,25144898,A
1.5844908,25144899,NC
1.5177577,25144900,NC
1.1704016,25144901,NC
0.61942303,25144902,NC
-0.035933375,25144903,NC
-0.6930009,25144904,NC
-1.267935,25144905,NC
-1.5776466,25144906,NC
-1.5759354,25144907,NC
-1.3466462,25144908,NC
-1.0916902,25144909,NC
-0.8846456,25144910,NC
-0.7614454,25144911,NC
-0.710112,25144912,NC
-0.7084009,25144913,NC
-0.71695644,25144914,NC
-0.71866757,25144915,NC
-0.7118231,25144916,NC
-0.7032676,25144917,NC
-0.69813424,25144918,NC
-0.6964231,25144919,NC
-0.70155644,25144920,NC
-0.710112,25144921,NC
-0.72208977,25144922,NC
-0.725512,25144923,NC
-0.7340676,25144924,NC
-0.7323565,25144925,NC
-0.7306454,25144926,NC
-0.71695644,25144927,NC
-0.7084009,25144928,NC
-0.694712,25144929,NC
-0.6844453,25144930,NC
-0.67760086,25144931,NC
-0.67246747,25144932,NC
-0.67075634,25144933,NC
-0.6707564,25144934,NC
-0.67075634,25144935,NC
-0.66904527,25144936,NC
-0.66391194,25144937,NC
-0.6604897,25144938,NC
-0.6536453,25144939,NC
-0.64337856,25144940,NC
-0.6314008,25144941,NC
-0.62284523,25144942,NC
-0.6177119,25144943,NC
-0.61942303,25144944,NC
-0.6211341,25144945,NC
-0.62455636,25144946,NC
-0.6211341,25144947,NC
-0.6211341,25144948,NC
-0.6125786,25144949,NC
-0.60402304,25144950,NC
-0.5886229,25144951,NC
-0.5817785,25144952,NC
-0.57493407,25144953,NC
-0.5715118,25144954,NC
-0.5646674,25144955,NC
-0.5595341,25144956,NC
-0.5561118,25144957,NC
-0.55782294,25144958,NC
-0.56124514,25144959,NC
-0.5646674,25144960,NC
-0.5629563,25144961,NC
-0.55782294,25144962,NC
-0.5492674,25144963,NC
-0.5390007,25144964,NC
-0.5270229,25144965,NC
-0.5218895,25144966,NC
-0.5150451,25144967,NC
-0.51162285,25144968,NC
-0.5099118,25144969,NC
-0.5150451,25144970,NC
-0.52017844,25144971,NC
-0.52360064,25144972,NC
-0.5270229,25144973,NC
-0.5321562,25144974,NC
-0.5304451,25144975,NC
-0.5270229,25144976,NC
-0.52017844,25144977,NC
-0.5167562,25144978,NC
-0.513334,25144979,NC
-0.513334,25144980,NC
-0.5150451,25144981,NC
-0.5167562,25144982,NC
-0.52017844,25144983,NC
-0.5218895,25144984,NC
-0.52017844,25144985,NC
-0.50820065,25144986,NC
-0.49451172,25144987,NC
-0.4756895,25144988,NC
-0.45686722,25144989,NC
-0.438045,25144990,NC
-0.422645,25144991,NC
-0.40724495,25144992,NC
-0.3867116,25144993,NC
-0.36788937,25144994,NC
-0.35762265,25144995,NC
-0.35248932,25144996,NC
-0.347356,25144997,NC
-0.34222266,25144998,NC
-0.33880043,25144999,NC
-0.34051156,25145000,NC
-0.3456449,25145001,NC
-0.3593338,25145002,NC
-0.3747338,25145003,NC
-0.39355603,25145004,NC
-0.4158005,25145005,NC
-0.44317836,25145006,NC
-0.46713394,25145007,NC
-0.4842451,25145008,NC
-0.49622285,25145009,NC
-0.50820065,25145010,NC
-0.5184673,25145011,NC
-0.52531177,25145012,NC
-0.52873397,25145013,NC
-0.5321562,25145014,NC
-0.53728956,25145015,NC
-0.5458451,25145016,NC
-0.55782294,25145017,NC
-0.5680896,25145018,NC
-0.5852007,25145019,NC
-0.5971786,25145020,NC
-0.61086744,25145021,NC
-0.61086744,25145022,NC
-0.60744524,25145023,NC
-0.5988896,25145024,NC
-0.59033406,25145025,NC
-0.5834896,25145026,NC
-0.5817785,25145027,NC
-0.58691186,25145028,NC
-0.5920452,25145029,NC
-0.5971785,25145030,NC
-0.5954674,25145031,NC
-0.59375626,25145032,NC
-0.5852007,25145033,NC
-0.5817785,25145034,NC
-0.5766452,25145035,NC
-0.57322294,25145036,NC
-0.5663785,25145037,NC
-0.5561118,25145038,NC
-0.5509785,25145039,NC
-0.54584515,25145040,NC
-0.5509785,25145041,NC
-0.55440074,25145042,NC
-0.55782294,25145043,NC
-0.5561118,25145044,NC
-0.55440074,25145045,NC
-0.55440074,25145046,NC
-0.5492674,25145047,NC
-0.5407118,25145048,NC
-0.5338673,25145049,NC
-0.5304451,25145050,NC
-0.5270229,25145051,NC
-0.5270229,25145052,NC
-0.5304451,25145053,NC
-0.53900063,25145054,NC
-0.5424229,25145055,NC
-0.5492673,25145056,NC
-0.55440074,25145057,NC
-0.56124514,25145058,NC
-0.5595341,25145059,NC
-0.5561118,25145060,NC
-0.5509785,25145061,NC
-0.54584515,25145062,NC
-0.5475563,25145063,NC
-0.5509785,25145064,NC
-0.5595341,25145065,NC
-0.5680896,25145066,NC
-0.5834896,25145067,NC
-0.5954674,25145068,NC
-0.6006007,25145069,NC
-0.5971785,25145070,NC
-0.5971785,25145071,NC
-0.59375626,25145072,NC
-0.59375626,25145073,NC
-0.5920452,25145074,NC
-0.5954674,25145075,NC
-0.5988896,25145076,NC
-0.6057341,25145077,NC
-0.6177119,25145078,NC
-0.6262675,25145079,NC
-0.6314008,25145080,NC
-0.62797856,25145081,NC
-0.62797856,25145082,NC
-0.6262675,25145083,NC
-0.6296897,25145084,NC
-0.62797856,25145085,NC
-0.62455636,25145086,NC
-0.62284523,25145087,NC
-0.6262675,25145088,NC
-0.6331119,25145089,NC
-0.63995636,25145090,NC
-0.650223,25145091,NC
-0.6622008,25145092,NC
-0.66391194,25145093,NC
-0.6587786,25145094,NC
-0.64851195,25145095,NC
-0.6468008,25145096,NC
-0.63995636,25145097,NC
-0.634823,25145098,NC
-0.6314008,25145099,NC
-0.6314008,25145100,NC
-0.63653415,25145101,NC
-0.64337856,25145102,NC
-0.65535635,25145103,NC
-0.66391194,25145104,NC
-0.6724675,25145105,NC
-0.6741786,25145106,NC
-0.67246747,25145107,NC
-0.66391194,25145108,NC
-0.6570675,25145109,NC
-0.650223,25145110,NC
-0.650223,25145111,NC
-0.65535635,25145112,NC
-0.6622008,25145113,NC
-0.66391194,25145114,NC
-0.66391194,25145115,NC
-0.6690453,25145116,NC
-0.67246747,25145117,NC
-0.6758898,25145118,NC
-0.66904527,25145119,NC
-0.665623,25145120,NC
-0.66391194,25145121,NC
-0.66733414,25145122,NC
-0.67075634,25145123,NC
-0.66733414,25145124,NC
-0.665623,25145125,NC
-0.66391194,25145126,NC
-0.665623,25145127,NC
-0.6707564,25145128,NC
-0.67246747,25145129,NC
-0.6741786,25145130,NC
-0.66904527,25145131,NC
-0.665623,25145132,NC
-0.6604897,25145133,NC
-0.6587786,25145134,NC
-0.6570675,25145135,NC
-0.6604897,25145136,NC
-0.6690453,25145137,NC
-0.67760086,25145138,NC
-0.68615645,25145139,NC
-0.68615645,25145140,NC
-0.68957865,25145141,NC
-0.6827342,25145142,NC
-0.6810231,25145143,NC
-0.6758898,25145144,NC
-0.67417866,25145145,NC
-0.66733414,25145146,NC
-0.6622008,25145147,NC
-0.6587786,25145148,NC
-0.66391194,25145149,NC
-0.6690453,25145150,NC
-0.67246747,25145151,NC
-0.6758898,25145152,NC
-0.67760086,25145153,NC
-0.6810231,25145154,NC
-0.6758898,25145155,NC
-0.67075634,25145156,+
