channel_0,sample #,type
0.6355314,29672393,R
0.63716245,29672394,NC
0.5804595,29672395,NC
0.41875592,29672396,NC
0.17705172,29672397,NC
-0.08298646,29672398,NC
-0.3046919,29672399,NC
-0.45806473,29672400,NC
-0.5397715,29672401,NC
-0.5714788,29672402,NC
-0.57152015,29672403,NC
-0.55989546,29672404,NC
-0.53493804,29672405,NC
-0.5099813,29672406,NC
-0.4850251,29672407,NC
-0.4734029,29672408,NC
-0.4717813,29672409,NC
-0.48016036,29672410,NC
-0.48354003,29672411,NC
-0.47692037,29672412,NC
-0.4603013,29672413,NC
-0.44368285,29672414,NC
-0.427065,29672415,NC
-0.41544783,29672416,NC
-0.40716457,29672417,NC
-0.4055486,29672418,NC
-0.40559992,29672419,NC
-0.4039852,29672420,NC
-0.40237108,29672421,NC
-0.39742425,29672422,NC
-0.39414468,29672423,NC
-0.39419907,29672424,NC
-0.38925406,29672425,NC
-0.37930968,29672426,NC
-0.35769922,29672427,NC
-0.33608937,29672428,NC
-0.3128135,29672429,NC
-0.29620484,29672430,NC
-0.28459683,29672431,NC
-0.2746561,29672432,NC
-0.27138263,29672433,NC
-0.26810977,29672434,NC
-0.27150416,29672435,NC
-0.26489916,29672436,NC
-0.26496142,29672437,NC
-0.2633576,29672438,NC
-0.26508772,29672439,NC
-0.2601518,29672440,NC
-0.25354975,29672441,NC
-0.248615,29672442,NC
-0.2453475,29672443,NC
-0.2470806,29672444,NC
-0.24881428,29672445,NC
-0.2522152,29672446,NC
-0.25395006,29672447,NC
-0.25735217,29672448,NC
-0.26075488,29672449,NC
-0.26582485,29672450,NC
-0.2658954,29672451,NC
-0.2659665,29672452,NC
-0.2593715,29672453,NC
-0.2527771,29672454,NC
-0.23784998,29672455,NC
-0.22292338,29672456,NC
-0.21133071,29672457,NC
-0.20973864,29672458,NC
-0.21314712,29672459,NC
-0.21322283,29672460,NC
-0.21829912,29672461,NC
-0.22504264,29672462,NC
-0.23678675,29672463,NC
-0.24186473,29672464,NC
-0.23694329,29672465,NC
-0.23035574,29672466,NC
-0.21876873,29672467,NC
-0.21051563,29672468,NC
-0.19892977,29672469,NC
-0.18901111,29672470,NC
-0.1807597,29672471,NC
-0.17750883,29672472,NC
-0.18092518,29672473,NC
-0.19267541,29672474,NC
-0.19109283,29672475,NC
-0.18784417,29672476,NC
-0.17459606,29672477,NC
-0.1646818,29672478,NC
-0.1497681,29672479,NC
-0.1315216,29672480,NC
-0.11994232,29672481,NC
-0.10836357,29672482,NC
-0.10345203,29672483,NC
-0.10187434,29672484,NC
-0.10529721,29672485,NC
-0.107053936,29672486,NC
-0.105477855,29672487,NC
-0.0989023,29672488,NC
-0.08566061,29672489,NC
-0.06741945,29672490,NC
-0.04751215,29672491,NC
-0.032605365,29672492,NC
-0.021032441,29672493,NC
-0.007793365,29672494,NC
0.0021118615,29672495,NC
0.01701657,29672496,NC
0.020254098,29672497,NC
0.028491113,29672498,NC
