channel_0,sample #,type
0.6446723,26415050,N
0.6190276,26415051,NC
0.56136626,26415052,NC
0.46741936,26415053,NC
0.3510607,26415054,NC
0.25284433,26415055,NC
0.18557681,26415056,NC
0.1524598,26415057,NC
0.13321625,26415058,NC
0.11824121,26415059,NC
0.1032659,26415060,NC
0.08935747,26415061,NC
0.083986446,26415062,NC
0.083951175,26415063,NC
0.08071396,26415064,NC
0.07640922,26415065,NC
0.06890254,26415066,NC
0.062462762,26415067,NC
0.062425964,26415068,NC
0.06665771,26415069,NC
0.06875472,26415070,NC
0.068717,26415071,NC
0.064410135,26415072,NC
0.06117018,26415073,NC
0.062198777,26415074,NC
0.06429428,26415075,NC
0.0685239,26415076,NC
0.06634995,26415077,NC
0.06204128,26415078,NC
0.056665093,26415079,NC
0.057691887,26415080,NC
0.064054444,26415081,NC
0.071483925,26415082,NC
0.07464426,26415083,NC
0.07246823,26415084,NC
0.06922469,26415085,NC
0.06811529,26415086,NC
0.07234164,26415087,NC
0.0755005,26415088,NC
0.07439022,26415089,NC
0.072212435,26415090,NC
0.072168775,26415091,NC
0.07212483,26415092,NC
0.07634944,26415093,NC
0.07843935,26415094,NC
0.075192906,26415095,NC
0.07194617,26415096,NC
0.0654975,26415097,NC
0.06438462,26415098,NC
0.06433866,26415099,NC
0.058956355,26415100,NC
0.05464098,26415101,NC
0.049258105,26415102,NC
0.046009373,26415103,NC
0.049163643,26415104,NC
0.055519264,26415105,NC
0.059740182,26415106,NC
0.060759176,26415107,NC
0.060710683,26415108,NC
0.060661916,26415109,NC
0.061680082,26415110,NC
0.0648324,26415111,NC
0.06691721,26415112,NC
0.06259848,26415113,NC
0.05507785,26415114,NC
0.051825784,26415115,NC
0.054976735,26415116,NC
0.06453068,26415117,NC
0.07408435,26415118,NC
0.07830169,26415119,NC
0.075048275,26415120,NC
0.074996226,26415121,NC
0.08348161,26415122,NC
0.09089952,26415123,NC
0.10151879,26415124,NC
0.10039846,26415125,NC
0.09500902,26415126,NC
0.094955385,26415127,NC
0.10023753,26415128,NC
0.11298992,26415129,NC
0.12467482,26415130,NC
0.12995619,26415131,NC
0.12243076,26415132,NC
0.112770624,26415133,NC
0.105244674,26415134,NC
0.096651256,26415135,NC
0.092326425,26415136,NC
0.08373248,26415137,NC
0.06873501,26415138,NC
0.059073348,26415139,NC
0.05368029,26415140,NC
0.05362304,26415141,NC
0.056767177,26415142,NC
0.054575,26415143,NC
0.04491208,26415144,NC
0.032047283,26415145,NC
0.02238387,26415146,NC
0.0116530005,26415147,NC
0.0030563106,26415148,NC
-0.009809476,26415149,NC
-0.025877142,26415150,NC
-0.03447457,26415151,NC
-0.03880338,26415152,NC
-0.03886358,26415153,NC
-0.0367896,26415154,NC
-0.040051922,26415155,NC
-0.046516117,26415156,NC
-0.05084613,26415157,NC
-0.051974736,26415158,NC
-0.048834734,26415159,NC
-0.041426107,26415160,NC
-0.038286563,26415161,NC
-0.04048332,26415162,NC
-0.045881942,26415163,NC
-0.051280804,26415164,NC
-0.048142187,26415165,NC
-0.048205443,26415166,NC
-0.047201708,26415167,NC
-0.049399838,26415168,NC
-0.053732622,26415169,NC
-0.05379678,26415170,NC
-0.051726732,26415171,NC
-0.050724123,26415172,NC
-0.049721736,26415173,NC
-0.04871957,26415174,NC
-0.045583196,26415175,NC
-0.03711098,26415176,NC
-0.02863898,26415177,NC
-0.024436045,26415178,NC
-0.027703816,26415179,NC
-0.033106234,26415180,NC
-0.03637444,26415181,NC
-0.035374,26415182,NC
-0.02903771,26415183,NC
-0.024836058,26415184,NC
-0.025970679,26415185,NC
-0.026038297,26415186,NC
-0.023971697,26415187,NC
-0.016569236,26415188,NC
-0.0070325574,26415189,NC
-0.0017649328,26415190,NC
0.00030084746,26415191,NC
-0.0040368494,26415192,NC
-0.0094419615,26415193,NC
-0.010578419,26415194,NC
-0.013849505,26415195,NC
-0.014986361,26415196,NC
-0.0075857146,26415197,NC
0.0104868645,26415198,NC
0.05097072,26415199,NC
0.1181347,26415200,NC
0.20664273,26415201,NC
0.3047555,26415202,NC
0.40073365,26415203,NC
0.47750172,26415204,NC
0.5211861,26415205,A
0.5211145,26415206,NC
0.47408545,26415207,NC
0.39610696,26415208,NC
0.30318734,26415209,NC
0.232679,26415210,NC
0.189918,26415211,NC
0.1685011,26415212,NC
0.16202497,26415213,NC
0.14487654,26415214,NC
0.12025746,26415215,NC
0.09350376,26415216,NC
0.069951534,26415217,NC
0.056004044,26415218,NC
0.048459657,26415219,NC
0.04198231,26415220,NC
0.033370376,26415221,NC
0.023691054,26415222,NC
0.017213203,26415223,NC
0.017138463,26415224,NC
0.017063556,26415225,NC
0.012719633,26415226,NC
0.004106697,26415227,NC
-0.008775253,26415228,NC
-0.014186872,26415229,NC
-0.012128165,26415230,NC
-0.0047335527,26415231,NC
-0.00054073427,26415232,NC
-0.0027513509,26415233,NC
-0.009230971,26415234,NC
-0.013576322,26415235,NC
-0.010451337,26415236,NC
-0.008393713,26415237,NC
-0.00526903,26415238,NC
-0.010682197,26415239,NC
-0.019297153,26415240,NC
-0.024710612,26415241,NC
-0.030124223,26415242,NC
-0.03020191,26415243,NC
-0.033481378,26415244,NC
-0.038895417,26415245,NC
-0.043242384,26415246,NC
-0.048656695,26415247,NC
-0.04660067,26415248,NC
-0.04134313,26415249,NC
-0.03715295,26415250,NC
-0.037231747,26415251,NC
-0.043713957,26415252,NC
-0.04912909,26415253,NC
-0.051342715,26415254,NC
-0.050354827,26415255,NC
-0.049367066,26415256,NC
-0.05158108,26415257,NC
-0.05913128,26415258,NC
-0.06454718,26415259,NC
-0.06462713,26415260,NC
-0.063640006,26415261,NC
-0.062653005,26415262,NC
-0.07020381,26415263,NC
-0.080956385,26415264,NC
-0.08957464,26415265,NC
-0.091789745,26415266,NC
-0.0886689,26415267,NC
-0.0887498,26415268,NC
-0.095234096,26415269,NC
-0.10812177,26415270,NC
-0.1146063,26415271,NC
-0.11575485,26415272,NC
-0.112634666,26415273,NC
-0.1105818,26415274,NC
-0.11813396,26415275,NC
-0.13102227,26415276,NC
-0.1417763,26415277,NC
-0.14719433,26415278,NC
-0.14834362,26415279,NC
-0.14949301,26415280,NC
-0.15704575,26415281,NC
-0.16780028,26415282,NC
-0.17748764,26415283,NC
-0.18824232,26415284,NC
-0.19472824,26415285,NC
-0.20121427,26415286,NC
-0.21303642,26415287,NC
-0.22165705,26415288,NC
-0.22921053,26415289,NC
-0.23462969,26415290,NC
-0.23578008,26415291,NC
-0.23799779,26415292,NC
-0.24661884,26415293,NC
-0.2509711,26415294,NC
-0.25425622,26415295,NC
-0.2532726,26415296,NC
-0.24695297,26415297,NC
-0.24703673,26415298,NC
-0.25032216,26415299,NC
-0.2536077,26415300,NC
-0.25369164,26415301,NC
-0.250574,26415302,NC
-0.2431876,26415303,NC
-0.24007015,26415304,NC
-0.23908715,26415305,NC
-0.24023867,26415306,NC
-0.2381886,26415307,NC
-0.23080254,26415308,NC
-0.22448371,26415309,NC
-0.21496336,26415310,NC
-0.2097119,26415311,NC
-0.21193098,26415312,NC
-0.21521734,26415313,NC
-0.22063816,26415314,NC
-0.22285742,26415315,NC
-0.2229423,26415316,NC
-0.22196,26415317,NC
-0.22204497,26415318,NC
-0.22319722,26415319,NC
-0.21901344,26415320,NC
