channel_0,sample #,type
1.3100185,16532944,N
1.331438,16532945,NC
1.3258957,16532946,NC
1.2027539,16532947,NC
0.9905785,16532948,NC
0.7498117,16532949,NC
0.5213985,16532950,NC
0.323256,16532951,NC
0.15849657,16532952,NC
0.022490084,16532953,NC
-0.072990894,16532954,NC
-0.1242886,16532955,NC
-0.13051666,16532956,NC
-0.105241075,16532957,NC
-0.09502741,16532958,NC
-0.10466321,16532959,NC
-0.114702746,16532960,NC
-0.1371816,16532961,NC
-0.15724318,16532962,NC
-0.15982078,16532963,NC
-0.15562117,16532964,NC
-0.15521474,16532965,NC
-0.16930443,16532966,NC
-0.18449831,16532967,NC
-0.18497875,16532968,NC
-0.18216957,16532969,NC
-0.18149693,16532970,NC
-0.18044683,16532971,NC
-0.19278224,16532972,NC
-0.20534387,16532973,NC
-0.20026718,16532974,NC
-0.1904752,16532975,NC
-0.18255582,16532976,NC
-0.17259394,16532977,NC
-0.17654683,16532978,NC
-0.1869856,16532979,NC
-0.18757796,16532980,NC
-0.17947052,16532981,NC
-0.16232112,16532982,NC
-0.16095366,16532983,NC
-0.17547812,16532984,NC
-0.18495844,16532985,NC
-0.18491744,16532986,NC
-0.16454642,16532987,NC
-0.15773241,16532988,NC
-0.15774363,16532989,NC
-0.16510458,16532990,NC
-0.16985942,16532991,NC
-0.1543359,16532992,NC
-0.13744374,16532993,NC
-0.12953714,16532994,NC
-0.1372239,16532995,NC
-0.1479478,16532996,NC
-0.15559226,16532997,NC
-0.14496745,16532998,NC
-0.12644388,16532999,NC
-0.11179205,16533000,NC
-0.10135844,16533001,NC
-0.09891099,16533002,NC
-0.09897332,16533003,NC
-0.09694982,16533004,NC
-0.0820362,16533005,NC
-0.0644652,16533006,NC
-0.054883145,16533007,NC
-0.055185076,16533008,NC
-0.059800927,16533009,NC
-0.04474766,16533010,NC
-0.017589325,16533011,NC
-0.003028097,16533012,NC
-0.0021675145,16533013,NC
-0.0022104627,16533014,NC
-0.0031737876,16533015,NC
0.003089908,16533016,NC
0.023518749,16533017,NC
0.051506676,16533018,NC
0.07290947,16533019,NC
0.07310913,16533020,NC
0.07798295,16533021,NC
0.09752839,16533022,NC
0.1245422,16533023,NC
0.14705737,16533024,NC
0.16059823,16533025,NC
0.16804436,16533026,NC
0.1779762,16533027,NC
0.19379531,16533028,NC
0.21847081,16533029,NC
0.24954776,16533030,NC
0.2713165,16533031,NC
0.27585632,16533032,NC
0.2833818,16533033,NC
0.2982669,16533034,NC
0.31825218,16533035,NC
0.33886692,16533036,NC
0.35195166,16533037,NC
0.35245812,16533038,NC
0.3444479,16533039,NC
0.34260133,16533040,NC
0.3292679,16533041,NC
0.302484,16533042,NC
0.27858353,16533043,NC
0.2456673,16533044,NC
0.22068347,16533045,NC
0.21484275,16533046,NC
0.20276895,16533047,NC
0.18774463,16533048,NC
0.16242674,16533049,NC
0.13539386,16533050,NC
0.10762199,16533051,NC
0.080016226,16533052,NC
0.06412442,16533053,NC
0.051665753,16533054,NC
0.027691199,16533055,NC
-0.00447317,16533056,NC
-0.032755185,16533057,NC
-0.05636006,16533058,NC
-0.070285454,16533059,NC
-0.07169054,16533060,NC
-0.08223749,16533061,NC
