channel_0,sample #,type
0.6969644,29474532,A
0.72258806,29474533,NC
0.6713407,29474534,NC
0.53297275,29474535,NC
0.2972348,29474536,NC
0.040997904,29474537,NC
-0.18449058,29474538,NC
-0.32798323,29474539,NC
-0.4151038,29474540,NC
-0.45097697,29474541,NC
-0.44585222,29474542,NC
-0.42535326,29474543,NC
-0.39972958,29474544,NC
-0.37923062,29474545,NC
-0.3484822,29474546,NC
-0.31773376,29474547,NC
-0.31260905,29474548,NC
-0.3228585,29474549,NC
-0.32798323,29474550,NC
-0.33823273,29474551,NC
-0.32798323,29474552,NC
-0.30235955,29474553,NC
-0.27673587,29474554,NC
-0.26648638,29474555,NC
-0.25111216,29474556,NC
-0.28186062,29474557,NC
-0.27161112,29474558,NC
-0.2921101,29474559,NC
-0.28186062,29474560,NC
-0.26648638,29474561,NC
-0.2562369,29474562,NC
-0.2408627,29474563,NC
-0.23573796,29474564,NC
-0.23061322,29474565,NC
-0.22036375,29474566,NC
-0.215239,29474567,NC
-0.19474006,29474568,NC
-0.15886688,29474569,NC
-0.11274424,29474570,NC
-0.09224529,29474571,NC
-0.076871075,29474572,NC
-0.066621594,29474573,NC
-0.066621594,29474574,NC
-0.071746334,29474575,NC
-0.08199581,29474576,NC
-0.08199581,29474577,NC
-0.09224529,29474578,NC
-0.122993715,29474579,NC
-0.1076195,29474580,NC
-0.10249477,29474581,NC
-0.09224529,29474582,NC
-0.08712055,29474583,NC
-0.08712055,29474584,NC
-0.071746334,29474585,NC
-0.066621594,29474586,NC
-0.066621594,29474587,NC
-0.066621594,29474588,NC
-0.066621594,29474589,NC
-0.071746334,29474590,NC
-0.071746334,29474591,NC
-0.09224529,29474592,NC
-0.076871075,29474593,NC
-0.076871075,29474594,NC
-0.066621594,29474595,NC
-0.061496858,29474596,NC
-0.05637212,29474597,NC
-0.046122644,29474598,NC
-0.046122644,29474599,NC
-0.046122644,29474600,NC
-0.040997904,29474601,NC
-0.035873167,29474602,NC
-0.051247384,29474603,NC
-0.046122644,29474604,NC
-0.051247384,29474605,NC
-0.046122644,29474606,NC
-0.035873167,29474607,NC
-0.025623692,29474608,NC
-0.010249476,29474609,NC
0.0,29474610,NC
0.0,29474611,NC
0.0,29474612,NC
0.0,29474613,NC
0.005124738,29474614,NC
0.005124738,29474615,NC
0.020498952,29474616,NC
0.025623692,29474617,NC
0.046122644,29474618,NC
0.05637212,29474619,NC
0.061496858,29474620,NC
0.09224529,29474621,NC
0.1076195,29474622,NC
0.10249477,29474623,NC
0.1076195,29474624,NC
0.11786898,29474625,NC
0.11786898,29474626,NC
0.13836794,29474627,NC
0.15374215,29474628,NC
0.1742411,29474629,NC
0.19474006,29474630,NC
0.21011427,29474631,NC
0.23061322,29474632,NC
0.24598743,29474633,NC
0.25111216,29474634,NC
0.26648638,29474635,NC
0.26136166,29474636,NC
0.2562369,29474637,NC
0.24598743,29474638,NC
0.25111216,29474639,NC
0.25111216,29474640,NC
0.23573796,29474641,NC
0.2408627,29474642,NC
0.2408627,29474643,NC
0.24598743,29474644,NC
0.25111216,29474645,NC
0.23573796,29474646,NC
0.22548848,29474647,NC
0.19986479,29474648,NC
0.16911636,29474649,NC
0.1486174,29474650,NC
0.122993715,29474651,NC
0.122993715,29474652,NC
0.09737003,29474653,NC
0.08199581,29474654,NC
0.061496858,29474655,NC
0.061496858,29474656,NC
0.061496858,29474657,NC
0.040997904,29474658,NC
0.030748429,29474659,NC
0.005124738,29474660,NC
-0.015374214,29474661,NC
-0.046122644,29474662,NC
-0.051247384,29474663,NC
-0.061496858,29474664,NC
-0.076871075,29474665,NC
-0.08712055,29474666,NC
-0.08712055,29474667,NC
-0.08712055,29474668,NC
-0.09224529,29474669,NC
-0.08712055,29474670,NC
-0.10249477,29474671,NC
-0.11274424,29474672,NC
-0.12811846,29474673,NC
-0.13324319,29474674,NC
-0.13836794,29474675,NC
-0.1486174,29474676,NC
-0.15886688,29474677,NC
-0.14349267,29474678,NC
-0.14349267,29474679,NC
-0.1486174,29474680,NC
-0.13324319,29474681,NC
-0.13324319,29474682,NC
-0.13836794,29474683,NC
-0.1486174,29474684,NC
-0.15374215,29474685,NC
-0.15886688,29474686,NC
-0.16911636,29474687,NC
-0.16399162,29474688,NC
-0.16399162,29474689,NC
-0.15374215,29474690,NC
-0.16399162,29474691,NC
-0.15374215,29474692,NC
-0.13836794,29474693,NC
-0.13836794,29474694,NC
-0.12811846,29474695,NC
-0.13324319,29474696,NC
-0.13324319,29474697,NC
-0.13836794,29474698,NC
-0.14349267,29474699,NC
-0.1486174,29474700,NC
-0.14349267,29474701,NC
-0.13324319,29474702,NC
-0.13324319,29474703,NC
-0.13324319,29474704,NC
-0.11786898,29474705,NC
-0.122993715,29474706,NC
-0.122993715,29474707,NC
-0.13324319,29474708,NC
-0.14349267,29474709,NC
-0.16911636,29474710,NC
-0.17936583,29474711,NC
-0.17936583,29474712,NC
-0.18961531,29474713,NC
-0.16399162,29474714,NC
-0.16911636,29474715,NC
-0.16399162,29474716,NC
-0.15374215,29474717,NC
-0.15374215,29474718,NC
-0.15886688,29474719,NC
-0.1742411,29474720,NC
-0.18961531,29474721,NC
-0.18449058,29474722,NC
-0.19474006,29474723,NC
-0.19986479,29474724,NC
-0.19474006,29474725,NC
-0.1742411,29474726,NC
-0.15886688,29474727,NC
-0.15886688,29474728,NC
-0.15374215,29474729,NC
-0.1486174,29474730,NC
-0.14349267,29474731,NC
-0.13324319,29474732,NC
-0.13324319,29474733,NC
-0.11274424,29474734,NC
-0.1076195,29474735,NC
-0.122993715,29474736,NC
-0.122993715,29474737,NC
-0.12811846,29474738,NC
-0.13836794,29474739,NC
-0.13836794,29474740,NC
-0.14349267,29474741,NC
-0.13324319,29474742,NC
-0.15374215,29474743,NC
-0.16399162,29474744,NC
-0.16399162,29474745,NC
-0.1742411,29474746,NC
-0.1742411,29474747,NC
-0.16399162,29474748,NC
-0.16911636,29474749,NC
-0.16399162,29474750,NC
-0.15886688,29474751,NC
-0.15374215,29474752,NC
-0.1486174,29474753,NC
-0.14349267,29474754,NC
-0.13836794,29474755,NC
-0.12811846,29474756,NC
-0.12811846,29474757,NC
-0.14349267,29474758,NC
-0.13836794,29474759,NC
-0.1486174,29474760,NC
-0.1486174,29474761,NC
-0.16399162,29474762,NC
-0.15374215,29474763,NC
-0.14349267,29474764,NC
-0.13836794,29474765,NC
-0.13836794,29474766,NC
-0.14349267,29474767,NC
-0.13836794,29474768,NC
-0.14349267,29474769,NC
-0.14349267,29474770,NC
-0.15374215,29474771,NC
-0.15374215,29474772,NC
-0.15886688,29474773,NC
-0.15374215,29474774,NC
-0.13836794,29474775,NC
-0.12811846,29474776,NC
-0.12811846,29474777,NC
-0.13324319,29474778,NC
-0.122993715,29474779,NC
-0.13324319,29474780,NC
-0.13836794,29474781,NC
-0.14349267,29474782,NC
-0.15374215,29474783,NC
-0.15886688,29474784,NC
-0.15374215,29474785,NC
-0.13324319,29474786,NC
-0.11786898,29474787,NC
-0.11786898,29474788,NC
-0.1076195,29474789,NC
-0.11274424,29474790,NC
-0.09737003,29474791,NC
-0.10249477,29474792,NC
-0.11274424,29474793,NC
-0.11274424,29474794,NC
-0.12811846,29474795,NC
-0.13324319,29474796,NC
-0.122993715,29474797,NC
-0.10249477,29474798,NC
-0.08712055,29474799,NC
-0.051247384,29474800,NC
-0.015374214,29474801,NC
0.025623692,29474802,NC
0.066621594,29474803,NC
0.1486174,29474804,NC
0.23573796,29474805,NC
0.33310798,29474806,NC
0.45097697,29474807,NC
0.55347174,29474808,A
0.6354675,29474809,NC
0.6252181,29474810,NC
0.51759857,29474811,NC
0.3074843,29474812,NC
0.046122644,29474813,NC
-0.21011427,29474814,NC
-0.37923062,29474815,NC
-0.4970996,29474816,NC
-0.527848,29474817,NC
-0.5124738,29474818,NC
-0.49197486,29474819,NC
-0.46122643,29474820,NC
-0.42535326,29474821,NC
-0.3894801,29474822,NC
-0.35873166,29474823,NC
-0.3638564,29474824,NC
-0.35360694,29474825,NC
-0.36898115,29474826,NC
-0.35360694,29474827,NC
-0.3484822,29474828,NC
-0.31773376,29474829,NC
-0.2921101,29474830,NC
-0.27673587,29474831,NC
-0.26136166,29474832,NC
-0.28698534,29474833,NC
-0.2972348,29474834,NC
-0.32798323,29474835,NC
-0.33823273,29474836,NC
-0.32798323,29474837,NC
-0.31260905,29474838,NC
-0.2972348,29474839,NC
-0.27161112,29474840,NC
-0.26648638,29474841,NC
-0.2408627,29474842,NC
-0.22548848,29474843,NC
-0.19474006,29474844,NC
-0.16911636,29474845,NC
-0.122993715,29474846,NC
-0.1076195,29474847,NC
-0.10249477,29474848,NC
-0.09224529,29474849,NC
-0.10249477,29474850,NC
-0.1076195,29474851,NC
-0.122993715,29474852,NC
-0.13324319,29474853,NC
-0.13836794,29474854,NC
-0.1486174,29474855,NC
-0.1486174,29474856,NC
-0.13324319,29474857,NC
-0.12811846,29474858,NC
-0.10249477,29474859,NC
-0.11274424,29474860,NC
-0.10249477,29474861,NC
-0.11274424,29474862,NC
-0.09737003,29474863,NC
-0.10249477,29474864,NC
-0.10249477,29474865,NC
-0.1076195,29474866,NC
-0.1076195,29474867,NC
-0.11274424,29474868,NC
-0.1076195,29474869,NC
-0.11274424,29474870,NC
-0.09737003,29474871,NC
-0.08712055,29474872,NC
-0.08199581,29474873,NC
-0.09224529,29474874,NC
-0.08712055,29474875,NC
-0.09224529,29474876,NC
-0.1076195,29474877,NC
-0.10249477,29474878,NC
-0.11786898,29474879,NC
-0.1076195,29474880,NC
-0.08712055,29474881,NC
-0.071746334,29474882,NC
-0.051247384,29474883,NC
-0.030748429,29474884,NC
-0.030748429,29474885,NC
-0.025623692,29474886,NC
-0.035873167,29474887,NC
-0.030748429,29474888,NC
-0.030748429,29474889,NC
-0.030748429,29474890,NC
-0.030748429,29474891,NC
-0.015374214,29474892,NC
-0.005124738,29474893,NC
0.010249476,29474894,NC
0.030748429,29474895,NC
0.030748429,29474896,NC
0.051247384,29474897,NC
0.066621594,29474898,NC
0.071746334,29474899,NC
0.08199581,29474900,NC
0.08712055,29474901,NC
0.09737003,29474902,NC
0.10249477,29474903,NC
0.1076195,29474904,NC
0.12811846,29474905,NC
0.13324319,29474906,NC
0.1486174,29474907,NC
0.15374215,29474908,NC
0.15886688,29474909,NC
0.16911636,29474910,NC
0.16911636,29474911,NC
0.15886688,29474912,NC
0.15886688,29474913,NC
0.16399162,29474914,NC
0.15886688,29474915,NC
0.15374215,29474916,NC
0.16911636,29474917,NC
0.15374215,29474918,NC
0.1486174,29474919,NC
0.14349267,29474920,NC
0.1486174,29474921,NC
0.12811846,29474922,NC
0.11786898,29474923,NC
0.08712055,29474924,NC
0.061496858,29474925,NC
0.051247384,29474926,NC
0.030748429,29474927,NC
0.010249476,29474928,NC
-0.020498952,29474929,NC
-0.030748429,29474930,NC
-0.040997904,29474931,NC
-0.051247384,29474932,NC
-0.051247384,29474933,NC
-0.05637212,29474934,NC
-0.071746334,29474935,NC
-0.08712055,29474936,NC
-0.09737003,29474937,NC
-0.11786898,29474938,NC
-0.122993715,29474939,NC
-0.13324319,29474940,NC
-0.13324319,29474941,NC
-0.13836794,29474942,NC
-0.14349267,29474943,NC
-0.13324319,29474944,NC
-0.13324319,29474945,NC
-0.13836794,29474946,NC
-0.13836794,29474947,NC
-0.1486174,29474948,NC
-0.16399162,29474949,NC
-0.1742411,29474950,NC
-0.18449058,29474951,NC
-0.19474006,29474952,NC
-0.19474006,29474953,NC
-0.18449058,29474954,NC
-0.17936583,29474955,NC
-0.16911636,29474956,NC
-0.1742411,29474957,NC
-0.1742411,29474958,NC
-0.16399162,29474959,NC
-0.16911636,29474960,NC
-0.16911636,29474961,NC
-0.17936583,29474962,NC
-0.19474006,29474963,NC
-0.19474006,29474964,NC
-0.18449058,29474965,NC
-0.17936583,29474966,NC
-0.18961531,29474967,NC
-0.1742411,29474968,NC
-0.16399162,29474969,NC
-0.16911636,29474970,NC
-0.18449058,29474971,NC
-0.18449058,29474972,NC
-0.18449058,29474973,NC
-0.17936583,29474974,NC
-0.18449058,29474975,NC
-0.17936583,29474976,NC
-0.16911636,29474977,NC
-0.15374215,29474978,NC
-0.1486174,29474979,NC
-0.13836794,29474980,NC
-0.13836794,29474981,NC
-0.13836794,29474982,NC
-0.14349267,29474983,NC
-0.14349267,29474984,NC
-0.1486174,29474985,NC
-0.15374215,29474986,NC
-0.16399162,29474987,NC
-0.16399162,29474988,NC
-0.16911636,29474989,NC
-0.15886688,29474990,NC
-0.15374215,29474991,NC
-0.1486174,29474992,NC
-0.13324319,29474993,NC
-0.13324319,29474994,NC
-0.122993715,29474995,NC
-0.13324319,29474996,NC
-0.12811846,29474997,NC
-0.13324319,29474998,NC
-0.15374215,29474999,NC
-0.16399162,29475000,NC
-0.14349267,29475001,NC
-0.14349267,29475002,NC
-0.13324319,29475003,NC
-0.14349267,29475004,NC
-0.1486174,29475005,NC
-0.14349267,29475006,NC
-0.15374215,29475007,NC
-0.16399162,29475008,NC
-0.15886688,29475009,NC
-0.15886688,29475010,NC
-0.16399162,29475011,NC
-0.16399162,29475012,NC
-0.16399162,29475013,NC
-0.16399162,29475014,NC
-0.1486174,29475015,NC
-0.1486174,29475016,NC
-0.14349267,29475017,NC
