channel_0,sample #,type
0.55046165,29326622,A
0.5904187,29326623,NC
0.53037703,29326624,NC
0.37033668,29326625,NC
0.15529764,29326626,NC
-0.06974009,29326627,NC
-0.2447765,29326628,NC
-0.3448116,29326629,NC
-0.37484536,29326630,NC
-0.36987782,29326631,NC
-0.33490893,29326632,NC
-0.2949387,29326633,NC
-0.2649672,29326634,NC
-0.24499437,29326635,NC
-0.2300202,29326636,NC
-0.24004467,29326637,NC
-0.25006783,29326638,NC
-0.28008968,29326639,NC
-0.29011017,29326640,NC
-0.28512934,29326641,NC
-0.26014715,29326642,NC
-0.23016366,29326643,NC
-0.21017882,29326644,NC
-0.17519264,29326645,NC
-0.18520513,29326646,NC
-0.20021628,29326647,NC
-0.21522608,29326648,NC
-0.24023455,29326649,NC
-0.2552417,29326650,NC
-0.26024747,29326651,NC
-0.26525193,29326652,NC
-0.24525505,29326653,NC
-0.22525682,29326654,NC
-0.20525725,29326655,NC
-0.18025635,29326656,NC
-0.1452541,29326657,NC
-0.10525052,29326658,NC
-0.070245594,29326659,NC
-0.06023933,29326660,NC
-0.05023173,29326661,NC
-0.055222787,29326662,NC
-0.060212508,29326663,NC
-0.08520089,29326664,NC
-0.08018793,29326665,NC
-0.075173646,29326666,NC
-0.08015802,29326667,NC
-0.07014105,29326668,NC
-0.06512275,29326669,NC
-0.055103123,29326670,NC
-0.045082156,29326671,NC
-0.045059856,29326672,NC
-0.05003623,29326673,NC
-0.060011268,29326674,NC
-0.05498498,29326675,NC
-0.07495737,29326676,NC
-0.059928425,29326677,NC
-0.06989816,29326678,NC
-0.06986657,29326679,NC
-0.05983365,29326680,NC
-0.07479942,29326681,NC
-0.05476386,29326682,NC
-0.059726987,29326683,NC
-0.0596888,29326684,NC
-0.04964929,29326685,NC
-0.05460848,29326686,NC
-0.054566346,29326687,NC
-0.06452291,29326688,NC
-0.07947817,29326689,NC
-0.07443212,29326690,NC
-0.06438476,29326691,NC
-0.059336107,29326692,NC
-0.054286152,29326693,NC
-0.039234903,29326694,NC
-0.029182358,29326695,NC
-0.02912852,29326696,NC
-0.029073393,29326697,NC
-0.024016976,29326698,NC
-0.018959278,29326699,NC
-0.013900296,29326700,NC
-0.013840034,29326701,NC
-0.018778494,29326702,NC
-0.00871568,29326703,NC
0.006348405,29326704,NC
0.011413759,29326705,NC
0.021480381,29326706,NC
0.03154826,29326707,NC
0.04661741,29326708,NC
0.051687803,29326709,NC
0.06675946,29326710,NC
0.06183237,29326711,NC
0.07690651,29326712,NC
0.0769819,29326713,NC
0.087058544,29326714,NC
0.09213641,29326715,NC
0.10221552,29326716,NC
0.12229587,29326717,NC
0.12737744,29326718,NC
0.14746022,29326719,NC
0.15254423,29326720,NC
0.15762945,29326721,NC
0.14771588,29326722,NC
0.15780354,29326723,NC
0.15789238,29326724,NC
0.15798242,29326725,NC
0.16807365,29326726,NC
0.18816611,29326727,NC
0.18825974,29326728,NC
0.19335453,29326729,NC
0.21345052,29326730,NC
0.21354769,29326731,NC
0.21864603,29326732,NC
0.21374553,29326733,NC
0.21384619,29326734,NC
0.19394803,29326735,NC
0.18405099,29326736,NC
0.16415513,29326737,NC
0.1592604,29326738,NC
0.14936681,29326739,NC
0.14447436,29326740,NC
0.11958303,29326741,NC
0.11469284,29326742,NC
0.109803766,29326743,NC
0.089915805,29326744,NC
0.070028946,29326745,NC
0.05014321,29326746,NC
0.04525856,29326747,NC
0.020375015,29326748,NC
0.005492555,29326749,NC
0.00061118416,29326750,NC
-0.00926911,29326751,NC
-0.019148327,29326752,NC
-0.019026477,29326753,NC
-0.02390356,29326754,NC
-0.038779587,29326755,NC
-0.05365456,29326756,NC
-0.048528485,29326757,NC
-0.05840137,29326758,NC
-0.078273214,29326759,NC
-0.09814403,29326760,NC
-0.10301382,29326761,NC
-0.0978826,29326762,NC
-0.08775035,29326763,NC
-0.0876171,29326764,NC
-0.07748286,29326765,NC
-0.08234761,29326766,NC
-0.07721137,29326767,NC
-0.08207416,29326768,NC
-0.08693596,29326769,NC
-0.08679679,29326770,NC
-0.096656665,29326771,NC
-0.10651557,29326772,NC
-0.106373526,29326773,NC
-0.121230535,29326774,NC
-0.121086605,29326775,NC
-0.10094173,29326776,NC
-0.095795944,29326777,NC
-0.095649235,29326778,NC
-0.09050161,29326779,NC
-0.09535307,29326780,NC
-0.09520364,29326781,NC
-0.0950533,29326782,NC
-0.08990208,29326783,NC
-0.10474998,29326784,NC
-0.099597,29326785,NC
-0.094443165,29326786,NC
-0.09428846,29326787,NC
-0.0891329,29326788,NC
-0.08897649,29326789,NC
-0.08381924,29326790,NC
-0.08366116,29326791,NC
-0.08350226,29326792,NC
-0.08334254,29326793,NC
-0.103182,29326794,NC
-0.11802065,29326795,NC
-0.12285851,29326796,NC
-0.12269558,29326797,NC
-0.14253187,29326798,NC
-0.14236738,29326799,NC
-0.12720212,29326800,NC
-0.1270361,29326801,NC
-0.12186931,29326802,NC
-0.12170179,29326803,NC
-0.13153353,29326804,NC
-0.13136454,29326805,NC
-0.12119481,29326806,NC
-0.11102438,29326807,NC
-0.12585323,29326808,NC
-0.120681375,29326809,NC
-0.11550884,29326810,NC
-0.09533561,29326811,NC
-0.105161704,29326812,NC
-0.09998712,29326813,NC
-0.09481187,29326814,NC
-0.089635976,29326815,NC
-0.10945943,29326816,NC
-0.089282244,29326817,NC
-0.079104416,29326818,NC
-0.07892597,29326819,NC
-0.09374691,29326820,NC
-0.08356724,29326821,NC
-0.08838697,29326822,NC
-0.0932061,29326823,NC
-0.08802465,29326824,NC
-0.08784263,29326825,NC
-0.08766004,29326826,NC
-0.092476875,29326827,NC
-0.08729317,29326828,NC
-0.09210891,29326829,NC
-0.09192412,29326830,NC
-0.10173881,29326831,NC
-0.11655297,29326832,NC
-0.12636663,29326833,NC
-0.11617977,29326834,NC
-0.11599243,29326835,NC
-0.12580459,29326836,NC
-0.12061628,29326837,NC
-0.105427496,29326838,NC
-0.100238256,29326839,NC
-0.085048564,29326840,NC
-0.08985841,29326841,NC
-0.074667834,29326842,NC
-0.07947683,29326843,NC
-0.08428541,29326844,NC
-0.09409357,29326845,NC
-0.09390133,29326846,NC
