channel_0,sample #,type
0.017635982,19622264,~
0.011576001,19622265,NC
0.015466374,19622266,NC
0.029300041,19622267,NC
0.04643438,19622268,NC
0.040607847,19622269,NC
0.038695563,19622270,NC
0.0382167,19622271,NC
0.048549682,19622272,NC
0.04469171,19622273,NC
0.025600407,19622274,NC
0.025736246,19622275,NC
0.04418273,19622276,NC
0.045001466,19622277,NC
0.056038603,19622278,NC
0.07531893,19622279,NC
0.07413417,19622280,NC
0.07886168,19622281,NC
0.08276858,19622282,NC
0.05380457,19622283,NC
0.045120697,19622284,NC
0.025380975,19622285,NC
0.017166574,19622286,NC
0.015949974,19622287,NC
-0.009299151,19622288,NC
-0.014539711,19622289,NC
-0.02175886,19622290,NC
-0.022171432,19622291,NC
-0.028212303,19622292,NC
-0.0411274,19622293,NC
-0.063273646,19622294,NC
-0.101160556,19622295,NC
-0.11361963,19622296,NC
-0.11952001,19622297,NC
-0.14320299,19622298,NC
-0.16736653,19622299,NC
-0.1638769,19622300,NC
-0.1722089,19622301,NC
-0.17957656,19622302,NC
-0.19043326,19622303,NC
-0.20880176,19622304,NC
-0.22025596,19622305,NC
-0.24090026,19622306,NC
-0.25504845,19622307,NC
-0.26079816,19622308,NC
-0.27532926,19622309,NC
-0.2855142,19622310,NC
-0.30638668,19622311,NC
-0.3039577,19622312,NC
-0.30559188,19622313,NC
-0.29467097,19622314,NC
-0.30407825,19622315,NC
-0.315876,19622316,NC
-0.31423333,19622317,NC
-0.30533528,19622318,NC
-0.32041085,19622319,NC
-0.3191694,19622320,NC
-0.30990887,19622321,NC
-0.2948932,19622322,NC
-0.31899482,19622323,NC
-0.32514468,19622324,NC
-0.32924306,19622325,NC
-0.32568568,19622326,NC
-0.3294737,19622327,NC
-0.30499333,19622328,NC
-0.30431783,19622329,NC
-0.3021035,19622330,NC
-0.28443256,19622331,NC
-0.2944286,19622332,NC
-0.2993422,19622333,NC
-0.3141306,19622334,NC
-0.32063657,19622335,NC
-0.33566326,19622336,NC
-0.34102637,19622337,NC
-0.3263784,19622338,NC
-0.2585939,19622339,NC
-0.13498525,19622340,NC
0.016759265,19622341,NC
0.2243947,19622342,NC
0.47895625,19622343,NC
0.7287948,19622344,NC
0.9875431,19622345,A
1.1527449,19622346,NC
1.1204995,19622347,NC
0.8694248,19622348,NC
0.41193113,19622349,NC
-0.10611522,19622350,NC
-0.5960094,19622351,NC
-0.9453949,19622352,NC
-0.99999905,19622353,NC
-0.83658135,19622354,NC
-0.62554055,19622355,NC
-0.4411663,19622356,NC
-0.35977536,19622357,NC
-0.32444197,19622358,NC
-0.3102419,19622359,NC
-0.27877936,19622360,NC
-0.2606854,19622361,NC
-0.28611955,19622362,NC
-0.2788262,19622363,NC
-0.28547806,19622364,NC
-0.28665864,19622365,NC
-0.30043763,19622366,NC
-0.32020465,19622367,NC
-0.31111166,19622368,NC
-0.30463603,19622369,NC
-0.3034266,19622370,NC
-0.29668897,19622371,NC
-0.28941277,19622372,NC
-0.30770227,19622373,NC
-0.30962503,19622374,NC
-0.31563294,19622375,NC
-0.31430715,19622376,NC
-0.2962638,19622377,NC
-0.29567447,19622378,NC
-0.30879685,19622379,NC
-0.2987146,19622380,NC
-0.29557952,19622381,NC
-0.30412984,19622382,NC
-0.31289154,19622383,NC
-0.29936138,19622384,NC
-0.29217625,19622385,NC
-0.29026818,19622386,NC
-0.2648432,19622387,NC
-0.25153017,19622388,NC
-0.24499924,19622389,NC
-0.24500787,19622390,NC
-0.23491944,19622391,NC
-0.22565287,19622392,NC
-0.22638363,19622393,NC
-0.23990545,19622394,NC
-0.2408714,19622395,NC
-0.23894314,19622396,NC
-0.24388352,19622397,NC
-0.2297965,19622398,NC
-0.20385411,19622399,NC
-0.168906,19622400,NC
-0.14889571,19622401,NC
-0.14968629,19622402,NC
-0.15639573,19622403,NC
-0.1491902,19622404,NC
-0.13412382,19622405,NC
-0.1107832,19622406,NC
-0.09009526,19622407,NC
-0.09253246,19622408,NC
-0.093730375,19622409,NC
-0.06389346,19622410,NC
-0.054542094,19622411,NC
-0.062031087,19622412,NC
-0.064426705,19622413,NC
-0.07126037,19622414,NC
-0.065249026,19622415,NC
-0.068929486,19622416,NC
-0.06804982,19622417,NC
-0.072885826,19622418,NC
-0.053711377,19622419,NC
-0.0513819,19622420,NC
-0.04727759,19622421,NC
-0.051339306,19622422,NC
-0.059445348,19622423,NC
-0.07510171,19622424,NC
-0.08537172,19622425,NC
-0.08955251,19622426,NC
-0.106146835,19622427,NC
-0.119842015,19622428,NC
-0.14502582,19622429,NC
-0.15353614,19622430,NC
-0.15907662,19622431,NC
-0.19043046,19622432,NC
-0.20917973,19622433,NC
-0.22386228,19622434,NC
-0.2053641,19622435,NC
-0.20796137,19622436,NC
-0.22793469,19622437,NC
-0.2557182,19622438,NC
-0.28514335,19622439,NC
-0.28385088,19622440,NC
-0.284232,19622441,NC
-0.26910636,19622442,NC
-0.27427778,19622443,NC
-0.28423893,19622444,NC
-0.28024644,19622445,NC
-0.2692743,19622446,NC
-0.26426664,19622447,NC
-0.26536044,19622448,NC
-0.2717411,19622449,NC
-0.27509636,19622450,NC
-0.3012313,19622451,NC
-0.30072862,19622452,NC
-0.29007265,19622453,NC
-0.2858076,19622454,NC
-0.2796695,19622455,NC
-0.28682953,19622456,NC
-0.26809025,19622457,NC
-0.26284403,19622458,NC
-0.24661738,19622459,NC
-0.24542628,19622460,NC
-0.26236463,19622461,NC
-0.28165945,19622462,NC
-0.28291368,19622463,NC
-0.27989188,19622464,NC
-0.25653133,19622465,NC
-0.24562322,19622466,NC
-0.24473542,19622467,NC
-0.24727154,19622468,NC
-0.2527807,19622469,NC
-0.26934955,19622470,NC
-0.2604756,19622471,NC
-0.2751345,19622472,NC
-0.28524935,19622473,NC
-0.29953942,19622474,NC
-0.30532566,19622475,NC
-0.30001673,19622476,NC
-0.28055337,19622477,NC
-0.28438732,19622478,NC
-0.30530822,19622479,NC
-0.32982838,19622480,NC
-0.31831536,19622481,NC
-0.33343872,19622482,NC
-0.32107028,19622483,NC
-0.3153505,19622484,NC
-0.31412786,19622485,NC
-0.33329442,19622486,NC
-0.3661315,19622487,NC
-0.34316766,19622488,NC
-0.33896866,19622489,NC
-0.33107367,19622490,NC
-0.32960656,19622491,NC
-0.3346407,19622492,NC
-0.35092527,19622493,NC
-0.33925772,19622494,NC
-0.32532656,19622495,NC
-0.31109303,19622496,NC
-0.33858755,19622497,NC
-0.37625414,19622498,NC
-0.40068898,19622499,NC
-0.37782368,19622500,NC
-0.35080162,19622501,NC
-0.3427759,19622502,NC
-0.33894786,19622503,NC
-0.33576062,19622504,NC
-0.32916796,19622505,NC
-0.31338346,19622506,NC
-0.31305963,19622507,NC
-0.31919166,19622508,NC
-0.31471604,19622509,NC
-0.32999098,19622510,NC
-0.34501618,19622511,NC
-0.32278198,19622512,NC
-0.29631183,19622513,NC
-0.27375254,19622514,NC
-0.28131357,19622515,NC
-0.2685965,19622516,NC
-0.25995618,19622517,NC
-0.2250925,19622518,NC
-0.19959544,19622519,NC
-0.19833122,19622520,NC
-0.2087708,19622521,NC
-0.22951044,19622522,NC
-0.22562975,19622523,NC
-0.20077808,19622524,NC
-0.18966082,19622525,NC
-0.20092723,19622526,NC
-0.2152752,19622527,NC
-0.251836,19622528,NC
-0.25474638,19622529,NC
-0.2599974,19622530,NC
-0.26583436,19622531,NC
-0.2611204,19622532,NC
-0.26527053,19622533,NC
-0.26526415,19622534,NC
-0.26397166,19622535,NC
-0.24967173,19622536,NC
-0.24548979,19622537,NC
-0.23907141,19622538,NC
-0.251509,19622539,NC
-0.2349139,19622540,NC
-0.229913,19622541,NC
-0.21875186,19622542,NC
-0.21390846,19622543,NC
-0.234955,19622544,NC
-0.2350726,19622545,NC
-0.23451337,19622546,NC
-0.235839,19622547,NC
-0.2410186,19622548,NC
-0.24977218,19622549,NC
-0.23802419,19622550,NC
-0.26012334,19622551,NC
-0.28415287,19622552,NC
-0.33020812,19622553,NC
-0.34609428,19622554,NC
-0.3345243,19622555,NC
-0.3357066,19622556,NC
-0.36102325,19622557,NC
-0.34958217,19622558,NC
-0.3545155,19622559,NC
-0.3484645,19622560,NC
-0.32900468,19622561,NC
-0.34434104,19622562,NC
-0.35401556,19622563,NC
-0.36232448,19622564,NC
-0.35041332,19622565,NC
-0.3497109,19622566,NC
-0.33881846,19622567,NC
-0.35175046,19622568,NC
-0.36189932,19622569,NC
-0.37691775,19622570,NC
-0.40060082,19622571,NC
-0.4045963,19622572,NC
-0.40177065,19622573,NC
-0.3954095,19622574,NC
-0.37946552,19622575,NC
-0.31012732,19622576,NC
-0.17672479,19622577,NC
-0.024440484,19622578,NC
0.15589304,19622579,NC
0.37387463,19622580,NC
0.6094879,19622581,NC
0.8037905,19622582,N
