channel_0,sample #,type
0.86500007,29391375,A
0.88000005,29391376,NC
0.8466667,29391377,NC
0.71000004,29391378,NC
0.485,29391379,NC
0.22500001,29391380,NC
-0.008333329,29391381,NC
-0.18333334,29391382,NC
-0.28833336,29391383,NC
-0.33833334,29391384,NC
-0.35,29391385,NC
-0.34333333,29391386,NC
-0.32,29391387,NC
-0.29000002,29391388,NC
-0.2616667,29391389,NC
-0.245,29391390,NC
-0.24166667,29391391,NC
-0.24333334,29391392,NC
-0.23666668,29391393,NC
-0.21333334,29391394,NC
-0.17500001,29391395,NC
-0.14666668,29391396,NC
-0.13333334,29391397,NC
-0.14166668,29391398,NC
-0.15833333,29391399,NC
-0.17500001,29391400,NC
-0.185,29391401,NC
-0.185,29391402,NC
-0.17833334,29391403,NC
-0.17166668,29391404,NC
-0.16333334,29391405,NC
-0.15333334,29391406,NC
-0.13333334,29391407,NC
-0.108333334,29391408,NC
-0.07833333,29391409,NC
-0.046666667,29391410,NC
-0.016666666,29391411,NC
0.008333333,29391412,NC
0.026666667,29391413,NC
0.035,29391414,NC
0.035,29391415,NC
0.026666667,29391416,NC
0.013333333,29391417,NC
0.0016666665,29391418,NC
-0.006666667,29391419,NC
-0.005,29391420,NC
0.0,29391421,NC
0.006666667,29391422,NC
0.011666667,29391423,NC
0.013333333,29391424,NC
0.018333334,29391425,NC
0.021666668,29391426,NC
0.021666668,29391427,NC
0.016666668,29391428,NC
0.01,29391429,NC
0.008333333,29391430,NC
0.01,29391431,NC
0.016666666,29391432,NC
0.021666668,29391433,NC
0.026666667,29391434,NC
0.033333335,29391435,NC
0.038333334,29391436,NC
0.038333334,29391437,NC
0.03333333,29391438,NC
0.03666667,29391439,NC
0.041666668,29391440,NC
0.043333333,29391441,NC
0.03666667,29391442,NC
0.031666666,29391443,NC
0.03333333,29391444,NC
0.043333333,29391445,NC
0.055,29391446,NC
0.07,29391447,NC
0.07833333,29391448,NC
0.083333336,29391449,NC
0.08166666,29391450,NC
0.07333334,29391451,NC
0.07333334,29391452,NC
0.07166667,29391453,NC
0.08500001,29391454,NC
0.095000006,29391455,NC
0.11000001,29391456,NC
0.12166667,29391457,NC
0.13333333,29391458,NC
0.14666668,29391459,NC
0.16,29391460,NC
0.17,29391461,NC
0.18,29391462,NC
0.18666667,29391463,NC
0.19333333,29391464,NC
0.195,29391465,NC
0.19999999,29391466,NC
0.21,29391467,NC
0.22666669,29391468,NC
0.245,29391469,NC
0.26,29391470,NC
0.27333334,29391471,NC
0.27333334,29391472,NC
0.275,29391473,NC
0.27666667,29391474,NC
0.285,29391475,NC
0.29,29391476,NC
0.29333335,29391477,NC
0.29500002,29391478,NC
0.3,29391479,NC
0.30333334,29391480,NC
0.31,29391481,NC
0.305,29391482,NC
0.30333334,29391483,NC
0.29833335,29391484,NC
0.29500002,29391485,NC
0.28166667,29391486,NC
0.26166666,29391487,NC
0.24,29391488,NC
0.215,29391489,NC
0.19000001,29391490,NC
0.16666667,29391491,NC
0.14833334,29391492,NC
0.135,29391493,NC
0.12666667,29391494,NC
0.12166666,29391495,NC
0.114999995,29391496,NC
0.105000004,29391497,NC
0.09166667,29391498,NC
0.07333334,29391499,NC
0.056666672,29391500,NC
0.033333335,29391501,NC
0.015000001,29391502,NC
-0.0016666667,29391503,NC
-0.01,29391504,NC
-0.013333333,29391505,NC
-0.015,29391506,NC
-0.013333334,29391507,NC
-0.015,29391508,NC
-0.021666666,29391509,NC
-0.028333334,29391510,NC
-0.035,29391511,NC
-0.03666667,29391512,NC
-0.038333334,29391513,NC
-0.038333334,29391514,NC
-0.04,29391515,NC
-0.043333337,29391516,NC
-0.045,29391517,NC
-0.045,29391518,NC
-0.041666668,29391519,NC
-0.043333337,29391520,NC
-0.05,29391521,NC
-0.06333333,29391522,NC
-0.07,29391523,NC
-0.07333334,29391524,NC
-0.075,29391525,NC
-0.07833333,29391526,NC
-0.07833333,29391527,NC
-0.07333334,29391528,NC
-0.068333335,29391529,NC
-0.06333333,29391530,NC
-0.061666664,29391531,NC
-0.056666665,29391532,NC
-0.05666667,29391533,NC
-0.05666667,29391534,NC
-0.06666666,29391535,NC
-0.07166667,29391536,NC
-0.07666667,29391537,NC
-0.07666667,29391538,NC
-0.07833333,29391539,NC
-0.085,29391540,NC
-0.09,29391541,NC
-0.1,29391542,NC
-0.101666674,29391543,NC
-0.10666668,29391544,NC
-0.105000004,29391545,NC
-0.105000004,29391546,NC
-0.09833334,29391547,NC
-0.093333334,29391548,NC
-0.08833334,29391549,NC
-0.09,29391550,NC
-0.09,29391551,NC
-0.08833334,29391552,NC
-0.085,29391553,NC
-0.07833333,29391554,NC
-0.07000001,29391555,NC
-0.060000002,29391556,NC
-0.055000003,29391557,NC
-0.053333335,29391558,NC
-0.045,29391559,NC
-0.031666666,29391560,NC
-0.023333333,29391561,NC
-0.025,29391562,NC
-0.03333333,29391563,NC
-0.03666667,29391564,NC
-0.038333334,29391565,NC
-0.04,29391566,NC
-0.041666668,29391567,NC
-0.045,29391568,NC
-0.05,29391569,NC
-0.058333337,29391570,NC
-0.06,29391571,NC
-0.053333335,29391572,NC
-0.05,29391573,NC
-0.046666667,29391574,NC
-0.05166667,29391575,NC
-0.055,29391576,NC
-0.06333333,29391577,NC
-0.06666667,29391578,NC
-0.07000001,29391579,NC
-0.065,29391580,NC
-0.06333333,29391581,NC
-0.05166667,29391582,NC
-0.044999998,29391583,NC
-0.03666667,29391584,NC
-0.03666667,29391585,NC
-0.041666668,29391586,NC
-0.05,29391587,NC
-0.06166667,29391588,NC
-0.068333335,29391589,NC
-0.07166667,29391590,NC
-0.068333335,29391591,NC
-0.065,29391592,NC
-0.06,29391593,NC
-0.055,29391594,NC
-0.05333334,29391595,NC
-0.05333334,29391596,NC
-0.055000003,29391597,NC
-0.05166667,29391598,NC
-0.048333336,29391599,NC
-0.048333336,29391600,NC
-0.045,29391601,NC
-0.043333337,29391602,NC
-0.038333334,29391603,NC
-0.03666667,29391604,NC
-0.030000001,29391605,NC
-0.028333332,29391606,NC
-0.035000004,29391607,NC
-0.046666667,29391608,NC
-0.06333334,29391609,NC
-0.07666667,29391610,NC
-0.08833334,29391611,NC
-0.08500001,29391612,NC
-0.07833333,29391613,NC
-0.06666667,29391614,NC
-0.05166667,29391615,NC
-0.03666667,29391616,NC
-0.028333334,29391617,NC
-0.028333334,29391618,NC
-0.03,29391619,NC
-0.03,29391620,NC
-0.031666666,29391621,NC
-0.031666666,29391622,NC
-0.023333333,29391623,NC
-0.013333334,29391624,NC
-0.005,29391625,NC
0.0033333334,29391626,NC
0.02,29391627,NC
0.05166667,29391628,NC
0.08833334,29391629,NC
0.14333335,29391630,NC
0.21666667,29391631,NC
0.31500003,29391632,NC
0.43166667,29391633,NC
0.56,29391634,NC
0.6866667,29391635,NC
0.7816667,29391636,A
0.8183334,29391637,NC
0.76666677,29391638,NC
0.615,29391639,NC
0.37666667,29391640,NC
0.10499999,29391641,NC
-0.13833334,29391642,NC
-0.31833333,29391643,NC
-0.425,29391644,NC
-0.46666667,29391645,NC
-0.46333334,29391646,NC
-0.435,29391647,NC
-0.40000004,29391648,NC
-0.36,29391649,NC
-0.32833335,29391650,NC
-0.31166667,29391651,NC
-0.31166667,29391652,NC
-0.31666666,29391653,NC
-0.31666666,29391654,NC
-0.3,29391655,NC
-0.27,29391656,NC
-0.23833334,29391657,NC
-0.21666667,29391658,NC
-0.21166669,29391659,NC
-0.21666668,29391660,NC
-0.22833334,29391661,NC
-0.23666666,29391662,NC
-0.23666666,29391663,NC
-0.23,29391664,NC
-0.22166668,29391665,NC
-0.21166667,29391666,NC
-0.20000002,29391667,NC
-0.18166667,29391668,NC
-0.16333333,29391669,NC
-0.14333333,29391670,NC
-0.12166667,29391671,NC
-0.098333344,29391672,NC
-0.07333334,29391673,NC
-0.05166667,29391674,NC
-0.033333335,29391675,NC
-0.021666665,29391676,NC
-0.021666666,29391677,NC
-0.024999999,29391678,NC
-0.03,29391679,NC
-0.03666667,29391680,NC
-0.045,29391681,NC
-0.05333334,29391682,NC
-0.053333335,29391683,NC
-0.04833334,29391684,NC
-0.038333334,29391685,NC
-0.030000001,29391686,NC
-0.026666667,29391687,NC
-0.026666667,29391688,NC
-0.026666667,29391689,NC
-0.026666667,29391690,NC
-0.031666666,29391691,NC
-0.03333333,29391692,NC
-0.035,29391693,NC
-0.031666666,29391694,NC
-0.031666666,29391695,NC
-0.028333332,29391696,NC
-0.021666668,29391697,NC
-0.013333334,29391698,NC
-0.0033333332,29391699,NC
0.0033333334,29391700,NC
0.008333333,29391701,NC
0.011666667,29391702,NC
0.006666666,29391703,NC
0.0033333332,29391704,NC
-0.0016666667,29391705,NC
-0.0016666667,29391706,NC
-0.005,29391707,NC
-0.0016666665,29391708,NC
0.0016666667,29391709,NC
0.011666667,29391710,NC
0.023333333,29391711,NC
0.040000003,29391712,NC
0.05166667,29391713,NC
0.058333337,29391714,NC
0.061666667,29391715,NC
0.06666666,29391716,NC
0.07000001,29391717,NC
0.07833333,29391718,NC
0.08833334,29391719,NC
0.10166667,29391720,NC
0.116666675,29391721,NC
0.13166666,29391722,NC
0.15,29391723,NC
0.165,29391724,NC
0.17833334,29391725,NC
0.18166667,29391726,NC
0.19,29391727,NC
0.19833332,29391728,NC
0.20666668,29391729,NC
0.20833334,29391730,NC
0.20833334,29391731,NC
0.22,29391732,NC
0.23333335,29391733,NC
0.25666666,29391734,NC
0.26833335,29391735,NC
0.28333333,29391736,NC
0.2916667,29391737,NC
0.29833335,29391738,NC
0.29666668,29391739,NC
0.29166666,29391740,NC
0.28833333,29391741,NC
0.28166667,29391742,NC
0.27333334,29391743,NC
0.26500002,29391744,NC
0.25666666,29391745,NC
0.24666667,29391746,NC
0.235,29391747,NC
0.22333333,29391748,NC
0.20666668,29391749,NC
0.18833333,29391750,NC
0.16833335,29391751,NC
0.15,29391752,NC
0.12666667,29391753,NC
0.10333334,29391754,NC
0.08,29391755,NC
0.061666667,29391756,NC
0.048333332,29391757,NC
0.038333334,29391758,NC
0.030000001,29391759,NC
0.02,29391760,NC
0.011666667,29391761,NC
0.008333333,29391762,NC
0.0033333332,29391763,NC
-0.005,29391764,NC
-0.013333334,29391765,NC
-0.023333333,29391766,NC
-0.03,29391767,NC
-0.04,29391768,NC
-0.043333337,29391769,NC
-0.045,29391770,NC
-0.048333336,29391771,NC
-0.048333336,29391772,NC
-0.05166667,29391773,NC
-0.053333335,29391774,NC
-0.058333334,29391775,NC
-0.06,29391776,NC
-0.065,29391777,NC
-0.06666667,29391778,NC
-0.068333335,29391779,NC
-0.06666666,29391780,NC
-0.06333333,29391781,NC
-0.058333337,29391782,NC
-0.05333334,29391783,NC
-0.05333334,29391784,NC
-0.05666667,29391785,NC
-0.058333334,29391786,NC
-0.06666666,29391787,NC
-0.07166667,29391788,NC
-0.08166667,29391789,NC
-0.08500001,29391790,NC
-0.095,29391791,NC
-0.10166667,29391792,NC
-0.10666667,29391793,NC
-0.105000004,29391794,NC
-0.09833334,29391795,NC
-0.096666664,29391796,NC
-0.095,29391797,NC
-0.099999994,29391798,NC
-0.10333333,29391799,NC
-0.11000001,29391800,NC
-0.11166667,29391801,NC
-0.116666675,29391802,NC
-0.120000005,29391803,NC
-0.125,29391804,NC
-0.120000005,29391805,NC
-0.11333333,29391806,NC
-0.10833334,29391807,NC
-0.10833334,29391808,NC
-0.11166667,29391809,NC
-0.11333334,29391810,NC
-0.12166667,29391811,NC
-0.13,29391812,NC
-0.13666667,29391813,NC
-0.13333334,29391814,NC
-0.125,29391815,NC
-0.114999995,29391816,NC
-0.108333334,29391817,NC
-0.1,29391818,NC
-0.09,29391819,NC
-0.07833333,29391820,NC
-0.07333334,29391821,NC
-0.068333335,29391822,NC
-0.061666667,29391823,NC
-0.050000004,29391824,NC
-0.046666667,29391825,NC
-0.046666667,29391826,NC
-0.053333335,29391827,NC
-0.058333337,29391828,NC
-0.06666666,29391829,NC
-0.07,29391830,NC
-0.06666667,29391831,NC
-0.065,29391832,NC
-0.068333335,29391833,NC
-0.07833333,29391834,NC
-0.086666666,29391835,NC
-0.08833334,29391836,NC
-0.09166667,29391837,NC
-0.093333334,29391838,NC
-0.093333334,29391839,NC
-0.095,29391840,NC
-0.09166667,29391841,NC
-0.093333334,29391842,NC
-0.08500001,29391843,NC
-0.07666667,29391844,NC
-0.06666666,29391845,NC
-0.061666664,29391846,NC
-0.058333334,29391847,NC
-0.058333334,29391848,NC
-0.05666667,29391849,NC
-0.061666667,29391850,NC
-0.068333335,29391851,NC
-0.07833333,29391852,NC
-0.08166666,29391853,NC
-0.07833333,29391854,NC
-0.07333334,29391855,NC
-0.065,29391856,NC
-0.060000002,29391857,NC
-0.058333337,29391858,NC
-0.06333333,29391859,NC
-0.06666667,29391860,NC
-0.068333335,29391861,NC
-0.07333334,29391862,NC
-0.07333334,29391863,NC
-0.07666667,29391864,NC
-0.06833333,29391865,NC
-0.06666666,29391866,NC
-0.055,29391867,NC
-0.05166667,29391868,NC
-0.046666667,29391869,NC
-0.045,29391870,NC
-0.041666668,29391871,NC
-0.043333337,29391872,NC
-0.05166667,29391873,NC
-0.061666667,29391874,NC
-0.07000001,29391875,NC
