channel_0,sample #,type
0.52,29840813,A
0.575,29840814,NC
0.55,29840815,NC
0.4,29840816,NC
0.15,29840817,NC
-0.15,29840818,NC
-0.41,29840819,NC
-0.59,29840820,NC
-0.68,29840821,NC
-0.695,29840822,NC
-0.68,29840823,NC
-0.64,29840824,NC
-0.61,29840825,NC
-0.565,29840826,NC
-0.535,29840827,NC
-0.54,29840828,NC
-0.545,29840829,NC
-0.55,29840830,NC
-0.555,29840831,NC
-0.545,29840832,NC
-0.52,29840833,NC
-0.475,29840834,NC
-0.44,29840835,NC
-0.42,29840836,NC
-0.435,29840837,NC
-0.445,29840838,NC
-0.47,29840839,NC
-0.495,29840840,NC
-0.495,29840841,NC
-0.5,29840842,NC
-0.5,29840843,NC
-0.495,29840844,NC
-0.465,29840845,NC
-0.445,29840846,NC
-0.425,29840847,NC
-0.395,29840848,NC
-0.36,29840849,NC
-0.345,29840850,NC
-0.33,29840851,NC
-0.33,29840852,NC
-0.33,29840853,NC
-0.335,29840854,NC
-0.335,29840855,NC
-0.34,29840856,NC
-0.345,29840857,NC
-0.34,29840858,NC
-0.33,29840859,NC
-0.315,29840860,NC
-0.32,29840861,NC
-0.32,29840862,NC
-0.34,29840863,NC
-0.325,29840864,NC
-0.325,29840865,NC
-0.335,29840866,NC
-0.34,29840867,NC
-0.335,29840868,NC
-0.325,29840869,NC
-0.315,29840870,NC
-0.3,29840871,NC
-0.3,29840872,NC
-0.28,29840873,NC
-0.3,29840874,NC
-0.3,29840875,NC
-0.295,29840876,NC
-0.29,29840877,NC
-0.285,29840878,NC
-0.285,29840879,NC
-0.28,29840880,NC
-0.28,29840881,NC
-0.285,29840882,NC
-0.29,29840883,NC
-0.285,29840884,NC
-0.285,29840885,NC
-0.28,29840886,NC
-0.27,29840887,NC
-0.275,29840888,NC
-0.265,29840889,NC
-0.255,29840890,NC
-0.245,29840891,NC
-0.245,29840892,NC
-0.24,29840893,NC
-0.22,29840894,NC
-0.2,29840895,NC
-0.21,29840896,NC
-0.2,29840897,NC
-0.2,29840898,NC
-0.185,29840899,NC
-0.185,29840900,NC
-0.165,29840901,NC
-0.165,29840902,NC
-0.155,29840903,NC
-0.135,29840904,NC
-0.125,29840905,NC
-0.095,29840906,NC
-0.055,29840907,NC
-0.04,29840908,NC
-0.035,29840909,NC
-0.045,29840910,NC
-0.015,29840911,NC
-0.015,29840912,NC
-0.015,29840913,NC
-0.01,29840914,NC
-0.005,29840915,NC
-0.015,29840916,NC
-0.01,29840917,NC
-0.025,29840918,NC
-0.03,29840919,NC
-0.035,29840920,NC
-0.02,29840921,NC
-0.025,29840922,NC
-0.015,29840923,NC
-0.01,29840924,NC
-0.035,29840925,NC
-0.065,29840926,NC
-0.075,29840927,NC
-0.09,29840928,NC
-0.115,29840929,NC
-0.12,29840930,NC
-0.13,29840931,NC
-0.145,29840932,NC
-0.155,29840933,NC
-0.18,29840934,NC
-0.195,29840935,NC
-0.21,29840936,NC
-0.23,29840937,NC
-0.24,29840938,NC
-0.255,29840939,NC
-0.27,29840940,NC
-0.28,29840941,NC
-0.28,29840942,NC
-0.28,29840943,NC
-0.275,29840944,NC
-0.27,29840945,NC
-0.275,29840946,NC
-0.295,29840947,NC
-0.31,29840948,NC
-0.32,29840949,NC
-0.325,29840950,NC
-0.345,29840951,NC
-0.335,29840952,NC
-0.335,29840953,NC
-0.34,29840954,NC
-0.35,29840955,NC
