channel_0,sample #,type
0.82029927,4596812,B
0.7430946,4596813,NC
0.6176371,4596814,NC
0.5114807,4596815,NC
0.41014963,4596816,NC
0.33777028,4596817,NC
0.24126449,4596818,NC
0.14958398,4596819,NC
0.05307819,4596820,NC
-0.06272876,4596821,NC
-0.17371044,4596822,NC
-0.29916796,4596823,NC
-0.4391014,4596824,NC
-0.5886854,4596825,NC
-0.7237935,4596826,NC
-0.84442574,4596827,NC
-0.9554074,4596828,NC
-1.0760397,4596829,NC
-1.2014972,4596830,NC
-1.3559064,4596831,NC
-1.5247916,4596832,NC
-1.6840261,4596833,NC
-1.7901826,4596834,NC
-1.8963389,4596835,NC
-2.0073204,4596836,NC
-2.1086516,4596837,NC
-2.2051575,4596838,NC
-2.2727115,4596839,NC
-2.3402655,4596840,NC
-2.3885183,4596841,NC
-2.431946,4596842,NC
-2.4560726,4596843,NC
-2.4657233,4596844,NC
-2.4753737,4596845,NC
-2.5091507,4596846,NC
-2.58153,4596847,NC
-2.649084,4596848,NC
-2.7214634,4596849,NC
-2.7986681,4596850,NC
-2.8565717,4596851,NC
-2.8999994,4596852,NC
-2.9386015,4596853,NC
-2.9434268,4596854,NC
-2.914475,4596855,NC
-2.880698,4596856,NC
-2.7986681,4596857,NC
-2.7118127,4596858,NC
-2.6056566,4596859,NC
-2.5188012,4596860,NC
-2.431946,4596861,NC
-2.3740427,4596862,NC
-2.3161392,4596863,NC
-2.2871873,4596864,NC
-2.2389345,4596865,NC
-2.2099826,4596866,NC
-2.195507,4596867,NC
-2.181031,4596868,NC
-2.1376033,4596869,NC
-2.1231275,4596870,NC
-2.1038265,4596871,NC
-2.1086516,4596872,NC
-2.0941758,4596873,NC
-2.0748746,4596874,NC
-2.012146,4596875,NC
-1.9445919,4596876,NC
-1.8915137,4596877,NC
-1.8577366,4596878,NC
-1.8191342,4596879,NC
-1.780532,4596880,NC
-1.7371043,4596881,NC
-1.7033273,4596882,NC
-1.6309481,4596883,NC
-1.5730445,4596884,NC
-1.529617,4596885,NC
-1.4813639,4596886,NC
-1.4379364,4596887,NC
-1.3703823,4596888,NC
-1.3221294,4596889,NC
-1.2738765,4596890,NC
-1.2400994,4596891,NC
-1.2256236,4596892,NC
-1.1870214,4596893,NC
-1.1532444,4596894,NC
-1.1146419,4596895,NC
-1.1146419,4596896,NC
-1.1146419,4596897,NC
-1.1387683,4596898,NC
-1.1387683,4596899,NC
-1.1194673,4596900,NC
-1.0856903,4596901,NC
-1.0567385,4596902,NC
-1.0470879,4596903,NC
-1.0326121,4596904,NC
-1.0084856,4596905,NC
-0.96505797,4596906,NC
-0.9554074,4596907,NC
-0.96505797,4596908,NC
-0.96505797,4596909,NC
-0.9554074,4596910,NC
-0.93610626,4596911,NC
-0.8975039,4596912,NC
-0.85890156,4596913,NC
-0.83477515,4596914,NC
-0.81547403,4596915,NC
-0.8106487,4596916,NC
-0.7913475,4596917,NC
-0.7527452,4596918,NC
-0.7141429,4596919,NC
-0.69484174,4596920,NC
-0.69001645,4596921,NC
-0.6707153,4596922,NC
-0.6369383,4596923,NC
-0.6079865,4596924,NC
-0.5886854,4596925,NC
-0.5597336,4596926,NC
-0.54525775,4596927,NC
-0.52595663,4596928,NC
-0.5114807,4596929,NC
-0.48252898,4596930,NC
-0.45840254,4596931,NC
-0.44875196,4596932,NC
-0.44875196,4596933,NC
-0.4391014,4596934,NC
-0.42945078,4596935,NC
-0.41980022,4596936,NC
-0.40532434,4596937,NC
-0.3908485,4596938,NC
-0.40049905,4596939,NC
-0.41497493,4596940,NC
-0.41497493,4596941,NC
-0.40532434,4596942,NC
-0.41014963,4596943,NC
-0.43427607,4596944,NC
-0.45357725,4596945,NC
-0.45840254,4596946,NC
-0.47287843,4596947,NC
-0.4777037,4596948,NC
-0.49217954,4596949,NC
-0.52595663,4596950,NC
-0.56455886,4596951,NC
-0.6079865,4596952,NC
-0.64658886,4596953,NC
-0.6610647,4596954,NC
-0.68519115,4596955,NC
-0.7093176,4596956,NC
-0.7430946,4596957,NC
-0.78652227,4596958,NC
-0.8009981,4596959,NC
-0.82512456,4596960,NC
-0.85890156,4596961,NC
-0.8878533,4596962,NC
-0.94575685,4596963,NC
-0.9843591,4596964,NC
-1.0326121,4596965,NC
-1.0663891,4596966,NC
-1.0856903,4596967,NC
-1.1242925,4596968,NC
-1.1725454,4596969,NC
-1.2063224,4596970,NC
-1.2352742,4596971,NC
-1.2594006,4596972,NC
