channel_0,sample #,type
0.072437875,2970191,B
-0.08817019,2970192,NC
-0.085037366,2970193,NC
-0.055137567,2970194,NC
-0.08525246,2970195,NC
-0.11428716,2970196,NC
-0.14096953,2970197,NC
-0.14488547,2970198,NC
-0.15369028,2970199,NC
-0.15668625,2970200,NC
-0.18666987,2970201,NC
-0.23153274,2970202,NC
-0.26733193,2970203,NC
-0.2722832,2970204,NC
-0.30167827,2970205,NC
-0.31740353,2970206,NC
-0.3465454,2970207,NC
-0.39347282,2970208,NC
-0.4340466,2970209,NC
-0.4587138,2970210,NC
-0.4829113,2970211,NC
-0.51459414,2970212,NC
-0.56600904,2970213,NC
-0.6427209,2970214,NC
-0.71356505,2970215,NC
-0.7655536,2970216,NC
-0.79083246,2970217,NC
-0.81366444,2970218,NC
-0.8508948,2970219,NC
-0.8863485,2970220,NC
-0.90540206,2970221,NC
-0.8955158,2970222,NC
-0.8796618,2970223,NC
-0.88646686,2970224,NC
-0.8722602,2970225,NC
-0.86690634,2970226,NC
-0.8513894,2970227,NC
-0.8201136,2970228,NC
-0.8129461,2970229,NC
-0.81012833,2970230,NC
-0.78871083,2970231,NC
-0.7687638,2970232,NC
-0.71841925,2970233,NC
-0.6634302,2970234,NC
-0.599294,2970235,NC
-0.5434254,2970236,NC
-0.50499004,2970237,NC
-0.46943578,2970238,NC
-0.41882515,2970239,NC
-0.36970416,2970240,NC
-0.3260713,2970241,NC
-0.3152183,2970242,NC
-0.305929,2970243,NC
-0.2941007,2970244,NC
-0.2800519,2970245,NC
-0.263115,2970246,NC
-0.24676841,2970247,NC
-0.23793916,2970248,NC
-0.23640724,2970249,NC
-0.2431085,2970250,NC
-0.22414467,2970251,NC
-0.20874436,2970252,NC
-0.20879939,2970253,NC
-0.21597691,2970254,NC
-0.20424744,2970255,NC
-0.21015063,2970256,NC
-0.20988028,2970257,NC
-0.19445458,2970258,NC
-0.18103048,2970259,NC
-0.18724582,2970260,NC
-0.17968161,2970261,NC
-0.17600511,2970262,NC
-0.17678896,2970263,NC
-0.1566165,2970264,NC
-0.13510008,2970265,NC
-0.14059062,2970266,NC
-0.13725047,2970267,NC
-0.135786,2970268,NC
-0.13323748,2970269,NC
-0.113093086,2970270,NC
-0.10275168,2970271,NC
-0.113131054,2970272,NC
-0.112702824,2970273,NC
-0.12459531,2970274,NC
-0.13803168,2970275,NC
-0.12771636,2970276,NC
-0.11086832,2970277,NC
-0.099123955,2970278,NC
-0.104580335,2970279,NC
-0.09477489,2970280,NC
-0.101356216,2970281,NC
-0.071863055,2970282,NC
-0.06179415,2970283,NC
-0.046753224,2970284,NC
-0.056694232,2970285,NC
-0.056723423,2970286,NC
-0.057647105,2970287,NC
-0.043731365,2970288,NC
-0.028435977,2970289,NC
-0.02375816,2970290,NC
-0.035096426,2970291,NC
-0.0312663,2970292,NC
-0.024559967,2970293,NC
0.00027193362,2970294,NC
0.027074715,2970295,NC
0.04102014,2970296,NC
0.03883784,2970297,NC
0.025349703,2970298,NC
0.03543576,2970299,NC
0.044383988,2970300,NC
0.051149707,2970301,NC
0.028740022,2970302,NC
0.00580345,2970303,NC
-0.0018438449,2970304,NC
0.012945193,2970305,NC
0.045117904,2970306,NC
0.04998869,2970307,NC
0.04935719,2970308,NC
0.037426144,2970309,NC
0.021755336,2970310,NC
0.0111785205,2970311,NC
0.026934803,2970312,NC
0.03787661,2970313,NC
0.038193118,2970314,NC
0.02648893,2970315,NC
0.03289585,2970316,NC
0.031659428,2970317,NC
0.036318157,2970318,NC
0.052810386,2970319,NC
0.044690806,2970320,NC
0.039698754,2970321,NC
0.029713249,2970322,NC
0.034296077,2970323,NC
0.035520006,2970324,NC
0.05896041,2970325,NC
0.04861048,2970326,NC
0.043273643,2970327,NC
0.038729284,2970328,NC
0.03982675,2970329,NC
0.0383224,2970330,NC
0.042877052,2970331,NC
0.027501788,2970332,NC
0.01715922,2970333,NC
0.0077656517,2970334,NC
-0.0066247038,2970335,NC
0.002531246,2970336,NC
-0.004862687,2970337,NC
-0.023531854,2970338,NC
-0.028597403,2970339,NC
-0.042108927,2970340,NC
-0.065585375,2970341,NC
-0.0593693,2970342,NC
-0.05470941,2970343,NC
-0.07098225,2970344,NC
-0.109576054,2970345,NC
-0.10556853,2970346,NC
-0.10231573,2970347,NC
-0.119070925,2970348,NC
-0.10393774,2970349,NC
-0.121712886,2970350,NC
-0.12705821,2970351,NC
-0.14634651,2970352,NC
-0.15078323,2970353,NC
-0.15103659,2970354,NC
-0.1466389,2970355,NC
-0.15526077,2970356,NC
-0.16677572,2970357,NC
-0.17492057,2970358,NC
-0.16642632,2970359,NC
-0.18855456,2970360,NC
-0.17388462,2970361,NC
-0.17742781,2970362,NC
-0.19187805,2970363,NC
-0.20243065,2970364,NC
-0.20786063,2970365,NC
-0.21266767,2970366,NC
-0.21040457,2970367,NC
-0.20532022,2970368,NC
-0.21343504,2970369,NC
-0.22364289,2970370,NC
-0.22345284,2970371,NC
-0.21922836,2970372,NC
-0.21429215,2970373,NC
-0.21501854,2970374,NC
-0.23928615,2970375,NC
-0.23466605,2970376,NC
-0.24144034,2970377,NC
-0.2297949,2970378,NC
-0.20787925,2970379,NC
-0.22475223,2970380,NC
-0.23634726,2970381,NC
-0.24970455,2970382,NC
-0.25149065,2970383,NC
-0.24502632,2970384,NC
-0.2517602,2970385,NC
-0.24629386,2970386,NC
-0.25274894,2970387,NC
-0.26221097,2970388,NC
-0.27262515,2970389,NC
-0.26148555,2970390,NC
-0.25070253,2970391,NC
-0.26182416,2970392,NC
-0.27087903,2970393,NC
-0.27685565,2970394,NC
-0.2776065,2970395,NC
-0.2724131,2970396,NC
-0.27133226,2970397,NC
-0.27755633,2970398,NC
-0.27221736,2970399,NC
-0.28743643,2970400,NC
-0.29746583,2970401,NC
-0.27766496,2970402,NC
-0.2696991,2970403,NC
-0.2809694,2970404,NC
-0.30385706,2970405,NC
-0.29740927,2970406,NC
-0.2966169,2970407,NC
-0.2936344,2970408,NC
-0.29864162,2970409,NC
-0.30213436,2970410,NC
-0.29300895,2970411,NC
-0.30894256,2970412,NC
-0.30419293,2970413,NC
-0.3042512,2970414,NC
-0.2941928,2970415,NC
-0.30009925,2970416,NC
-0.3143255,2970417,NC
-0.31855494,2970418,NC
-0.32517377,2970419,NC
-0.32502455,2970420,NC
-0.29875112,2970421,NC
-0.32022032,2970422,NC
-0.31265247,2970423,NC
-0.3318215,2970424,NC
-0.33468524,2970425,NC
-0.3291388,2970426,NC
-0.31535935,2970427,NC
-0.30660778,2970428,NC
-0.31960827,2970429,NC
-0.3305324,2970430,NC
-0.35348338,2970431,NC
-0.3389433,2970432,NC
-0.33436814,2970433,NC
-0.33396634,2970434,NC
-0.32893515,2970435,NC
-0.34070963,2970436,NC
-0.3418605,2970437,NC
-0.33459026,2970438,NC
-0.32808566,2970439,NC
-0.33265024,2970440,NC
-0.33105174,2970441,NC
-0.346404,2970442,NC
-0.34655008,2970443,NC
-0.3295469,2970444,NC
-0.32052138,2970445,NC
-0.32453138,2970446,NC
-0.31962207,2970447,NC
-0.32980397,2970448,NC
-0.33969685,2970449,NC
-0.33808208,2970450,NC
-0.31930405,2970451,NC
-0.32589826,2970452,NC
-0.3301173,2970453,NC
-0.33621147,2970454,NC
-0.33437753,2970455,NC
-0.32496426,2970456,NC
-0.32093683,2970457,NC
-0.32659844,2970458,NC
-0.33454496,2970459,NC
-0.33506396,2970460,NC
-0.33853015,2970461,NC
-0.3303419,2970462,NC
-0.3165175,2970463,NC
-0.316198,2970464,NC
-0.3129844,2970465,NC
-0.30880517,2970466,NC
-0.31011468,2970467,NC
-0.3117748,2970468,NC
-0.28446835,2970469,NC
-0.27514,2970470,NC
-0.25048468,2970471,NC
-0.23411313,2970472,NC
-0.14989227,2970473,NC
0.16049084,2970474,NC
0.6342376,2970475,NC
0.7349495,2970476,NC
0.37429604,2970477,B
0.0048889313,2970478,NC
-0.10980985,2970479,NC
-0.07367167,2970480,NC
-0.050168294,2970481,NC
-0.062373497,2970482,NC
-0.12206992,2970483,NC
-0.14919454,2970484,NC
-0.15024202,2970485,NC
-0.15610225,2970486,NC
-0.14260216,2970487,NC
-0.15947548,2970488,NC
-0.18700393,2970489,NC
-0.2177714,2970490,NC
-0.23790932,2970491,NC
-0.25191396,2970492,NC
-0.26452026,2970493,NC
-0.28800568,2970494,NC
-0.31433675,2970495,NC
-0.35104948,2970496,NC
-0.37443763,2970497,NC
-0.39846438,2970498,NC
-0.41818768,2970499,NC
-0.43633,2970500,NC
-0.46697128,2970501,NC
-0.5075542,2970502,NC
-0.5558919,2970503,NC
-0.6262154,2970504,NC
-0.6764961,2970505,NC
-0.7261197,2970506,NC
-0.7621675,2970507,NC
-0.78583753,2970508,NC
-0.82964957,2970509,NC
-0.8401773,2970510,NC
-0.858215,2970511,NC
-0.8559791,2970512,NC
-0.87172496,2970513,NC
-0.8746245,2970514,NC
-0.87613505,2970515,NC
-0.8496469,2970516,NC
-0.831975,2970517,NC
-0.83201027,2970518,NC
-0.8311399,2970519,NC
-0.8507053,2970520,NC
-0.8496345,2970521,NC
-0.8048707,2970522,NC
-0.7663376,2970523,NC
-0.73962504,2970524,NC
-0.71210694,2970525,NC
-0.67001,2970526,NC
-0.6197905,2970527,NC
-0.5610846,2970528,NC
-0.51492673,2970529,NC
-0.48372492,2970530,NC
-0.45904982,2970531,NC
-0.42396694,2970532,NC
-0.3928613,2970533,NC
-0.37944686,2970534,NC
-0.34992173,2970535,NC
-0.32701737,2970536,NC
-0.31243217,2970537,NC
-0.317022,2970538,NC
-0.3023667,2970539,NC
-0.28712538,2970540,NC
-0.27160934,2970541,NC
-0.27256534,2970542,NC
-0.26701984,2970543,NC
-0.26078227,2970544,NC
-0.25717878,2970545,NC
-0.25061852,2970546,NC
-0.24730603,2970547,NC
-0.24750128,2970548,NC
-0.26120397,2970549,NC
-0.26096871,2970550,NC
-0.25013575,2970551,NC
-0.24392745,2970552,NC
-0.23646437,2970553,NC
-0.20510583,2970554,NC
-0.20641537,2970555,NC
-0.21564057,2970556,NC
-0.20890868,2970557,NC
-0.1852023,2970558,NC
-0.1649664,2970559,NC
-0.15292186,2970560,NC
-0.15835361,2970561,NC
-0.16438991,2970562,NC
-0.16892508,2970563,NC
-0.15369667,2970564,NC
-0.13863602,2970565,NC
-0.14405766,2970566,NC
-0.14818585,2970567,NC
-0.14869083,2970568,NC
-0.15886754,2970569,NC
-0.13326171,2970570,NC
-0.12853123,2970571,NC
-0.12594712,2970572,NC
-0.1269885,2970573,NC
-0.13993354,2970574,NC
-0.12628113,2970575,NC
-0.11228196,2970576,NC
-0.11122208,2970577,NC
-0.12053981,2970578,NC
-0.10613905,2970579,NC
-0.11850501,2970580,NC
-0.114165515,2970581,NC
-0.1134437,2970582,NC
-0.08975659,2970583,NC
-0.10046444,2970584,NC
-0.09154373,2970585,NC
-0.09817941,2970586,NC
-0.10244006,2970587,NC
-0.09216485,2970588,NC
-0.07299855,2970589,NC
-0.0727126,2970590,NC
-0.076787144,2970591,NC
-0.0813399,2970592,NC
-0.080964535,2970593,NC
-0.067778915,2970594,NC
-0.06636077,2970595,NC
-0.056406092,2970596,NC
-0.067357734,2970597,NC
-0.06596119,2970598,NC
-0.069179736,2970599,NC
-0.050550967,2970600,NC
-0.028023995,2970601,NC
-0.043886766,2970602,NC
-0.046130497,2970603,NC
-0.04431004,2970604,NC
-0.054279942,2970605,NC
-0.04938092,2970606,NC
-0.0371909,2970607,NC
-0.028011192,2970608,NC
-0.032451093,2970609,NC
-0.048537727,2970610,NC
-0.046142958,2970611,NC
-0.025482018,2970612,NC
-0.029144159,2970613,NC
-0.028239978,2970614,NC
-0.02549674,2970615,NC
-0.016667679,2970616,NC
-0.016076228,2970617,NC
-0.011734319,2970618,NC
-0.0021829112,2970619,NC
-0.0020750333,2970620,NC
-0.0014343642,2970621,NC
0.0049192957,2970622,NC
0.001190977,2970623,NC
0.015231375,2970624,NC
0.010873521,2970625,NC
0.020766413,2970626,NC
0.011460889,2970627,NC
-0.0035387815,2970628,NC
-0.0132854385,2970629,NC
-0.0066990936,2970630,NC
0.01921793,2970631,NC
0.011974915,2970632,NC
0.0022903453,2970633,NC
-0.017319141,2970634,NC
-0.016997341,2970635,NC
-0.016988484,2970636,NC
-0.014465717,2970637,NC
-0.019063216,2970638,NC
-0.036999017,2970639,NC
-0.05548213,2970640,NC
-0.08680755,2970641,NC
-0.09063128,2970642,NC
-0.10054586,2970643,NC
-0.10902938,2970644,NC
-0.1224788,2970645,NC
-0.122805424,2970646,NC
-0.14500567,2970647,NC
-0.14330928,2970648,NC
-0.14321227,2970649,NC
-0.16283798,2970650,NC
-0.16317557,2970651,NC
-0.16567317,2970652,NC
-0.18196625,2970653,NC
-0.18352948,2970654,NC
-0.17225792,2970655,NC
-0.1702542,2970656,NC
-0.1768546,2970657,NC
-0.19867961,2970658,NC
-0.20892274,2970659,NC
-0.20678341,2970660,NC
-0.18039829,2970661,NC
-0.19534764,2970662,NC
-0.20059912,2970663,NC
-0.21611565,2970664,NC
-0.20480885,2970665,NC
-0.20384263,2970666,NC
-0.19774136,2970667,NC
-0.19796968,2970668,NC
-0.20801097,2970669,NC
-0.2133394,2970670,NC
-0.2231186,2970671,NC
-0.22885074,2970672,NC
-0.21620171,2970673,NC
-0.22339189,2970674,NC
-0.2189379,2970675,NC
-0.2378187,2970676,NC
-0.2399895,2970677,NC
-0.225502,2970678,NC
-0.22021057,2970679,NC
-0.22973906,2970680,NC
-0.2320721,2970681,NC
-0.24961708,2970682,NC
-0.2556648,2970683,NC
-0.2499891,2970684,NC
-0.25082207,2970685,NC
-0.23856209,2970686,NC
-0.24814506,2970687,NC
-0.2540258,2970688,NC
-0.26830527,2970689,NC
-0.24950023,2970690,NC
-0.24704169,2970691,NC
-0.24141596,2970692,NC
-0.25221777,2970693,NC
-0.26756772,2970694,NC
-0.2718171,2970695,NC
-0.25285506,2970696,NC
-0.25627887,2970697,NC
-0.26138076,2970698,NC
-0.26644126,2970699,NC
-0.27736,2970700,NC
-0.27685165,2970701,NC
-0.2710907,2970702,NC
-0.255197,2970703,NC
-0.26066595,2970704,NC
-0.26534733,2970705,NC
-0.27563027,2970706,NC
-0.28477114,2970707,NC
-0.27969685,2970708,NC
-0.2643177,2970709,NC
-0.27441436,2970710,NC
-0.27189708,2970711,NC
-0.2839969,2970712,NC
-0.2893078,2970713,NC
-0.27911738,2970714,NC
-0.25708982,2970715,NC
-0.25741157,2970716,NC
-0.2783086,2970717,NC
-0.27675173,2970718,NC
-0.28199673,2970719,NC
-0.27581832,2970720,NC
-0.2722017,2970721,NC
-0.27058345,2970722,NC
-0.27074024,2970723,NC
-0.28083998,2970724,NC
-0.29458842,2970725,NC
-0.28005323,2970726,NC
-0.2595235,2970727,NC
-0.26974556,2970728,NC
-0.2820818,2970729,NC
-0.27942738,2970730,NC
-0.27929276,2970731,NC
-0.27458957,2970732,NC
-0.26527292,2970733,NC
-0.26593548,2970734,NC
-0.2850545,2970735,NC
-0.28936487,2970736,NC
