channel_0,sample #,type
0.3048892,2761618,B
0.021033956,2761619,NC
-0.005647135,2761620,NC
0.022002777,2761621,NC
0.030360535,2761622,NC
-0.005364028,2761623,NC
-0.03455168,2761624,NC
-0.053731304,2761625,NC
-0.07501944,2761626,NC
-0.06934612,2761627,NC
-0.07077534,2761628,NC
-0.05967262,2761629,NC
-0.07478643,2761630,NC
-0.084828876,2761631,NC
-0.10002488,2761632,NC
-0.10137962,2761633,NC
-0.10430218,2761634,NC
-0.10741541,2761635,NC
-0.14012244,2761636,NC
-0.16664994,2761637,NC
-0.18994552,2761638,NC
-0.2150434,2761639,NC
-0.22990341,2761640,NC
-0.23860763,2761641,NC
-0.28129187,2761642,NC
-0.3449056,2761643,NC
-0.40857092,2761644,NC
-0.46145502,2761645,NC
-0.4926288,2761646,NC
-0.5143206,2761647,NC
-0.5398856,2761648,NC
-0.5856388,2761649,NC
-0.6195349,2761650,NC
-0.6489731,2761651,NC
-0.6452703,2761652,NC
-0.664228,2761653,NC
-0.6641728,2761654,NC
-0.6750636,2761655,NC
-0.6898749,2761656,NC
-0.69094306,2761657,NC
-0.684398,2761658,NC
-0.6794658,2761659,NC
-0.68445504,2761660,NC
-0.6858503,2761661,NC
-0.6744223,2761662,NC
-0.6341498,2761663,NC
-0.6063374,2761664,NC
-0.5494752,2761665,NC
-0.50059986,2761666,NC
-0.45498246,2761667,NC
-0.42509028,2761668,NC
-0.38581747,2761669,NC
-0.34914565,2761670,NC
-0.30968097,2761671,NC
-0.27554184,2761672,NC
-0.26131883,2761673,NC
-0.27083832,2761674,NC
-0.24570452,2761675,NC
-0.22981007,2761676,NC
-0.21043456,2761677,NC
-0.19568309,2761678,NC
-0.19058728,2761679,NC
-0.20904462,2761680,NC
-0.19558668,2761681,NC
-0.19405727,2761682,NC
-0.16648053,2761683,NC
-0.15036555,2761684,NC
-0.15073156,2761685,NC
-0.15013598,2761686,NC
-0.15385278,2761687,NC
-0.14998844,2761688,NC
-0.1243776,2761689,NC
-0.13525417,2761690,NC
-0.1385874,2761691,NC
-0.14878431,2761692,NC
-0.13177024,2761693,NC
-0.1239447,2761694,NC
-0.10533229,2761695,NC
-0.08902781,2761696,NC
-0.10008106,2761697,NC
-0.09651001,2761698,NC
-0.075254686,2761699,NC
-0.059138805,2761700,NC
-0.04475473,2761701,NC
-0.044320147,2761702,NC
-0.029875455,2761703,NC
-0.041166045,2761704,NC
-0.03429595,2761705,NC
-0.02526759,2761706,NC
-0.021149136,2761707,NC
-0.010595278,2761708,NC
-0.014698993,2761709,NC
-0.0203328,2761710,NC
-0.004705286,2761711,NC
-0.0042953454,2761712,NC
0.010194239,2761713,NC
0.009630133,2761714,NC
0.009880855,2761715,NC
-0.0042582657,2761716,NC
0.005031787,2761717,NC
0.014810917,2761718,NC
0.02906125,2761719,NC
0.045557268,2761720,NC
0.044267196,2761721,NC
0.028635725,2761722,NC
0.029453233,2761723,NC
0.04922812,2761724,NC
0.055080056,2761725,NC
0.059523527,2761726,NC
0.053513084,2761727,NC
0.04525573,2761728,NC
0.054614875,2761729,NC
0.0800395,2761730,NC
0.088573,2761731,NC
