channel_0,sample #,type
1.0250449,1720721,B
0.7297204,1720722,NC
0.33297578,1720723,NC
0.1230428,1720724,NC
0.09276102,1720725,NC
0.108836144,1720726,NC
0.14739394,1720727,NC
0.15609165,1720728,NC
0.15775399,1720729,NC
0.14450541,1720730,NC
0.14257982,1720731,NC
0.13632643,1720732,NC
0.1437041,1720733,NC
0.14898504,1720734,NC
0.12921467,1720735,NC
0.113190606,1720736,NC
0.11854981,1720737,NC
0.120533764,1720738,NC
0.13171908,1720739,NC
0.10318808,1720740,NC
0.08593577,1720741,NC
0.05134357,1720742,NC
-0.012980642,1720743,NC
-0.07940335,1720744,NC
-0.13654104,1720745,NC
-0.19968778,1720746,NC
-0.25848997,1720747,NC
-0.32112277,1720748,NC
-0.4290868,1720749,NC
-0.54043573,1720750,NC
-0.6176028,1720751,NC
-0.64955354,1720752,NC
-0.6014652,1720753,NC
-0.54395604,1720754,NC
-0.509734,1720755,NC
-0.49970865,1720756,NC
-0.48208517,1720757,NC
-0.49199864,1720758,NC
-0.49965236,1720759,NC
-0.49924102,1720760,NC
-0.51203114,1720761,NC
-0.5109141,1720762,NC
-0.4951657,1720763,NC
-0.43221635,1720764,NC
-0.39945585,1720765,NC
-0.36664936,1720766,NC
-0.40156054,1720767,NC
-0.43023005,1720768,NC
-0.4502309,1720769,NC
-0.4474883,1720770,NC
-0.44532704,1720771,NC
-0.46140996,1720772,NC
-0.4767585,1720773,NC
-0.498747,1720774,NC
-0.485712,1720775,NC
-0.46976304,1720776,NC
-0.4590686,1720777,NC
-0.44449812,1720778,NC
-0.46048638,1720779,NC
-0.47723278,1720780,NC
-0.45314348,1720781,NC
-0.44391328,1720782,NC
-0.43694687,1720783,NC
-0.44940016,1720784,NC
-0.45321456,1720785,NC
-0.46842024,1720786,NC
-0.4618901,1720787,NC
-0.44134697,1720788,NC
-0.44013083,1720789,NC
-0.4596164,1720790,NC
-0.46400043,1720791,NC
-0.47533637,1720792,NC
-0.47697622,1720793,NC
-0.44635645,1720794,NC
-0.44595605,1720795,NC
-0.45221823,1720796,NC
-0.47308403,1720797,NC
-0.4760208,1720798,NC
-0.45895812,1720799,NC
-0.45805982,1720800,NC
-0.44807255,1720801,NC
-0.45857662,1720802,NC
-0.47718135,1720803,NC
-0.4834094,1720804,NC
-0.46969178,1720805,NC
-0.4606417,1720806,NC
-0.45964548,1720807,NC
-0.46222353,1720808,NC
-0.46951246,1720809,NC
-0.48630905,1720810,NC
-0.47525892,1720811,NC
-0.46568918,1720812,NC
-0.45346645,1720813,NC
-0.46326277,1720814,NC
-0.46936283,1720815,NC
-0.47860786,1720816,NC
-0.4540488,1720817,NC
-0.44060507,1720818,NC
-0.4264749,1720819,NC
-0.4228132,1720820,NC
-0.43135187,1720821,NC
-0.44154677,1720822,NC
-0.4272816,1720823,NC
-0.39555377,1720824,NC
-0.4021705,1720825,NC
-0.38282934,1720826,NC
-0.38576198,1720827,NC
-0.3758418,1720828,NC
-0.36673865,1720829,NC
-0.3560143,1720830,NC
-0.3322053,1720831,NC
-0.3268622,1720832,NC
-0.31810507,1720833,NC
-0.31396458,1720834,NC
-0.31645805,1720835,NC
-0.28819162,1720836,NC
-0.2754125,1720837,NC
-0.2642138,1720838,NC
-0.26858866,1720839,NC
-0.26367795,1720840,NC
-0.25906014,1720841,NC
-0.2218221,1720842,NC
-0.22392675,1720843,NC
-0.23075102,1720844,NC
-0.21062072,1720845,NC
-0.21807829,1720846,NC
-0.22130485,1720847,NC
-0.20463687,1720848,NC
-0.18736923,1720849,NC
-0.19414653,1720850,NC
-0.20785972,1720851,NC
-0.22496659,1720852,NC
-0.21613857,1720853,NC
-0.1983793,1720854,NC
-0.21275035,1720855,NC
-0.20618355,1720856,NC
-0.2349574,1720857,NC
-0.23598757,1720858,NC
-0.23568389,1720859,NC
-0.23978189,1720860,NC
-0.24514776,1720861,NC
-0.25710076,1720862,NC
-0.26437938,1720863,NC
-0.2733039,1720864,NC
-0.28080946,1720865,NC
-0.27363765,1720866,NC
-0.27590117,1720867,NC
-0.28434044,1720868,NC
-0.28774655,1720869,NC
-0.30262962,1720870,NC
-0.2997805,1720871,NC
-0.29235616,1720872,NC
-0.2852287,1720873,NC
-0.30914637,1720874,NC
-0.32166687,1720875,NC
-0.33215892,1720876,NC
