channel_0,sample #,type
0.88372177,1934660,B
0.5642673,1934661,NC
0.3154447,1934662,NC
0.25164166,1934663,NC
0.27249426,1934664,NC
0.2932821,1934665,NC
0.28490612,1934666,NC
0.27124324,1934667,NC
0.2620896,1934668,NC
0.27258256,1934669,NC
0.31089574,1934670,NC
0.33074224,1934671,NC
0.32117432,1934672,NC
0.2912422,1934673,NC
0.26324072,1934674,NC
0.23327097,1934675,NC
0.24274871,1934676,NC
0.25757506,1934677,NC
0.24796379,1934678,NC
0.23260662,1934679,NC
0.22167285,1934680,NC
0.19432071,1934681,NC
0.1523808,1934682,NC
0.12013568,1934683,NC
0.066913694,1934684,NC
-0.007987991,1934685,NC
-0.072602764,1934686,NC
-0.13219297,1934687,NC
-0.17331216,1934688,NC
-0.2464635,1934689,NC
-0.33566314,1934690,NC
-0.41322145,1934691,NC
-0.48147392,1934692,NC
-0.5033159,1934693,NC
-0.46015665,1934694,NC
-0.41962397,1934695,NC
-0.39000294,1934696,NC
-0.3879708,1934697,NC
-0.3799438,1934698,NC
-0.3866388,1934699,NC
-0.3887741,1934700,NC
-0.3778312,1934701,NC
-0.38277322,1934702,NC
-0.3764036,1934703,NC
-0.38034236,1934704,NC
-0.3603668,1934705,NC
-0.32280028,1934706,NC
-0.26728913,1934707,NC
-0.23941292,1934708,NC
-0.23227903,1934709,NC
-0.22261694,1934710,NC
-0.21927974,1934711,NC
-0.22975329,1934712,NC
-0.23300171,1934713,NC
-0.24739125,1934714,NC
-0.2442889,1934715,NC
-0.24156536,1934716,NC
-0.22131896,1934717,NC
-0.19198188,1934718,NC
-0.16734329,1934719,NC
-0.15893091,1934720,NC
-0.16014212,1934721,NC
-0.17257932,1934722,NC
-0.1771263,1934723,NC
-0.17638794,1934724,NC
-0.17319006,1934725,NC
-0.17031083,1934726,NC
-0.16857606,1934727,NC
-0.17572246,1934728,NC
-0.18433109,1934729,NC
-0.16763102,1934730,NC
-0.18270972,1934731,NC
-0.19682673,1934732,NC
-0.22683598,1934733,NC
-0.23108366,1934734,NC
-0.2340467,1934735,NC
-0.22326455,1934736,NC
-0.21383503,1934737,NC
-0.23694661,1934738,NC
-0.2580098,1934739,NC
-0.27161783,1934740,NC
-0.2573338,1934741,NC
-0.24333023,1934742,NC
-0.2304693,1934743,NC
-0.23144363,1934744,NC
-0.24585193,1934745,NC
-0.2732492,1934746,NC
-0.28195715,1934747,NC
-0.28550622,1934748,NC
-0.28816393,1934749,NC
-0.29070112,1934750,NC
-0.30605727,1934751,NC
-0.31393805,1934752,NC
-0.29698825,1934753,NC
-0.2961891,1934754,NC
-0.30489957,1934755,NC
-0.30299163,1934756,NC
-0.30352795,1934757,NC
-0.30922103,1934758,NC
-0.27188292,1934759,NC
-0.25166115,1934760,NC
-0.24439749,1934761,NC
-0.23659061,1934762,NC
-0.25673074,1934763,NC
-0.26199973,1934764,NC
-0.2541043,1934765,NC
-0.23032275,1934766,NC
-0.20907359,1934767,NC
-0.19993663,1934768,NC
-0.1886268,1934769,NC
-0.18873489,1934770,NC
-0.19634506,1934771,NC
-0.15027104,1934772,NC
-0.12838878,1934773,NC
-0.13051626,1934774,NC
-0.14855611,1934775,NC
-0.1502665,1934776,NC
-0.12314061,1934777,NC
-0.07884796,1934778,NC
-0.038038895,1934779,NC
-0.027992629,1934780,NC
-0.03355258,1934781,NC
-0.04793164,1934782,NC
-0.05303543,1934783,NC
-0.03560666,1934784,NC
-0.017686248,1934785,NC
-0.0005655959,1934786,NC
-0.011204518,1934787,NC
-0.026096955,1934788,NC
-0.02087351,1934789,NC
-0.021265365,1934790,NC
-0.020427115,1934791,NC
-0.013049617,1934792,NC
-0.020715162,1934793,NC
-0.035307974,1934794,NC
-0.050382696,1934795,NC
-0.053446487,1934796,NC
-0.06178084,1934797,NC
-0.07263234,1934798,NC
-0.059145875,1934799,NC
-0.06553009,1934800,NC
-0.056733817,1934801,NC
-0.045896865,1934802,NC
-0.042211115,1934803,NC
-0.050758883,1934804,NC
-0.06951719,1934805,NC
-0.10314469,1934806,NC
-0.11225497,1934807,NC
-0.103275776,1934808,NC
-0.10366296,1934809,NC
-0.09693848,1934810,NC
-0.10288244,1934811,NC
-0.119654134,1934812,NC
-0.123594925,1934813,NC
-0.10780358,1934814,NC
-0.101870716,1934815,NC
-0.112830855,1934816,NC
-0.11918518,1934817,NC
-0.13484818,1934818,NC
-0.13390113,1934819,NC
-0.111598454,1934820,NC
-0.106414214,1934821,NC
-0.12105028,1934822,NC
-0.12891147,1934823,NC
-0.1448105,1934824,NC
-0.15498334,1934825,NC
-0.1404747,1934826,NC
-0.13487463,1934827,NC
-0.13930628,1934828,NC
-0.13591304,1934829,NC
-0.14044665,1934830,NC
-0.12627104,1934831,NC
-0.12272604,1934832,NC
-0.122467145,1934833,NC
-0.13409464,1934834,NC
-0.15849835,1934835,NC
-0.16098046,1934836,NC
-0.15170476,1934837,NC
-0.13215926,1934838,NC
-0.12960309,1934839,NC
-0.12593459,1934840,NC
-0.1429542,1934841,NC
-0.15735255,1934842,NC
-0.1565353,1934843,NC
-0.14150396,1934844,NC
-0.14101416,1934845,NC
-0.14654294,1934846,NC
-0.15338463,1934847,NC
-0.15192924,1934848,NC
-0.15839557,1934849,NC
-0.14816485,1934850,NC
-0.14245622,1934851,NC
-0.13627762,1934852,NC
-0.1540483,1934853,NC
-0.16798869,1934854,NC
-0.16410777,1934855,NC
-0.15080447,1934856,NC
-0.14972508,1934857,NC
-0.16251615,1934858,NC
-0.16568872,1934859,NC
-0.16962212,1934860,NC
-0.16326477,1934861,NC
-0.15347396,1934862,NC
-0.154688,1934863,NC
-0.15859872,1934864,NC
-0.16589193,1934865,NC
-0.16807346,1934866,NC
-0.16770075,1934867,NC
-0.1530574,1934868,NC
-0.16647382,1934869,NC
-0.16669123,1934870,NC
-0.19289418,1934871,NC
-0.18269484,1934872,NC
-0.19063972,1934873,NC
-0.18240556,1934874,NC
-0.1854778,1934875,NC
-0.18718778,1934876,NC
-0.18933347,1934877,NC
-0.19891153,1934878,NC
-0.18419701,1934879,NC
-0.19591719,1934880,NC
-0.18856196,1934881,NC
-0.18071923,1934882,NC
-0.18980074,1934883,NC
-0.19904287,1934884,NC
-0.18756324,1934885,NC
-0.18023962,1934886,NC
-0.17222351,1934887,NC
-0.18043855,1934888,NC
-0.18953133,1934889,NC
-0.20577349,1934890,NC
-0.18674362,1934891,NC
-0.1786742,1934892,NC
-0.18329388,1934893,NC
-0.18305291,1934894,NC
-0.1969577,1934895,NC
-0.20470442,1934896,NC
-0.1976543,1934897,NC
-0.20251155,1934898,NC
-0.19879267,1934899,NC
-0.19716947,1934900,NC
-0.20772764,1934901,NC
-0.2252913,1934902,NC
-0.22345962,1934903,NC
-0.20942591,1934904,NC
-0.20433456,1934905,NC
-0.20653296,1934906,NC
-0.21518284,1934907,NC
-0.2308886,1934908,NC
-0.21995579,1934909,NC
-0.21598563,1934910,NC
-0.19149952,1934911,NC
-0.20087047,1934912,NC
-0.20446248,1934913,NC
-0.22160271,1934914,NC
-0.2123456,1934915,NC
-0.20707315,1934916,NC
-0.19688934,1934917,NC
-0.20655552,1934918,NC
-0.21790487,1934919,NC
-0.22177795,1934920,NC
-0.20607851,1934921,NC
-0.20059758,1934922,NC
-0.20518076,1934923,NC
-0.20790201,1934924,NC
-0.20379663,1934925,NC
-0.2178612,1934926,NC
-0.21306568,1934927,NC
-0.20436174,1934928,NC
-0.20587038,1934929,NC
-0.20472294,1934930,NC
-0.21812269,1934931,NC
-0.22926322,1934932,NC
-0.22357664,1934933,NC
-0.21101099,1934934,NC
-0.21133459,1934935,NC
-0.21656646,1934936,NC
-0.21027362,1934937,NC
-0.2305443,1934938,NC
-0.21861836,1934939,NC
-0.20257631,1934940,NC
