channel_0,sample #,type
0.22,23419440,B
0.17625,23419441,NC
0.10249999,23419442,NC
0.0012499951,23419443,NC
-0.11625,23419444,NC
-0.23749998,23419445,NC
-0.35750002,23419446,NC
-0.485,23419447,NC
-0.615,23419448,NC
-0.75374997,23419449,NC
-0.90375,23419450,NC
-1.0525,23419451,NC
-1.19,23419452,NC
-1.3175,23419453,NC
-1.4312501,23419454,NC
-1.535,23419455,NC
-1.6337501,23419456,NC
-1.7225001,23419457,NC
-1.79375,23419458,NC
-1.85375,23419459,NC
-1.9000001,23419460,NC
-1.9350001,23419461,NC
-1.9625,23419462,NC
-1.9675001,23419463,NC
-1.9537501,23419464,NC
-1.9225,23419465,NC
-1.885,23419466,NC
-1.8487501,23419467,NC
-1.8025,23419468,NC
-1.73625,23419469,NC
-1.6400001,23419470,NC
-1.5237501,23419471,NC
-1.3925,23419472,NC
-1.26875,23419473,NC
-1.1625,23419474,NC
-1.075,23419475,NC
-1.015,23419476,NC
-0.97625,23419477,NC
-0.94375,23419478,NC
-0.91375,23419479,NC
-0.88,23419480,NC
-0.82624996,23419481,NC
-0.7624999,23419482,NC
-0.69,23419483,NC
-0.61125004,23419484,NC
-0.54499996,23419485,NC
-0.4825,23419486,NC
-0.41875,23419487,NC
-0.35500002,23419488,NC
-0.28875,23419489,NC
-0.2325,23419490,NC
-0.19,23419491,NC
-0.1575,23419492,NC
-0.13125,23419493,NC
-0.105000004,23419494,NC
-0.075,23419495,NC
-0.05,23419496,NC
-0.0325,23419497,NC
-0.023749998,23419498,NC
-0.0175,23419499,NC
-0.00625,23419500,NC
0.005,23419501,NC
0.0225,23419502,NC
0.033749998,23419503,NC
0.03875,23419504,NC
0.04625,23419505,NC
0.05125,23419506,NC
0.06375,23419507,NC
0.073750004,23419508,NC
0.085,23419509,NC
0.0925,23419510,NC
0.0975,23419511,NC
0.1075,23419512,NC
0.11624999,23419513,NC
0.12375,23419514,NC
0.1275,23419515,NC
0.12875,23419516,NC
0.13,23419517,NC
0.13874999,23419518,NC
0.15375,23419519,NC
0.165,23419520,NC
0.1775,23419521,NC
0.18625,23419522,NC
0.195,23419523,NC
0.21375,23419524,NC
0.23374999,23419525,NC
0.2525,23419526,NC
0.26624998,23419527,NC
0.27625,23419528,NC
0.28875,23419529,NC
0.31125,23419530,NC
0.34,23419531,NC
0.36624998,23419532,NC
0.38625,23419533,NC
0.40124997,23419534,NC
0.41375,23419535,NC
0.43125,23419536,NC
0.455,23419537,NC
0.47375,23419538,NC
0.49,23419539,NC
0.505,23419540,NC
0.51875,23419541,NC
0.54125,23419542,NC
0.56625,23419543,NC
0.58875,23419544,NC
0.6075,23419545,NC
0.62,23419546,NC
0.63375,23419547,NC
0.65125,23419548,NC
0.6725,23419549,NC
0.69,23419550,NC
0.7025,23419551,NC
0.70375,23419552,NC
0.70125,23419553,NC
0.7075,23419554,NC
0.71124995,23419555,NC
0.71875006,23419556,NC
0.71375006,23419557,NC
0.69875,23419558,NC
0.68375003,23419559,NC
0.66875005,23419560,NC
0.65625,23419561,NC
0.64125,23419562,NC
0.6175,23419563,NC
0.585,23419564,NC
0.55125,23419565,NC
0.5175,23419566,NC
0.485,23419567,NC
0.45000002,23419568,NC
0.41,23419569,NC
0.36124998,23419570,NC
0.31875,23419571,NC
0.28375,23419572,NC
0.25625,23419573,NC
0.23,23419574,NC
0.19375,23419575,NC
0.14999999,23419576,NC
0.11,23419577,NC
0.076249994,23419578,NC
0.04625,23419579,NC
0.015,23419580,NC
-0.02125,23419581,NC
-0.055,23419582,NC
-0.082499996,23419583,NC
-0.0975,23419584,NC
-0.10875,23419585,NC
-0.1225,23419586,NC
-0.14125,23419587,NC
-0.15875,23419588,NC
-0.17375,23419589,NC
-0.1825,23419590,NC
-0.185,23419591,NC
-0.195,23419592,NC
-0.20750001,23419593,NC
-0.2225,23419594,NC
-0.2375,23419595,NC
-0.2425,23419596,NC
-0.245,23419597,NC
-0.245,23419598,NC
-0.2525,23419599,NC
-0.26375,23419600,NC
-0.27124998,23419601,NC
-0.27625,23419602,NC
-0.27249998,23419603,NC
-0.26999998,23419604,NC
-0.27499998,23419605,NC
-0.28375,23419606,NC
-0.29500002,23419607,NC
-0.3,23419608,NC
-0.29999998,23419609,NC
-0.3025,23419610,NC
-0.30624998,23419611,NC
-0.315,23419612,NC
-0.3225,23419613,NC
-0.3225,23419614,NC
-0.3175,23419615,NC
-0.31125,23419616,NC
-0.30625,23419617,NC
-0.3075,23419618,NC
-0.3075,23419619,NC
-0.30625,23419620,NC
-0.3075,23419621,NC
-0.30875,23419622,NC
-0.3175,23419623,NC
-0.33125,23419624,NC
-0.33625,23419625,NC
-0.33875,23419626,NC
-0.33375,23419627,NC
-0.325,23419628,NC
-0.32625,23419629,NC
-0.32625002,23419630,NC
-0.3325,23419631,NC
-0.33375,23419632,NC
-0.33125,23419633,NC
-0.33374998,23419634,NC
-0.335,23419635,NC
-0.3425,23419636,NC
-0.34875,23419637,NC
-0.35,23419638,NC
-0.34875,23419639,NC
-0.34875,23419640,NC
-0.35,23419641,NC
-0.355,23419642,NC
-0.35875002,23419643,NC
-0.36,23419644,NC
-0.36,23419645,NC
-0.3625,23419646,NC
-0.3675,23419647,NC
-0.375,23419648,NC
-0.38375,23419649,NC
-0.3825,23419650,NC
-0.3775,23419651,NC
-0.3725,23419652,NC
-0.37125,23419653,NC
-0.3775,23419654,NC
-0.385,23419655,NC
-0.3825,23419656,NC
-0.375,23419657,NC
-0.36625,23419658,NC
-0.3625,23419659,NC
-0.37125,23419660,NC
-0.38,23419661,NC
-0.3875,23419662,NC
-0.39124998,23419663,NC
-0.39124998,23419664,NC
-0.39874998,23419665,NC
-0.40749997,23419666,NC
-0.415,23419667,NC
-0.4125,23419668,NC
-0.4,23419669,NC
-0.39249998,23419670,NC
-0.38375,23419671,NC
-0.38625,23419672,NC
-0.3875,23419673,NC
-0.38125,23419674,NC
-0.37625,23419675,NC
-0.37,23419676,NC
-0.37125,23419677,NC
-0.37875,23419678,NC
-0.38375,23419679,NC
-0.38125,23419680,NC
-0.37625,23419681,NC
-0.36625,23419682,NC
-0.3625,23419683,NC
-0.3675,23419684,NC
-0.37,23419685,NC
-0.37125,23419686,NC
-0.3675,23419687,NC
-0.36,23419688,NC
-0.36125,23419689,NC
-0.36124998,23419690,NC
-0.3625,23419691,NC
-0.36375,23419692,NC
-0.35375002,23419693,NC
-0.35000002,23419694,NC
-0.35125,23419695,NC
-0.35875,23419696,NC
-0.3675,23419697,NC
-0.37,23419698,NC
-0.3625,23419699,NC
-0.35125002,23419700,NC
-0.34500003,23419701,NC
-0.34,23419702,NC
-0.33625,23419703,NC
-0.325,23419704,NC
-0.30999997,23419705,NC
-0.29375,23419706,NC
-0.28375,23419707,NC
-0.27625,23419708,NC
-0.25375,23419709,NC
-0.19999999,23419710,NC
-0.076249994,23419711,NC
0.15,23419712,NC
0.45374998,23419713,NC
0.755,23419714,NC
0.9525,23419715,NC
0.9925,23419716,NC
0.90250003,23419717,NC
0.76250005,23419718,NC
0.64,23419719,NC
0.55,23419720,NC
0.47375,23419721,NC
0.39624998,23419722,NC
0.31124997,23419723,B
0.2175,23419724,NC
0.11,23419725,NC
-0.0012500025,23419726,NC
-0.115,23419727,NC
-0.22874999,23419728,NC
-0.33249998,23419729,NC
-0.44625,23419730,NC
-0.56875,23419731,NC
-0.7,23419732,NC
-0.83875,23419733,NC
-0.97625,23419734,NC
-1.1125,23419735,NC
-1.245,23419736,NC
-1.375,23419737,NC
-1.4950001,23419738,NC
-1.59875,23419739,NC
-1.68625,23419740,NC
-1.76,23419741,NC
-1.8275001,23419742,NC
-1.89125,23419743,NC
-1.9449999,23419744,NC
-1.98125,23419745,NC
-1.99,23419746,NC
-1.97625,23419747,NC
-1.9449999,23419748,NC
-1.9087499,23419749,NC
-1.87125,23419750,NC
-1.8149999,23419751,NC
-1.73875,23419752,NC
-1.63875,23419753,NC
-1.5225,23419754,NC
-1.4037501,23419755,NC
-1.2887499,23419756,NC
-1.18375,23419757,NC
-1.0999999,23419758,NC
-1.0437499,23419759,NC
-1.0124999,23419760,NC
-0.9962499,23419761,NC
-0.97499996,23419762,NC
-0.93875,23419763,NC
-0.88500005,23419764,NC
-0.82,23419765,NC
-0.7525,23419766,NC
-0.68999994,23419767,NC
-0.6325,23419768,NC
-0.5725,23419769,NC
-0.505,23419770,NC
-0.435,23419771,NC
-0.37,23419772,NC
-0.31375,23419773,NC
-0.2725,23419774,NC
