channel_0,sample #,type
0.21057801,23813911,B
0.17942107,23813912,NC
0.12677656,23813913,NC
0.05264451,23813914,NC
-0.032231327,23813915,NC
-0.12892532,23813916,NC
-0.22776805,23813917,NC
-0.3319827,23813918,NC
-0.43082547,23813919,NC
-0.5339657,23813920,NC
-0.645701,23813921,NC
-0.7638825,23813922,NC
-0.8938822,23813923,NC
-1.01851,23813924,NC
-1.1334684,23813925,NC
-1.2398318,23813926,NC
-1.334377,23813927,NC
-1.4214017,23813928,NC
-1.5009055,23813929,NC
-1.5632195,23813930,NC
-1.607269,23813931,NC
-1.641649,23813932,NC
-1.6706573,23813933,NC
-1.6942936,23813934,NC
-1.7061118,23813935,NC
-1.6996654,23813936,NC
-1.6771035,23813937,NC
-1.6459465,23813938,NC
-1.6137153,23813939,NC
-1.5718145,23813940,NC
-1.5084262,23813941,NC
-1.4171042,23813942,NC
-1.3021457,23813943,NC
-1.1839641,23813944,NC
-1.0711545,23813945,NC
-0.98305553,23813946,NC
-0.9153698,23813947,NC
-0.8605765,23813948,NC
-0.81760144,23813949,NC
-0.77355194,23813950,NC
-0.7273537,23813951,NC
-0.68115544,23813952,NC
-0.6306597,23813953,NC
-0.5747921,23813954,NC
-0.5157013,23813955,NC
-0.45338735,23813956,NC
-0.39644533,23813957,NC
-0.34380084,23813958,NC
-0.29437947,23813959,NC
-0.24710687,23813960,NC
-0.19768548,23813961,NC
-0.15363601,23813962,NC
-0.11818155,23813963,NC
-0.09561961,23813964,NC
-0.07520644,23813965,NC
-0.053718884,23813966,NC
-0.03545446,23813967,NC
-0.01396691,23813968,NC
-0.0010743777,23813969,NC
0.0021487554,23813970,NC
0.006446266,23813971,NC
0.012892532,23813972,NC
0.020413175,23813973,NC
0.030082574,23813974,NC
0.0386776,23813975,NC
0.045123864,23813976,NC
0.053718884,23813977,NC
0.06446266,23813978,NC
0.07628082,23813979,NC
0.08487584,23813980,NC
0.09024773,23813981,NC
0.0913221,23813982,NC
0.09024772,23813983,NC
0.09561961,23813984,NC
0.100991495,23813985,NC
0.11280965,23813986,NC
0.12570219,23813987,NC
0.1353716,23813988,NC
0.14718974,23813989,NC
0.16115665,23813990,NC
0.17297482,23813991,NC
0.18479297,23813992,NC
0.19338799,23813993,NC
0.19661112,23813994,NC
0.20413175,23813995,NC
0.21487553,23813996,NC
0.23206556,23813997,NC
0.24818124,23813998,NC
0.26214817,23813999,NC
0.27181754,23814000,NC
0.28256133,23814001,NC
0.29975137,23814002,NC
0.32123893,23814003,NC
0.34272647,23814004,NC
0.35776776,23814005,NC
0.36743718,23814006,NC
