channel_0,sample #,type
0.7736291,1410748,B
0.6200015,1410749,NC
0.38436827,1410750,NC
0.291582,1410751,NC
0.2887363,1410752,NC
0.29382604,1410753,NC
0.288334,1410754,NC
0.2854868,1410755,NC
0.29586568,1410756,NC
0.32211608,1410757,NC
0.3563019,1410758,NC
0.3931327,1410759,NC
0.40086433,1410760,NC
0.37420627,1410761,NC
0.3475479,1410762,NC
0.32617962,1410763,NC
0.32332823,1410764,NC
0.33899364,1410765,NC
0.3440773,1410766,NC
0.33593395,1410767,NC
0.3172089,1410768,NC
0.29319274,1410769,NC
0.27182156,1410770,NC
0.24251398,1410771,NC
0.17088084,1410772,NC
0.07279405,1410773,NC
-0.0094211595,1410774,NC
-0.07311946,1410775,NC
-0.13152748,1410776,NC
-0.20316249,1410777,NC
-0.2827338,1410778,NC
-0.35172418,1410779,NC
-0.38897097,1410780,NC
-0.39711952,1410781,NC
-0.39204177,1410782,NC
-0.37638307,1410783,NC
-0.3660153,1410784,NC
-0.37945578,1410785,NC
-0.39818716,1410786,NC
-0.40898284,1410787,NC
-0.41184288,1410788,NC
-0.4067672,1410789,NC
-0.4016918,1410790,NC
-0.391326,1410791,NC
-0.3809605,1410792,NC
-0.3811765,1410793,NC
-0.37081146,1410794,NC
-0.35251063,1410795,NC
-0.3474367,1410796,NC
-0.3450083,1410797,NC
-0.3267082,1410798,NC
-0.28989097,1410799,NC
-0.26100996,1410800,NC
-0.25329173,1410801,NC
-0.26409099,1410802,NC
-0.29605296,1410803,NC
-0.3200792,1410804,NC
-0.3123617,1410805,NC
-0.29141766,1410806,NC
-0.26253787,1410807,NC
-0.2336582,1410808,NC
-0.21535999,1410809,NC
-0.20499785,1410810,NC
-0.19992653,1410811,NC
-0.18956465,1410812,NC
-0.17920288,1410813,NC
-0.17942253,1410814,NC
-0.18228759,1410815,NC
-0.18515274,1410816,NC
-0.18272734,1410817,NC
-0.16178472,1410818,NC
-0.14084217,1410819,NC
-0.14370762,1410820,NC
-0.16773573,1410821,NC
-0.19705454,1410822,NC
-0.21050142,1410823,NC
-0.20278575,1410824,NC
-0.18448882,1410825,NC
-0.16090123,1410826,NC
-0.15583096,1410827,NC
-0.17192328,1410828,NC
-0.19066094,1410829,NC
-0.20939857,1410830,NC
-0.21226424,1410831,NC
-0.20983927,1410832,NC
-0.2127049,1410833,NC
-0.22086117,1410834,NC
-0.23430802,1410835,NC
-0.23981884,1410836,NC
-0.24532962,1410837,NC
-0.24025905,1410838,NC
-0.24047905,1410839,NC
-0.2618616,1410840,NC
-0.27266273,1410841,NC
-0.26759183,1410842,NC
-0.24929424,1410843,NC
-0.23628716,1410844,NC
-0.23386128,1410845,NC
-0.2314353,1410846,NC
-0.22636387,1410847,NC
-0.2133563,1410848,NC
-0.1977033,1410849,NC
-0.18469547,1410850,NC
-0.17962347,1410851,NC
-0.1851326,1410852,NC
-0.19857755,1410853,NC
-0.20937699,1410854,NC
-0.20430432,1410855,NC
-0.20187677,1410856,NC
-0.1941584,1410857,NC
-0.16527723,1410858,NC
-0.13904116,1410859,NC
-0.12338619,1410860,NC
-0.11566697,1410861,NC
-0.11059285,1410862,NC
-0.09758252,1410863,NC
-0.07928131,1410864,NC
-0.07156114,1410865,NC
-0.05325943,1410866,NC
-0.027021477,1410867,NC
-0.008719234,1410868,NC
0.0016473085,1410869,NC
0.0014328333,1410870,NC
0.006509294,1410871,NC
0.011586049,1410872,NC
0.014017782,1410873,NC
0.02174047,1410874,NC
0.021527499,1410875,NC
0.013378872,1410876,NC
0.007875896,1410877,NC
0.010309231,1410878,NC
0.018033557,1410879,NC
0.012531605,1410880,NC
0.0043846825,1410881,NC
-0.0064072036,1410882,NC
-0.011908073,1410883,NC
-0.0015366198,1410884,NC
0.014125863,1410885,NC
0.019207437,1410886,NC
0.003126802,1410887,NC
-0.012953432,1410888,NC
-0.029033259,1410889,NC
-0.039822023,1410890,NC
-0.037383743,1410891,NC
-0.034945037,1410892,NC
-0.04044187,1410893,NC
-0.056519568,1410894,NC
-0.07259682,1410895,NC
-0.078092314,1410896,NC
-0.07565138,1410897,NC
-0.07850063,1410898,NC
-0.08928538,1410899,NC
-0.10800564,1410900,NC
-0.12143475,1410901,NC
-0.11899143,1410902,NC
-0.111256965,1410903,NC
-0.10616732,1410904,NC
-0.11430378,1410905,NC
-0.12243973,1410906,NC
-0.12792984,1410907,NC
-0.12548344,1410908,NC
