channel_0,sample #,type
1.482317,4725704,B
1.4178102,4725705,NC
1.3309872,4725706,NC
1.215939,4725707,NC
1.1198289,4725708,NC
1.0033451,4725709,NC
0.8894081,4725710,NC
0.7796838,4725711,NC
0.6468361,4725712,NC
0.51596266,4725713,NC
0.38487294,4725714,NC
0.23189627,4725715,NC
0.06915153,4725716,NC
-0.11643846,4725717,NC
-0.29201314,4725718,NC
-0.4746242,4725719,NC
-0.6517191,4725720,NC
-0.8258723,4725721,NC
-1.0055928,4725722,NC
-1.2044817,4725723,NC
-1.408717,4725724,NC
-1.6187565,4725725,NC
-1.8000368,4725726,NC
-1.9480841,4725727,NC
-2.069798,4725728,NC
-2.1603098,4725729,NC
-2.2279441,4725730,NC
-2.2575893,4725731,NC
-2.2729065,4725732,NC
-2.2978292,4725733,NC
-2.3386505,4725734,NC
-2.4026332,4725735,NC
-2.4800155,4725736,NC
-2.547867,4725737,NC
-2.5959558,4725738,NC
-2.6401463,4725739,NC
-2.6755989,4725740,NC
-2.7124295,4725741,NC
-2.7201233,4725742,NC
-2.6734324,4725743,NC
-2.5855577,4725744,NC
-2.4501104,4725745,NC
-2.2935529,4725746,NC
-2.124151,4725747,NC
-1.9341984,4725748,NC
-1.7694126,4725749,NC
-1.6133527,4725750,NC
-1.496392,4725751,NC
-1.4032189,4725752,NC
-1.3376132,4725753,NC
-1.2814444,4725754,NC
-1.2176235,4725755,NC
-1.1643414,4725756,NC
-1.1210996,4725757,NC
-1.104253,4725758,NC
-1.0919222,4725759,NC
-1.0781069,4725760,NC
-1.055162,4725761,NC
-1.0048337,4725762,NC
-0.94222844,4725763,NC
-0.87743413,4725764,NC
-0.8123282,4725765,NC
-0.75114566,4725766,NC
-0.6997423,4725767,NC
-0.64691097,4725768,NC
-0.58913004,4725769,NC
-0.5299999,4725770,NC
-0.47857973,4725771,NC
-0.39604437,4725772,NC
-0.3149475,4725773,NC
-0.22755276,4725774,NC
-0.15111198,4725775,NC
-0.08190802,4725776,NC
-0.019837797,4725777,NC
0.034821637,4725778,NC
0.09143289,4725779,NC
0.12719034,4725780,NC
0.15741977,4725781,NC
0.16727795,4725782,NC
0.18079892,4725783,NC
0.19852859,4725784,NC
0.22568491,4725785,NC
0.25569478,4725786,NC
0.29482844,4725787,NC
0.29968107,4725788,NC
0.323102,4725789,NC
0.33800027,4725790,NC
0.36994818,4725791,NC
0.39876723,4725792,NC
0.42377865,4725793,NC
0.45243323,4725794,NC
0.4713677,4725795,NC
0.508142,4725796,NC
0.5312328,4725797,NC
0.5669595,4725798,NC
0.60272837,4725799,NC
0.62562823,4725800,NC
0.6420091,4725801,NC
0.6630575,4725802,NC
0.69710076,4725803,NC
0.73763627,4725804,NC
0.7741607,4725805,NC
0.79458,4725806,NC
0.83150107,4725807,NC
0.85036653,4725808,NC
0.8959156,4725809,NC
0.92686796,4725810,NC
0.9597304,4725811,NC
0.97275305,4725812,NC
0.99610937,4725813,NC
1.0190724,4725814,NC
1.0507284,4725815,NC
1.0761609,4725816,NC
1.0918615,4725817,NC
1.0988812,4725818,NC
1.1141557,4725819,NC
1.1286863,4725820,NC
1.1450808,4725821,NC
1.1564978,4725822,NC
1.1540011,4725823,NC
1.1485109,4725824,NC
1.1503499,4725825,NC
1.1495116,4725826,NC
1.1518421,4725827,NC
1.1509746,4725828,NC
1.1487592,4725829,NC
1.1311431,4725830,NC
1.1035743,4725831,NC
1.09266,4725832,NC
1.0757103,4725833,NC
1.0667707,4725834,NC
1.0372458,4725835,NC
1.0116329,4725836,NC
0.9774958,4725837,NC
0.9511142,4725838,NC
0.92513984,4725839,NC
0.90467626,4725840,NC
0.8556106,4725841,NC
0.8101657,4725842,NC
0.758916,4725843,NC
0.7060002,4725844,NC
0.6751588,4725845,NC
0.64379895,4725846,NC
0.6032841,4725847,NC
0.5569386,4725848,NC
0.51683706,4725849,NC
0.4724971,4725850,NC
0.43158093,4725851,NC
0.38954788,4725852,NC
0.34953058,4725853,NC
0.2990128,4725854,NC
0.25970992,4725855,NC
0.20932765,4725856,NC
0.18012103,4725857,NC
0.14171194,4725858,NC
0.10728236,4725859,NC
0.06644671,4725860,NC
0.027414454,4725861,NC
-0.02287405,4725862,NC
-0.046579175,4725863,NC
-0.06039766,4725864,NC
-0.07059843,4725865,NC
-0.09146792,4725866,NC
-0.13521004,4725867,NC
-0.1589344,4725868,NC
-0.18132965,4725869,NC
-0.1895147,4725870,NC
-0.19501942,4725871,NC
-0.20678358,4725872,NC
-0.22356394,4725873,NC
-0.23384853,4725874,NC
-0.229144,4725875,NC
-0.2292609,4725876,NC
-0.24055178,4725877,NC
-0.25402102,4725878,NC
-0.28377953,4725879,NC
-0.2836874,4725880,NC
-0.27850473,4725881,NC
-0.27774364,4725882,NC
-0.2735378,4725883,NC
-0.27387702,4725884,NC
-0.2826748,4725885,NC
-0.2929586,4725886,NC
-0.29915377,4725887,NC
-0.29327068,4725888,NC
-0.29628304,4725889,NC
-0.30453783,4725890,NC
-0.29845208,4725891,NC
-0.2933729,4725892,NC
-0.29511958,4725893,NC
-0.29756868,4725894,NC
-0.3039567,4725895,NC
-0.3052901,4725896,NC
-0.2922912,4725897,NC
-0.28951308,4725898,NC
-0.28446764,4725899,NC
-0.28676948,4725900,NC
-0.28996003,4725901,NC
-0.2983912,4725902,NC
-0.2926731,4725903,NC
-0.2886016,4725904,NC
-0.28208086,4725905,NC
-0.2850227,4725906,NC
-0.290081,4725907,NC
-0.2918672,4725908,NC
-0.29609904,4725909,NC
-0.29369414,4725910,NC
-0.29112345,4725911,NC
-0.2780355,4725912,NC
-0.27054533,4725913,NC
-0.2711021,4725914,NC
-0.27307576,4725915,NC
-0.27528188,4725916,NC
-0.2770916,4725917,NC
-0.2505419,4725918,NC
-0.24111024,4725919,NC
-0.24028549,4725920,NC
-0.23650683,4725921,NC
-0.21793856,4725922,NC
-0.2054439,4725923,NC
-0.17480041,4725924,NC
-0.1513478,4725925,NC
-0.13092965,4725926,NC
-0.12927517,4725927,NC
-0.10909875,4725928,NC
-0.0708121,4725929,NC
-0.043944623,4725930,NC
-0.017542498,4725931,NC
0.00040500512,4725932,NC
0.00020516384,4725933,NC
