channel_0,sample #,type
1.1362813,4613342,B
1.1021944,4613343,NC
1.0364436,4613344,NC
0.95069563,4613345,NC
0.84828395,4613346,NC
0.75587535,4613347,NC
0.68680286,4613348,NC
0.62273353,4613349,NC
0.5536671,4613350,NC
0.46793714,4613351,NC
0.3738769,4613352,NC
0.29148644,4613353,NC
0.22243246,4613354,NC
0.16338167,4613355,NC
0.074334055,4613356,NC
-0.04471032,4613357,NC
-0.1854181,4613358,NC
-0.31945592,4613359,NC
-0.44349045,4613360,NC
-0.5691883,4613361,NC
-0.71321607,4613362,NC
-0.8722405,4613363,NC
-1.0329281,4613364,NC
-1.1852789,4613365,NC
-1.319293,4613366,NC
-1.4266368,4613367,NC
-1.5023105,4613368,NC
-1.5563139,4613369,NC
-1.5903137,4613370,NC
-1.6043099,4613371,NC
-1.6099691,4613372,NC
-1.6272914,4613373,NC
-1.6712767,4613374,NC
-1.7352582,4613375,NC
-1.8025692,4613376,NC
-1.8732098,4613377,NC
-1.9555135,4613378,NC
-2.0561464,4613379,NC
-2.1684422,4613380,NC
-2.2590673,4613381,NC
-2.303022,4613382,NC
-2.266973,4613383,NC
-2.1609197,4613384,NC
-2.0081959,4613385,NC
-1.8538015,4613386,NC
-1.7060697,4613387,NC
-1.5866672,4613388,NC
-1.4805938,4613389,NC
-1.4078498,4613390,NC
-1.3601016,4613391,NC
-1.3373493,4613392,NC
-1.3229263,4613393,NC
-1.2984989,4613394,NC
-1.2674005,4613395,NC
-1.2379649,4613396,NC
-1.2185248,4613397,NC
-1.2124138,4613398,NC
-1.2029653,4613399,NC
-1.1918457,4613400,NC
-1.1690551,4613401,NC
-1.1462601,4613402,NC
-1.121794,4613403,NC
-1.0906569,4613404,NC
-1.051182,4613405,NC
-1.0017027,4613406,NC
-0.9622189,4613407,NC
-0.9210639,4613408,NC
-0.8782377,4613409,NC
-0.8204071,4613410,NC
-0.7575718,4613411,NC
-0.6963987,4613412,NC
-0.6335542,4613413,NC
-0.56903857,4613414,NC
-0.49785158,4613415,NC
-0.4383266,4613416,NC
-0.38713032,4613417,NC
-0.34926262,4613418,NC
-0.31139025,4613419,NC
-0.2801798,4613420,NC
-0.25563127,4613421,NC
-0.24107799,4613422,NC
-0.23651993,4613423,NC
-0.22862375,4613424,NC
-0.21405604,4613425,NC
-0.18948354,4613426,NC
-0.16157283,4613427,NC
-0.13865726,4613428,NC
-0.12407013,4613429,NC
-0.11281144,4613430,NC
-0.09321449,4613431,NC
-0.06361261,4613432,NC
-0.039005786,4613433,NC
-0.022727326,4613434,NC
-0.016443871,4613435,NC
-0.0068220943,4613436,NC
0.012804687,4613437,NC
0.047436506,4613438,NC
0.08874002,4613439,NC
0.12838192,4613440,NC
0.15636228,4613441,NC
0.17434767,4613442,NC
0.18900484,4613443,NC
0.21200043,4613444,NC
0.24500117,4613445,NC
0.2746737,4613446,NC
0.29601812,4613447,NC
0.30736762,4613448,NC
0.32205567,4613449,NC
0.34508222,4613450,NC
0.37811399,4613451,NC
0.41781765,4613452,NC
0.45252657,4613453,NC
0.4739073,4613454,NC
0.48529333,4613455,NC
0.49501795,4613456,NC
0.5130812,4613457,NC
0.5294831,4613458,NC
0.5425569,4613459,NC
0.5473026,4613460,NC
0.550387,4613461,NC
0.5534768,4613462,NC
0.56323856,4613463,NC
0.5730056,4613464,NC
0.57944477,4613465,NC
0.5725559,4613466,NC
0.55900574,4613467,NC
0.54379433,4613468,NC
0.5369216,4613469,NC
0.5300543,4613470,NC
0.5165256,4613471,NC
0.49633583,4613472,NC
0.47448477,4613473,NC
0.46097246,4613474,NC
0.44746554,4613475,NC
0.43063074,4613476,NC
0.40713477,4613477,NC
0.37697753,4613478,NC
0.34349245,4613479,NC
0.30334616,4613480,NC
0.27153873,4613481,NC
0.24973667,4613482,NC
0.22960684,4613483,NC
0.1978158,4613484,NC
0.15269695,4613485,NC
0.10258356,4613486,NC
0.06080903,4613487,NC
0.027373344,4613488,NC
0.0006098449,4613489,NC
-0.032814845,4613490,NC
-0.06790066,4613491,NC
-0.10798095,4613492,NC
-0.14638905,4613493,NC
-0.18979162,4613494,NC
-0.23485532,4613495,NC
-0.2749135,4613496,NC
-0.30829948,4613497,NC
-0.33334655,4613498,NC
-0.3600548,4613499,NC
-0.38342413,4613500,NC
-0.40845457,4613501,NC
-0.43181288,4613502,NC
-0.45183223,4613503,NC
-0.46684608,4613504,NC
-0.47685435,4613505,NC
-0.49352378,4613506,NC
-0.51352096,4613507,NC
-0.5318459,4613508,NC
-0.54183203,4613509,NC
-0.5468126,4613510,NC
-0.5534543,4613511,NC
-0.56842375,4613512,NC
-0.58172095,4613513,NC
-0.59167933,4613514,NC
-0.5932988,4613515,NC
-0.5899128,4613516,NC
-0.58985454,4613517,NC
-0.5931241,4613518,NC
-0.6047214,4613519,NC
-0.61797994,4613520,NC
-0.6195662,4613521,NC
-0.6178137,4613522,NC
-0.60938895,4613523,NC
-0.6159587,4613524,NC
-0.6208563,4613525,NC
-0.63408166,4613526,NC
-0.6456349,4613527,NC
-0.65384924,4613528,NC
-0.6470581,4613529,NC
-0.62859493,4613530,NC
-0.61512613,4613531,NC
-0.616652,4613532,NC
-0.62983894,4613533,NC
-0.64302045,4613534,NC
-0.65286314,4613535,NC
-0.6593671,4613536,NC
-0.67086554,4613537,NC
-0.67235863,4613538,NC
-0.66884625,4613539,NC
-0.6536617,4613540,NC
-0.6434718,4613541,NC
-0.63827646,4613542,NC
-0.64307576,4613543,NC
-0.6512029,4613544,NC
-0.65932477,4613545,NC
-0.6574412,4613546,NC
-0.6455523,4613547,NC
-0.6269914,4613548,NC
-0.6150917,4613549,NC
-0.6148534,4613550,NC
-0.62294304,4613551,NC
-0.6160275,4613552,NC
-0.59577316,4613553,NC
-0.56551355,4613554,NC
-0.548582,4613555,NC
-0.53831184,4613556,NC
-0.52303636,4613557,NC
-0.49775568,4613558,NC
-0.4658031,4613559,NC
-0.43717855,4613560,NC
-0.41021544,4613561,NC
-0.38824713,4613562,NC
-0.36960697,4613563,NC
-0.35929495,4613564,NC
-0.34897774,4613565,NC
-0.33865538,4613566,NC
-0.32332784,4613567,NC
-0.30466187,4613568,NC
-0.28765738,4613569,NC
-0.27398118,4613570,NC
-0.27363318,4613571,NC
-0.2816134,4613572,NC
-0.29292196,4613573,NC
-0.3042254,4613574,NC
-0.30385715,4613575,NC
-0.3018172,4613576,NC
-0.29477224,4613577,NC
-0.3010556,4613578,NC
-0.31400067,4613579,NC
-0.3252741,4613580,NC
-0.32487592,4613581,NC
-0.31113946,4613582,NC
-0.2940648,4613583,NC
-0.2903185,4613584,NC
-0.313234,4613585,NC
-0.35614467,4613586,NC
-0.3957171,4613587,NC
-0.41528475,4613588,NC
-0.42318088,4613589,NC
-0.43607223,4613590,NC
-0.45895875,4613591,NC
-0.4885072,4613592,NC
-0.5197176,4613593,NC
-0.5459233,4613594,NC
-0.56879085,4613595,NC
-0.58332044,4613596,NC
-0.5928453,4613597,NC
-0.6023656,4613598,NC
-0.6202146,4613599,NC
-0.6363923,4613600,NC
-0.6508987,4613601,NC
-0.6554005,4613602,NC
-0.66656446,4613603,NC
-0.68272394,4613604,NC
-0.70221215,4613605,NC
-0.7166959,4613606,NC
-0.71284187,4613607,NC
-0.70565,4613608,NC
-0.7051204,4613609,NC
-0.71625304,4613610,NC
-0.7273813,4613611,NC
-0.7301718,4613612,NC
-0.722958,4613613,NC
-0.71240664,4613614,NC
-0.70351756,4613615,NC
-0.7046242,4613616,NC
-0.7123932,4613617,NC
-0.7184914,4613618,NC
-0.72125196,4613619,NC
-0.7173417,4613620,NC
-0.7134273,4613621,NC
-0.71117544,4613622,NC
-0.7039194,4613623,NC
-0.69165933,4613624,NC
-0.6743951,4613625,NC
-0.6704602,4613626,NC
-0.683188,4613627,NC
-0.70091176,4613628,NC
-0.70696485,4613629,NC
-0.69634736,4613630,NC
-0.67905927,4613631,NC
-0.67010057,4613632,NC
-0.6728047,4613633,NC
-0.68383837,4613634,NC
-0.6915348,4613635,NC
-0.6908941,4613636,NC
-0.6852497,4613637,NC
-0.6729348,4613638,NC
-0.6622829,4613639,NC
-0.65162724,4613640,NC
-0.6476346,4613641,NC
-0.6386384,4613642,NC
-0.62630516,4613643,NC
-0.6039684,4613644,NC
-0.5782947,4613645,NC
-0.53761744,4613646,NC
-0.46527004,4613647,NC
-0.31125247,4613648,NC
-0.025564775,4613649,NC
0.41845965,4613650,NC
0.91582084,4613651,NC
1.2965188,4613652,NC
1.4305533,4613653,NC
1.3712578,4613654,NC
1.2469656,4613655,NC
1.1526767,4613656,B
1.0833911,4613657,NC
1.0091085,4613658,NC
0.92149585,4613659,NC
0.8388864,4613660,NC
0.76794666,4613661,NC
0.70701003,4613662,NC
0.64607644,4613663,NC
0.59014595,4613664,NC
0.535885,4613665,NC
0.47996038,4613666,NC
0.41737208,4613667,NC
0.34145334,4613668,NC
0.2538708,4613669,NC
0.16629113,4613670,NC
0.08371426,4613671,NC
0.0011401847,4613672,NC
-0.106431134,4613673,NC
-0.23733306,4613674,NC
-0.39489895,4613675,NC
-0.5557955,4613676,NC
-0.71002275,4613677,NC
-0.8509141,4613678,NC
-0.9851363,4613679,NC
-1.1343558,4613680,NC
-1.3035728,4613681,NC
-1.4777874,4613682,NC
-1.6269994,4613683,NC
-1.7178758,4613684,NC
-1.7570832,4613685,NC
-1.7646215,4613686,NC
-1.7854908,4613687,NC
-1.829691,4613688,NC
-1.8988891,4613689,NC
-1.9680849,4613690,NC
-2.0322785,4613691,NC
-2.0848036,4613692,NC
-2.143993,4613693,NC
-2.2098467,4613694,NC
-2.2773652,4613695,NC
-2.323215,4613696,NC
-2.319063,4613697,NC
-2.2615755,4613698,NC
-2.160753,4613699,NC
-2.0482614,4613700,NC
-1.9257684,4613701,NC
-1.7832736,4613702,NC
-1.6241101,4613703,NC
-1.4816115,4613704,NC
-1.3791113,4613705,NC
-1.3282758,4613706,NC
-1.2907722,4613707,NC
-1.2599337,4613708,NC
-1.2140934,4613709,NC
-1.1682516,4613710,NC
-1.1257417,4613711,NC
-1.0865637,4613712,NC
-1.0507174,4613713,NC
-1.013203,4613714,NC
-0.9856872,4613715,NC
-0.97150344,4613716,NC
-0.958985,4613717,NC
-0.94146526,4613718,NC
-0.90561086,4613719,NC
-0.85642207,4613720,NC
-0.79556525,4613721,NC
