channel_0,sample #,type
0.915,1790376,B
0.61,1790377,NC
0.285,1790378,NC
0.145,1790379,NC
0.16,1790380,NC
0.205,1790381,NC
0.23,1790382,NC
0.25,1790383,NC
0.255,1790384,NC
0.26,1790385,NC
0.275,1790386,NC
0.3,1790387,NC
0.32,1790388,NC
0.31,1790389,NC
0.3,1790390,NC
0.285,1790391,NC
0.285,1790392,NC
0.31,1790393,NC
0.33,1790394,NC
0.325,1790395,NC
0.29,1790396,NC
0.29,1790397,NC
0.27,1790398,NC
0.255,1790399,NC
0.215,1790400,NC
0.155,1790401,NC
0.08,1790402,NC
0.035,1790403,NC
-0.03,1790404,NC
-0.095,1790405,NC
-0.17,1790406,NC
-0.28,1790407,NC
-0.36,1790408,NC
-0.375,1790409,NC
-0.36,1790410,NC
-0.315,1790411,NC
-0.28,1790412,NC
-0.295,1790413,NC
-0.315,1790414,NC
-0.325,1790415,NC
-0.365,1790416,NC
-0.385,1790417,NC
-0.39,1790418,NC
-0.4,1790419,NC
-0.39,1790420,NC
-0.395,1790421,NC
-0.395,1790422,NC
-0.385,1790423,NC
-0.37,1790424,NC
-0.365,1790425,NC
-0.375,1790426,NC
-0.38,1790427,NC
-0.385,1790428,NC
-0.38,1790429,NC
-0.375,1790430,NC
-0.39,1790431,NC
-0.405,1790432,NC
-0.43,1790433,NC
-0.43,1790434,NC
-0.415,1790435,NC
-0.4,1790436,NC
-0.395,1790437,NC
-0.4,1790438,NC
-0.415,1790439,NC
-0.42,1790440,NC
-0.405,1790441,NC
-0.39,1790442,NC
-0.395,1790443,NC
-0.395,1790444,NC
-0.41,1790445,NC
-0.405,1790446,NC
-0.39,1790447,NC
-0.38,1790448,NC
-0.385,1790449,NC
-0.4,1790450,NC
-0.405,1790451,NC
-0.415,1790452,NC
-0.4,1790453,NC
-0.4,1790454,NC
-0.4,1790455,NC
-0.415,1790456,NC
-0.425,1790457,NC
-0.43,1790458,NC
-0.425,1790459,NC
-0.395,1790460,NC
-0.405,1790461,NC
-0.42,1790462,NC
-0.425,1790463,NC
-0.43,1790464,NC
-0.425,1790465,NC
-0.415,1790466,NC
