channel_0,sample #,type
1.7248935,5134347,B
1.7002609,5134348,NC
1.6560218,5134349,NC
1.5833707,5134350,NC
1.5201465,5134351,NC
1.4382169,5134352,NC
1.3569161,5134353,NC
1.2744479,5134354,NC
1.1781644,5134355,NC
1.092303,5134356,NC
0.9860888,5134357,NC
0.86043954,5134358,NC
0.72703785,5134359,NC
0.5752054,5134360,NC
0.41147527,5134361,NC
0.2088079,5134362,NC
0.007209851,5134363,NC
-0.19307967,5134364,NC
-0.3903002,5134365,NC
-0.56164235,5134366,NC
-0.7473808,5134367,NC
-0.9005285,5134368,NC
-1.0454661,5134369,NC
-1.2133793,5134370,NC
-1.3417629,5134371,NC
-1.4853624,5134372,NC
-1.5968275,5134373,NC
-1.7087733,5134374,NC
-1.8098261,5134375,NC
-1.9231896,5134376,NC
-2.046357,5134377,NC
-2.131484,5134378,NC
-2.1915255,5134379,NC
-2.2531805,5134380,NC
-2.3141549,5134381,NC
-2.4089832,5134382,NC
-2.4944174,5134383,NC
-2.58479,5134384,NC
-2.6581187,5134385,NC
-2.7113352,5134386,NC
-2.7595177,5134387,NC
-2.773063,5134388,NC
-2.786097,5134389,NC
-2.7450988,5134390,NC
-2.656142,5134391,NC
-2.510728,5134392,NC
-2.3715262,5134393,NC
-2.2006714,5134394,NC
-2.0484912,5134395,NC
-1.8888111,5134396,NC
-1.7389808,5134397,NC
-1.6048996,5134398,NC
-1.5083346,5134399,NC
-1.4530473,5134400,NC
-1.407419,5134401,NC
-1.3769588,5134402,NC
-1.328374,5134403,NC
-1.2873951,5134404,NC
-1.2458434,5134405,NC
-1.2256836,5134406,NC
-1.203886,5134407,NC
-1.1589199,5134408,NC
-1.1015229,5134409,NC
-1.0371602,5134410,NC
-0.9546358,5134411,NC
-0.88060045,5134412,NC
-0.8311735,5134413,NC
-0.76392865,5134414,NC
-0.6989716,5134415,NC
-0.67068535,5134416,NC
-0.6205797,5134417,NC
-0.5730551,5134418,NC
-0.50815094,5134419,NC
-0.428034,5134420,NC
-0.36783513,5134421,NC
-0.2985223,5134422,NC
-0.22616673,5134423,NC
-0.20101239,5134424,NC
-0.14885719,5134425,NC
-0.12869288,5134426,NC
-0.081860855,5134427,NC
-0.048407167,5134428,NC
-0.006533975,5134429,NC
-0.006584049,5134430,NC
0.02054663,5134431,NC
0.03441258,5134432,NC
0.034950193,5134433,NC
0.048907313,5134434,NC
0.068499394,5134435,NC
0.0804021,5134436,NC
0.09521589,5134437,NC
0.11969598,5134438,NC
0.13736482,5134439,NC
0.16216844,5134440,NC
0.17695396,5134441,NC
0.19425693,5134442,NC
0.20740168,5134443,NC
0.23341376,5134444,NC
0.25832415,5134445,NC
0.30280596,5134446,NC
0.3287816,5134447,NC
0.36048988,5134448,NC
0.3697804,5134449,NC
0.38183647,5134450,NC
0.3962193,5134451,NC
0.42697686,5134452,NC
0.45490435,5134453,NC
0.46722442,5134454,NC
0.5014993,5134455,NC
0.51994544,5134456,NC
0.55195564,5134457,NC
0.5966606,5134458,NC
0.6303729,5134459,NC
0.6543342,5134460,NC
0.6932041,5134461,NC
0.7003563,5134462,NC
0.7297383,5134463,NC
0.7553656,5134464,NC
0.7815192,5134465,NC
0.7919079,5134466,NC
0.8142619,5134467,NC
0.84282774,5134468,NC
0.8719683,5134469,NC
0.8872357,5134470,NC
0.9187418,5134471,NC
0.92838484,5134472,NC
0.93189734,5134473,NC
0.94110143,5134474,NC
0.94691205,5134475,NC
0.95674014,5134476,NC
0.9625972,5134477,NC
0.95975226,5134478,NC
0.92976207,5134479,NC
0.9263456,5134480,NC
0.92236555,5134481,NC
0.91789466,5134482,NC
0.92047846,5134483,NC
0.9000521,5134484,NC
0.87587786,5134485,NC
0.85960597,5134486,NC
0.8328153,5134487,NC
0.80701727,5134488,NC
0.77873766,5134489,NC
0.7395684,5134490,NC
0.7256395,5134491,NC
0.68248737,5134492,NC
0.6490341,5134493,NC
0.6234387,5134494,NC
0.60563886,5134495,NC
0.55691284,5134496,NC
0.520932,5134497,NC
0.47789767,5134498,NC
0.43386778,5134499,NC
0.4027259,5134500,NC
0.3516739,5134501,NC
0.3117508,5134502,NC
0.2647784,5134503,NC
0.22218043,5134504,NC
