channel_0,sample #,type
2.135,4598320,B
2.09,4598321,NC
2.055,4598322,NC
2.0,4598323,NC
1.91,4598324,NC
1.835,4598325,NC
1.74,4598326,NC
1.69,4598327,NC
1.64,4598328,NC
1.585,4598329,NC
1.515,4598330,NC
1.425,4598331,NC
1.335,4598332,NC
1.23,4598333,NC
1.12,4598334,NC
1.02,4598335,NC
0.9,4598336,NC
0.78,4598337,NC
0.65,4598338,NC
0.52,4598339,NC
0.385,4598340,NC
0.245,4598341,NC
0.09,4598342,NC
-0.08,4598343,NC
-0.225,4598344,NC
-0.325,4598345,NC
-0.405,4598346,NC
-0.47,4598347,NC
-0.52,4598348,NC
-0.56,4598349,NC
-0.605,4598350,NC
-0.68,4598351,NC
-0.765,4598352,NC
-0.865,4598353,NC
-0.975,4598354,NC
-1.09,4598355,NC
-1.225,4598356,NC
-1.365,4598357,NC
-1.49,4598358,NC
-1.595,4598359,NC
-1.67,4598360,NC
-1.655,4598361,NC
-1.595,4598362,NC
-1.45,4598363,NC
-1.35,4598364,NC
-1.22,4598365,NC
-1.12,4598366,NC
-1.03,4598367,NC
-0.995,4598368,NC
-0.96,4598369,NC
-0.935,4598370,NC
-0.91,4598371,NC
-0.885,4598372,NC
-0.88,4598373,NC
-0.88,4598374,NC
-0.855,4598375,NC
-0.835,4598376,NC
-0.825,4598377,NC
-0.82,4598378,NC
-0.81,4598379,NC
-0.79,4598380,NC
-0.73,4598381,NC
-0.665,4598382,NC
-0.605,4598383,NC
-0.55,4598384,NC
-0.515,4598385,NC
-0.48,4598386,NC
-0.43,4598387,NC
-0.375,4598388,NC
-0.315,4598389,NC
-0.26,4598390,NC
-0.205,4598391,NC
-0.155,4598392,NC
-0.095,4598393,NC
-0.035,4598394,NC
0.015,4598395,NC
0.055,4598396,NC
0.09,4598397,NC
0.115,4598398,NC
0.14,4598399,NC
0.17,4598400,NC
0.18,4598401,NC
0.205,4598402,NC
0.195,4598403,NC
0.2,4598404,NC
0.21,4598405,NC
0.235,4598406,NC
0.26,4598407,NC
0.26,4598408,NC
0.255,4598409,NC
0.27,4598410,NC
0.285,4598411,NC
0.295,4598412,NC
0.315,4598413,NC
0.33,4598414,NC
0.34,4598415,NC
0.355,4598416,NC
0.375,4598417,NC
0.41,4598418,NC
0.43,4598419,NC
0.435,4598420,NC
0.455,4598421,NC
0.45,4598422,NC
0.475,4598423,NC
0.5,4598424,NC
0.53,4598425,NC
0.555,4598426,NC
0.565,4598427,NC
0.575,4598428,NC
0.62,4598429,NC
0.65,4598430,NC
0.68,4598431,NC
0.695,4598432,NC
0.71,4598433,NC
0.73,4598434,NC
0.765,4598435,NC
0.795,4598436,NC
0.815,4598437,NC
0.835,4598438,NC
0.845,4598439,NC
0.865,4598440,NC
0.88,4598441,NC
0.92,4598442,NC
0.93,4598443,NC
0.935,4598444,NC
0.95,4598445,NC
0.96,4598446,NC
0.965,4598447,NC
0.965,4598448,NC
0.975,4598449,NC
0.985,4598450,NC
0.995,4598451,NC
1.005,4598452,NC
1.03,4598453,NC
1.035,4598454,NC
1.025,4598455,NC
1.0,4598456,NC
0.985,4598457,NC
0.955,4598458,NC
0.945,4598459,NC
0.945,4598460,NC
0.93,4598461,NC
0.91,4598462,NC
0.885,4598463,NC
0.85,4598464,NC
0.825,4598465,NC
0.83,4598466,NC
0.81,4598467,NC
0.77,4598468,NC
0.715,4598469,NC
0.675,4598470,NC
0.655,4598471,NC
0.625,4598472,NC
0.585,4598473,NC
0.55,4598474,NC
0.505,4598475,NC
0.455,4598476,NC
0.43,4598477,NC
0.405,4598478,NC
0.355,4598479,NC
0.305,4598480,NC
0.265,4598481,NC
0.21,4598482,NC
0.17,4598483,NC
0.14,4598484,NC
0.115,4598485,NC
0.085,4598486,NC
0.05,4598487,NC
0.025,4598488,NC
0.005,4598489,NC
-0.005,4598490,NC
-0.015,4598491,NC
-0.045,4598492,NC
-0.07,4598493,NC
-0.095,4598494,NC
-0.1,4598495,NC
-0.09,4598496,NC
-0.1,4598497,NC
-0.105,4598498,NC
-0.13,4598499,NC
-0.135,4598500,NC
-0.14,4598501,NC
-0.125,4598502,NC
-0.13,4598503,NC
-0.13,4598504,NC
-0.145,4598505,NC
-0.175,4598506,NC
-0.155,4598507,NC
-0.165,4598508,NC
-0.165,4598509,NC
-0.18,4598510,NC
-0.185,4598511,NC
-0.2,4598512,NC
-0.195,4598513,NC
-0.2,4598514,NC
-0.19,4598515,NC
-0.205,4598516,NC
-0.215,4598517,NC
-0.22,4598518,NC
-0.225,4598519,NC
-0.22,4598520,NC
-0.22,4598521,NC
-0.23,4598522,NC
-0.225,4598523,NC
-0.23,4598524,NC
-0.225,4598525,NC
-0.215,4598526,NC
-0.215,4598527,NC
-0.22,4598528,NC
-0.22,4598529,NC
-0.215,4598530,NC
-0.19,4598531,NC
-0.18,4598532,NC
-0.175,4598533,NC
-0.185,4598534,NC
-0.19,4598535,NC
-0.205,4598536,NC
-0.205,4598537,NC
-0.21,4598538,NC
-0.195,4598539,NC
-0.185,4598540,NC
-0.18,4598541,NC
-0.19,4598542,NC
-0.175,4598543,NC
-0.165,4598544,NC
-0.16,4598545,NC
-0.165,4598546,NC
-0.18,4598547,NC
-0.185,4598548,NC
-0.18,4598549,NC
-0.175,4598550,NC
-0.155,4598551,NC
-0.165,4598552,NC
-0.175,4598553,NC
-0.18,4598554,NC
-0.175,4598555,NC
-0.17,4598556,NC
-0.17,4598557,NC
-0.17,4598558,NC
-0.165,4598559,NC
-0.17,4598560,NC
-0.175,4598561,NC
-0.18,4598562,NC
-0.165,4598563,NC
-0.165,4598564,NC
-0.16,4598565,NC
-0.185,4598566,NC
-0.195,4598567,NC
-0.19,4598568,NC
-0.2,4598569,NC
-0.17,4598570,NC
-0.16,4598571,NC
-0.16,4598572,NC
-0.15,4598573,NC
-0.175,4598574,NC
-0.18,4598575,NC
-0.185,4598576,NC
-0.175,4598577,NC
-0.185,4598578,NC
-0.18,4598579,NC
-0.175,4598580,NC
-0.165,4598581,NC
-0.15,4598582,NC
-0.155,4598583,NC
-0.17,4598584,NC
-0.175,4598585,NC
-0.165,4598586,NC
-0.175,4598587,NC
-0.165,4598588,NC
-0.175,4598589,NC
-0.175,4598590,NC
-0.175,4598591,NC
-0.16,4598592,NC
-0.16,4598593,NC
-0.175,4598594,NC
-0.18,4598595,NC
-0.175,4598596,NC
-0.165,4598597,NC
-0.165,4598598,NC
-0.15,4598599,NC
-0.15,4598600,NC
-0.155,4598601,NC
-0.14,4598602,NC
-0.105,4598603,NC
-0.08,4598604,NC
-0.065,4598605,NC
-0.05,4598606,NC
-0.045,4598607,NC
-0.025,4598608,NC
0.005,4598609,NC
0.045,4598610,NC
0.07,4598611,NC
0.09,4598612,NC
0.105,4598613,NC
0.105,4598614,NC
0.115,4598615,NC
0.135,4598616,NC
0.16,4598617,NC
0.175,4598618,NC
0.2,4598619,NC
0.19,4598620,NC
0.2,4598621,NC
0.185,4598622,NC
0.165,4598623,NC
0.16,4598624,NC
0.145,4598625,NC
0.14,4598626,NC
0.15,4598627,NC
0.165,4598628,NC
0.18,4598629,NC
0.17,4598630,NC
0.17,4598631,NC
0.175,4598632,NC
0.2,4598633,NC
0.23,4598634,NC
0.245,4598635,NC
0.27,4598636,NC
0.355,4598637,NC
0.545,4598638,NC
0.95,4598639,NC
1.485,4598640,NC
1.945,4598641,NC
2.18,4598642,NC
2.16,4598643,NC
2.045,4598644,NC
1.94,4598645,NC
1.9,4598646,B
1.84,4598647,NC
1.76,4598648,NC
1.665,4598649,NC
1.57,4598650,NC
1.495,4598651,NC
1.43,4598652,NC
1.355,4598653,NC
1.275,4598654,NC
1.185,4598655,NC
1.09,4598656,NC
0.99,4598657,NC
0.905,4598658,NC
0.785,4598659,NC
0.66,4598660,NC
0.53,4598661,NC
0.4,4598662,NC
0.26,4598663,NC
0.145,4598664,NC
-0.005,4598665,NC
-0.145,4598666,NC
-0.29,4598667,NC
-0.445,4598668,NC
-0.595,4598669,NC
-0.71,4598670,NC
