channel_0,sample #,type
1.2950071,19219432,N
1.2159897,19219433,NC
0.96576804,19219434,NC
0.6453087,19219435,NC
0.3292391,19219436,NC
0.021949274,19219437,NC
-0.16681448,19219438,NC
-0.25461155,19219439,NC
-0.30289996,19219440,NC
-0.33362895,19219441,NC
-0.34679854,19219442,NC
-0.3380188,19219443,NC
-0.3072898,19219444,NC
-0.2809507,19219445,NC
-0.29412028,19219446,NC
-0.31167966,19219447,NC
-0.32484925,19219448,NC
-0.3204594,19219449,NC
-0.31606954,19219450,NC
-0.31167966,19219451,NC
-0.3380188,19219452,NC
-0.34240866,19219453,NC
-0.3380188,19219454,NC
-0.3292391,19219455,NC
-0.3204594,19219456,NC
-0.3204594,19219457,NC
-0.3292391,19219458,NC
-0.3380188,19219459,NC
-0.34240866,19219460,NC
-0.3292391,19219461,NC
-0.31167966,19219462,NC
-0.30289996,19219463,NC
-0.3072898,19219464,NC
-0.32484925,19219465,NC
-0.3204594,19219466,NC
-0.29851013,19219467,NC
-0.272171,19219468,NC
-0.26778114,19219469,NC
-0.28534055,19219470,NC
-0.29412028,19219471,NC
-0.30289996,19219472,NC
-0.28973043,19219473,NC
-0.2590014,19219474,NC
-0.24583186,19219475,NC
-0.2633913,19219476,NC
-0.2809507,19219477,NC
-0.272171,19219478,NC
-0.2633913,19219479,NC
-0.24144201,19219480,NC
-0.23705216,19219481,NC
-0.22388259,19219482,NC
-0.23705216,19219483,NC
-0.22827244,19219484,NC
-0.21510288,19219485,NC
-0.19754346,19219486,NC
-0.1931536,19219487,NC
-0.1931536,19219488,NC
-0.1931536,19219489,NC
-0.18876375,19219490,NC
-0.17998403,19219491,NC
-0.16242462,19219492,NC
-0.14925507,19219493,NC
-0.14047535,19219494,NC
-0.14925507,19219495,NC
-0.13169564,19219496,NC
-0.10096666,19219497,NC
-0.079017386,19219498,NC
-0.079017386,19219499,NC
-0.06584782,19219500,NC
-0.061457966,19219501,NC
-0.04389855,19219502,NC
-0.035118837,19219503,NC
0.0043898546,19219504,NC
0.021949274,19219505,NC
0.026339127,19219506,NC
0.017559418,19219507,NC
0.026339127,19219508,NC
0.04389855,19219509,NC
0.070237674,19219510,NC
0.07462753,19219511,NC
0.06584782,19219512,NC
0.08340724,19219513,NC
0.09218694,19219514,NC
0.11413622,19219515,NC
0.11852608,19219516,NC
0.13169564,19219517,NC
0.12730578,19219518,NC
0.11852608,19219519,NC
0.11413622,19219520,NC
0.10096666,19219521,NC
0.10096666,19219522,NC
0.079017386,19219523,NC
0.039508693,19219524,NC
0.008779709,19219525,NC
-0.026339127,19219526,NC
-0.030728983,19219527,NC
-0.052678254,19219528,NC
-0.061457966,19219529,NC
-0.0965768,19219530,NC
-0.1360855,19219531,NC
-0.14925507,19219532,NC
-0.17120433,19219533,NC
-0.17998403,19219534,NC
-0.19754346,19219535,NC
-0.23266229,19219536,NC
-0.2502217,19219537,NC
-0.25461155,19219538,NC
-0.2633913,19219539,NC
-0.272171,19219540,NC
-0.272171,19219541,NC
-0.29412028,19219542,NC
-0.30289996,19219543,NC
-0.3072898,19219544,NC
-0.30289996,19219545,NC
-0.29412028,19219546,NC
-0.30289996,19219547,NC
-0.30289996,19219548,NC
-0.31606954,19219549,NC
-0.3072898,19219550,NC
-0.30289996,19219551,NC
-0.30289996,19219552,NC
-0.3072898,19219553,NC
-0.32484925,19219554,NC
-0.3380188,19219555,NC
