channel_0,sample #,type
1.4746498,19160898,N
1.3958967,19160899,NC
1.1117072,19160900,NC
0.7532093,19160901,NC
0.39033777,19160902,NC
0.075543806,19160903,NC
-0.10812486,19160904,NC
-0.1825229,19160905,NC
-0.20447242,19160906,NC
-0.17834431,19160907,NC
-0.1609607,19160908,NC
-0.1348379,19160909,NC
-0.12620144,19160910,NC
-0.13068038,19160911,NC
-0.14827478,19160912,NC
-0.15712991,19160913,NC
-0.15287489,19160914,NC
-0.15736434,19160915,NC
-0.15748546,19160916,NC
-0.17509295,19160917,NC
-0.18833208,19160918,NC
-0.19720294,19160919,NC
-0.17985076,19160920,NC
-0.17124306,19160921,NC
-0.16263792,19160922,NC
-0.17151915,19160923,NC
-0.17166108,19160924,NC
-0.15869278,19160925,NC
-0.150098,19160926,NC
-0.14150584,19160927,NC
-0.14165807,19160928,NC
-0.15492563,19160929,NC
-0.15945393,19160930,NC
-0.15524292,19160931,NC
-0.14229262,19160932,NC
-0.12934482,19160933,NC
-0.14699611,19160934,NC
-0.14279532,19160935,NC
-0.16482258,19160936,NC
-0.16062683,19160937,NC
-0.13894987,19160938,NC
-0.12164638,19160939,NC
-0.11745818,19160940,NC
-0.122014366,19160941,NC
-0.12657306,19160942,NC
-0.12239238,19160943,NC
-0.10073048,19160944,NC
-0.09655479,19160945,NC
-0.08801065,19160946,NC
-0.092581786,19160947,NC
-0.09715541,19160948,NC
-0.08861869,19160949,NC
-0.080084436,19160950,NC
-0.06718172,19160951,NC
-0.058652394,19160952,NC
-0.06323829,19160953,NC
-0.076568484,19160954,NC
-0.06367555,19160955,NC
-0.0333013,19160956,NC
-0.011671342,19160957,NC
-0.011898458,19160958,NC
-0.007757053,19160959,NC
-0.0254727,19160960,NC
0.004889488,19160961,NC
0.01776556,19160962,NC
0.039381117,19160963,NC
0.056623362,19160964,NC
0.060750436,19160965,NC
0.04302049,19160966,NC
0.060255643,19160967,NC
0.08185937,19160968,NC
0.099089816,19160969,NC
0.103205144,19160970,NC
0.11168906,19160971,NC
0.1114288,19160972,NC
0.1373918,19160973,NC
0.16335249,19160974,NC
0.18493995,19160975,NC
0.19341232,19160976,NC
0.18876961,19160977,NC
0.18412462,19160978,NC
0.20133202,19160979,NC
0.21853714,19160980,NC
0.23574,19160981,NC
0.23982783,19160982,NC
0.23080063,19160983,NC
0.21740024,19160984,NC
0.21711043,19160985,NC
0.22118932,19160986,NC
0.25149158,19160987,NC
0.2468242,19160988,NC
0.2377837,19160989,NC
0.21999916,19160990,NC
0.2153252,19160991,NC
0.2106491,19160992,NC
0.2015999,19160993,NC
0.17506482,19160994,NC
0.13978572,19160995,NC
0.11324637,19160996,NC
0.09107579,19160997,NC
0.0820159,19160998,NC
0.06421205,19160999,NC
0.03329328,19161000,NC
0.0023724213,19161001,NC
-0.028550506,19161002,NC
-0.046362728,19161003,NC
-0.055435166,19161004,NC
-0.05576779,19161005,NC
-0.06921526,19161006,NC
-0.08266476,19161007,NC
-0.11797095,19161008,NC
-0.13579543,19161009,NC
-0.13176727,19161010,NC
-0.11899928,19161011,NC
-0.13682976,19161012,NC
-0.16340414,19161013,NC
-0.17686763,19161014,NC
-0.18159127,19161015,NC
-0.17757499,19161016,NC
-0.1779316,19161017,NC
-0.187032,19161018,NC
-0.18739247,19161019,NC
-0.20086767,19161020,NC
-0.18811914,19161021,NC
-0.17974347,19161022,NC
-0.1713697,19161023,NC
-0.17611057,19161024,NC
-0.18085332,19161025,NC
-0.18996885,19161026,NC
-0.19471534,19161027,NC
-0.17323802,19161028,NC
-0.1692463,19161029,NC
-0.16962731,19161030,NC
-0.18312287,19161031,NC
-0.20099121,19161032,NC
-0.19700667,19161033,NC
-0.19739485,19161034,NC
-0.18467197,19161035,NC
-0.16320899,19161036,NC
-0.18108614,19161037,NC
-0.19022314,19161038,NC
-0.19062002,19161039,NC
-0.17353491,19161040,NC
-0.16082239,19161041,NC
-0.16122437,19161042,NC
-0.18348266,19161043,NC
-0.18388799,19161044,NC
-0.17992403,19161045,NC
-0.16721985,19161046,NC
-0.15888825,19161047,NC
-0.15930012,19161048,NC
-0.16408454,19161049,NC
-0.18198335,19161050,NC
-0.1780291,19161051,NC
-0.16970548,19161052,NC
-0.15264156,19161053,NC
-0.14869201,19161054,NC
-0.144744,19161055,NC
-0.14516844,19161056,NC
-0.13248163,19161057,NC
-0.11542536,19161058,NC
-0.09837063,19161059,NC
-0.09443015,19161060,NC
-0.09486208,19161061,NC
-0.090924546,19161062,NC
-0.08261752,19161063,NC
-0.061199136,19161064,NC
-0.048524052,19161065,NC
-0.057705034,19161066,NC
-0.05377462,19161067,NC
-0.062958404,19161068,NC
-0.067772634,19161069,NC
-0.06384635,19161070,NC
-0.04680864,19161071,NC
-0.055997852,19161072,NC
-0.06955934,19161073,NC
-0.09186399,19161074,NC
-0.1054281,19161075,NC
-0.09713884,19161076,NC
-0.09322178,19161077,NC
-0.11116065,19161078,NC
-0.14658451,19161079,NC
-0.16889682,19161080,NC
-0.1868394,19161081,NC
-0.19167046,19161082,NC
-0.19213177,19161083,NC
-0.18822332,19161084,NC
-0.188687,19161085,NC
-0.17603907,19161086,NC
-0.1371667,19161087,NC
-0.09392453,19161088,NC
-0.037570704,19161089,NC
-0.0074435845,19161090,NC
0.06202081,19161091,NC
0.10962945,19161092,NC
0.18783355,19161093,NC
0.26166564,19161094,NC
0.33112574,19161095,NC
0.38310108,19161096,NC
0.42633352,19161097,NC
0.46519402,19161098,NC
0.5127954,19161099,NC
0.5822504,19161100,NC
0.67793006,19161101,NC
0.756125,19161102,NC
0.82994807,19161103,NC
0.8993993,19161104,NC
0.9732206,19161105,NC
1.0732664,19161106,NC
1.1820533,19161107,NC
1.2471299,19161108,NC
1.2553836,19161109,NC
1.2636365,19161110,NC
1.2893721,19161111,F
1.3457035,19161112,NC
1.4195179,19161113,NC
1.4802185,19161114,NC
1.5234348,19161115,NC
1.5579083,19161116,NC
1.6186066,19161117,NC
1.6880461,19161118,NC
1.6919209,19161119,NC
1.5734088,19161120,NC
1.2888007,19161121,NC
0.9429989,19161122,NC
0.64090574,19161123,NC
0.39563397,19161124,NC
0.16784525,19161125,NC
-0.0031219982,19161126,NC
-0.13038056,19161127,NC
-0.21830136,19161128,NC
-0.288739,19161129,NC
-0.33732262,19161130,NC
-0.3465684,19161131,NC
-0.36892757,19161132,NC
-0.40440005,19161133,NC
-0.43550214,19161134,NC
-0.44475007,19161135,NC
-0.44525668,19161136,NC
-0.45013475,19161137,NC
-0.46375507,19161138,NC
-0.47737586,19161139,NC
-0.49536806,19161140,NC
-0.5046189,19161141,NC
-0.48764446,19161142,NC
-0.4881542,19161143,NC
-0.5017771,19161144,NC
-0.51102954,19161145,NC
-0.5290241,19161146,NC
-0.53390634,19161147,NC
-0.53004694,19161148,NC
-0.5130752,19161149,NC
-0.5179583,19161150,NC
-0.52284175,19161151,NC
-0.54520917,19161152,NC
-0.5544641,19161153,NC
-0.5549774,19161154,NC
-0.53363633,19161155,NC
-0.55163383,19161156,NC
-0.5740025,19161157,NC
-0.5920004,19161158,NC
-0.60125667,19161159,NC
-0.60177124,19161160,NC
-0.597915,19161161,NC
-0.61154264,19161162,NC
-0.6164285,19161163,NC
-0.6256855,19161164,NC
-0.63057166,19161165,NC
-0.62234503,19161166,NC
-0.61848944,19161167,NC
-0.6190049,19161168,NC
-0.6282623,19161169,NC
-0.6506324,19161170,NC
-0.65988976,19161171,NC
-0.6472925,19161172,NC
-0.6565499,19161173,NC
-0.6526944,19161174,NC
-0.6750645,19161175,NC
-0.68869275,19161176,NC
-0.6673534,19161177,NC
-0.6503849,19161178,NC
-0.62904537,19161179,NC
-0.6339314,19161180,NC
-0.63007534,19161181,NC
-0.6305901,19161182,NC
-0.617992,19161183,NC
-0.6053937,19161184,NC
-0.58842427,19161185,NC
-0.5714546,19161186,NC
-0.5763394,19161187,NC
-0.57248217,19161188,NC
-0.54677004,19161189,NC
-0.5385413,19161190,NC
-0.5171996,19161191,NC
-0.49148664,19161192,NC
-0.48762807,19161193,NC
-0.46628544,19161194,NC
-0.43620068,19161195,NC
-0.38863185,19161196,NC
-0.35854638,19161197,NC
-0.34594426,19161198,NC
-0.3377127,19161199,NC
-0.32510984,19161200,NC
-0.3081357,19161201,NC
-0.295532,19161202,NC
-0.27855694,19161203,NC
-0.26595238,19161204,NC
-0.2839439,19161205,NC
-0.29319307,19161206,NC
-0.29807082,19161207,NC
-0.2767225,19161208,NC
-0.26848644,19161209,NC
-0.2646208,19161210,NC
-0.27386743,19161211,NC
-0.28748444,19161212,NC
-0.28798807,19161213,NC
-0.30160388,19161214,NC
-0.28462264,19161215,NC
-0.28075352,19161216,NC
-0.28999662,19161217,NC
-0.30361,19161218,NC
-0.30848086,19161219,NC
-0.30898014,19161220,NC
-0.3007369,19161221,NC
-0.30997667,19161222,NC
-0.30610293,19161223,NC
-0.31534132,19161224,NC
-0.31146613,19161225,NC
-0.2901065,19161226,NC
-0.27748793,19161227,NC
-0.27798143,19161228,NC
-0.28721598,19161229,NC
-0.30519164,19161230,NC
-0.29256994,19161231,NC
-0.2930602,19161232,NC
-0.28043684,19161233,NC
-0.2765545,19161234,NC
-0.29452595,19161235,NC
-0.3124965,19161236,NC
-0.31735337,19161237,NC
-0.30909657,19161238,NC
-0.30083883,19161239,NC
-0.2838383,19161240,NC
-0.29743338,19161241,NC
-0.31102744,19161242,NC
-0.3158787,19161243,NC
-0.30324528,19161244,NC
-0.28186893,19161245,NC
-0.28234628,19161246,NC
-0.29156446,19161247,NC
-0.31389442,19161248,NC
-0.3056268,19161249,NC
-0.27987438,19161250,NC
-0.26286274,19161251,NC
-0.25896284,19161252,NC
-0.2638037,19161253,NC
-0.25553063,19161254,NC
-0.22977273,19161255,NC
-0.1777881,19161256,NC
-0.13017324,19161257,NC
-0.104411885,19161258,NC
-0.065536566,19161259,NC
-0.0048053935,19161260,NC
0.051556043,19161261,NC
0.12103148,19161262,NC
0.18613721,19161263,NC
0.25561514,19161264,NC
0.31635243,19161265,NC
0.377091,19161266,NC
0.45968544,19161267,NC
0.53791034,19161268,NC
0.6117655,19161269,NC
0.70747674,19161270,NC
0.7769636,19161271,NC
0.8333391,19161272,NC
0.88534504,19161273,NC
0.9417231,19161274,NC
1.0286993,19161275,NC
1.093822,19161276,V
