channel_0,sample #,type
1.5759702,18987677,N
1.4746691,18987678,NC
1.2330585,18987679,NC
0.92167264,18987680,NC
0.59549564,18987681,NC
0.29532412,18987682,NC
0.10962682,18987683,NC
0.011273233,18987684,NC
-0.031432804,18987685,NC
-0.07487673,18987686,NC
-0.119326234,18987687,NC
-0.1381944,18987688,NC
-0.10134634,18987689,NC
-0.06711095,18987690,NC
-0.06042061,18987691,NC
-0.097710006,18987692,NC
-0.11664651,18987693,NC
-0.13202424,18987694,NC
-0.14136831,18987695,NC
-0.12649184,18987696,NC
-0.12461284,18987697,NC
-0.117696494,18987698,NC
-0.13903634,18987699,NC
-0.14135714,18987700,NC
-0.1406762,18987701,NC
-0.12937513,18987702,NC
-0.11710512,18987703,NC
-0.11271503,18987704,NC
-0.13488652,18987705,NC
-0.13383573,18987706,NC
-0.14554387,18987707,NC
-0.13630274,18987708,NC
-0.10887874,18987709,NC
-0.103754945,18987710,NC
-0.13338357,18987711,NC
-0.13712749,18987712,NC
-0.14866556,18987713,NC
-0.12224233,18987714,NC
-0.10895695,18987715,NC
-0.12247741,18987716,NC
-0.14537069,18987717,NC
-0.14077085,18987718,NC
-0.14538099,18987719,NC
-0.09971464,18987720,NC
-0.091861285,18987721,NC
-0.08967165,18987722,NC
-0.08916608,18987723,NC
-0.10730727,18987724,NC
-0.09974598,18987725,NC
-0.08194628,18987726,NC
-0.062226266,18987727,NC
-0.05913201,18987728,NC
-0.07179091,18987729,NC
-0.07264639,18987730,NC
-0.066462465,18987731,NC
-0.04830581,18987732,NC
-0.010886455,18987733,NC
0.0054295603,18987734,NC
0.0015812296,18987735,NC
0.006144792,18987736,NC
0.01949072,18987737,NC
0.028952153,18987738,NC
0.0656928,18987739,NC
0.079912394,18987740,NC
0.07867087,18987741,NC
0.092401184,18987742,NC
0.0909614,18987743,NC
0.12094974,18987744,NC
0.13630433,18987745,NC
0.1346927,18987746,NC
0.13784347,18987747,NC
0.1399002,18987748,NC
0.15706503,18987749,NC
0.18919528,18987750,NC
0.21303909,18987751,NC
0.2370244,18987752,NC
0.23417215,18987753,NC
0.2363103,18987754,NC
0.25516063,18987755,NC
0.28633606,18987756,NC
0.29347596,18987757,NC
0.29162586,18987758,NC
0.28801015,18987759,NC
0.28633332,18987760,NC
0.2974168,18987761,NC
0.31372982,18987762,NC
0.32177913,18987763,NC
0.31938976,18987764,NC
0.29231367,18987765,NC
0.27837467,18987766,NC
0.2669114,18987767,NC
0.27229217,18987768,NC
0.28947416,18987769,NC
0.28258824,18987770,NC
0.23427245,18987771,NC
0.21850537,18987772,NC
0.19820212,18987773,NC
0.20355308,18987774,NC
0.17954879,18987775,NC
0.15260454,18987776,NC
0.13540843,18987777,NC
0.10355235,18987778,NC
0.08636113,18987779,NC
0.05856563,18987780,NC
0.047822997,18987781,NC
0.026665028,18987782,NC
-0.0008318038,18987783,NC
-0.030940974,18987784,NC
-0.037540603,18987785,NC
-0.042034157,18987786,NC
-0.0377583,18987787,NC
-0.060471043,18987788,NC
-0.075416856,18987789,NC
-0.096707724,18987790,NC
-0.100334175,18987791,NC
-0.093843356,18987792,NC
-0.08941127,18987793,NC
-0.083478175,18987794,NC
-0.09692358,18987795,NC
-0.11223466,18987796,NC
-0.121670656,18987797,NC
-0.10681978,18987798,NC
-0.11961732,18987799,NC
-0.12256534,18987800,NC
-0.13686661,18987801,NC
-0.14541894,18987802,NC
-0.13998085,18987803,NC
-0.13117202,18987804,NC
-0.11484324,18987805,NC
-0.11214536,18987806,NC
-0.12157914,18987807,NC
-0.13149881,18987808,NC
-0.13621351,18987809,NC
-0.12463829,18987810,NC
-0.11019343,18987811,NC
-0.1095686,18987812,NC
-0.12376142,18987813,NC
-0.13654763,18987814,NC
-0.12933722,18987815,NC
-0.1287113,18987816,NC
-0.12417807,18987817,NC
-0.1283303,18987818,NC
-0.13698362,18987819,NC
-0.15072429,18987820,NC
-0.14773197,18987821,NC
-0.13426614,18987822,NC
-0.10615147,18987823,NC
-0.117005795,18987824,NC
-0.13552062,18987825,NC
-0.14158386,18987826,NC
-0.13405722,18987827,NC
-0.11870593,18987828,NC
-0.116724424,18987829,NC
-0.120575614,18987830,NC
-0.12636428,18987831,NC
-0.15106249,18987832,NC
-0.1386946,18987833,NC
-0.12771358,18987834,NC
-0.11613337,18987835,NC
-0.11673964,18987836,NC
-0.13055123,18987837,NC
-0.1312366,18987838,NC
-0.1297959,18987839,NC
-0.1153785,18987840,NC
-0.10083121,18987841,NC
-0.10266098,18987842,NC
-0.09600573,18987843,NC
-0.105252475,18987844,NC
-0.080415644,18987845,NC
-0.06887015,18987846,NC
-0.05552303,18987847,NC
-0.05839116,18987848,NC
-0.072009034,18987849,NC
-0.07946991,18987850,NC
-0.07622753,18987851,NC
-0.04606612,18987852,NC
-0.030956665,18987853,NC
-0.03167755,18987854,NC
-0.052847892,18987855,NC
-0.057556797,18987856,NC
-0.059825998,18987857,NC
-0.054455433,18987858,NC
-0.043463312,18987859,NC
-0.060340915,18987860,NC
-0.07710427,18987861,NC
-0.090004936,18987862,NC
-0.0904131,18987863,NC
-0.07122605,18987864,NC
-0.09050146,18987865,NC
-0.08925452,18987866,NC
-0.109349795,18987867,NC
-0.13267276,18987868,NC
-0.13300118,18987869,NC
-0.1295768,18987870,NC
-0.12183732,18987871,NC
-0.14183028,18987872,NC
-0.16526115,18987873,NC
-0.17985381,18987874,NC
-0.1848845,18987875,NC
-0.17980835,18987876,NC
-0.17985398,18987877,NC
-0.17374863,18987878,NC
-0.19763316,18987879,NC
-0.20629387,18987880,NC
-0.19943401,18987881,NC
-0.19417706,18987882,NC
-0.1902031,18987883,NC
-0.19423044,18987884,NC
-0.22221184,18987885,NC
-0.23002547,18987886,NC
-0.20455016,18987887,NC
-0.19095588,18987888,NC
-0.17236134,18987889,NC
-0.15489872,18987890,NC
-0.14122646,18987891,NC
-0.12586729,18987892,NC
-0.08554006,18987893,NC
-0.015981242,18987894,NC
0.06380348,18987895,NC
0.09123129,18987896,NC
