channel_0,sample #,type
2.1214807,21530023,N
1.9844797,21530024,NC
1.7498146,21530025,NC
1.4052774,21530026,NC
0.99970025,21530027,NC
0.56563765,21530028,NC
0.12750588,21530029,NC
-0.2929922,21530030,NC
-0.6809356,21530031,NC
-1.0159776,21530032,NC
-1.2737023,21530033,NC
-1.4337628,21530034,NC
-1.4853077,21530035,NC
-1.440545,21530036,NC
-1.3360987,21530037,NC
-1.2099493,21530038,NC
-1.093295,21530039,NC
-1.0146211,21530040,NC
-0.9793536,21530041,NC
-0.9793536,21530042,NC
-1.0064825,21530043,NC
-1.0403936,21530044,NC
-1.068879,21530045,NC
-1.0919385,21530046,NC
-1.105503,21530047,NC
-1.1068594,21530048,NC
-1.1041465,21530049,NC
-1.0960078,21530050,NC
-1.0865128,21530051,NC
-1.0878692,21530052,NC
-1.0960078,21530053,NC
-1.1122853,21530054,NC
-1.1326318,21530055,NC
-1.1475528,21530056,NC
-1.157048,21530057,NC
-1.1597608,21530058,NC
-1.154335,21530059,NC
-1.1448399,21530060,NC
-1.1367012,21530061,NC
-1.1326318,21530062,NC
-1.1367012,21530063,NC
-1.1502657,21530064,NC
-1.1638302,21530065,NC
-1.169256,21530066,NC
-1.169256,21530067,NC
-1.159761,21530068,NC
-1.1475527,21530069,NC
-1.1407706,21530070,NC
-1.1272061,21530071,NC
-1.1163545,21530072,NC
-1.1014336,21530073,NC
-1.0783741,21530074,NC
-1.056671,21530075,NC
-1.032255,21530076,NC
-1.007839,21530077,NC
-0.98749226,21530078,NC
-0.9712149,21530079,NC
-0.9535811,21530080,NC
-0.93459094,21530081,NC
-0.9101749,21530082,NC
-0.87626374,21530083,NC
-0.83828324,21530084,NC
-0.794877,21530085,NC
-0.7568965,21530086,NC
-0.7229854,21530087,NC
-0.6904307,21530088,NC
-0.66194534,21530089,NC
-0.62803423,21530090,NC
-0.59276664,21530091,NC
-0.5520733,21530092,NC
-0.5127364,21530093,NC
-0.47339943,21530094,NC
-0.4340625,21530095,NC
-0.40150782,21530096,NC
-0.36352736,21530097,NC
-0.322834,21530098,NC
-0.27671486,21530099,NC
-0.22381349,21530100,NC
-0.17091213,21530101,NC
-0.12208009,21530102,NC
-0.08274317,21530103,NC
-0.054257814,21530104,NC
-0.0298418,21530105,NC
-0.006782227,21530106,NC
0.021703126,21530107,NC
0.056970708,21530108,NC
0.09088184,21530109,NC
0.1193672,21530110,NC
0.13971388,21530111,NC
0.15463477,21530112,NC
0.15870412,21530113,NC
0.16548634,21530114,NC
0.16684279,21530115,NC
0.16277345,21530116,NC
0.16548635,21530117,NC
0.16277346,21530118,NC
0.15734766,21530119,NC
0.149209,21530120,NC
0.1342881,21530121,NC
0.11936719,21530122,NC
0.10715918,21530123,NC
0.092238285,21530124,NC
0.07596094,21530125,NC
0.051544923,21530126,NC
0.018990237,21530127,NC
-0.016277345,21530128,NC
-0.058327153,21530129,NC
-0.09630762,21530130,NC
-0.12479298,21530131,NC
-0.15056545,21530132,NC
-0.1641299,21530133,NC
-0.18040724,21530134,NC
-0.20075393,21530135,NC
-0.22788283,21530136,NC
-0.2631504,21530137,NC
-0.3011309,21530138,NC
-0.34182423,21530139,NC
-0.37302247,21530140,NC
-0.39879495,21530141,NC
-0.4150723,21530142,NC
-0.43134964,21530143,NC
-0.44898343,21530144,NC
-0.46661723,21530145,NC
-0.48560745,21530146,NC
-0.50324124,21530147,NC
-0.5140928,21530148,NC
-0.5222315,21530149,NC
-0.53172666,21530150,NC
-0.5344395,21530151,NC
-0.54257816,21530152,NC
-0.55749905,21530153,NC
-0.5710635,21530154,NC
-0.584628,21530155,NC
-0.58734083,21530156,NC
-0.5778457,21530157,NC
-0.56021196,21530158,NC
-0.53715235,21530159,NC
-0.5154493,21530160,NC
-0.49238968,21530161,NC
-0.4639043,21530162,NC
-0.43134964,21530163,NC
-0.39879492,21530164,NC
-0.3675967,21530165,NC
-0.3377549,21530166,NC
-0.31198245,21530167,NC
-0.28892288,21530168,NC
-0.2685762,21530169,NC
-0.25501174,21530170,NC
-0.24687305,21530171,NC
-0.24687305,21530172,NC
-0.2563682,21530173,NC
-0.27671486,21530174,NC
-0.30520022,21530175,NC
-0.34725,21530176,NC
-0.39879495,21530177,NC
-0.459835,21530178,NC
-0.52358794,21530179,NC
-0.5792022,21530180,NC
-0.621252,21530181,NC
-0.6470245,21530182,NC
-0.6687276,21530183,NC
-0.6809356,21530184,NC
-0.697213,21530185,NC
-0.7107774,21530186,NC
-0.7202725,21530187,NC
-0.7284112,21530188,NC
-0.73112404,21530189,NC
-0.73112404,21530190,NC
-0.7270547,21530191,NC
-0.7256983,21530192,NC
-0.72434187,21530193,NC
-0.7297677,21530194,NC
-0.73519343,21530195,NC
-0.73654985,21530196,NC
-0.73519343,21530197,NC
-0.7297676,21530198,NC
-0.7297676,21530199,NC
-0.7392627,21530200,NC
-0.7596094,21530201,NC
-0.7921641,21530202,NC
-0.822006,21530203,NC
-0.8423526,21530204,NC
-0.83557034,21530205,NC
-0.794877,21530206,NC
-0.709421,21530207,NC
-0.55749905,21530208,NC
-0.33504203,21530209,NC
-0.031198233,21530210,NC
0.33504203,21530211,NC
0.73383695,21530212,NC
1.132632,21530213,NC
1.504298,21530214,NC
1.829845,21530215,NC
2.0916388,21530216,NC
2.2788284,21530217,NC
2.3642845,21530218,F
2.3452942,21530219,NC
2.2191446,21530220,NC
1.991262,21530221,NC
1.690131,21530222,NC
1.3320293,21530223,NC
0.9345909,21530224,NC
0.5195186,21530225,NC
0.10851564,21530226,NC
-0.27671486,21530227,NC
-0.596836,21530228,NC
-0.8274317,21530229,NC
-0.9657891,21530230,NC
-1.020047,21530231,NC
-1.0268292,21530232,NC
-1.0159776,21530233,NC
-1.005126,21530234,NC
-1.0119083,21530235,NC
-1.0308985,21530236,NC
-1.0580275,21530237,NC
-1.090582,21530238,NC
-1.1217803,21530239,NC
-1.1461964,21530240,NC
-1.1638302,21530241,NC
-1.1760383,21530242,NC
-1.1801075,21530243,NC
-1.181464,21530244,NC
-1.1882463,21530245,NC
-1.1977413,21530246,NC
-1.2153751,21530247,NC
-1.2343653,21530248,NC
-1.2506427,21530249,NC
-1.2614942,21530250,NC
-1.2614942,21530251,NC
-1.2560685,21530252,NC
-1.2506427,21530253,NC
-1.2479297,21530254,NC
-1.2492862,21530255,NC
-1.2587813,21530256,NC
-1.2655636,21530257,NC
-1.2750586,21530258,NC
-1.279128,21530259,NC
-1.2818409,21530260,NC
-1.2859102,21530261,NC
-1.2845538,21530262,NC
-1.2845538,21530263,NC
-1.2804844,21530264,NC
-1.2723458,21530265,NC
-1.2601378,21530266,NC
-1.2479298,21530267,NC
-1.2289395,21530268,NC
-1.2126622,21530269,NC
-1.1990978,21530270,NC
-1.1882461,21530271,NC
-1.1787511,21530272,NC
-1.166543,21530273,NC
-1.1448399,21530274,NC
-1.1190674,21530275,NC
-1.0892255,21530276,NC
-1.053958,21530277,NC
-1.0254728,21530278,NC
-0.9942745,21530279,NC
-0.9712149,21530280,NC
-0.94544244,21530281,NC
-0.916957,21530282,NC
-0.8816894,21530283,NC
-0.8396397,21530284,NC
-0.8003028,21530285,NC
