channel_0,sample #,type
1.5175772,29992291,N
1.500888,29992292,NC
1.4550375,29992293,NC
1.3703048,29992294,NC
1.2284641,29992295,NC
1.0343754,29992296,NC
0.80383486,29992297,NC
0.5574987,29992298,NC
0.3293892,29992299,NC
0.14259274,29992300,NC
0.004399836,29992301,NC
-0.08640462,29992302,NC
-0.1431865,29992303,NC
-0.18295686,29992304,NC
-0.21422128,29992305,NC
-0.24791546,29992306,NC
-0.2840394,29992307,NC
-0.31894794,29992308,NC
-0.35142592,29992309,NC
-0.3729678,29992310,NC
-0.3872189,29992311,NC
-0.39417914,29992312,NC
-0.39384857,29992313,NC
-0.3959478,29992314,NC
-0.40047687,29992315,NC
-0.4050056,29992316,NC
-0.41317928,29992317,NC
-0.4213526,29992318,NC
-0.419805,29992319,NC
-0.41947216,29992320,NC
-0.4154938,29992321,NC
-0.41030005,29992322,NC
-0.41482663,29992323,NC
-0.42056802,29992324,NC
-0.42873934,29992325,NC
-0.43934047,29992326,NC
-0.44386595,29992327,NC
-0.44596106,29992328,NC
-0.4480559,29992329,NC
-0.44772035,29992330,NC
-0.4485996,29992331,NC
-0.44461837,29992332,NC
-0.43942183,29992333,NC
-0.4378703,29992334,NC
-0.43753362,29992335,NC
-0.4432721,29992336,NC
-0.44901043,29992337,NC
-0.45353347,29992338,NC
-0.4580563,29992339,NC
-0.46136388,29992340,NC
-0.46710142,29992341,NC
-0.47162375,29992342,NC
-0.47250068,29992343,NC
-0.47459257,29992344,NC
-0.4766842,29992345,NC
-0.48120594,29992346,NC
-0.48572755,29992347,NC
-0.4951093,29992348,NC
-0.50570595,29992349,NC
-0.5175176,29992350,NC
-0.5354046,29992351,NC
-0.55207634,29992352,NC
-0.56388766,29992353,NC
-0.57448393,29992354,NC
-0.5838649,29992355,NC
-0.5883856,29992356,NC
-0.5977664,29992357,NC
-0.6047171,29992358,NC
-0.61166763,29992359,NC
-0.6259087,29992360,NC
-0.6401496,29992361,NC
-0.65803576,29992362,NC
-0.6771369,29992363,NC
-0.69502306,29992364,NC
-0.7141242,29992365,NC
-0.7283649,29992366,NC
-0.7389605,29992367,NC
-0.7434807,29992368,NC
-0.73949534,29992369,NC
-0.7379401,29992370,NC
-0.73759997,29992371,NC
-0.73969,29992372,NC
-0.7466403,29992373,NC
-0.7535908,29992374,NC
-0.7629715,29992375,NC
