channel_0,sample #,type
2.5840425,21847573,N
2.4590735,21847574,NC
2.2171957,21847575,NC
1.8417535,21847576,NC
1.372773,21847577,NC
0.8709658,21847578,NC
0.386529,21847579,NC
-0.053037275,21847580,NC
-0.40898785,21847581,NC
-0.6774861,21847582,NC
-0.84334666,21847583,NC
-0.9007426,21847584,NC
-0.8629449,21847585,NC
-0.759223,21847586,NC
-0.6359696,21847587,NC
-0.52713734,21847588,NC
-0.46098575,21847589,NC
-0.44089094,21847590,NC
-0.456165,21847591,NC
-0.5008475,21847592,NC
-0.542598,21847593,NC
-0.5792844,21847594,NC
-0.59405607,21847595,NC
-0.5991005,21847596,NC
-0.5775965,21847597,NC
-0.56210214,21847598,NC
-0.55713785,21847599,NC
-0.5547636,21847600,NC
-0.5681165,21847601,NC
-0.5870756,21847602,NC
-0.5907357,21847603,NC
-0.5988799,21847604,NC
-0.6050018,21847605,NC
-0.606674,21847606,NC
-0.61119354,21847607,NC
-0.6199925,21847608,NC
-0.61526,21847609,NC
-0.62139344,21847610,NC
-0.6135874,21847611,NC
-0.5981703,21847612,NC
-0.5937888,21847613,NC
-0.58899146,21847614,NC
-0.5873936,21847615,NC
-0.59097004,21847616,NC
-0.5872745,21847617,NC
-0.5790558,21847618,NC
-0.56791705,21847619,NC
-0.5484845,21847620,NC
-0.5198625,21847621,NC
-0.49437377,21847622,NC
-0.47034115,21847623,NC
-0.45292333,21847624,NC
-0.44584465,21847625,NC
-0.43155763,21847626,NC
-0.4143524,21847627,NC
-0.38939115,21847628,NC
-0.36266008,21847629,NC
-0.33034268,21847630,NC
-0.2979469,21847631,NC
-0.2735298,21847632,NC
-0.24251993,21847633,NC
-0.202497,21847634,NC
-0.15972413,21847635,NC
-0.10806894,21847636,NC
-0.059987035,21847637,NC
-0.014630469,21847638,NC
0.026942328,21847639,NC
0.070152275,21847640,NC
0.106481604,21847641,NC
0.1385904,21847642,NC
0.17809707,21847643,NC
0.22893167,21847644,NC
0.2846798,21847645,NC
0.3364697,21847646,NC
0.3910648,21847647,NC
0.44510573,21847648,NC
0.4910861,21847649,NC
0.5309294,21847650,NC
0.57173574,21847651,NC
0.61710566,21847652,NC
0.657941,21847653,NC
0.70074505,21847654,NC
0.74158955,21847655,NC
0.7727432,21847656,NC
0.7955289,21847657,NC
0.83056,21847658,NC
0.85354275,21847659,NC
0.876939,21847660,NC
0.8986673,21847661,NC
0.9101799,21847662,NC
0.9104277,21847663,NC
0.90929914,21847664,NC
0.89743596,21847665,NC
0.8836044,21847666,NC
0.87380046,21847667,NC
0.865228,21847668,NC
0.8625874,21847669,NC
0.86064684,21847670,NC
0.8432577,21847671,NC
0.8274393,21847672,NC
0.7998105,21847673,NC
0.7694561,21847674,NC
0.73415405,21847675,NC
0.702638,21847676,NC
0.67393476,21847677,NC
0.6439605,21847678,NC
0.6177065,21847679,NC
0.5919381,21847680,NC
0.57063407,21847681,NC
0.55315214,21847682,NC
0.5293362,21847683,NC
0.5151411,21847684,NC
0.49623784,21847685,NC
0.47009382,21847686,NC
0.4410885,21847687,NC
0.40396756,21847688,NC
0.3563444,21847689,NC
0.3184985,21847690,NC
0.28401622,21847691,NC
0.2615522,21847692,NC
0.2493685,21847693,NC
0.23944263,21847694,NC
0.22904693,21847695,NC
0.2165058,21847696,NC
0.2071408,21847697,NC
0.18904644,21847698,NC
0.1818341,21847699,NC
0.1728427,21847700,NC
