channel_0,sample #,type
2.2899268,21663755,N
2.2746606,21663756,NC
2.0558455,21663757,NC
1.7098119,21663758,NC
1.2874477,21663759,NC
0.83963984,21663760,NC
0.4070981,21663761,NC
0.005088726,21663762,NC
-0.33585596,21663763,NC
-0.6157359,21663764,NC
-0.8498173,21663765,NC
-0.99230164,21663766,NC
-1.0737212,21663767,NC
-1.0482776,21663768,NC
-0.95668054,21663769,NC
-0.83963984,21663770,NC
-0.73277664,21663771,NC
-0.6411795,21663772,NC
-0.5902922,21663773,NC
-0.5902922,21663774,NC
-0.5852035,21663775,NC
-0.6106472,21663776,NC
-0.6411795,21663777,NC
-0.6564457,21663778,NC
-0.6564457,21663779,NC
-0.6717119,21663780,NC
-0.6717119,21663781,NC
-0.6717119,21663782,NC
-0.6768006,21663783,NC
-0.6717119,21663784,NC
-0.6920668,21663785,NC
-0.7022442,21663786,NC
-0.71242166,21663787,NC
-0.7175104,21663788,NC
-0.72768784,21663789,NC
-0.73277664,21663790,NC
-0.72768784,21663791,NC
-0.72768784,21663792,NC
-0.7225991,21663793,NC
-0.7175104,21663794,NC
-0.72768784,21663795,NC
-0.70733297,21663796,NC
-0.7225991,21663797,NC
-0.71242166,21663798,NC
-0.7022442,21663799,NC
-0.7022442,21663800,NC
-0.70733297,21663801,NC
-0.70733297,21663802,NC
-0.6971555,21663803,NC
-0.6971555,21663804,NC
-0.6666231,21663805,NC
-0.66153437,21663806,NC
-0.6411795,21663807,NC
-0.63100207,21663808,NC
-0.62082464,21663809,NC
-0.60046965,21663810,NC
-0.5902922,21663811,NC
-0.5750261,21663812,NC
-0.5394049,21663813,NC
-0.5037839,21663814,NC
-0.47325155,21663815,NC
-0.4427192,21663816,NC
-0.41727555,21663817,NC
-0.41218683,21663818,NC
-0.4020094,21663819,NC
-0.3918319,21663820,NC
-0.37147704,21663821,NC
-0.3511221,21663822,NC
-0.31041232,21663823,NC
-0.27987996,21663824,NC
-0.23917013,21663825,NC
-0.19846031,21663826,NC
-0.16792798,21663827,NC
-0.13230687,21663828,NC
-0.122129425,21663829,NC
-0.0966858,21663830,NC
-0.07124217,21663831,NC
-0.025443632,21663832,NC
0.015266178,21663833,NC
0.04070981,21663834,NC
0.07124217,21663835,NC
0.10177453,21663836,NC
0.11195198,21663837,NC
0.14757305,21663838,NC
