channel_0,sample #,type
1.7254791,18857349,N
1.6952921,18857350,NC
1.5373265,18857351,NC
1.2010827,18857352,NC
0.799246,18857353,NC
0.44281968,18857354,NC
0.20076026,18857355,NC
0.079795174,18857356,NC
0.046287112,18857357,NC
0.054825634,18857358,NC
0.06504593,18857359,NC
0.068538666,18857360,NC
0.07707692,18857361,NC
0.08729695,18857362,NC
0.10256247,18857363,NC
0.09932738,18857364,NC
0.08768284,18857365,NC
0.062583275,18857366,NC
0.03916549,18857367,NC
0.014065736,18857368,NC
-0.007670378,18857369,NC
-0.037815925,18857370,NC
-0.067961566,18857371,NC
-0.0930617,18857372,NC
-0.09797953,18857373,NC
-0.08776065,18857374,NC
-0.07754187,18857375,NC
-0.07741439,18857376,NC
-0.08737822,18857377,NC
-0.093978405,18857378,NC
-0.090487495,18857379,NC
-0.07858735,18857380,NC
-0.06500544,18857381,NC
-0.059832957,18857382,NC
-0.052978717,18857383,NC
-0.04107898,18857384,NC
-0.0073150666,18857385,NC
0.039903678,18857386,NC
0.08712232,18857387,NC
0.119204044,18857388,NC
0.12605765,18857389,NC
0.11945623,18857390,NC
0.106127225,18857391,NC
0.09111625,18857392,NC
0.06937768,18857393,NC
0.040911548,18857394,NC
0.02758211,18857395,NC
0.041162442,18857396,NC
0.06147013,18857397,NC
0.061595302,18857398,NC
0.03312862,18857399,NC
-0.0020656446,18857400,NC
-0.01707761,18857401,NC
-0.008543547,18857402,NC
0.015127206,18857403,NC
0.033752248,18857404,NC
0.0355585,18857405,NC
0.02559157,18857406,NC
0.010578925,18857407,NC
0.0073392345,18857408,NC
0.020918101,18857409,NC
0.046269923,18857410,NC
0.06321229,18857411,NC
0.07006334,18857412,NC
0.0752324,18857413,NC
0.095538154,18857414,NC
0.122571245,18857415,NC
0.14455864,18857416,NC
0.15645468,18857417,NC
0.15994129,18857418,NC
0.1667915,18857419,NC
0.17532346,18857420,NC
0.19226465,18857421,NC
0.21761504,18857422,NC
0.24296531,18857423,NC
0.26663357,18857424,NC
0.28357428,18857425,NC
0.3055604,18857426,NC
0.3510926,18857427,NC
0.39998838,18857428,NC
0.44215658,18857429,NC
0.43723238,18857430,NC
0.40708005,18857431,NC
0.38533688,18857432,NC
0.39723098,18857433,NC
0.43435293,18857434,NC
0.4647473,18857435,NC
0.4615042,18857436,NC
0.42966923,18857437,NC
0.3793336,18857438,NC
0.33572525,18857439,NC
0.3072536,18857440,NC
0.2905549,18857441,NC
0.28226542,18857442,NC
0.284067,18857443,NC
0.29595965,18857444,NC
0.30953404,18857445,NC
0.3130171,18857446,NC
0.2946357,18857447,NC
0.26784492,18857448,NC
0.23600835,18857449,NC
0.23612711,18857450,NC
0.24970068,18857451,NC
0.26663786,18857452,NC
0.24993756,18857453,NC
0.20969097,18857454,NC
0.16944425,18857455,NC
0.15610726,18857456,NC
0.16968003,18857457,NC
0.18661638,18857458,NC
0.18168831,18857459,NC
0.15825957,18857460,NC
0.13651255,18857461,NC
0.13158406,18857462,NC
0.14179224,18857463,NC
0.14863653,18857464,NC
0.14875323,18857465,NC
0.13373297,18857466,NC
0.12207631,18857467,NC
0.11378324,18857468,NC
0.11894496,18857469,NC
0.1156972,18857470,NC
0.10403995,18857471,NC
0.08733696,18857472,NC
0.068951964,18857473,NC
0.058976147,18857474,NC
0.059091397,18857475,NC
0.07266143,18857476,NC
0.07277638,18857477,NC
0.049345035,18857478,NC
0.015822344,18857479,NC
0.0024819076,18857480,NC
0.009323729,18857481,NC
0.01784727,18857482,NC
0.014597588,18857483,NC
0.0029384186,18857484,NC
-0.0036752992,18857485,NC
-0.0052435673,18857486,NC
0.011688553,18857487,NC
0.033666123,18857488,NC
0.04891607,18857489,NC
0.042301588,18857490,NC
0.025595749,18857491,NC
0.01898096,18857492,NC
0.030866554,18857493,NC
0.0528432,18857494,NC
0.07650155,18857495,NC
0.093432285,18857496,NC
0.11709032,18857497,NC
0.13906634,18857498,NC
0.16440593,18857499,NC
0.17965417,18857500,NC
0.1965841,18857501,NC
0.20510456,18857502,NC
0.21026112,18857503,NC
0.19691698,18857504,NC
0.17011774,18857505,NC
0.14163643,18857506,NC
0.11988248,18857507,NC
0.11158329,18857508,NC
0.098238334,18857509,NC
0.08489322,18857510,NC
0.069866076,18857511,NC
0.061566237,18857512,NC
0.054948106,18857513,NC
0.046647936,18857514,NC
0.029938268,18857515,NC
0.009864699,18857516,NC
-0.0017996989,18857517,NC
0.005036278,18857518,NC
0.025327027,18857519,NC
0.047299474,18857520,NC
0.067589894,18857521,NC
0.09628948,18857522,NC
0.1350801,18857523,NC
0.19405295,18857524,NC
0.2513438,18857525,NC
0.29686135,18857526,NC
0.32892382,18857527,NC
0.36771363,18857528,NC
0.44014055,18857529,NC
0.5243404,18857530,NC
0.60013074,18857531,NC
0.6439655,18857532,NC
0.6793906,18857533,NC
0.72827053,18857534,NC
0.80742395,18857535,NC
0.8848953,18857536,NC
0.94722974,18857537,NC
0.98938155,18857538,NC
1.04667,18857539,NC
1.1544142,18857540,NC
1.3227055,18857541,NC
1.5414526,18857542,NC
1.7484266,18857543,NC
1.9150355,18857544,NC
2.00596,18857545,NC
2.0682929,18857546,NC
2.110443,18857547,F
2.1307287,18857548,NC
2.053466,18857549,NC
1.8214715,18857550,NC
1.456609,18857551,NC
1.0463359,18857552,NC
0.6848369,18857553,NC
0.42088604,18857554,NC
0.24607393,18857555,NC
0.12339951,18857556,NC
0.015861709,18857557,NC
-0.093358144,18857558,NC
-0.18575948,18857559,NC
-0.24284181,18857560,NC
-0.2646051,18857561,NC
-0.27964112,18857562,NC
-0.30308664,18857563,NC
-0.3248505,18857564,NC
-0.3331596,18857565,NC
-0.3246502,18857566,NC
-0.3262322,18857567,NC
-0.32781437,18857568,NC
-0.35294288,18857569,NC
-0.38479906,18857570,NC
-0.421701,18857571,NC
-0.4417845,18857572,NC
-0.4450495,18857573,NC
-0.44999653,18857574,NC
-0.45662567,18857575,NC
-0.46830052,18857576,NC
-0.46988443,18857577,NC
-0.47315034,18857578,NC
-0.47809833,18857579,NC
-0.4965015,18857580,NC
-0.51322293,18857581,NC
-0.5232171,18857582,NC
-0.5231203,18857583,NC
-0.52975106,18857584,NC
-0.55151886,18857585,NC
-0.5867418,18857586,NC
-0.61860126,18857587,NC
-0.64036965,18857588,NC
-0.6436377,18857589,NC
-0.6267236,18857590,NC
-0.61317337,18857591,NC
-0.60971457,18857592,NC
-0.6264383,18857593,NC
-0.634753,18857594,NC
-0.6430678,18857595,NC
-0.6480191,18857596,NC
-0.6496068,18857597,NC
-0.6478311,18857598,NC
-0.65110105,18857599,NC
-0.67118996,18857600,NC
-0.6980065,18857601,NC
-0.7281871,18857602,NC
-0.7499584,18857603,NC
-0.7700481,18857604,NC
-0.7817286,18857605,NC
-0.7883638,18857606,NC
-0.76977116,18857607,NC
-0.74781495,18857608,NC
-0.72922266,18857609,NC
-0.7392224,18857610,NC
-0.7475405,18857611,NC
-0.7424038,18857612,NC
-0.715403,18857613,NC
-0.68167496,18857614,NC
-0.6546746,18857615,NC
-0.65122056,18857616,NC
-0.6645855,18857617,NC
-0.67963237,18857618,NC
-0.6812246,18857619,NC
-0.6710439,18857620,NC
-0.6574997,18857621,NC
-0.6456376,18857622,NC
-0.6354575,18857623,NC
-0.62359583,18857624,NC
-0.60164315,18857625,NC
-0.5847362,18857626,NC
-0.5762389,18857627,NC
-0.57783294,18857628,NC
-0.5777453,18857629,NC
-0.5658849,18857630,NC
-0.537206,18857631,NC
-0.4984361,18857632,NC
-0.46975762,18857633,NC
-0.45957983,18857634,NC
-0.4544479,18857635,NC
-0.43586126,18857636,NC
-0.40886548,18857637,NC
-0.37682432,18857638,NC
-0.34982896,18857639,NC
-0.33124316,18857640,NC
-0.32274878,18857641,NC
-0.32602766,18857642,NC
-0.31753367,18857643,NC
-0.30903992,18857644,NC
-0.30895573,18857645,NC
-0.32400852,18857646,NC
-0.34074345,18857647,NC
-0.3457055,18857648,NC
-0.3388947,18857649,NC
-0.32872036,18857650,NC
-0.32359186,18857651,NC
-0.33023664,18857652,NC
-0.34529096,18857653,NC
-0.36034554,18857654,NC
-0.3703547,18857655,NC
-0.37868223,18857656,NC
-0.38869184,18857657,NC
-0.4020654,18857658,NC
-0.41039357,18857659,NC
-0.41367635,18857660,NC
-0.40686816,18857661,NC
-0.40678766,18857662,NC
-0.41343486,18857663,NC
-0.43185532,18857664,NC
-0.45195788,18857665,NC
-0.45860577,18857666,NC
-0.4551626,18857667,NC
-0.4466741,18857668,NC
-0.44995886,18857669,NC
-0.46333504,18857670,NC
-0.46998402,18857671,NC
-0.47158766,18857672,NC
-0.46646398,18857673,NC
-0.45965868,18857674,NC
-0.44948986,18857675,NC
-0.4477306,18857676,NC
-0.45269907,18857677,NC
-0.45598584,18857678,NC
-0.44245422,18857679,NC
-0.42051345,18857680,NC
-0.40193665,18857681,NC
-0.39849687,18857682,NC
-0.40346667,18857683,NC
-0.39834547,18857684,NC
-0.3780877,18857685,NC
-0.3511027,18857686,NC
-0.33420914,18857687,NC
-0.32404327,18857688,NC
-0.3155595,18857689,NC
-0.30371222,18857690,NC
-0.28681955,18857691,NC
-0.26319966,18857692,NC
-0.24126185,18857693,NC
-0.22100616,18857694,NC
-0.20579627,18857695,NC
-0.19058663,18857696,NC
-0.1770591,18857697,NC
-0.16857739,18857698,NC
-0.16345964,18857699,NC
-0.16506961,18857700,NC
-0.16163418,18857701,NC
-0.15483525,18857702,NC
-0.14299098,18857703,NC
-0.13787441,18857704,NC
-0.14789486,18857705,NC
-0.17137049,18857706,NC
-0.20157382,18857707,NC
-0.22841366,18857708,NC
-0.24348065,18857709,NC
-0.2585479,18857710,NC
-0.2769791,18857711,NC
-0.30886546,18857712,NC
-0.3390702,18857713,NC
-0.35413834,18857714,NC
-0.35911554,18857715,NC
-0.36072922,18857716,NC
-0.37916183,18857717,NC
-0.40768588,18857718,NC
-0.44125578,18857719,NC
-0.46137094,18857720,NC
-0.47307706,18857721,NC
-0.48141968,18857722,NC
-0.49648997,18857723,NC
-0.5115605,18857724,NC
-0.5199038,18857725,NC
-0.51983804,18857726,NC
-0.5147269,18857727,NC
-0.5062522,18857728,NC
-0.49945968,18857729,NC
-0.50275856,18857730,NC
-0.51446706,18857731,NC
-0.5295395,18857732,NC
-0.534521,18857733,NC
-0.5327752,18857734,NC
-0.53271157,18857735,NC
-0.5461031,18857736,NC
-0.5813592,18857737,NC
-0.61661553,18857738,NC
-0.6350534,18857739,NC
-0.60976297,18857740,NC
-0.544108,18857741,NC
-0.43136093,18857742,NC
-0.28161305,18857743,NC
-0.08645497,18857744,NC
0.13729458,18857745,NC
0.37113512,18857746,NC
0.5932023,18857747,NC
0.79340506,18857748,NC
0.95828825,18857749,NC
1.0541947,18857750,N
