channel_0,sample #,type
1.654651,19134860,N
1.673202,19134861,NC
1.454458,19134862,NC
1.0944169,19134863,NC
0.6797612,19134864,NC
0.2922644,19134865,NC
0.025803365,19134866,NC
-0.08512378,19134867,NC
-0.117439196,19134868,NC
-0.13247117,19134869,NC
-0.16705702,19134870,NC
-0.1856222,19134871,NC
-0.15454686,19134872,NC
-0.13387014,19134873,NC
-0.11213588,19134874,NC
-0.14642964,19134875,NC
-0.16781244,19134876,NC
-0.20873234,19134877,NC
-0.1916843,19134878,NC
-0.18756296,19134879,NC
-0.16639367,19134880,NC
-0.17216018,19134881,NC
-0.17775342,19134882,NC
-0.1951941,19134883,NC
-0.18314196,19134884,NC
-0.18011983,19134885,NC
-0.1792183,19134886,NC
-0.18021287,19134887,NC
-0.18478657,19134888,NC
-0.19823359,19134889,NC
-0.1991102,19134890,NC
-0.20401075,19134891,NC
-0.17605352,19134892,NC
-0.16540767,19134893,NC
-0.17396522,19134894,NC
-0.19557874,19134895,NC
-0.1699651,19134896,NC
-0.16511923,19134897,NC
-0.14158846,19134898,NC
-0.1333459,19134899,NC
-0.16039942,19134900,NC
-0.16051373,19134901,NC
-0.15361504,19134902,NC
-0.14686796,19134903,NC
-0.11216722,19134904,NC
-0.10831719,19134905,NC
-0.12218556,19134906,NC
-0.13137384,19134907,NC
-0.120321125,19134908,NC
-0.10145849,19134909,NC
-0.105394475,19134910,NC
-0.09180021,19134911,NC
-0.1013758,19134912,NC
-0.10824978,19134913,NC
-0.09851132,19134914,NC
-0.06784838,19134915,NC
-0.04167061,19134916,NC
-0.039126374,19134917,NC
-0.05561615,19134918,NC
-0.055159103,19134919,NC
-0.035707537,19134920,NC
-0.011826862,19134921,NC
-0.006107088,19134922,NC
0.007700097,19134923,NC
-0.0012386838,19134924,NC
-0.006250399,19134925,NC
0.028753908,19134926,NC
0.0376151,19134927,NC
0.053552352,19134928,NC
0.07603857,19134929,NC
0.061033837,19134930,NC
0.081122085,19134931,NC
0.09574579,19134932,NC
0.130291,19134933,NC
0.15418382,19134934,NC
0.18334725,19134935,NC
0.17683832,19134936,NC
0.16716076,19134937,NC
0.18486579,19134938,NC
0.21292615,19134939,NC
0.2357218,19134940,NC
0.2513285,19134941,NC
0.24036765,19134942,NC
0.23013014,19134943,NC
0.24824473,19134944,NC
0.2690654,19134945,NC
0.29213247,19134946,NC
0.292954,19134947,NC
0.28324378,19134948,NC
0.2699648,19134949,NC
0.2789463,19134950,NC
0.27128068,19134951,NC
0.27010852,19134952,NC
0.26788023,19134953,NC
0.22774689,19134954,NC
0.18252617,19134955,NC
0.17314331,19134956,NC
0.15299574,19134957,NC
0.13620807,19134958,NC
0.111516565,19134959,NC
0.073447786,19134960,NC
0.040666357,19134961,NC
0.020643568,19134962,NC
0.0039205845,19134963,NC
-0.01662545,19134964,NC
-0.03885469,19134965,NC
-0.06223367,19134966,NC
-0.09681508,19134967,NC
-0.12209951,19134968,NC
-0.111549616,19134969,NC
-0.13162322,19134970,NC
-0.14889072,19134971,NC
-0.16636603,19134972,NC
-0.19470772,19134973,NC
-0.1915936,19134974,NC
-0.18813387,19134975,NC
-0.17559373,19134976,NC
-0.18217167,19134977,NC
-0.19773988,19134978,NC
-0.21151376,19134979,NC
-0.21269609,19134980,NC
-0.19694142,19134981,NC
-0.19773784,19134982,NC
-0.19288363,19134983,NC
-0.20972484,19134984,NC
-0.21696855,19134985,NC
-0.21449521,19134986,NC
-0.20829374,19134987,NC
-0.19344452,19134988,NC
-0.19771904,19134989,NC
-0.21714604,19134990,NC
-0.22018786,19134991,NC
-0.19539143,19134992,NC
-0.18171334,19134993,NC
-0.17505671,19134994,NC
-0.17463604,19134995,NC
-0.19452691,19134996,NC
-0.2082876,19134997,NC
-0.18697158,19134998,NC
-0.19594716,19134999,NC
-0.17402603,19135000,NC
-0.17548336,19135001,NC
-0.17396711,19135002,NC
-0.19115308,19135003,NC
-0.1905302,19135004,NC
-0.17667505,19135005,NC
-0.15827234,19135006,NC
-0.17047828,19135007,NC
-0.18004249,19135008,NC
