channel_0,sample #,type
0.09749452,19308987,N
0.012291405,19308988,NC
-0.17426255,19308989,NC
-0.46341687,19308990,NC
-0.81006926,19308991,NC
-1.1167197,19308992,NC
-1.3246182,19308993,NC
-1.4300148,19308994,NC
-1.4566594,19308995,NC
-1.4433022,19308996,NC
-1.4186927,19308997,NC
-1.3878313,19308998,NC
-1.3632178,19308999,NC
-1.3498526,19309000,NC
-1.347735,19309001,NC
-1.3568655,19309002,NC
-1.3659939,19309003,NC
-1.3763703,19309004,NC
-1.3829947,19309005,NC
-1.3883667,19309006,NC
-1.3912368,19309007,NC
-1.3928548,19309008,NC
-1.3957207,19309009,NC
-1.3948345,19309010,NC
-1.4014459,19309011,NC
-1.4055552,19309012,NC
-1.4059124,19309013,NC
-1.4050175,19309014,NC
-1.3953702,19309015,NC
-1.386971,19309016,NC
-1.3848193,19309017,NC
-1.3814154,19309018,NC
-1.3792593,19309019,NC
-1.373351,19309020,NC
-1.3636904,19309021,NC
-1.3565276,19309022,NC
-1.3543625,19309023,NC
-1.359695,19309024,NC
-1.3650253,19309025,NC
-1.3691032,19309026,NC
-1.3669289,19309027,NC
-1.3585023,19309028,NC
-1.3525734,19309029,NC
-1.3528919,19309030,NC
-1.3519583,19309031,NC
-1.3510222,19309032,NC
-1.3463337,19309033,NC
-1.3341429,19309034,NC
-1.3244497,19309035,NC
-1.3135041,19309036,NC
-1.303806,19309037,NC
-1.2903554,19309038,NC
-1.2769026,19309039,NC
-1.2659472,19309040,NC
-1.2574894,19309041,NC
-1.2552791,19309042,NC
-1.2505662,19309043,NC
-1.2396011,19309044,NC
-1.2236335,19309045,NC
-1.2039133,19309046,NC
-1.1866907,19309047,NC
-1.1782155,19309048,NC
-1.1672378,19309049,NC
-1.1562574,19309050,NC
-1.1427746,19309051,NC
-1.1217893,19309052,NC
-1.1120515,19309053,NC
-1.108561,19309054,NC
-1.1100681,19309055,NC
-1.1165725,19309056,NC
-1.1155742,19309057,NC
-1.1095736,19309058,NC
-1.1023202,19309059,NC
-1.0988142,19309060,NC
-1.0978056,19309061,NC
-1.0992944,19309062,NC
-1.0945306,19309063,NC
-1.0835142,19309064,NC
-1.0762451,19309065,NC
-1.0689734,19309066,NC
-1.0679489,19309067,NC
-1.071922,19309068,NC
-1.0721421,19309069,NC
-1.0723598,19309070,NC
-1.0813247,19309071,NC
-1.100287,19309072,NC
-1.1267465,19309073,NC
-1.1569533,19309074,NC
-1.1809075,19309075,NC
-1.1973588,19309076,NC
-1.2100575,19309077,NC
-1.2277534,19309078,NC
-1.2491968,19309079,NC
-1.2693872,19309080,NC
-1.2895749,19309081,NC
-1.30351,19309082,NC
-1.3186922,19309083,NC
-1.3376217,19309084,NC
-1.3590484,19309085,NC
-1.3792224,19309086,NC
-1.3943936,19309087,NC
-1.4070618,19309088,NC
-1.4209776,19309089,NC
-1.4411402,19309090,NC
-1.4663002,19309091,NC
-1.4827075,19309092,NC
-1.4828619,19309093,NC
-1.4705136,19309094,NC
-1.4494123,19309095,NC
-1.4370583,19309096,NC
-1.4297014,19309097,NC
-1.4235917,19309098,NC
-1.4212291,19309099,NC
-1.4151139,19309100,NC
-1.4077456,19309101,NC
-1.4053745,19309102,NC
-1.4080006,19309103,NC
-1.4006238,19309104,NC
-1.3944942,19309105,NC
-1.3871118,19309106,NC
-1.3772264,19309107,NC
-1.3760883,19309108,NC
-1.3761971,19309109,NC
-1.3700532,19309110,NC
-1.3539064,19309111,NC
-1.3390068,19309112,NC
-1.3278542,19309113,NC
-1.3254488,19309114,NC
-1.3280404,19309115,NC
-1.3243791,19309116,NC
-1.3144649,19309117,NC
-1.2982979,19309118,NC
-1.2783779,19309119,NC
-1.265955,19309120,NC
-1.2547793,19309121,NC
-1.2473506,19309122,NC
-1.2399191,19309123,NC
-1.2262346,19309124,NC
-1.2112972,19309125,NC
-1.1963569,19309126,NC
-1.1839137,19309127,NC
-1.1739675,19309128,NC
-1.1627684,19309129,NC
-1.1503164,19309130,NC
-1.1428615,19309131,NC
-1.1379036,19309132,NC
-1.1391928,19309133,NC
-1.1379791,19309134,NC
-1.1292626,19309135,NC
-1.120543,19309136,NC
-1.1130706,19309137,NC
-1.1130952,19309138,NC
-1.1193668,19309139,NC
-1.1256355,19309140,NC
-1.1306514,19309141,NC
-1.1369143,19309142,NC
-1.1419241,19309143,NC
-1.1519312,19309144,NC
-1.1581852,19309145,NC
-1.1544363,19309146,NC
-1.1481845,19309147,NC
-1.1294298,19309148,NC
-1.1131722,19309149,NC
-1.0969115,19309150,NC
-1.074398,19309151,NC
-1.0456315,19309152,NC
-0.9981121,19309153,NC
-0.9380898,19309154,NC
-0.8718145,19309155,NC
-0.8055363,19309156,NC
-0.7492552,19309157,NC
-0.70047104,19309158,NC
-0.6604341,19309159,NC
-0.6316442,19309160,NC
-0.6153513,19309161,NC
-0.6090556,19309162,NC
-0.6052569,19309163,NC
-0.5977053,19309164,NC
-0.5739008,19309165,NC
-0.54134333,19309166,NC
-0.508783,19309167,NC
-0.4712197,19309168,NC
-0.42615348,19309169,NC
-0.3610844,19309170,NC
-0.2710124,19309171,NC
-0.15718749,19309172,NC
-0.025859669,19309173,NC
0.12297105,19309174,NC
0.28930467,19309175,NC
0.4468912,19309176,NC
0.58073056,19309177,NC
0.67082286,19309178,F
0.7046681,19309179,NC
0.6722662,19309180,NC
0.5523671,19309181,NC
0.31872097,19309182,NC
-0.029922307,19309183,NC
-0.4248127,19309184,NC
-0.78595024,19309185,NC
-1.0470849,19309186,NC
-1.1919667,19309187,NC
-1.2605957,19309188,NC
-1.2992218,19309189,NC
-1.334095,19309190,NC
-1.3677156,19309191,NC
-1.3988329,19309192,NC
-1.4299477,19309193,NC
-1.4623096,19309194,NC
-1.4884186,19309195,NC
-1.5082748,19309196,NC
-1.5231282,19309197,NC
-1.5354788,19309198,NC
-1.5440766,19309199,NC
-1.5476716,19309200,NC
-1.5450137,19309201,NC
-1.533603,19309202,NC
-1.5309396,19309203,NC
-1.5345232,19309204,NC
-1.5406042,19309205,NC
-1.5429324,19309206,NC
-1.5365078,19309207,NC
-1.5313306,19309208,NC
-1.5336504,19309209,NC
-1.5472176,19309210,NC
-1.5607818,19309211,NC
-1.5693436,19309212,NC
-1.5654024,19309213,NC
-1.5614585,19309214,NC
-1.5662619,19309215,NC
-1.5785626,19309216,NC
-1.6008605,19309217,NC
-1.6144058,19309218,NC
-1.6166983,19309219,NC
-1.6152382,19309220,NC
-1.6150253,19309221,NC
-1.6310599,19309222,NC
-1.6570916,19309223,NC
-1.6793706,19309224,NC
-1.6941471,19309225,NC
-1.6976709,19309226,NC
-1.7011921,19309227,NC
-1.7159605,19309228,NC
-1.7369764,19309229,NC
-1.7492397,19309230,NC
-1.7490002,19309231,NC
-1.7375082,19309232,NC
-1.7235136,19309233,NC
-1.7207662,19309234,NC
-1.7267665,19309235,NC
-1.7290139,19309236,NC
-1.720009,19309237,NC
-1.7060014,19309238,NC
-1.6957412,19309239,NC
-1.6967285,19309240,NC
-1.7052132,19309241,NC
-1.7074454,19309242,NC
-1.6959251,19309243,NC
-1.6694022,19309244,NC
-1.6441269,19309245,NC
-1.630099,19309246,NC
-1.6248186,19309247,NC
-1.6270357,19309248,NC
-1.6205003,19309249,NC
-1.5989624,19309250,NC
-1.5724223,19309251,NC
-1.5421294,19309252,NC
-1.5143342,19309253,NC
-1.4902866,19309254,NC
-1.4624865,19309255,NC
-1.4309341,19309256,NC
-1.400629,19309257,NC
-1.3828218,19309258,NC
-1.372512,19309259,NC
-1.3659499,19309260,NC
-1.3593855,19309261,NC
-1.3453187,19309262,NC
-1.3349996,19309263,NC
-1.3346779,19309264,NC
-1.3356041,19309265,NC
-1.3390279,19309266,NC
-1.3324493,19309267,NC
-1.3221185,19309268,NC
-1.3217854,19309269,NC
-1.3202001,19309270,NC
-1.3298624,19309271,NC
-1.3345224,19309272,NC
-1.3266802,19309273,NC
-1.3225858,19309274,NC
-1.3184891,19309275,NC
-1.3231401,19309276,NC
-1.3340391,19309277,NC
-1.3436857,19309278,NC
-1.3458302,19309279,NC
-1.3442224,19309280,NC
-1.3438628,19309281,NC
-1.3447508,19309282,NC
-1.3506365,19309283,NC
-1.3490202,19309284,NC
-1.3486518,19309285,NC
-1.3432813,19309286,NC
-1.3366584,19309287,NC
-1.3350337,19309288,NC
-1.334657,19309289,NC
-1.339278,19309290,NC
-1.3451469,19309291,NC
-1.3522639,19309292,NC
-1.3556288,19309293,NC
-1.3614919,19309294,NC
-1.3673526,19309295,NC
-1.3694615,19309296,NC
-1.3653185,19309297,NC
-1.3549235,19309298,NC
-1.3457764,19309299,NC
-1.3428775,19309300,NC
-1.3462266,19309301,NC
-1.3495736,19309302,NC
-1.3504189,19309303,NC
