channel_0,sample #,type
1.986757,21499444,N
1.9063215,21499445,NC
1.6936969,21499446,NC
1.3661828,21499447,NC
0.93417895,21499448,NC
0.47964647,21499449,NC
0.025559537,21499450,NC
-0.3781218,21499451,NC
-0.72779036,21499452,NC
-1.0209433,21499453,NC
-1.2371432,21499454,NC
-1.3632145,21499455,NC
-1.3946483,21499456,NC
-1.3305429,21499457,NC
-1.2352136,21499458,NC
-1.1194601,21499459,NC
-1.0080898,21499460,NC
-0.9386789,21499461,NC
-0.90623856,21499462,NC
-0.90997577,21499463,NC
-0.9349346,21499464,NC
-0.9637267,21499465,NC
-0.9842608,21499466,NC
-0.9893591,21499467,NC
-1.0049733,21499468,NC
-1.0072467,21499469,NC
-1.0177476,21499470,NC
-1.0181977,21499471,NC
-1.0315735,21499472,NC
-1.0237815,21499473,NC
-1.022179,21499474,NC
-1.0295575,21499475,NC
-1.0342486,21499476,NC
-1.0359168,21499477,NC
-1.0387454,21499478,NC
-1.0378553,21499479,NC
-1.0457876,21499480,NC
-1.0411139,21499481,NC
-1.0448813,21499482,NC
-1.0405403,21499483,NC
-1.042044,21499484,NC
-1.0522652,21499485,NC
-1.0583067,21499486,NC
-1.0399497,21499487,NC
-1.0335741,21499488,NC
-1.0076952,21499489,NC
-0.9953711,21499490,NC
-0.976203,21499491,NC
-0.97934586,21499492,NC
-0.95723516,21499493,NC
-0.9468189,21499494,NC
-0.93683136,21499495,NC
-0.9297257,21499496,NC
-0.91521454,21499497,NC
-0.8834936,21499498,NC
-0.85286075,21499499,NC
-0.8354453,21499500,NC
-0.803632,21499501,NC
-0.78080267,21499502,NC
-0.76156205,21499503,NC
-0.726628,21499504,NC
-0.69678885,21499505,NC
-0.6581276,21499506,NC
-0.6310742,21499507,NC
-0.61736643,21499508,NC
-0.56518865,21499509,NC
-0.5449715,21499510,NC
-0.50040704,21499511,NC
-0.46082845,21499512,NC
-0.4104579,21499513,NC
-0.36370787,21499514,NC
-0.33105782,21499515,NC
-0.30840164,21499516,NC
-0.28252852,21499517,NC
-0.24146436,21499518,NC
-0.21277563,21499519,NC
-0.17540044,21499520,NC
-0.13760298,21499521,NC
-0.09483311,21499522,NC
-0.06756884,21499523,NC
-0.030805752,21499524,NC
-0.009792568,21499525,NC
0.00400309,21499526,NC
0.034345116,21499527,NC
0.058738783,21499528,NC
0.06324603,21499529,NC
0.06618544,21499530,NC
0.0390971,21499531,NC
0.041532233,21499532,NC
0.04202124,21499533,NC
0.032223076,21499534,NC
0.039496683,21499535,NC
0.024710866,21499536,NC
0.012066797,21499537,NC
-0.012556308,21499538,NC
-0.04787946,21499539,NC
-0.07895302,21499540,NC
-0.10052482,21499541,NC
-0.11691873,21499542,NC
-0.1330255,21499543,NC
-0.16265394,21499544,NC
-0.19351627,21499545,NC
-0.21348259,21499546,NC
-0.24118394,21499547,NC
-0.26283213,21499548,NC
-0.2985769,21499549,NC
-0.31354338,21499550,NC
-0.3358669,21499551,NC
-0.35682276,21499552,NC
-0.38420576,21499553,NC
-0.42376006,21499554,NC
-0.44811857,21499555,NC
-0.47297734,21499556,NC
-0.5091709,21499557,NC
-0.52829653,21499558,NC
-0.53940856,21499559,NC
-0.54988754,21499560,NC
-0.5519826,21499561,NC
-0.55986625,21499562,NC
-0.579168,21499563,NC
-0.5817649,21499564,NC
-0.58528376,21499565,NC
-0.58749324,21499566,NC
-0.59293795,21499567,NC
-0.5969832,21499568,NC
-0.60875833,21499569,NC
-0.60579854,21499570,NC
-0.6091119,21499571,NC
-0.58865416,21499572,NC
-0.5783858,21499573,NC
-0.5318864,21499574,NC
-0.49808052,21499575,NC
-0.47565725,21499576,NC
-0.44925296,21499577,NC
-0.43382812,21499578,NC
-0.42067388,21499579,NC
-0.39405292,21499580,NC
-0.3621206,21499581,NC
-0.34817284,21499582,NC
-0.31402987,21499583,NC
-0.27416226,21499584,NC
-0.26011062,21499585,NC
-0.26210064,21499586,NC
-0.24761963,21499587,NC
-0.26532993,21499588,NC
-0.28738755,21499589,NC
-0.33560866,21499590,NC
-0.38812009,21499591,NC
-0.4509789,21499592,NC
-0.5226938,21499593,NC
-0.5787726,21499594,NC
-0.6101525,21499595,NC
-0.64551526,21499596,NC
-0.65346026,21499597,NC
-0.6615413,21499598,NC
-0.6656791,21499599,NC
-0.6692753,21499600,NC
-0.6725298,21499601,NC
-0.68566626,21499602,NC
-0.69238436,21499603,NC
-0.7073899,21499604,NC
-0.7043491,21499605,NC
-0.71592754,21499606,NC
-0.74333227,21499607,NC
-0.788472,21499608,NC
-0.8058363,21499609,NC
-0.8053443,21499610,NC
-0.76712525,21499611,NC
-0.70572335,21499612,NC
-0.61583173,21499613,NC
-0.4707703,21499614,NC
-0.3177193,21499615,NC
-0.13971709,21499616,NC
0.06348892,21499617,NC
0.25830075,21499618,NC
0.4825642,21499619,NC
0.6918956,21499620,NC
0.90828615,21499621,NC
1.0950418,21499622,NC
1.2603213,21499623,NC
1.414355,21499624,NC
1.56172,21499625,NC
1.7228186,21499626,NC
1.8693936,21499627,NC
2.038945,21499628,NC
2.1876228,21499629,NC
2.310459,21499630,NC
2.3836162,21499631,F
2.399812,21499632,NC
2.3436337,21499633,NC
2.2216597,21499634,NC
2.0118108,21499635,NC
1.7318815,21499636,NC
1.3727144,21499637,NC
0.9749671,21499638,NC
0.5577633,21499639,NC
0.13089417,21499640,NC
-0.28675136,21499641,NC
-0.6458726,21499642,NC
-0.9022886,21499643,NC
-1.0752821,21499644,NC
-1.1408688,21499645,NC
-1.1435066,21499646,NC
-1.118516,21499647,NC
-1.0990498,21499648,NC
-1.1079013,21499649,NC
-1.1492909,21499650,NC
-1.1850674,21499651,NC
-1.2165565,21499652,NC
-1.2367009,21499653,NC
-1.2700814,21499654,NC
-1.2861787,21499655,NC
-1.3134094,21499656,NC
-1.3317475,21499657,NC
-1.3447069,21499658,NC
-1.3560761,21499659,NC
-1.3671899,21499660,NC
-1.3736309,21499661,NC
-1.388718,21499662,NC
-1.420248,21499663,NC
-1.4448273,21499664,NC
-1.4702144,21499665,NC
-1.4946836,21499666,NC
-1.5105584,21499667,NC
-1.5191687,21499668,NC
-1.5206013,21499669,NC
-1.523386,21499670,NC
-1.5310018,21499671,NC
-1.5528574,21499672,NC
-1.5792893,21499673,NC
-1.5927278,21499674,NC
-1.610485,21499675,NC
-1.6291512,21499676,NC
-1.6415014,21499677,NC
-1.6317606,21499678,NC
-1.6382062,21499679,NC
-1.6302787,21499680,NC
-1.6284084,21499681,NC
-1.6347563,21499682,NC
-1.6429236,21499683,NC
-1.6513304,21499684,NC
-1.6557984,21499685,NC
-1.6523592,21499686,NC
-1.6588973,21499687,NC
-1.6624305,21499688,NC
-1.6505187,21499689,NC
-1.648566,21499690,NC
-1.6335859,21499691,NC
-1.6156108,21499692,NC
-1.5909339,21499693,NC
-1.5664443,21499694,NC
-1.5375539,21499695,NC
-1.5045208,21499696,NC
-1.4843904,21499697,NC
-1.4538951,21499698,NC
-1.4475768,21499699,NC
-1.4091263,21499700,NC
-1.3645965,21499701,NC
-1.3262728,21499702,NC
-1.2848126,21499703,NC
-1.2179301,21499704,NC
-1.1744719,21499705,NC
-1.1284094,21499706,NC
-1.099427,21499707,NC
-1.0459461,21499708,NC
-1.0118732,21499709,NC
-0.94638664,21499710,NC
-0.90914106,21499711,NC
-0.8427611,21499712,NC
-0.7843998,21499713,NC
-0.7508018,21499714,NC
-0.72721946,21499715,NC
-0.68303657,21499716,NC
-0.63165766,21499717,NC
-0.58129305,21499718,NC
-0.53006005,21499719,NC
-0.47839445,21499720,NC
-0.4209673,21499721,NC
-0.40741405,21499722,NC
-0.38286033,21499723,NC
-0.3724476,21499724,NC
-0.35906497,21499725,NC
-0.34189096,21499726,NC
-0.31576318,21499727,NC
-0.27998284,21499728,NC
-0.26910582,21499729,NC
-0.25603494,21499730,NC
-0.2539327,21499731,NC
-0.26853254,21499732,NC
-0.27238312,21499733,NC
-0.2784566,21499734,NC
-0.28267157,21499735,NC
-0.30133536,21499736,NC
-0.30724388,21499737,NC
-0.31931913,21499738,NC
-0.33361807,21499739,NC
-0.33922002,21499740,NC
-0.35732153,21499741,NC
-0.3599561,21499742,NC
-0.36670193,21499743,NC
-0.37944517,21499744,NC
-0.4049879,21499745,NC
-0.41885668,21499746,NC
-0.45995328,21499747,NC
-0.4933056,21499748,NC
-0.5152616,21499749,NC
-0.5360767,21499750,NC
-0.53064257,21499751,NC
-0.55240446,21499752,NC
-0.5487596,21499753,NC
-0.5615862,21499754,NC
-0.5728974,21499755,NC
-0.5935881,21499756,NC
-0.59700274,21499757,NC
-0.62197864,21499758,NC
-0.62772703,21499759,NC
-0.617002,21499760,NC
-0.6075479,21499761,NC
-0.6138871,21499762,NC
-0.59420735,21499763,NC
-0.5927861,21499764,NC
-0.5896188,21499765,NC
-0.5843319,21499766,NC
-0.5662142,21499767,NC
-0.551304,21499768,NC
-0.5470765,21499769,NC
-0.53542376,21499770,NC
-0.52188945,21499771,NC
-0.5122521,21499772,NC
-0.47264016,21499773,NC
-0.45556143,21499774,NC
-0.42571872,21499775,NC
-0.38564557,21499776,NC
-0.33691305,21499777,NC
-0.30951637,21499778,NC
-0.2686705,21499779,NC
-0.26047495,21499780,NC
-0.25050017,21499781,NC
-0.24853966,21499782,NC
-0.23808621,21499783,NC
-0.23650867,21499784,NC
-0.22835958,21499785,NC
-0.23738046,21499786,NC
-0.25791,21499787,NC
-0.28844228,21499788,NC
-0.3369257,21499789,NC
-0.37226415,21499790,NC
-0.4231047,21499791,NC
-0.46543795,21499792,NC
-0.5162519,21499793,NC
-0.5486548,21499794,NC
-0.5861829,21499795,NC
-0.60973984,21499796,NC
-0.6306997,21499797,NC
-0.6240068,21499798,NC
-0.61175483,21499799,NC
-0.6020468,21499800,NC
-0.58509207,21499801,NC
-0.57530797,21499802,NC
-0.5567293,21499803,NC
-0.56633794,21499804,NC
-0.57975274,21499805,NC
-0.5830448,21499806,NC
-0.5929734,21499807,NC
-0.60338426,21499808,NC
-0.5974642,21499809,NC
-0.6022507,21499810,NC
-0.5894895,21499811,NC
-0.57714814,21499812,NC
-0.5749815,21499813,NC
-0.58289176,21499814,NC
-0.57533,21499815,NC
-0.5861796,21499816,NC
-0.6018978,21499817,NC
-0.6108083,21499818,NC
-0.62728435,21499819,NC
-0.6409264,21499820,NC
-0.6238568,21499821,NC
-0.5371624,21499822,NC
-0.3797482,21499823,NC
-0.1760787,21499824,NC
0.07548262,21499825,NC
0.38889885,21499826,NC
0.7257035,21499827,NC
1.0707663,21499828,NC
1.4184688,21499829,NC
1.6974506,21499830,NC
1.8366786,21499831,N
