channel_0,sample #,type
2.0675268,21774129,N
1.9837215,21774130,NC
1.8023871,21774131,NC
1.5160227,21774132,NC
1.1421547,21774133,NC
0.74453294,21774134,NC
0.36440754,21774135,NC
0.021778494,21774136,NC
-0.2683542,21774137,NC
-0.50349057,21774138,NC
-0.6911306,21774139,NC
-0.83002424,21774140,NC
-0.9251716,21774141,NC
-0.9665725,21774142,NC
-0.9442272,21774143,NC
-0.87313545,21774144,NC
-0.77079725,21774145,NC
-0.66846275,21774146,NC
-0.5936318,21774147,NC
-0.5563045,21774148,NC
-0.5527308,21774149,NC
-0.5779107,21774150,NC
-0.6105943,21774151,NC
-0.6357813,21774152,NC
-0.6484719,21774153,NC
-0.64366615,21774154,NC
-0.6326139,21774155,NC
-0.6215653,21774156,NC
-0.61802024,21774157,NC
-0.61697865,21774158,NC
-0.6209407,21774159,NC
-0.6261562,21774160,NC
-0.6351252,21774161,NC
-0.6453478,21774162,NC
-0.6568238,21774163,NC
-0.6683034,21774164,NC
-0.6722865,21774165,NC
-0.677523,21774166,NC
-0.6777631,21774167,NC
-0.67675656,21774168,NC
-0.67575353,21774169,NC
-0.66975397,21774170,NC
-0.66000783,21774171,NC
-0.64276516,21774172,NC
-0.6217759,21774173,NC
-0.6007901,21774174,NC
-0.5898077,21774175,NC
-0.58507866,21774176,NC
-0.582853,21774177,NC
-0.57938075,21774178,NC
-0.5646619,21774179,NC
-0.54494643,21774180,NC
-0.52523434,21774181,NC
-0.5055255,21774182,NC
-0.4820701,21774183,NC
-0.46111798,21774184,NC
-0.43516916,21774185,NC
-0.41172367,21774186,NC
-0.39203146,21774187,NC
-0.3698426,21774188,NC
-0.34515697,21774189,NC
-0.3179746,21774190,NC
-0.29079548,21774191,NC
-0.26236963,21774192,NC
-0.23394701,21774193,NC
-0.20052762,21774194,NC
-0.15711144,21774195,NC
-0.10994847,21774196,NC
-0.065288685,21774197,NC
-0.02063208,21774198,NC
0.01027135,21774199,NC
0.031171624,21774200,NC
0.048318755,21774201,NC
0.06171274,21774202,NC
0.08385362,21774203,NC
0.11724138,21774204,NC
0.15687604,21774205,NC
0.1940076,21774206,NC
0.2298861,21774207,NC
0.26076156,21774208,NC
0.28538394,21774209,NC
0.31250328,21774210,NC
0.3346196,21774211,NC
0.3504829,21774212,NC
0.36634326,21774213,NC
0.38095057,21774214,NC
0.39055493,21774215,NC
0.40265632,21774216,NC
0.41225475,21774217,NC
0.41685027,21774218,NC
0.4239429,21774219,NC
0.42728257,21774220,NC
0.42436936,21774221,NC
0.41520327,21774222,NC
0.39478433,21774223,NC
0.37186253,21774224,NC
0.35018787,21774225,NC
0.3335104,21774226,NC
0.31933013,21774227,NC
0.3001471,21774228,NC
0.27971125,21774229,NC
0.2505226,21774230,NC
0.22383124,21774231,NC
0.19838713,21774232,NC
0.17544031,21774233,NC
0.15999077,21774234,NC
0.14453855,21774235,NC
0.12533365,21774236,NC
0.099876076,21774237,NC
0.065665856,21774238,NC
0.022703014,21774239,NC
-0.019012453,21774240,NC
-0.055730518,21774241,NC
-0.08370117,21774242,NC
-0.099174395,21774243,NC
-0.11090017,21774244,NC
-0.123878494,21774245,NC
-0.14810933,21774246,NC
-0.18234268,21774247,NC
-0.22407852,21774248,NC
-0.26956683,21774249,NC
-0.3075576,21774250,NC
-0.34055084,21774251,NC
-0.36354646,21774252,NC
-0.3777945,21774253,NC
-0.39204496,21774254,NC
-0.40629777,21774255,NC
-0.42055297,21774256,NC
-0.4385605,21774257,NC
-0.4503203,21774258,NC
