channel_0,sample #,type
1.5310171,19047525,N
1.4606025,19047526,NC
1.1501936,19047527,NC
0.72979015,19047528,NC
0.2693923,19047529,NC
-0.105999924,19047530,NC
-0.35138655,19047531,NC
-0.43176752,19047532,NC
-0.4221428,19047533,NC
-0.39251238,19047534,NC
-0.4128763,19047535,NC
-0.41823444,19047536,NC
-0.41858685,19047537,NC
-0.42393348,19047538,NC
-0.43427435,19047539,NC
-0.43460938,19047540,NC
-0.42493856,19047541,NC
-0.44026196,19047542,NC
-0.44057944,19047543,NC
-0.46589106,19047544,NC
-0.47619677,19047545,NC
-0.48649657,19047546,NC
-0.46679044,19047547,NC
-0.45207834,19047548,NC
-0.46236026,19047549,NC
-0.46763626,19047550,NC
-0.48290622,19047551,NC
-0.4781702,19047552,NC
-0.48342812,19047553,NC
-0.46367997,19047554,NC
-0.4589258,19047555,NC
-0.46916562,19047556,NC
-0.47439927,19047557,NC
-0.46962687,19047558,NC
-0.44984835,19047559,NC
-0.4500637,19047560,NC
-0.43527293,19047561,NC
-0.47547603,19047562,NC
-0.45567292,19047563,NC
-0.44586372,19047564,NC
-0.4410483,19047565,NC
-0.42622668,19047566,NC
-0.41639888,19047567,NC
-0.42656487,19047568,NC
-0.44172466,19047569,NC
-0.4318782,19047570,NC
-0.41702554,19047571,NC
-0.4021666,19047572,NC
-0.40730143,19047573,NC
-0.42243,19047574,NC
-0.4325523,19047575,NC
-0.41766834,19047576,NC
-0.3877781,19047577,NC
-0.36788157,19047578,NC
-0.34297878,19047579,NC
-0.35806966,19047580,NC
-0.35815424,19047581,NC
-0.35323253,19047582,NC
-0.33330452,19047583,NC
-0.31837016,19047584,NC
-0.31342953,19047585,NC
-0.32848257,19047586,NC
-0.32352924,19047587,NC
-0.30856964,19047588,NC
-0.2886037,19047589,NC
-0.27363142,19047590,NC
-0.2736528,19047591,NC
-0.2586679,19047592,NC
-0.2436766,19047593,NC
-0.23867899,19047594,NC
-0.20367506,19047595,NC
-0.18866478,19047596,NC
-0.17364818,19047597,NC
-0.17362523,19047598,NC
-0.17859596,19047599,NC
-0.17356037,19047600,NC
-0.14351843,19047601,NC
-0.13847019,19047602,NC
-0.13341562,19047603,NC
-0.14835472,19047604,NC
-0.13828753,19047605,NC
-0.138214,19047606,NC
-0.12813418,19047607,NC
-0.10304805,19047608,NC
-0.07795562,19047609,NC
-0.097856894,19047610,NC
-0.12775189,19047611,NC
-0.1376406,19047612,NC
-0.15252303,19047613,NC
-0.15739918,19047614,NC
-0.16226909,19047615,NC
-0.21713272,19047616,NC
-0.23699012,19047617,NC
-0.2618413,19047618,NC
-0.2716862,19047619,NC
-0.28152493,19047620,NC
-0.3113574,19047621,NC
-0.35118368,19047622,NC
-0.3610038,19047623,NC
-0.3708177,19047624,NC
-0.39062542,19047625,NC
-0.395427,19047626,NC
-0.4002224,19047627,NC
-0.4250117,19047628,NC
-0.44979483,19047629,NC
-0.45957184,19047630,NC
-0.45434278,19047631,NC
-0.44910762,19047632,NC
