channel_0,sample #,type
2.4158106,21510789,N
2.3181212,21510790,NC
2.0136254,21510791,NC
1.5942369,21510792,NC
1.1633598,21510793,NC
0.72673845,21510794,NC
0.3073518,21510795,NC
-0.10628965,21510796,NC
-0.48546258,21510797,NC
-0.830167,21510798,NC
-1.1116797,21510799,NC
-1.2725542,21510800,NC
-1.3185351,21510801,NC
-1.2381331,21510802,NC
-1.0715607,21510803,NC
-0.89349854,21510804,NC
-0.7499036,21510805,NC
-0.67524385,21510806,NC
-0.6580301,21510807,NC
-0.6810281,21510808,NC
-0.7384935,21510809,NC
-0.79021364,21510810,NC
-0.82469916,21510811,NC
-0.85918415,21510812,NC
-0.85345596,21510813,NC
-0.84198254,21510814,NC
-0.8534871,21510815,NC
-0.8535017,21510816,NC
-0.84202653,21510817,NC
-0.8362953,21510818,NC
-0.84205276,21510819,NC
-0.8305757,21510820,NC
-0.8248426,21510821,NC
-0.8535769,21510822,NC
-0.87082124,21510823,NC
-0.8823203,21510824,NC
-0.89381886,21510825,NC
-0.8823381,21510826,NC
-0.85936755,21510827,NC
-0.83065164,21510828,NC
-0.8191691,21510829,NC
-0.8134306,21510830,NC
-0.8191808,21510831,NC
-0.8306751,21510832,NC
-0.8249347,21510833,NC
-0.8364278,21510834,NC
-0.80770767,21510835,NC
-0.778987,21510836,NC
-0.761755,21510837,NC
-0.73877764,21510838,NC
-0.71579975,21510839,NC
-0.68133193,21510840,NC
-0.6698421,21510841,NC
-0.6411178,21510842,NC
-0.6009035,21510843,NC
-0.554944,21510844,NC
-0.5319625,21510845,NC
-0.51472497,21510846,NC
-0.49174225,21510847,NC
-0.47450355,21510848,NC
-0.44577494,21510849,NC
-0.41704574,21510850,NC
-0.37682658,21510851,NC
-0.33086222,21510852,NC
-0.29638657,21510853,NC
-0.22169773,21510854,NC
-0.17573154,21510855,NC
-0.1355094,21510856,NC
-0.09528663,21510857,NC
-0.055063274,21510858,NC
-0.009094657,21510859,NC
0.048363853,21510860,NC
0.08858904,21510861,NC
0.11158087,21510862,NC
0.15755191,21510863,NC
0.19777891,21510864,NC
0.2265172,21510865,NC
0.26100075,21510866,NC
0.2897403,21510867,NC
0.33571434,21510868,NC
0.3931783,21510869,NC
0.42766428,21510870,NC
0.46215087,21510871,NC
0.47940412,21510872,NC
0.49665797,21510873,NC
0.5139124,21510874,NC
0.5311674,21510875,NC
0.5426785,21510876,NC
0.57716864,21510877,NC
0.60591483,21510878,NC
0.594449,21510879,NC
0.6059624,21510880,NC
0.5830085,21510881,NC
0.58303386,21510882,NC
0.56582594,21510883,NC
0.54287386,21510884,NC
0.542901,21510885,NC
0.5256947,21510886,NC
0.5199784,21510887,NC
0.51426274,21510888,NC
0.46833506,21510889,NC
0.43389732,21510890,NC
0.38797086,21510891,NC
0.3535343,21510892,NC
0.31909835,21510893,NC
0.27317372,21510894,NC
0.23299429,21510895,NC
0.19281551,21510896,NC
0.14689265,21510897,NC
0.1009704,21510898,NC
0.08377199,21510899,NC
0.060829513,21510900,NC
0.037887644,21510901,NC
0.037924964,21510902,NC
0.009239646,21510903,NC
-0.030934379,21510904,NC
-0.08834174,21510905,NC
-0.14574853,21510906,NC
-0.21464401,21510907,NC
-0.25481564,21510908,NC
-0.27775276,21510909,NC
-0.28919995,21510910,NC
-0.30064657,21510911,NC
-0.31783724,21510912,NC
-0.3465166,21510913,NC
