channel_0,sample #,type
2.2457504,22047886,N
2.0702612,22047887,NC
1.8057907,22047888,NC
1.4550514,22047889,NC
1.0635087,22047890,NC
0.66663337,22047891,NC
0.29903063,22047892,NC
-0.041792095,22047893,NC
-0.3621013,22047894,NC
-0.6563817,22047895,NC
-0.90967816,22047896,NC
-1.0450814,22047897,NC
-1.0525262,22047898,NC
-0.96516883,22047899,NC
-0.8230421,22047900,NC
-0.7155375,22047901,NC
-0.66168356,22047902,NC
-0.6511286,22047903,NC
-0.6523987,22047904,NC
-0.7076219,22047905,NC
-0.75586575,22047906,NC
-0.7950582,22047907,NC
-0.823166,22047908,NC
-0.8231125,22047909,NC
-0.8095684,22047910,NC
-0.79630107,22047911,NC
-0.7887586,22047912,NC
-0.76595503,22047913,NC
-0.77774346,22047914,NC
-0.8012813,22047915,NC
-0.8238706,22047916,NC
-0.8355856,22047917,NC
-0.8421462,22047918,NC
-0.84003276,22047919,NC
-0.83374995,22047920,NC
-0.8261205,22047921,NC
-0.8415426,22047922,NC
-0.8388107,22047923,NC
-0.86752766,22047924,NC
-0.8506128,22047925,NC
-0.83139104,22047926,NC
-0.84024316,22047927,NC
-0.82797045,22047928,NC
-0.82902414,22047929,NC
-0.8310069,22047930,NC
-0.8438879,22047931,NC
-0.8585022,22047932,NC
-0.8403602,22047933,NC
-0.822884,22047934,NC
-0.82178205,22047935,NC
-0.79271305,22047936,NC
-0.7697177,22047937,NC
-0.7453297,22047938,NC
-0.7326968,22047939,NC
-0.7409061,22047940,NC
-0.7236917,22047941,NC
-0.70724136,22047942,NC
-0.6991952,22047943,NC
-0.67870367,22047944,NC
-0.64039594,22047945,NC
-0.5848822,22047946,NC
-0.5581896,22047947,NC
-0.53687304,22047948,NC
-0.50357634,22047949,NC
-0.4576218,22047950,NC
-0.4163485,22047951,NC
-0.3734169,22047952,NC
-0.31988183,22047953,NC
-0.27961135,22047954,NC
-0.24459977,22047955,NC
-0.2291033,22047956,NC
-0.18464378,22047957,NC
-0.12845093,22047958,NC
-0.07461581,22047959,NC
-0.025069226,22047960,NC
0.038314767,22047961,NC
0.08351429,22047962,NC
0.11776651,22047963,NC
0.14879002,22047964,NC
0.17483966,22047965,NC
0.22251897,22047966,NC
0.2559663,22047967,NC
0.30270538,22047968,NC
0.3317984,22047969,NC
0.36519158,22047970,NC
0.3667383,22047971,NC
0.3884173,22047972,NC
0.39386192,22047973,NC
0.42372078,22047974,NC
0.4333761,22047975,NC
0.44973388,22047976,NC
0.44655055,22047977,NC
0.4240695,22047978,NC
0.4150305,22047979,NC
0.38612902,22047980,NC
0.39314854,22047981,NC
0.38804042,22047982,NC
0.4011706,22047983,NC
0.39018548,22047984,NC
0.38578975,22047985,NC
0.38221738,22047986,NC
0.35629463,22047987,NC
0.32528156,22047988,NC
0.30399257,22047989,NC
0.29424512,22047990,NC
0.27142712,22047991,NC
0.24396697,22047992,NC
0.23125449,22047993,NC
0.18676898,22047994,NC
0.1699388,22047995,NC
0.15654814,22047996,NC
0.14529361,22047997,NC
0.12117454,22047998,NC
0.106259964,22047999,NC
0.07981592,22048000,NC
0.04154267,22048001,NC
-0.008077325,22048002,NC
-0.035475858,22048003,NC
-0.0628011,22048004,NC
-0.06825352,22048005,NC
-0.07514214,22048006,NC
-0.050666336,22048007,NC
-0.059518196,22048008,NC
-0.050103858,22048009,NC
-0.0633792,22048010,NC
-0.08847297,22048011,NC
-0.08941476,22048012,NC
-0.12612365,22048013,NC
-0.11950827,22048014,NC
-0.11869312,22048015,NC
-0.10163066,22048016,NC
-0.10481173,22048017,NC
-0.09632099,22048018,NC
-0.090371706,22048019,NC
-0.07802734,22048020,NC
-0.069251336,22048021,NC
-0.032862365,22048022,NC
-0.011441541,22048023,NC
0.005344532,22048024,NC
0.020507185,22048025,NC
0.034848247,22048026,NC
0.043475047,22048027,NC
0.06598879,22048028,NC
0.11289391,22048029,NC
0.14672078,22048030,NC
0.17178375,22048031,NC
0.20629257,22048032,NC
0.24631365,22048033,NC
0.23712382,22048034,NC
0.23394771,22048035,NC
0.22587264,22048036,NC
0.22005731,22048037,NC
0.19512759,22048038,NC
0.15619503,22048039,NC
0.09746945,22048040,NC
0.037298568,22048041,NC
-0.018309705,22048042,NC
-0.077279046,22048043,NC
-0.10257009,22048044,NC
-0.12171437,22048045,NC
-0.1173899,22048046,NC
-0.117646545,22048047,NC
-0.14260633,22048048,NC
-0.14227258,22048049,NC
-0.16345847,22048050,NC
-0.18255828,22048051,NC
-0.19345583,22048052,NC
-0.16644463,22048053,NC
-0.1442492,22048054,NC
-0.11396464,22048055,NC
-0.10569222,22048056,NC
-0.1237085,22048057,NC
-0.118756786,22048058,NC
-0.12182032,22048059,NC
-0.1289727,22048060,NC
-0.13503465,22048061,NC
-0.13580015,22048062,NC
-0.12906632,22048063,NC
-0.14148101,22048064,NC
-0.16447498,22048065,NC
-0.18187205,22048066,NC
-0.19416453,22048067,NC
-0.21308075,22048068,NC
-0.23074013,22048069,NC
-0.2528883,22048070,NC
-0.2608459,22048071,NC
-0.20296372,22048072,NC
-0.12398082,22048073,NC
0.052954756,22048074,NC
0.34348756,22048075,NC
0.7132055,22048076,NC
1.185603,22048077,NC
1.7044761,22048078,NC
2.1633816,22048079,NC
2.5248296,22048080,NC
2.7195249,22048081,NC
2.7206407,22048082,F
2.5265732,22048083,NC
2.2348394,22048084,NC
1.9107702,22048085,NC
1.5736513,22048086,NC
1.2049596,22048087,NC
0.8870539,22048088,NC
0.590101,22048089,NC
0.2949632,22048090,NC
0.026284005,22048091,NC
-0.18664919,22048092,NC
-0.3244926,22048093,NC
-0.35252076,22048094,NC
-0.32763085,22048095,NC
-0.31175497,22048096,NC
-0.28665242,22048097,NC
-0.3170946,22048098,NC
-0.3430554,22048099,NC
-0.37355113,22048100,NC
-0.4048218,22048101,NC
-0.40732053,22048102,NC
-0.4074452,22048103,NC
-0.40687746,22048104,NC
-0.39825603,22048105,NC
-0.43988365,22048106,NC
-0.44929424,22048107,NC
-0.47678956,22048108,NC
-0.49844947,22048109,NC
-0.50686127,22048110,NC
-0.514129,22048111,NC
-0.5051625,22048112,NC
-0.5106178,22048113,NC
-0.5226982,22048114,NC
-0.51480794,22048115,NC
-0.5293083,22048116,NC
-0.53461105,22048117,NC
-0.549885,22048118,NC
-0.5409805,22048119,NC
-0.55708873,22048120,NC
-0.55189955,22048121,NC
-0.5615947,22048122,NC
-0.5487958,22048123,NC
-0.5466922,22048124,NC
-0.5491475,22048125,NC
-0.52809554,22048126,NC
-0.52527976,22048127,NC
-0.5030778,22048128,NC
-0.49998933,22048129,NC
-0.5077154,22048130,NC
