channel_0,sample #,type
1.75156,21494747,N
1.7084833,21494748,NC
1.4740299,21494749,NC
1.1061715,21494750,NC
0.67656064,21494751,NC
0.22959636,21494752,NC
-0.18344462,21494753,NC
-0.5458291,21494754,NC
-0.8625639,21494755,NC
-1.0999725,21494756,NC
-1.2449043,21494757,NC
-1.3180285,21494758,NC
-1.2696233,21494759,NC
-1.1613303,21494760,NC
-1.0110496,21494761,NC
-0.88041544,21494762,NC
-0.811264,21494763,NC
-0.769921,21494764,NC
-0.77993095,21494765,NC
-0.8144519,21494766,NC
-0.8561168,21494767,NC
-0.8646057,21494768,NC
-0.8731635,21494769,NC
-0.8787793,21494770,NC
-0.85973126,21494771,NC
-0.87611073,21494772,NC
-0.86009234,21494773,NC
-0.87906,21494774,NC
-0.8965913,21494775,NC
-0.9085131,21494776,NC
-0.91915065,21494777,NC
-0.9208158,21494778,NC
-0.92623466,21494779,NC
-0.9421736,21494780,NC
-0.9505954,21494781,NC
-0.96080965,21494782,NC
-0.9438362,21494783,NC
-0.9486646,21494784,NC
-0.9414198,21494785,NC
-0.9335257,21494786,NC
-0.9348018,21494787,NC
-0.9568679,21494788,NC
-0.96218973,21494789,NC
-0.95564383,21494790,NC
-0.951381,21494791,NC
-0.93946105,21494792,NC
-0.92418385,21494793,NC
-0.90587914,21494794,NC
-0.89519274,21494795,NC
-0.8870876,21494796,NC
-0.87458414,21494797,NC
-0.8674967,21494798,NC
-0.8498845,21494799,NC
-0.8376992,21494800,NC
-0.8235193,21494801,NC
-0.8110287,21494802,NC
-0.7828912,21494803,NC
-0.7499955,21494804,NC
-0.7179287,21494805,NC
-0.6768341,21494806,NC
-0.6494729,21494807,NC
-0.61087775,21494808,NC
-0.5721946,21494809,NC
-0.55470395,21494810,NC
-0.52924484,21494811,NC
-0.51266855,21494812,NC
-0.5020197,21494813,NC
-0.46616215,21494814,NC
-0.42129427,21494815,NC
-0.37083873,21494816,NC
-0.30527273,21494817,NC
-0.26416567,21494818,NC
-0.23607664,21494819,NC
-0.19356868,21494820,NC
-0.15022992,21494821,NC
-0.12910815,21494822,NC
-0.08554893,21494823,NC
-0.061008044,21494824,NC
-0.033578284,21494825,NC
0.0010735191,21494826,NC
0.013345895,21494827,NC
0.04677711,21494828,NC
0.08660555,21494829,NC
0.10579914,21494830,NC
0.13921703,21494831,NC
0.16013785,21494832,NC
0.1869136,21494833,NC
0.18449533,21494834,NC
0.16475925,21494835,NC
0.15983383,21494836,NC
0.13564736,21494837,NC
0.15121213,21494838,NC
0.163868,21494839,NC
0.15498212,21494840,NC
0.13912222,21494841,NC
0.1436578,21494842,NC
0.12180277,21494843,NC
0.11542713,21494844,NC
0.10047485,21494845,NC
0.09782824,21494846,NC
0.076024756,21494847,NC
0.045131907,21494848,NC
0.016301353,21494849,NC
-0.033951394,21494850,NC
-0.050321296,21494851,NC
-0.094574705,21494852,NC
-0.11982602,21494853,NC
-0.1442806,21494854,NC
-0.14438461,21494855,NC
-0.1565467,21494856,NC
-0.19263956,21494857,NC
-0.22567798,21494858,NC
-0.2591076,21494859,NC
-0.29231113,21494860,NC
-0.3245494,21494861,NC
-0.33845294,21494862,NC
-0.33484823,21494863,NC
-0.34457883,21494864,NC
-0.3625222,21494865,NC
-0.37963003,21494866,NC
-0.38542217,21494867,NC
-0.38830802,21494868,NC
-0.3920866,21494869,NC
-0.39581215,21494870,NC
-0.40141836,21494871,NC
-0.4178061,21494872,NC
-0.41540697,21494873,NC
-0.43874025,21494874,NC
-0.44807035,21494875,NC
