channel_0,sample #,type
1.4047271,18850483,N
1.4245385,18850484,NC
1.1979114,18850485,NC
0.8731732,18850486,NC
0.530122,18850487,NC
0.17985703,18850488,NC
-0.09485254,18850489,NC
-0.2391084,18850490,NC
-0.31664807,18850491,NC
-0.31667334,18850492,NC
-0.33218634,18850493,NC
-0.32978988,18850494,NC
-0.33268124,18850495,NC
-0.32247728,18850496,NC
-0.33042008,18850497,NC
-0.3363063,18850498,NC
-0.3422914,18850499,NC
-0.35018384,18850500,NC
-0.36490598,18850501,NC
-0.36467302,18850502,NC
-0.36997578,18850503,NC
-0.36784738,18850504,NC
-0.37602058,18850505,NC
-0.36907744,18850506,NC
-0.37692037,18850507,NC
-0.35906255,18850508,NC
-0.34857535,18850509,NC
-0.34659135,18850510,NC
-0.35370737,18850511,NC
-0.37749976,18850512,NC
-0.3492567,18850513,NC
-0.3477893,18850514,NC
-0.35122624,18850515,NC
-0.3493771,18850516,NC
-0.34586588,18850517,NC
-0.34303316,18850518,NC
-0.3299892,18850519,NC
-0.33525372,18850520,NC
-0.31082723,18850521,NC
-0.34247512,18850522,NC
-0.32301763,18850523,NC
-0.31450164,18850524,NC
-0.3016826,18850525,NC
-0.2919656,18850526,NC
-0.29951176,18850527,NC
-0.32155353,18850528,NC
-0.30682245,18850529,NC
-0.29647598,18850530,NC
-0.2759714,18850531,NC
-0.26372156,18850532,NC
-0.260265,18850533,NC
-0.27849406,18850534,NC
-0.26958594,18850535,NC
-0.2433523,18850536,NC
-0.24157132,18850537,NC
-0.23023775,18850538,NC
-0.24199721,18850539,NC
-0.23327304,18850540,NC
-0.21630675,18850541,NC
-0.19471335,18850542,NC
-0.17424157,18850543,NC
-0.1669535,18850544,NC
-0.16968817,18850545,NC
-0.16619185,18850546,NC
-0.15613735,18850547,NC
-0.12450674,18850548,NC
-0.10683889,18850549,NC
-0.07735177,18850550,NC
-0.0693397,18850551,NC
-0.06899684,18850552,NC
-0.052602377,18850553,NC
-0.036209412,18850554,NC
0.0035637505,18850555,NC
0.016399242,18850556,NC
0.031956006,18850557,NC
0.021641962,18850558,NC
0.027416233,18850559,NC
0.04867673,18850560,NC
0.08991097,18850561,NC
0.109638184,18850562,NC
0.085423656,18850563,NC
0.08743206,18850564,NC
