channel_0,sample #,type
2.8651814,21928977,N
2.7822237,21928978,NC
2.6235378,21928979,NC
2.378615,21928980,NC
2.0699155,21928981,NC
1.7262901,21928982,NC
1.3726065,21928983,NC
1.0160527,21928984,NC
0.67477757,21928985,NC
0.3582013,21928986,NC
0.07373378,21928987,NC
-0.13194615,21928988,NC
-0.24745096,21928989,NC
-0.2673334,21928990,NC
-0.20237628,21928991,NC
-0.109919354,21928992,NC
-0.02751813,21928993,NC
0.020530203,21928994,NC
0.030075481,21928995,NC
0.0064737815,21928996,NC
-0.026081862,21928997,NC
-0.055373903,21928998,NC
-0.07160703,21928999,NC
-0.066453785,21929000,NC
-0.05125923,21929001,NC
-0.038400657,21929002,NC
-0.032960627,21929003,NC
-0.0361604,21929004,NC
-0.05228798,21929005,NC
-0.06782981,21929006,NC
-0.083145194,21929007,NC
-0.09216161,21929008,NC
-0.08909862,21929009,NC
-0.08081165,21929010,NC
-0.0672245,21929011,NC
-0.057903588,21929012,NC
-0.054874137,21929013,NC
-0.056085385,21929014,NC
-0.061010286,21929015,NC
-0.06804897,21929016,NC
-0.064814575,21929017,NC
-0.060686074,21929018,NC
-0.049537778,21929019,NC
-0.03561075,21929020,NC
-0.026349612,21929021,NC
-0.013146708,21929022,NC
-0.0023082998,21929023,NC
0.0141984075,21929024,NC
0.031876985,21929025,NC
0.049764164,21929026,NC
0.07384177,21929027,NC
0.09963164,21929028,NC
0.124688365,21929029,NC
0.14739603,21929030,NC
0.16810392,21929031,NC
0.18666756,21929032,NC
0.21515858,21929033,NC
0.25845125,21929034,NC
0.30310515,21929035,NC
0.35218462,21929036,NC
0.396228,21929037,NC
0.4239986,21929038,NC
0.44978014,21929039,NC
0.4724027,21929040,NC
0.4933388,21929041,NC
0.5270519,21929042,NC
0.5645324,21929043,NC
0.6103624,21929044,NC
0.6623916,21929045,NC
0.71510327,21929046,NC
0.7626437,21929047,NC
0.80462766,21929048,NC
0.841974,21929049,NC
0.876709,21929050,NC
0.9117227,21929051,NC
0.95186305,21929052,NC
0.988152,21929053,NC
1.0197271,21929054,NC
1.0555431,21929055,NC
1.085629,21929056,NC
1.1169628,21929057,NC
1.1525779,21929058,NC
1.1830547,21929059,NC
1.2106874,21929060,NC
1.2396295,21929061,NC
1.2614565,21929062,NC
1.2755919,21929063,NC
1.2828074,21929064,NC
1.2803736,21929065,NC
1.2768375,21929066,NC
1.2791536,21929067,NC
1.2844119,21929068,NC
1.2916133,21929069,NC
1.2958572,21929070,NC
1.2962387,21929071,NC
1.2904465,21929072,NC
1.2807052,21929073,NC
1.267817,21929074,NC
1.2549059,21929075,NC
1.2382903,21929076,NC
1.2215683,21929077,NC
1.2005821,21929078,NC
1.1704884,21929079,NC
1.1437868,21929080,NC
1.1173631,21929081,NC
1.0997449,21929082,NC
1.0857623,21929083,NC
1.0719059,21929084,NC
1.0615945,21929085,NC
1.0454084,21929086,NC
1.0301447,21929087,NC
1.0104164,21929088,NC
0.9795551,21929089,NC
0.94239634,21929090,NC
0.9038769,21929091,NC
0.8684626,21929092,NC
0.83685964,21929093,NC
0.81242937,21929094,NC
0.7889178,21929095,NC
0.7607485,21929096,NC
0.7338406,21929097,NC
0.6993384,21929098,NC
0.65751314,21929099,NC
0.61536247,21929100,NC
0.5731388,21929101,NC
0.5346426,21929102,NC
0.5047664,21929103,NC
0.48234144,21929104,NC
0.46193692,21929105,NC
0.44610804,21929106,NC
0.42103836,21929107,NC
0.39704344,21929108,NC
0.3723823,21929109,NC
0.34780636,21929110,NC
0.33305794,21929111,NC
0.31850278,21929112,NC
0.30298096,21929113,NC
0.28989568,21929114,NC
0.27713752,21929115,NC
0.26735532,21929116,NC
0.2645335,21929117,NC
0.26744986,21929118,NC
0.27447864,21929119,NC
0.28182003,21929120,NC
0.28751832,21929121,NC
0.28458035,21929122,NC
0.27762887,21929123,NC
0.2705379,21929124,NC
0.26041752,21929125,NC
0.26073837,21929126,NC
0.2703404,21929127,NC
0.28958112,21929128,NC
0.32093492,21929129,NC
0.35425752,21929130,NC
0.38678855,21929131,NC
0.41760284,21929132,NC
0.44133246,21929133,NC
0.4588127,21929134,NC
0.472,21929135,NC
0.47877377,21929136,NC
0.48827848,21929137,NC
