channel_0,sample #,type
2.3973598,21941568,N
2.239029,21941569,NC
1.9455858,21941570,NC
1.5649618,21941571,NC
1.1293066,21941572,NC
0.69078803,21941573,NC
0.26128814,21941574,NC
-0.121546514,21941575,NC
-0.4493053,21941576,NC
-0.6823245,21941577,NC
-0.8184632,21941578,NC
-0.849194,21941579,NC
-0.8034837,21941580,NC
-0.7082942,21941581,NC
-0.60620326,21941582,NC
-0.5235863,21941583,NC
-0.47820207,21941584,NC
-0.46631262,21941585,NC
-0.48779574,21941586,NC
-0.52245975,21941587,NC
-0.573408,21941588,NC
-0.6148519,21941589,NC
-0.64017683,21941590,NC
-0.6397315,21941591,NC
-0.6263587,21941592,NC
-0.60636723,21941593,NC
-0.5869599,21941594,NC
-0.57953066,21941595,NC
-0.58840245,21941596,NC
-0.6062486,21941597,NC
-0.6228175,21941598,NC
-0.6373145,21941599,NC
-0.6471967,21941600,NC
-0.6458947,21941601,NC
-0.62997764,21941602,NC
-0.61433244,21941603,NC
-0.60340565,21941604,NC
-0.6002974,21941605,NC
-0.596828,21941606,NC
-0.5891684,21941607,NC
-0.57910055,21941608,NC
-0.56762695,21941609,NC
-0.55596167,21941610,NC
-0.54669,21941611,NC
-0.5438211,21941612,NC
-0.54471093,21941613,NC
-0.5449988,21941614,NC
-0.5286314,21941615,NC
-0.5053258,21941616,NC
-0.4727049,21941617,NC
-0.43846565,21941618,NC
-0.4077155,21941619,NC
-0.3820337,21941620,NC
-0.3590967,21941621,NC
-0.34021604,21941622,NC
-0.3223976,21941623,NC
-0.301092,21941624,NC
-0.2704218,21941625,NC
-0.22813143,21941626,NC
-0.18969548,21941627,NC
-0.1526133,21941628,NC
-0.12376172,21941629,NC
-0.09276182,21941630,NC
-0.059988383,21941631,NC
-0.025197998,21941632,NC
0.011746206,21941633,NC
0.043373693,21941634,NC
0.07559604,21941635,NC
0.09837562,21941636,NC
0.12231026,21941637,NC
0.14589855,21941638,NC
0.17145519,21941639,NC
0.20139647,21941640,NC
0.23673353,21941641,NC
0.28371784,21941642,NC
0.3304172,21941643,NC
0.36794326,21941644,NC
0.3925524,21941645,NC
0.4055793,21941646,NC
0.41109288,21941647,NC
0.4086712,21941648,NC
0.41756448,21941649,NC
0.43770865,21941650,NC
0.4754026,21941651,NC
0.50567025,21941652,NC
0.53046924,21941653,NC
0.5340282,21941654,NC
0.53463155,21941655,NC
0.5256679,21941656,NC
0.5142177,21941657,NC
0.49427179,21941658,NC
0.475819,21941659,NC
0.46070048,21941660,NC
0.4477088,21941661,NC
0.43357003,21941662,NC
0.42499256,21941663,NC
0.418698,21941664,NC
0.4197973,21941665,NC
0.41474915,21941666,NC
0.40509242,21941667,NC
0.38689777,21941668,NC
0.36419076,21941669,NC
0.33462468,21941670,NC
0.29442444,21941671,NC
0.24751571,21941672,NC
0.21073107,21941673,NC
0.18235171,21941674,NC
0.17008477,21941675,NC
0.1561316,21941676,NC
0.14140208,21941677,NC
0.1153454,21941678,NC
0.083211236,21941679,NC
0.03992577,21941680,NC
-0.004495224,21941681,NC
-0.046296984,21941682,NC
-0.08081757,21941683,NC
-0.1076202,21941684,NC
-0.13269591,21941685,NC
-0.14745097,21941686,NC
-0.16862524,21941687,NC
-0.18371183,21941688,NC
-0.20512009,21941689,NC
-0.22343068,21941690,NC
-0.24136642,21941691,NC
-0.25854406,21941692,NC
-0.2748087,21941693,NC
-0.3013374,21941694,NC
-0.3324534,21941695,NC
-0.36122206,21941696,NC
-0.37344903,21941697,NC
-0.36804572,21941698,NC
-0.34929633,21941699,NC
-0.3302848,21941700,NC
-0.31268215,21941701,NC
-0.30091122,21941702,NC
-0.30135494,21941703,NC
-0.31249347,21941704,NC
-0.32256308,21941705,NC
-0.32840043,21941706,NC
-0.32870203,21941707,NC
-0.32912424,21941708,NC
-0.32659134,21941709,NC
-0.32002965,21941710,NC
-0.3166706,21941711,NC
-0.304293,21941712,NC
-0.28655523,21941713,NC
-0.26165605,21941714,NC
-0.23807831,21941715,NC
-0.21197857,21941716,NC
-0.18826433,21941717,NC
-0.16178435,21941718,NC
-0.14496893,21941719,NC
-0.13101895,21941720,NC
-0.118428655,21941721,NC
-0.096751355,21941722,NC
-0.070856094,21941723,NC
-0.03797031,21941724,NC
-0.009905577,21941725,NC
0.012621684,21941726,NC
0.009428568,21941727,NC
-0.014293517,21941728,NC
-0.05217386,21941729,NC
-0.09974811,21941730,NC
-0.14951128,21941731,NC
-0.20037183,21941732,NC
-0.2410414,21941733,NC
-0.27351204,21941734,NC
-0.30027673,21941735,NC
-0.3297986,21941736,NC
-0.35649222,21941737,NC
-0.37527895,21941738,NC
-0.3891511,21941739,NC
-0.39436302,21941740,NC
-0.3972071,21941741,NC
-0.39153883,21941742,NC
-0.38828486,21941743,NC
-0.3880332,21941744,NC
-0.38819554,21941745,NC
-0.39037752,21941746,NC
-0.3920709,21941747,NC
-0.39423645,21941748,NC
-0.39378667,21941749,NC
-0.38366616,21941750,NC
-0.37786454,21941751,NC
-0.36933187,21941752,NC
-0.37034222,21941753,NC
-0.3709018,21941754,NC
-0.37609348,21941755,NC
-0.37932643,21941756,NC
-0.3811073,21941757,NC
-0.39066017,21941758,NC
-0.41354573,21941759,NC
-0.4470219,21941760,NC
-0.48934516,21941761,NC
-0.52996916,21941762,NC
-0.55404776,21941763,NC
-0.52044,21941764,NC
-0.39681178,21941765,NC
-0.15598723,21941766,NC
0.19910145,21941767,NC
0.6516572,21941768,NC
1.1618546,21941769,NC
1.6773359,21941770,NC
2.1311686,21941771,NC
2.4720707,21941772,NC
2.6526518,21941773,NC
2.6672297,21941774,F
2.5204191,21941775,NC
2.2616653,21941776,NC
1.9322275,21941777,NC
1.5793716,21941778,NC
1.2328558,21941779,NC
0.9192943,21941780,NC
0.64796156,21941781,NC
0.40130103,21941782,NC
0.15100315,21941783,NC
-0.10956622,21941784,NC
-0.3476448,21941785,NC
-0.5318828,21941786,NC
-0.64311534,21941787,NC
-0.68909866,21941788,NC
-0.6847147,21941789,NC
-0.6632402,21941790,NC
-0.644838,21941791,NC
-0.6465922,21941792,NC
-0.66502845,21941793,NC
-0.69604933,21941794,NC
-0.73450357,21941795,NC
-0.75774163,21941796,NC
-0.7776229,21941797,NC
-0.77637273,21941798,NC
-0.77542853,21941799,NC
-0.7690496,21941800,NC
-0.773621,21941801,NC
-0.78589493,21941802,NC
-0.8064819,21941803,NC
-0.82483524,21941804,NC
-0.8387382,21941805,NC
-0.8450947,21941806,NC
-0.8417144,21941807,NC
-0.8335397,21941808,NC
-0.8242112,21941809,NC
-0.8217528,21941810,NC
-0.8240887,21941811,NC
-0.8378673,21941812,NC
-0.84877044,21941813,NC
-0.8603479,21941814,NC
-0.8636789,21941815,NC
-0.8621363,21941816,NC
-0.85469186,21941817,NC
-0.8436839,21941818,NC
-0.83985543,21941819,NC
-0.83244026,21941820,NC
-0.82471955,21941821,NC
-0.8104058,21941822,NC
-0.80017245,21941823,NC
-0.7895519,21941824,NC
-0.78915155,21941825,NC
-0.801671,21941826,NC
-0.81289715,21941827,NC
-0.8192365,21941828,NC
-0.81492674,21941829,NC
-0.8063594,21941830,NC
-0.7888396,21941831,NC
-0.7615804,21941832,NC
-0.73541576,21941833,NC
-0.71142274,21941834,NC
-0.6996713,21941835,NC
-0.68703556,21941836,NC
-0.6772317,21941837,NC
-0.6603599,21941838,NC
-0.6336307,21941839,NC
-0.60333455,21941840,NC
-0.57424664,21941841,NC
-0.54725283,21941842,NC
-0.5204848,21941843,NC
-0.48315245,21941844,NC
-0.44826373,21941845,NC
-0.40165812,21941846,NC
-0.3640552,21941847,NC
-0.3182705,21941848,NC
-0.28912157,21941849,NC
-0.25699332,21941850,NC
-0.24374422,21941851,NC
-0.2286274,21941852,NC
-0.21181609,21941853,NC
-0.1812969,21941854,NC
-0.1449269,21941855,NC
-0.10294277,21941856,NC
-0.06696319,21941857,NC
-0.031822983,21941858,NC
-0.009781018,21941859,NC
0.008423056,21941860,NC
0.018691007,21941861,NC
0.030465111,21941862,NC
0.045195956,21941863,NC
0.06316559,21941864,NC
0.08770971,21941865,NC
0.10783746,21941866,NC
0.12511507,21941867,NC
0.12882338,21941868,NC
0.12861747,21941869,NC
0.12799709,21941870,NC
0.124077365,21941871,NC
0.11848864,21941872,NC
0.109671,21941873,NC
0.1008724,21941874,NC
0.084522344,21941875,NC
0.060300592,21941876,NC
0.037504178,21941877,NC
0.02385984,21941878,NC
0.018666726,21941879,NC
0.020950356,21941880,NC
0.016286345,21941881,NC
0.006988378,21941882,NC
-0.016778324,21941883,NC
-0.046224374,21941884,NC
-0.07699355,21941885,NC
-0.10945304,21941886,NC
-0.13529755,21941887,NC
-0.15988037,21941888,NC
-0.17678273,21941889,NC
-0.19425806,21941890,NC
-0.21800174,21941891,NC
-0.24387193,21941892,NC
-0.27063847,21941893,NC
-0.2867417,21941894,NC
-0.30374527,21941895,NC
-0.32277492,21941896,NC
-0.33988774,21941897,NC
-0.35643724,21941898,NC
-0.3737869,21941899,NC
-0.39905524,21941900,NC
-0.41938314,21941901,NC
-0.42692903,21941902,NC
-0.4263795,21941903,NC
